kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
1,"(Preussisch) Eilau","KON",5910,414,102,834,243,236,99,115,27,16,30,25,21,20,11,10,6,2,1534,1473,3007,11,3,43
1,"Brandenburg","KON",6652,613,186,853,205,203,94,83,18,25,36,29,20,26,16,12,5,3,1609,1560,3169,13,3,42
1,"Friedland","KON",5206,457,205,730,259,243,102,128,19,29,35,24,26,26,13,11,12,8,1506,1561,3127,7,2,38
1,"Zinten","KON",5236,360,167,739,261,183,108,103,22,22,33,31,28,24,13,10,8,1,1460,1390,2850,19,5,30
2,"Allenstein","KON",5958,484,63,922,318,300,163,120,29,27,38,34,23,20,11,12,3,3,1757,1682,3439,2,0,48
2,"Heilsberg","KON",6905,562,155,924,223,184,99,102,28,22,26,39,14,26,8,8,2,2,1587,1557,3144,7,0,71
2,"Heilsberg","KON",6973,447,170,1113,337,316,125,110,13,13,28,27,12,17,3,5,6,1,1759,1653,3412,2,2,58
2,"Rössel","KON",6047,405,58,970,314,303,155,146,31,35,41,39,32,20,22,19,7,3,1845,1894,3739,5,2,68
3,"(Preussisch) Holland","KON",5359,435,243,879,244,225,101,100,16,29,32,30,17,27,7,11,2,4,1569,1518,3087,15,1,53
3,"Mohrungen","KON",6997,552,231,1142,309,241,132,107,29,14,38,30,29,31,8,15,2,7,1915,1790,3705,3,0,65
3,"Mohrungen","KON",8384,756,306,1208,323,295,142,29,31,37,53,46,27,21,14,15,7,4,2185,2046,4231,14,2,86
3,"Osterode","KON",6924,550,157,1192,322,298,144,116,49,35,40,38,28,22,17,12,9,9,1996,1880,3876,4,1,53
4,"Neidenburg","KON",5969,496,143,866,274,236,101,129,30,41,40,42,30,29,19,19,9,14,1629,1662,3291,3,1,56
4,"Neidenburg","KON",7136,640,170,1080,358,344,155,122,47,32,56,37,40,36,17,15,11,10,2088,1894,398,2,1,42
4,"Ortelsburg","KON",7957,522,146,1322,437,396,104,132,33,41,46,31,34,43,21,28,20,21,2339,2189,4528,1,0,71
5,"Gerdauen","KON",5334,390,169,876,274,239,100,88,32,36,30,30,25,29,14,16,5,6,1630,1563,3193,9,0,57
5,"Rastenburg","KON",5912,670,230,827,192,222,104,99,25,29,30,43,28,24,12,16,10,10,1611,1670,3281,12,3,61
5,"Rastenburg","KON",5824,739,171,964,277,284,108,101,40,31,41,37,41,38,13,18,12,15,1687,1743,3630,12,1,58
6,"Fischhausen","KON",5035,392,121,747,165,134,80,79,23,23,23,23,30,32,13,17,11,9,1496,1345,2841,12,2,43
6,"Königsberg, Landkreis","KON",5985,444,171,974,198,217,91,119,32,20,32,34,26,29,25,23,8,14,1630,1663,3293,9,5,49
