id1816,kreiskey1800,county,rb,land1816_far_ext_ov300,land1816_far_ext_15to30,land1816_far_ext_un15
1,277,"Achen","AAC",7,881,2831
2,33,"Adelnau","POS",100,1807,2027
3,254,"Adenau","KOB",0,798,2805
4,196,"Ahaus","MUN",5,197,3313
5,255,"Ahrweiler","KOB",2,572,4385
6,219,"Altena","ARN",6,2077,1460
7,257,"Altenkirchen","KOB",0,1305,2186
8,10,"Angerburg","GUM",60,3411,341
9,53,"Angermünde","POT",56,1101,1247
10,32,"Anklam","STE",73,1095,508
11,209,"Arnsberg","ARN",14,1055,2254
12,67,"Arnswalde","FRA",54,946,645
13,160,"Aschersleben","MAG",52,1099,2288
14,55,"(Nieder-)Barnim","POT",61,1655,1134
15,54,"(Ober-)Barnim","POT",58,1343,962
16,190,"Beckum","MUN",29,1204,1778
17,93,"Belgard","KOS",75,948,117
18,58,"Belzig","POT",54,1819,1346
19,98,"Bergen","STR",78,604,451
20,230,"Bergheim","KOL",,,
21,265,"Bernkastel","TRI",1,490,5607
22,126,"Beuthen","OPP",20,761,1588
23,203,"Bielefeld","MIN",13,824,1154
24,261,"Bitburg","TRI",32,1356,1847
25,166,"Bitterfeld","MER",37,1154,1274
26,216,"Bochum","ARN",6,742,3673
27,27,"Bolkenhain","LIE",22,1380,5590
28,45,"Bomst","POS",41,2314,2335
29,233,"Bonn","KOL",,,
30,197,"Borken","MUN",11,1308,2486
31,208,"Brakel","MIN",20,902,895
32,19,"Braunsberg","KON",127,2372,1151
33,111,"Breslau","BRE",142,1886,7137
34,113,"Brieg","BRE",18,1072,1589
35,211,"Brilon","ARN",8,645,1555
36,20,"Bromberg","BRO",79,1583,1354
37,201,"Bünde","MIN",12,1227,1757
38,206,"Büren","MIN",17,1508,1825
39,140,"Bunzlau","LIE",25,822,2421
40,18,"Danzig, Stadtkreis","DAN",103,847,518
41,16,"Danzig, Landkreis","DAN",,,
42,259,"Daun","TRI",4,1275,1353
43,167,"Delitzsch","MER",38,1943,1105
44,80,"Demmin","STE",49,552,403
45,236,"Dinslaken","DUS",9,1665,1265
46,215,"Dortmund","ARN",31,1030,2351
47,91,"Dramburg","KOS",79,783,325
48,275,"Düren","AAC",13,1386,5081
49,240,"Düsseldorf, Stadtkreis","DUS",0,98,393
50,240,"Düsseldorf, Landkreis","DUS",21,996,3207
51,173,"Eckartsberga","MER",88,878,2298
52,241,"Elberfeld","DUS",0,70,334
53,185,"Erfurt","ERF",6,1795,3042
54,271,"Erkelenz","AAC",4,808,3633
55,236,"Essen","DUS",4,746,1833
56,278,"Eupen","AAC",5,535,1525
57,131,"Falkenberg","OPP",20,464,1191
58,117,"Frankenstein","BRE",25,925,1366
59,71,"Frankfurt","FRA",37,640,267
60,99,"Franzburg","STR",96,232,942
61,46,"Fraustadt","POS",53,871,2615
62,135,"Freistadt","LIE",69,819,1639
63,68,"Friedeberg","FRA",26,1855,948
64,94,"Fürstenthum","KOS",139,1741,621
65,150,"Gardelegen","MAG",24,1434,1047
66,273,"Geilenkirchen","AAC",5,651,2035
67,237,"Geldern","DUS",8,1694,2082
68,280,"Gemünd","AAC",1,680,1864
69,224,"Gimborn","KOL",,,
70,246,"Gladbach","DUS",3,529,2931
71,28,"Glaz","BRE",37,1985,6491
72,138,"Glogau","LIE",107,1668,3991
73,48,"Gnesen","BRO",82,1658,1301
74,249,"St. Goar","KOB",0,564,3905
75,146,"Görlitz","LIE",55,994,3126
76,88,"Greifenberg","STE",77,991,582
77,83,"Greifenhagen","STE",22,797,600
78,100,"Greifswald","STR",87,348,185
79,245,"Grevenbroich","DUS",11,737,2531
80,101,"Grimmen","STR",85,296,192
81,133,"Grottkau","OPP",53,949,2114
82,134,"Grünberg","LIE",16,525,1816
83,74,"Guben","FRA",40,937,1795
84,107,"Guhrau","BRE",26,574,1795
85,8,"Gumbinnen","GUM",89,5741,847
86,217,"Hagen","ARN",7,1167,1991
87,141,"Hainau","LIE",80,747,2218
88,161,"Halberstadt","MAG",5,106,192
89,158,"(Neu-)Haldensleben","MAG",30,1098,830
90,169,"Halle","MER",8,34,41
91,202,"Halle","MIN",2,952,1146
92,214,"Hamm","ARN",37,912,1218
93,60,"(Ost-)Havelland","POT",96,1711,922
94,61,"(West-)Havelland","POT",112,1436,585
95,181,"Heiligenstadt","ERF",13,1471,2017
96,2,"Heilsberg","KON",67,4629,1049
97,272,"Heinsberg","AAC",0,577,3417
98,201,"Herford","MIN",3,580,2410
99,29,"Hirschberg","LIE",22,1069,2757
100,208,"Höxter","MIN",17,805,1715
101,224,"Homburg","KOL",,,
102,143,"Jauer","LIE",13,557,1296
103,153,"1. Jerichow","MAG",89,1403,589
104,152,"2. Jerichow","MAG",57,1526,1096
105,21,"Inowrazlaw","BRO",91,1720,994
106,9,"Johannsburg","GUM",15,1980,67
107,218,"Iserlohn","ARN",22,1053,2035
108,274,"Jülich","AAC",17,1022,3651
109,57,"Jüterbok","POT",28,1296,2202
110,77,"Kalau","FRA",37,1834,2019
111,154,"Kalbe","MAG",26,945,1572
112,87,"Kammin","STE",37,629,655
113,238,"Kempen","DUS",66,1750,3841
114,234,"Kleve","DUS",21,1137,1620
115,248,"Koblenz","KOB",10,584,4795
116,252,"Kochem","KOB",0,663,2894
117,229,"Köln","KOL",,,
118,65,"Königsberg","FRA",63,1530,976
119,195,"Koesfeld","MUN",28,1352,2919
120,14,"Konitz","MAR",647,4050,1168
121,128,"Kosel","OPP",30,550,1575
122,41,"Kosten","POS",58,544,1058
123,78,"Kottbus","FRA",33,1245,2563
