id1816,kreiskey1800,county,rb,ani1816_horses,ani1816_foals,ani1816_bulls,ani1816_oxen,ani1816_cattle,ani1816_youngcattle,ani1816_merino,ani1816_halfmerino,ani1816_nomerino,ani1816_goats,ani1816_pigs
1,277,"Achen","AAC",2372,420,70,39,7307,2270,444,1725,6544,380,1672
2,33,"Adelnau","POS",4333,553,166,5286,7608,4940,631,10329,25761,14,8230
3,254,"Adenau","KOB",657,71,74,2123,4902,2181,0,0,23771,482,1348
4,196,"Ahaus","MUN",2459,413,94,403,9186,2793,0,0,3739,230,3294
5,255,"Ahrweiler","KOB",505,57,49,1875,5039,2268,71,367,7666,687,1560
6,219,"Altena","ARN",978,35,85,742,8607,3244,19,0,2140,3306,1333
7,257,"Altenkirchen","KOB",327,40,167,3325,9630,8530,0,0,6198,748,4219
8,10,"Angerburg","GUM",11418,2072,316,6877,8640,5642,429,2301,17221,468,13565
9,53,"Angermünde","POT",4402,803,170,4038,5666,3125,4901,27081,24472,233,8798
10,32,"Anklam","STE",4870,1748,323,4231,11909,6291,1505,6722,29336,167,7648
11,209,"Arnsberg","ARN",3317,702,162,357,9089,4418,467,400,17616,1181,5743
12,67,"Arnswalde","FRA",2657,400,126,2801,4301,3055,1605,12164,29712,313,5189
13,160,"Aschersleben","MAG",2235,591,143,226,4372,1565,11158,20751,17584,813,4252
14,55,"(Nieder-)Barnim","POT",5875,922,234,4322,9314,3615,1149,19172,76652,179,5683
15,54,"(Ober-)Barnim","POT",3889,665,183,2966,5745,2366,7106,28157,14353,308,6770
16,190,"Beckum","MUN",5759,1873,383,329,11430,11513,0,0,7864,755,6959
17,93,"Belgard","KOS",2784,487,147,2714,5046,3259,1031,1907,40698,178,3139
18,58,"Belzig","POT",6136,1196,245,5831,8455,5887,3960,21976,42157,371,8351
19,98,"Bergen","STR",6427,2974,448,596,16868,7894,927,4837,38162,36,6767
20,230,"Bergheim","KOL",1983,252,146,309,6850,4382,0,0,6793,1397,5846
21,265,"Bernkastel","TRI",1349,154,190,2890,6850,3103,50,100,12232,342,5142
22,126,"Beuthen","OPP",1832,100,57,1766,3351,1643,288,2427,9392,2,2512
23,203,"Bielefeld","MIN",1336,158,62,38,5793,1315,0,0,3150,1232,1049
24,261,"Bitburg","TRI",1845,349,95,2471,6276,3123,0,181,28894,1014,6663
25,166,"Bitterfeld","MER",2604,244,156,1324,5187,4467,6511,20761,14926,1297,4976
26,216,"Bochum","ARN",2248,526,145,87,7426,2285,209,80,1366,746,4264
27,27,"Bolkenhain","LIE",2362,151,325,1782,9329,3170,2516,16318,7458,2329,264
28,45,"Bomst","POS",2250,286,129,5122,8087,4078,2254,7251,21177,64,3926
29,233,"Bonn","KOL",872,99,96,910,6830,2403,0,0,2234,448,3142
30,197,"Borken","MUN",1634,256,129,1070,9308,4297,0,0,10571,719,5806
31,208,"Brakel","MIN",2575,945,54,139,4334,2742,993,8237,6897,2241,3894
32,19,"Braunsberg","KON",11742,3381,231,5447,9737,5859,0,4531,10321,25,14334
33,111,"Breslau","BRE",7378,1167,461,2193,16749,4601,4918,52659,34543,535,5085
34,113,"Brieg","BRE",4277,1156,154,1340,7960,3902,1512,17702,15740,57,2899
35,211,"Brilon","ARN",1594,367,63,615,3832,1619,432,1051,14334,1544,1966
36,20,"Bromberg","BRO",4333,672,222,5132,8275,4120,310,1251,36190,96,11824
37,201,"Bünde","MIN",2862,704,63,25,7508,3347,0,0,1587,662,2981
38,206,"Büren","MIN",3495,986,81,1121,6219,3107,8318,3664,14147,1803,4881
39,140,"Bunzlau","LIE",821,27,76,1945,5028,2040,1280,7141,8305,619,28
40,18,"Danzig, Stadtkreis","DAN",1198,24,3,15,1078,133,12,0,352,136,2666
41,16,"Danzig, Landkreis","DAN",5944,1376,408,700,6608,3479,0,0,6664,31,7570
42,259,"Daun","TRI",1083,164,94,2381,4485,2592,0,1171,19218,163,1803
43,167,"Delitzsch","MER",3481,397,265,913,10706,4776,13904,40673,9084,1006,8558
44,80,"Demmin","STE",3498,1170,215,2868,7729,3537,4966,12449,17136,74,5332
45,236,"Dinslaken","DUS",2072,310,80,734,5749,3077,0,22,7624,272,3228
46,215,"Dortmund","ARN",4143,1401,221,135,8600,4964,8,217,3492,1417,5842
47,91,"Dramburg","KOS",2574,320,130,3154,4150,2722,1102,3510,44569,861,4506
48,275,"Düren","AAC",2559,565,192,619,8380,3721,307,1580,14740,485,3452
49,240,"Düsseldorf, Stadtkreis","DUS",408,15,5,29,758,128,0,0,445,41,352
50,240,"Düsseldorf, Landkreis","DUS",1180,118,45,164,6301,1700,36,1817,2120,924,1434
51,173,"Eckartsberga","MER",2397,502,99,94,7018,3743,4997,25954,14579,974,3781
52,241,"Elberfeld","DUS",568,2,1,3,1604,14,0,0,20,282,0
53,185,"Erfurt","ERF",1423,183,97,512,3251,1347,1413,5206,13249,1502,4172
54,271,"Erkelenz","AAC",1057,213,44,537,4562,1723,420,365,2273,1151,1503
55,236,"Essen","DUS",1655,391,86,97,6075,1661,2,60,2236,948,3549
56,278,"Eupen","AAC",568,140,30,22,4593,1023,8,94,1156,42,669
57,131,"Falkenberg","OPP",1066,190,103,2467,3934,2413,400,16753,2050,6,1111
58,117,"Frankenstein","BRE",2515,258,174,247,9277,3086,2936,7437,9840,888,294
59,71,"Frankfurt","FRA",1812,263,78,2921,3304,1706,2281,7302,18407,57,2819
60,99,"Franzburg","STR",5079,2037,423,2715,15618,7117,626,2225,29262,22,8338
61,46,"Fraustadt","POS",2845,264,190,5609,8027,4478,1443,17136,22545,19,3269
62,135,"Freistadt","LIE",1725,137,148,5122,7688,3645,7439,16845,6805,360,1694
63,68,"Friedeberg","FRA",3214,472,116,2002,6822,3961,6187,20131,12621,50,5294
64,94,"Fürstenthum","KOS",6853,1268,301,3961,13418,5392,2770,3361,59682,255,6801
65,150,"Gardelegen","MAG",3795,1356,190,2862,7678,4872,2976,8614,25920,341,6921
66,273,"Geilenkirchen","AAC",1220,219,39,364,4281,1712,42,963,3993,169,482
67,237,"Geldern","DUS",2583,423,68,400,6608,3513,1,90,7098,492,3300
68,280,"Gemünd","AAC",910,142,60,638,4169,1834,13,182,16345,246,1085
69,224,"Gimborn","KOL",146,11,40,325,4177,2163,0,0,1211,1060,863
70,246,"Gladbach","DUS",1024,183,11,363,3812,934,0,50,30,833,1755
71,28,"Glaz","BRE",3663,176,303,911,16794,4678,9831,7609,5460,2105,297
72,138,"Glogau","LIE",3942,290,296,6003,13798,6638,4156,43461,19925,79,1956
73,48,"Gnesen","BRO",4686,559,261,6119,6908,3985,1480,3621,62223,14,10027
74,249,"St. Goar","KOB",641,89,84,2136,4657,2236,0,15,4541,1376,2326
75,146,"Görlitz","LIE",1559,32,225,2619,10248,4502,2338,7746,10956,1294,469
76,88,"Greifenberg","STE",4876,1081,232,2109,9276,3989,2981,6038,40100,13,5024
77,83,"Greifenhagen","STE",2186,436,89,2251,3568,2262,338,8436,24069,165,5358
78,100,"Greifswald","STR",3852,1785,335,2591,11479,5580,317,9650,40394,47,7419
79,245,"Grevenbroich","DUS",1387,211,45,444,4869,1740,121,64,1269,1243,3110
80,101,"Grimmen","STR",3857,1906,352,2812,11168,5637,1295,5792,30624,37,5745
81,133,"Grottkau","OPP",3286,760,249,970,9591,5438,1668,23797,15034,423,3482
82,134,"Grünberg","LIE",2171,283,91,3586,6359,3269,3832,9765,11254,217,1015
83,74,"Guben","FRA",3325,537,141,6369,7681,7050,158,12253,20701,122,6364
84,107,"Guhrau","BRE",1811,272,109,2654,5288,2619,6201,15361,9172,11,298
85,8,"Gumbinnen","GUM",22621,5029,802,10649,18390,12799,5870,5489,32349,303,32031
86,217,"Hagen","ARN",1260,91,47,57,6186,1756,181,676,951,835,804
87,141,"Hainau","LIE",2015,137,151,1048,6605,1990,2378,18665,19488,1030,194
88,161,"Halberstadt","MAG",615,79,28,52,586,151,2284,4447,2228,116,1335
89,158,"(Neu-)Haldensleben","MAG",3313,831,173,383,5618,2450,14321,14544,22772,186,5760
90,169,"Halle","MER",680,10,9,8,383,150,804,2453,741,96,1114
91,202,"Halle","MIN",2122,206,41,8,6769,1331,0,115,2840,778,631
92,214,"Hamm","ARN",4623,1040,113,205,7527,4727,203,277,6330,1422,4697
93,60,"(Ost-)Havelland","POT",7525,1453,329,1908,13185,3468,5934,16209,44938,186,5384
94,61,"(West-)Havelland","POT",6630,1212,250,3189,9589,5265,8231,26807,43292,205,7425
95,181,"Heiligenstadt","ERF",1798,478,69,865,4911,1884,125,546,15802,1141,2639
96,2,"Heilsberg","KON",14736,3640,345,8415,12928,8937,672,2038,17754,641,20446
97,272,"Heinsberg","AAC",1331,245,40,299,5877,2618,270,80,3358,429,4119
98,201,"Herford","MIN",1333,287,24,7,4109,1182,0,150,1026,1235,1469
99,29,"Hirschberg","LIE",2559,55,220,1417,9921,3203,3671,10353,15785,2189,135
100,208,"Höxter","MIN",1892,495,47,490,4012,1883,2256,4535,7755,1986,4519
101,224,"Homburg","KOL",106,10,113,703,2766,1991,0,0,1645,637,1933
102,143,"Jauer","LIE",1549,209,180,267,4935,1514,2252,9746,14808,1437,245
103,153,"1. Jerichow","MAG",5279,1119,174,4026,7359,4230,24360,36543,14252,306,9226
104,152,"2. Jerichow","MAG",5656,1487,238,5476,8366,6864,13105,29393,27654,132,6712
105,21,"Inowrazlaw","BRO",5825,699,224,6078,7022,3693,828,1924,45768,71,12711
106,9,"Johannsburg","GUM",3384,488,127,3958,3639,4437,56,1008,2673,0,5710
107,218,"Iserlohn","ARN",2335,434,102,91,6983,3892,544,160,6936,1299,3683
108,274,"Jülich","AAC",1756,400,51,355,5905,2505,90,358,4041,720,1928
109,57,"Jüterbok","POT",4398,534,156,4655,6154,3596,3154,21623,21954,250,6250
110,77,"Kalau","FRA",8186,414,172,5380,8377,7015,6730,14217,17858,59,4712
111,154,"Kalbe","MAG",2510,354,114,270,4669,1731,15566,19894,15288,340,3890
112,87,"Kammin","STE",2393,567,141,1831,5647,2662,31,2960,20237,0,3239
113,238,"Kempen","DUS",1524,149,362,371,5912,710,53,408,2599,722,2595
114,234,"Kleve","DUS",2492,566,102,882,7058,5374,12,155,5543,335,5686
115,248,"Koblenz","KOB",724,53,32,1311,5798,926,0,541,8055,347,1261
116,252,"Kochem","KOB",751,87,82,1357,3805,1323,0,385,29318,428,2708
117,229,"Köln","KOL",2354,223,273,405,7934,3884,0,0,7045,1015,6713
118,65,"Königsberg","FRA",4407,842,195,3084,7160,3252,7582,33968,25489,164,6040
119,195,"Koesfeld","MUN",4270,1134,172,152,10157,5222,0,0,12352,566,4995
120,14,"Konitz","MAR",8092,1088,332,12888,13921,6734,1070,3793,64931,567,15481
121,128,"Kosel","OPP",1656,949,63,251,3336,1023,1150,10850,10340,20,1259
122,41,"Kosten","POS",3397,391,165,4883,6100,3130,3408,6233,30266,9,5588
123,78,"Kottbus","FRA",3230,270,105,4538,7104,2824,503,7274,10149,61,2563
124,239,"Krefeld","DUS",1690,260,24,59,4502,1061,50,170,2556,540,1298
125,120,"Kreutzburg","OPP",1894,314,94,1348,4145,2028,3552,23247,6061,19,1948
126,250,"Kreutznach","KOB",968,73,74,1949,5608,2601,0,60,2091,707,2900
127,47,"Kröben","POS",3132,373,196,4796,6833,3232,3278,12715,28667,27,4373
128,23,"(Deutsch)Krone","MAR",4012,334,136,3427,5850,4520,582,5327,52231,397,6091
129,75,"Krossen","FRA",3025,445,119,4658,8591,6172,2410,19990,19332,149,4776
130,33,"Krotoschin","POS",4066,496,192,5599,7572,3975,4016,12919,35334,14,6824
131,65,"Küstrin","FRA",4552,1034,218,2996,6532,3094,8819,6391,14963,35,7074
132,12,"Kulm","MAR",7371,1252,1151,5020,8926,4168,15,3332,31882,228,15022
133,69,"Landsberg","FRA",4121,763,138,2356,9298,4457,711,12542,21446,6,4401
134,183,"Langensalza","ERF",2006,694,83,109,5028,2261,2036,6804,8160,1058,2473
135,145,"Lauban","LIE",1187,14,101,1058,4443,626,1954,12583,2317,1136,157
136,35,"Lauenburg","KOS",3062,447,205,3318,5715,2803,780,1826,15130,11,3974
137,70,"Lebus","FRA",4860,665,187,4382,6155,3317,8192,30450,19466,132,6703
138,231,"Lechenich","KOL",1730,212,363,400,5787,4943,0,0,15669,367,4671
139,242,"Lennep","DUS",565,13,27,170,8013,966,0,0,169,1225,687
140,129,"Leobschütz","OPP",7525,1117,200,344,16075,3655,4647,14418,27595,166,3365
141,162,"Liebenwerda","MER",3032,469,134,3990,7956,7647,4072,11060,14085,269,4618
142,142,"Liegnitz","LIE",2918,428,213,904,8019,3157,3388,30625,27535,591,1203
