id1816,kreiskey1800,county,rb,edu1816_pub_ele_sc,edu1816_pri_ele_sc,edu1816_pub_mim_sc,edu1816_pub_mif_sc,edu1816_pri_mim_sc,edu1816_pri_mif_sc,edu1816_pub_gel_sc
1,277,"Achen","AAC",44,2,12,2,0,0,1
2,33,"Adelnau","POS",28,1,0,0,0,0,0
3,254,"Adenau","KOB",41,0,0,0,0,0,0
4,196,"Ahaus","MUN",35,0,0,0,0,0,0
5,255,"Ahrweiler","KOB",44,0,0,0,0,0,0
6,219,"Altena","ARN",37,1,0,0,0,4,1
7,257,"Altenkirchen","KOB",128,0,0,0,0,0,0
8,10,"Angerburg","GUM",139,0,0,0,0,0,0
9,53,"Angermünde","POT",90,0,1,1,1,1,0
10,32,"Anklam","STE",126,5,1,0,0,1,0
11,209,"Arnsberg","ARN",52,0,0,0,0,0,1
12,67,"Arnswalde","FRA",60,0,0,0,0,0,0
13,160,"Aschersleben","MAG",42,0,4,3,0,1,2
14,55,"(Nieder-)Barnim","POT",108,0,0,0,0,0,0
15,54,"(Ober-)Barnim","POT",95,0,1,1,1,0,0
16,190,"Beckum","MUN",35,0,0,0,0,0,0
17,93,"Belgard","KOS",88,0,0,0,0,0,0
18,58,"Belzig","POT",122,0,1,1,0,0,0
19,98,"Bergen","STR",41,0,0,0,0,0,0
20,230,"Bergheim","KOL",49,,,,,,
21,265,"Bernkastel","TRI",62,0,0,0,0,0,0
22,126,"Beuthen","OPP",21,0,0,0,0,0,0
23,203,"Bielefeld","MIN",26,3,3,0,2,1,1
24,261,"Bitburg","TRI",89,0,0,0,0,0,0
25,166,"Bitterfeld","MER",70,0,0,0,0,0,0
26,216,"Bochum","ARN",47,0,0,0,0,0,0
27,27,"Bolkenhain","LIE",103,0,0,0,0,0,0
28,45,"Bomst","POS",62,0,0,0,0,0,0
29,233,"Bonn","KOL",51,0,0,0,0,0,0
30,197,"Borken","MUN",45,0,0,0,0,0,0
31,208,"Brakel","MIN",35,0,0,0,0,0,0
32,19,"Braunsberg","KON",40,2,3,1,0,0,1
33,111,"Breslau","BRE",124,20,2,2,12,16,4
34,113,"Brieg","BRE",64,7,1,1,3,1,1
35,211,"Brilon","ARN",34,0,0,0,0,0,0
36,20,"Bromberg","BRO",55,9,0,0,0,0,1
37,201,"Bünde","MIN",44,0,0,0,0,0,0
38,206,"Büren","MIN",59,0,0,0,0,0,0
