id1816,kreiskey1800,county,rb,edu1816_pub_ele_stud_m,edu1816_pub_ele_stud_f,edu1816_pri_ele_stud_m,edu1816_pri_ele_stud_f,edu1816_pub_mim_stud_m,edu1816_pub_mif_stud_f,edu1816_pri_mim_stud_m,edu1816_pri_mif_stud_f,edu1816_pub_gel_stud_m
1,277,"Achen","AAC",1392,1027,33,33,452,168,0,0,108
2,33,"Adelnau","POS",823,723,0,20,0,0,0,0,0
3,254,"Adenau","KOB",1320,1291,0,0,0,0,0,0,0
4,196,"Ahaus","MUN",2187,2152,0,0,0,0,0,0,0
5,255,"Ahrweiler","KOB",1665,1428,0,0,0,0,0,0,0
6,219,"Altena","ARN",1738,1481,0,24,0,0,0,120,16
7,257,"Altenkirchen","KOB",2273,2146,0,0,0,0,0,0,0
8,10,"Angerburg","GUM",3026,2186,0,0,0,0,0,0,0
9,53,"Angermünde","POT",2587,2265,0,0,98,54,7,16,0
10,32,"Anklam","STE",2961,2501,144,170,53,0,0,12,0
11,209,"Arnsberg","ARN",2450,2390,0,0,0,0,0,0,52
12,67,"Arnswalde","FRA",1303,1153,0,0,0,0,0,0,0
13,160,"Aschersleben","MAG",2321,2129,0,0,406,262,0,38,269
14,55,"(Nieder-)Barnim","POT",2576,2422,0,0,0,0,0,0,0
15,54,"(Ober-)Barnim","POT",2604,2348,0,0,101,102,12,7,0
16,190,"Beckum","MUN",2023,1986,0,0,0,0,0,0,0
17,93,"Belgard","KOS",1229,1070,0,0,0,0,0,0,0
18,58,"Belzig","POT",3128,3060,0,0,163,115,0,0,0
19,98,"Bergen","STR",914,614,0,0,0,0,0,0,0
20,230,"Bergheim","KOL",,,,,,,,,
21,265,"Bernkastel","TRI",2385,1887,0,0,0,0,0,0,0
22,126,"Beuthen","OPP",676,538,0,0,0,0,0,0,0
23,203,"Bielefeld","MIN",1937,1901,23,63,297,215,20,26,87
24,261,"Bitburg","TRI",1838,1815,0,0,0,0,0,0,0
25,166,"Bitterfeld","MER",2174,2205,0,0,0,0,0,0,0
26,216,"Bochum","ARN",2334,2078,0,0,0,0,0,0,0
27,27,"Bolkenhain","LIE",3792,3982,0,0,0,0,0,0,0
28,45,"Bomst","POS",1292,1018,0,0,0,0,0,0,0
29,233,"Bonn","KOL",,,0,0,0,0,0,0,0
30,197,"Borken","MUN",1870,2023,0,0,0,0,0,0,0
31,208,"Brakel","MIN",1784,1706,0,0,0,0,0,0,0
32,19,"Braunsberg","KON",886,588,40,60,139,52,0,0,90
33,111,"Breslau","BRE",4898,4281,554,532,242,598,304,526,1204
34,113,"Brieg","BRE",1989,1953,52,116,123,185,59,30,230
35,211,"Brilon","ARN",1528,1495,0,0,0,0,0,0,0
36,20,"Bromberg","BRO",1154,647,77,68,0,0,0,0,58
37,201,"Bünde","MIN",2980,2621,0,0,0,0,0,0,0
38,206,"Büren","MIN",2487,2269,0,0,0,0,0,0,0
39,140,"Bunzlau","LIE",2694,1907,0,0,0,0,24,26,109
40,18,"Danzig, Stadtkreis","DAN",2650,1520,1312,770,233,0,0,169,58
41,16,"Danzig, Landkreis","DAN",,,0,0,0,0,0,0,0
42,259,"Daun","TRI",1342,1339,0,0,0,0,0,0,0
43,167,"Delitzsch","MER",2762,2769,0,0,0,0,0,0,0
44,80,"Demmin","STE",1535,1450,0,0,208,98,0,24,0
45,236,"Dinslaken","DUS",1570,1467,0,0,0,0,12,0,85
46,215,"Dortmund","ARN",1767,1709,0,0,419,375,0,0,65
47,91,"Dramburg","KOS",1067,962,0,0,0,0,0,0,0
48,275,"Düren","AAC",2305,1713,102,68,163,151,0,0,126
49,240,"Düsseldorf, Stadtkreis","DUS",1233,917,110,134,0,0,0,0,158
50,240,"Düsseldorf, Landkreis","DUS",1930,1622,0,0,0,0,0,0,0
51,173,"Eckartsberga","MER",2228,2293,0,0,0,0,0,0,0
52,241,"Elberfeld","DUS",2510,2094,144,141,0,0,51,47,49
53,185,"Erfurt","ERF",2273,2050,0,0,158,13,0,44,275
54,271,"Erkelenz","AAC",1564,1322,22,168,45,0,0,31,11
55,236,"Essen","DUS",2385,1858,0,0,0,0,0,0,0
56,278,"Eupen","AAC",488,368,5,4,37,40,22,0,0
57,131,"Falkenberg","OPP",1282,1230,0,0,0,0,0,0,0
58,117,"Frankenstein","BRE",2349,2136,0,0,0,0,0,0,0
59,71,"Frankfurt","FRA",1202,1384,113,118,57,295,45,0,109
60,99,"Franzburg","STR",630,394,619,433,41,61,0,97,198
61,46,"Fraustadt","POS",1741,1263,327,226,129,76,0,12,184
62,135,"Freistadt","LIE",2279,2391,0,0,0,0,0,0,0
63,68,"Friedeberg","FRA",1790,1554,0,0,0,0,0,0,0
64,94,"Fürstenthum","KOS",3197,2640,55,60,51,0,0,0,70
65,150,"Gardelegen","MAG",2707,2611,65,75,105,0,0,22,0
66,273,"Geilenkirchen","AAC",1028,827,0,0,0,0,0,0,0
67,237,"Geldern","DUS",98,70,0,0,0,0,0,0,0
68,280,"Gemünd","AAC",980,770,0,0,0,0,0,0,0
69,224,"Gimborn","KOL",,,,,,,,,
70,246,"Gladbach","DUS",1368,1390,0,0,0,0,0,0,0
