id1816,kreiskey1800,county,rb,edu1816_pub_ele_tea,edu1816_pri_ele_tea,edu1816_pub_mim_tea_m,edu1816_pub_mif_tea,edu1816_pri_mim_tea_m,edu1816_pri_mif_tea,edu1816_pub_gel_tea_m
1,277,"Achen","AAC",49,2,12,2,0,0,11
2,33,"Adelnau","POS",41,1,0,0,0,0,0
3,254,"Adenau","KOB",41,0,0,0,0,0,0
4,196,"Ahaus","MUN",35,0,0,0,0,0,0
5,255,"Ahrweiler","KOB",44,0,0,0,0,0,0
6,219,"Altena","ARN",41,1,0,0,0,4,1
7,257,"Altenkirchen","KOB",128,0,0,0,0,0,0
8,10,"Angerburg","GUM",140,0,0,0,0,0,0
9,53,"Angermünde","POT",94,0,2,1,1,1,0
10,32,"Anklam","STE",132,6,4,0,0,1,0
11,209,"Arnsberg","ARN",52,0,0,0,0,0,5
12,67,"Arnswalde","FRA",60,0,0,0,0,0,0
13,160,"Aschersleben","MAG",47,0,6,3,0,7,15
14,55,"(Nieder-)Barnim","POT",114,0,0,0,0,0,0
15,54,"(Ober-)Barnim","POT",108,0,3,2,1,0,0
16,190,"Beckum","MUN",36,0,0,0,0,0,0
17,93,"Belgard","KOS",88,0,0,0,0,0,0
18,58,"Belzig","POT",123,0,4,0,0,0,0
19,98,"Bergen","STR",44,0,0,0,0,0,0
20,230,"Bergheim","KOL",49,,,,,,
21,265,"Bernkastel","TRI",67,0,0,0,0,0,0
22,126,"Beuthen","OPP",22,0,0,0,0,0,0
23,203,"Bielefeld","MIN",30,4,7,0,1,1,5
24,261,"Bitburg","TRI",89,0,0,0,0,0,0
25,166,"Bitterfeld","MER",75,0,0,0,0,0,0
26,216,"Bochum","ARN",48,0,0,0,0,0,0
27,27,"Bolkenhain","LIE",109,0,0,0,0,0,0
28,45,"Bomst","POS",62,0,0,0,0,0,0
29,233,"Bonn","KOL",56,0,0,0,0,0,0
30,197,"Borken","MUN",44,0,0,0,0,0,0
31,208,"Brakel","MIN",37,0,0,0,0,0,0
32,19,"Braunsberg","KON",46,2,4,4,0,0,8
33,111,"Breslau","BRE",139,28,13,26,48,71,39
34,113,"Brieg","BRE",63,7,2,4,3,1,8
35,211,"Brilon","ARN",34,0,0,0,0,0,0
36,20,"Bromberg","BRO",55,9,0,0,0,0,3
37,201,"Bünde","MIN",44,0,0,0,0,0,0
38,206,"Büren","MIN",59,0,0,0,0,0,0
39,140,"Bunzlau","LIE",78,0,0,0,2,1,6
40,18,"Danzig, Stadtkreis","DAN",82,93,7,0,0,23,9
41,16,"Danzig, Landkreis","DAN",,0,0,0,0,0,0
42,259,"Daun","TRI",62,0,0,0,0,0,0
43,167,"Delitzsch","MER",107,0,0,0,0,0,0
44,80,"Demmin","STE",81,0,8,8,0,2,0
45,236,"Dinslaken","DUS",35,0,0,0,1,0,7
46,215,"Dortmund","ARN",45,0,7,0,0,0,6
47,91,"Dramburg","KOS",62,0,0,0,0,0,0
48,275,"Düren","AAC",79,4,3,7,0,0,5
49,240,"Düsseldorf, Stadtkreis","DUS",23,11,0,0,0,0,11
50,240,"Düsseldorf, Landkreis","DUS",45,0,0,0,0,0,0
51,173,"Eckartsberga","MER",76,0,0,0,0,0,0
52,241,"Elberfeld","DUS",52,12,0,0,4,2,2
53,185,"Erfurt","ERF",117,0,14,2,0,7,23
54,271,"Erkelenz","AAC",39,3,3,0,0,1,3
55,236,"Essen","DUS",44,0,0,0,0,0,0
56,278,"Eupen","AAC",16,1,3,5,0,0,0
57,131,"Falkenberg","OPP",36,0,0,0,0,0,0
58,117,"Frankenstein","BRE",64,0,0,0,0,0,0
59,71,"Frankfurt","FRA",53,5,4,13,1,0,6
60,99,"Franzburg","STR",31,35,2,2,0,11,9
61,46,"Fraustadt","POS",63,27,5,2,0,1,12
62,135,"Freistadt","LIE",61,0,0,0,0,0,0
63,68,"Friedeberg","FRA",69,0,0,0,0,0,0
64,94,"Fürstenthum","KOS",210,5,3,0,0,0,3
65,150,"Gardelegen","MAG",102,5,3,0,0,1,0
66,273,"Geilenkirchen","AAC",34,0,0,0,0,0,0
67,237,"Geldern","DUS",3,0,0,0,0,0,0
68,280,"Gemünd","AAC",34,0,0,0,0,0,0
69,224,"Gimborn","KOL",28,,,,,,
70,246,"Gladbach","DUS",39,0,0,0,0,0,0
71,28,"Glaz","BRE",122,1,0,0,0,0,8
72,138,"Glogau","LIE",103,7,3,0,3,6,12
73,48,"Gnesen","BRO",71,1,0,0,0,0,3
74,249,"St. Goar","KOB",43,0,0,0,0,0,0
75,146,"Görlitz","LIE",65,9,0,3,0,0,8
76,88,"Greifenberg","STE",129,0,3,0,0,1,0
77,83,"Greifenhagen","STE",44,0,2,0,0,1,0
78,100,"Greifswald","STR",39,35,7,0,2,7,5
79,245,"Grevenbroich","DUS",40,0,0,0,0,0,0
80,101,"Grimmen","STR",30,0,0,0,0,0,0
81,133,"Grottkau","OPP",63,0,0,0,0,0,0
82,134,"Grünberg","LIE",56,2,6,4,0,0,0
83,74,"Guben","FRA",68,3,0,0,0,4,6
84,107,"Guhrau","BRE",48,0,0,0,0,0,0
85,8,"Gumbinnen","GUM",117,0,3,0,1,0,7
86,217,"Hagen","ARN",45,0,0,0,0,0,0
87,141,"Hainau","LIE",66,0,4,0,0,0,0
88,161,"Halberstadt","MAG",20,0,10,6,2,0,7
