id1816,kreiskey1800,county,rb,pop1816_m_un7,pop1816_m_7to14,pop1816_m_15to18,pop1816_m_19to45,pop1816_m_46to60,pop1816_m_ov60,pop1816_m_tot,pop1816_f_un7,pop1816_f_7to14,pop1816_f_15to45,pop1816_f_46to60,pop1816_f_ov60,pop1816_f_tot,pop1816_tot
1,277,"Achen","AAC",4447,3647,1731,6934,2910,1692,21361,4206,3410,9602,2868,1902,21988,43349
2,33,"Adelnau","POS",5579,4343,2003,7456,2911,1221,23513,5474,4239,10816,2447,911,23887,47400
3,254,"Adenau","KOB",2456,1544,858,2708,1271,560,9397,2726,1600,2964,1559,661,9510,18907
4,196,"Ahaus","MUN",3033,2465,1196,6404,2267,1679,17044,2927,2339,7700,2196,1620,16782,33826
5,255,"Ahrweiler","KOB",2918,2177,1142,3864,1603,834,12538,3025,2019,5184,1750,792,12770,25308
6,219,"Altena","ARN",2965,2444,1295,4856,1829,948,14337,2869,2341,6253,1657,766,13886,28223
7,257,"Altenkirchen","KOB",2593,2349,1251,4700,1579,641,13113,2444,2200,6423,1589,556,13212,26325
8,10,"Angerburg","GUM",3785,2736,1547,7063,2644,936,18711,3822,2544,9150,2673,1047,19236,37947
9,53,"Angermünde","POT",3575,3053,1311,5588,2238,1180,16945,3604,2962,8131,2244,1010,17951,34896
10,32,"Anklam","STE",4454,3195,1556,6342,2654,1324,19525,4341,2850,9496,2578,1294,20559,40084
11,209,"Arnsberg","ARN",3150,2489,1376,5734,2077,940,15766,3059,2461,7334,2061,917,15832,31598
12,67,"Arnswalde","FRA",2488,1704,1026,3058,1383,555,10214,2253,1434,4515,1395,533,10130,20344
13,160,"Aschersleben","MAG",3318,2645,1366,5972,2404,1314,17019,3213,2557,9512,2497,1485,19264,36283
14,55,"(Nieder-)Barnim","POT",3611,2452,1450,5871,2293,1190,16867,3588,2368,7848,2137,1038,16979,33846
15,54,"(Ober-)Barnim","POT",3987,2705,1456,6567,2391,1047,18153,3955,2579,8246,2219,983,17982,36135
16,190,"Beckum","MUN",2550,2282,1361,5391,1848,1215,14647,2634,2225,6994,1723,1272,14848,29495
17,93,"Belgard","KOS",2115,1423,731,2945,1358,624,9196,2135,1302,4513,1142,520,9612,18808
18,58,"Belzig","POT",4116,2966,1728,7393,2670,1344,20217,4030,2983,9993,2940,1252,21198,41415
19,98,"Bergen","STR",2872,2187,1163,4645,1931,865,13663,2830,2015,6750,1898,978,14471,28134
20,230,"Bergheim","KOL",,,,,,,13784,,,,,,14212,27996
21,265,"Bernkastel","TRI",3021,2532,1355,4686,2857,1131,15582,3327,2777,7010,2651,1280,17045,32627
