id1816,kreiskey1800,county,rb,pop1816_f_wedlock
1,277,"Achen","AAC",7327
2,33,"Adelnau","POS",8962
3,254,"Adenau","KOB",3036
4,196,"Ahaus","MUN",5793
5,255,"Ahrweiler","KOB",4172
6,219,"Altena","ARN",4907
7,257,"Altenkirchen","KOB",4018
8,10,"Angerburg","GUM",6801
9,53,"Angermünde","POT",6395
10,32,"Anklam","STE",7302
11,209,"Arnsberg","ARN",4729
12,67,"Arnswalde","FRA",3675
13,160,"Aschersleben","MAG",6562
14,55,"(Nieder-)Barnim","POT",6302
15,54,"(Ober-)Barnim","POT",6538
16,190,"Beckum","MUN",4593
17,93,"Belgard","KOS",3461
18,58,"Belzig","POT",7876
19,98,"Bergen","STR",5077
20,230,"Bergheim","KOL",4778
21,265,"Bernkastel","TRI",5424
22,126,"Beuthen","OPP",4313
23,203,"Bielefeld","MIN",4822
24,261,"Bitburg","TRI",4720
25,166,"Bitterfeld","MER",5456
26,216,"Bochum","ARN",5429
27,27,"Bolkenhain","LIE",11298
28,45,"Bomst","POS",8560
29,233,"Bonn","KOL",5933
30,197,"Borken","MUN",5670
31,208,"Brakel","MIN",3257
32,19,"Braunsberg","KON",7308
33,111,"Breslau","BRE",20663
34,113,"Brieg","BRE",5600
35,211,"Brilon","ARN",2722
36,20,"Bromberg","BRO",9863
37,201,"Bünde","MIN",6431
38,206,"Büren","MIN",4481
39,140,"Bunzlau","LIE",7085
40,18,"Danzig, Stadtkreis","DAN",7391
41,16,"Danzig, Landkreis","DAN",5536
42,259,"Daun","TRI",2741
43,167,"Delitzsch","MER",6341
44,80,"Demmin","STE",3863
45,236,"Dinslaken","DUS",4692
46,215,"Dortmund","ARN",5769
47,91,"Dramburg","KOS",3995
48,275,"Düren","AAC",6314
49,240,"Düsseldorf, Stadtkreis","DUS",3661
50,240,"Düsseldorf, Landkreis","DUS",4877
51,173,"Eckartsberga","MER",3068
52,241,"Elberfeld","DUS",6862
53,185,"Erfurt","ERF",4904
54,271,"Erkelenz","AAC",4568
55,236,"Essen","DUS",6229
56,278,"Eupen","AAC",2393
57,131,"Falkenberg","OPP",2945
58,117,"Frankenstein","BRE",5832
59,71,"Frankfurt","FRA",4136
60,99,"Franzburg","STR",7487
61,46,"Fraustadt","POS",10193
62,135,"Freistadt","LIE",5952
63,68,"Friedeberg","FRA",5098
64,94,"Fürstenthum","KOS",8857
65,150,"Gardelegen","MAG",5789
66,273,"Geilenkirchen","AAC",3586
67,237,"Geldern","DUS",5945
68,280,"Gemünd","AAC",2653
69,224,"Gimborn","KOL",2364
70,246,"Gladbach","DUS",5808
71,28,"Glaz","BRE",17426
72,138,"Glogau","LIE",10140
73,48,"Gnesen","BRO",10053
74,249,"St. Goar","KOB",4469
75,146,"Görlitz","LIE",8007
76,88,"Greifenberg","STE",5250
77,83,"Greifenhagen","STE",3387
78,100,"Greifswald","STR",5380
79,245,"Grevenbroich","DUS",4594
80,101,"Grimmen","STR",4062
81,133,"Grottkau","OPP",4948
82,134,"Grünberg","LIE",6785
83,74,"Guben","FRA",6069
84,107,"Guhrau","BRE",3907
85,8,"Gumbinnen","GUM",13850
86,217,"Hagen","ARN",5724
87,141,"Hainau","LIE",7255
88,161,"Halberstadt","MAG",2440
89,158,"(Neu-)Haldensleben","MAG",5663
90,169,"Halle","MER",3203
91,202,"Halle","MIN",4520
92,214,"Hamm","ARN",5662
93,60,"(Ost-)Havelland","POT",6152
94,61,"(West-)Havelland","POT",6865
95,181,"Heiligenstadt","ERF",4710
96,2,"Heilsberg","KON",12067
97,272,"Heinsberg","AAC",4291
98,201,"Herford","MIN",3994
99,29,"Hirschberg","LIE",14883
100,208,"Höxter","MIN",3364
101,224,"Homburg","KOL",1543
102,143,"Jauer","LIE",4363
103,153,"1. Jerichow","MAG",7052
104,152,"2. Jerichow","MAG",5947
105,21,"Inowrazlaw","BRO",8549
106,9,"Johannsburg","GUM",3114
107,218,"Iserlohn","ARN",4418
108,274,"Jülich","AAC",4842
109,57,"Jüterbok","POT",6234
110,77,"Kalau","FRA",6444
111,154,"Kalbe","MAG",6218
112,87,"Kammin","STE",3479
113,238,"Kempen","DUS",6315
114,234,"Kleve","DUS",6111
115,248,"Koblenz","KOB",6380
116,252,"Kochem","KOB",3757
117,229,"Köln","KOL",5024
118,65,"Königsberg","FRA",6215
119,195,"Koesfeld","MUN",6123
120,14,"Konitz","MAR",12003
121,128,"Kosel","OPP",3589
122,41,"Kosten","POS",7225
123,78,"Kottbus","FRA",6818
124,239,"Krefeld","DUS",6123
125,120,"Kreutzburg","OPP",3379
126,250,"Kreutznach","KOB",5377
127,47,"Kröben","POS",9339
128,23,"(Deutsch)Krone","MAR",6280
129,75,"Krossen","FRA",6430
130,33,"Krotoschin","POS",10647
131,65,"Küstrin","FRA",5224
132,12,"Kulm","MAR",8177
133,69,"Landsberg","FRA",7046
134,183,"Langensalza","ERF",4322
135,145,"Lauban","LIE",8942
136,35,"Lauenburg","KOS",4780
137,70,"Lebus","FRA",4977
138,231,"Lechenich","KOL",3989
139,242,"Lennep","DUS",6396
140,129,"Leobschütz","OPP",13088
141,162,"Liebenwerda","MER",5290
142,142,"Liegnitz","LIE",6586
143,212,"Lippstadt","ARN",3315
144,144,"Löwenberg","LIE",14467
145,124,"Lublinitz","OPP",4600
146,76,"Luckau","FRA",7166
147,34,"Lübben","FRA",6769
148,139,"Lüben","LIE",3665
149,191,"Lüdingshausen","MUN",5166
150,155,"Magdeburg","MAG",5968
151,253,"Maien","KOB",5096
152,281,"Malmedy","AAC",2105
153,171,"Mansfeld, Gebirgskreis","MER",4818
154,170,"Mansfeld, Seekreis","MER",5715
155,11,"Marienburg","DAN",13706
156,17,"Marienwerder","MAR",9079
157,38,"Memel","KON",4645
158,175,"Merseburg","MER",6781
159,267,"Merzig","TRI",3866
160,25,"Meseritz","POS",7399
161,106,"Militsch","BRE",6348
162,199,"Minden","MIN",7272
163,3,"Mohrungen","KON",13005
164,279,"Montjoie","AAC",2837
165,182,"Mühlhausen","ERF",6114
166,227,"Mühlheim","KOL",4336
167,192,"Münster","MUN",4727
168,116,"Münsterberg","BRE",3326
169,102,"Namslau","BRE",3931
170,86,"Naugard","STE",2384
171,177,"Naumburg","MER",1781
172,4,"Neidenburg","KON",10791
173,132,"Neisse","OPP",10304
174,110,"Neumarkt","BRE",5716
175,244,"Neuss","DUS",4530
176,130,"Neustadt","OPP",8593
177,256,"Neuwied","KOB",4474
178,8,"Niederung","GUM",4905
179,115,"Nimptsch","BRE",3857
180,179,"Nordhausen","ERF",6587
181,42,"Obernik","POS",8765
182,104,"Oels","BRE",8665
183,112,"Ohlau","BRE",5387
184,9,"Oletzko","GUM",8304
185,122,"Oppeln","OPP",9412
186,159,"Oschersleben","MAG",6024
187,148,"Osterburg","MAG",5074
188,37,"Osterwiek","MAG",6282
189,270,"Ottweiler","TRI",3147
190,205,"Paderborn","MIN",4295
191,84,"Piritz","STE",5602
192,31,"Pless","OPP",10689
193,24,"Posen","POS",12245
194,51,"Prenzlow","POT",6640
195,63,"(Ost-)Priegnitz","POT",8024
196,64,"(West-)Priegnitz","POT",7867
197,260,"Prüm","TRI",3372
198,174,"Querfurt","MER",5586
199,200,"Rahden","MIN",5364
200,82,"Randow","STE",10872
201,5,"Rastenburg","KON",10916
202,127,"Ratibor","OPP",9284
203,198,"Recklinghausen","MUN",6187
204,235,"Rees","DUS",5361
205,89,"Regenwalde","STE",3210
206,118,"Reichenbach","BRE",6696
207,232,"Rheinbach","KOL",3755
208,237,"Rheinberg","DUS",5988
209,121,"Rosenberg","OPP",3804
210,147,"Rothenburg","LIE",5939
211,96,"Rummelsburg","KOS",2445
212,62,"Ruppin","POT",9059
213,168,"Saalkreis","MER",5082
214,269,"Saarbrücken","TRI",3926
215,266,"Saarburg","TRI",3671
216,268,"Saarlouis","TRI",5495
217,85,"Saazig","STE",7551
218,136,"Sagan","LIE",6593
219,149,"Salzwedel","MAG",5647
220,172,"Sangerhausen","MER",5860
221,90,"Schiefelbein","KOS",1470
222,43,"Schildberg","POS",6206
223,95,"Schlawe","KOS",6577
224,187,"Schleusingen","ERF",4897
225,40,"Schrimm","POS",6492
226,39,"Schrodda","POS",4658
227,30,"Schweidnitz","BRE",14394
228,164,"Schweinitz","MER",4943
229,226,"Siegburg","KOL",4793
230,221,"Siegen","ARN",4961
231,247,"Simmern","KOB",4604
232,213,"Soest","ARN",4893
233,66,"Soldin","FRA",4354
234,243,"Solingen","DUS",4501
235,79,"Sorau","FRA",8565
236,36,"Spremberg","FRA",6498
237,137,"Sprottau","LIE",3450
238,8,"Stallupöhnen","GUM",11218
239,15,"Stargard","DAN",7025
240,108,"Steinau","BRE",2735
241,194,"Steinfurt","MUN",4887
242,151,"Stendal","MAG",5503
243,72,"Sternberg","FRA",7597
244,92,"(Neu-)Stettin","KOS",5617
245,97,"Stolp","KOS",7039
246,114,"Strehlen","BRE",3133
247,123,"(Gross-)Strehlitz","OPP",3583
248,119,"Striegau","BRE",3667
249,188,"Teklenburg","MUN",5947
250,56,"Teltow","POT",8907
251,52,"Templin","POT",5070
252,12,"Thorn","MAR",6908
253,8,"Tilsit","GUM",7520
254,163,"Torgau","MER",6323
255,125,"Tost","OPP",8044
256,105,"Trebnitz","BRE",6991
257,263,"Trier, Stadtkreis","TRI",2200
258,264,"Trier, Landkreis","TRI",6568
259,23,"Tscharnikow","BRO",7229
260,226,"Ukerath","KOL",4474
261,81,"Usedom","STE",3627
262,225,"Waldbröl","KOL",2625
263,156,"Wanzleben","MAG",5068
264,207,"Warburg","MIN",4732
265,189,"Warendorf","MUN",5185
266,103,"Wartenberg","BRE",4344
267,176,"Weissenfels","MER",7219
268,184,"Weissensee","ERF",3165
269,258,"Wetzlar","KOB",2252
270,204,"Wiedenbrück","MIN",5613
271,223,"Wipperfürth","KOL",3182
272,22,"Wirlitz","BRO",6537
273,165,"Wittenberg","MER",5171
274,222,"Wittgenstein","ARN",2277
275,262,"Wittlich","TRI",3800
276,109,"Wohlau","BRE",6219
277,157,"Wollmirstädt","MAG",4567
278,49,"Wongrowiz","BRO",5249
279,180,"Worbis","ERF",4929
280,178,"Zeiz","MER",4274
281,251,"Zell","KOB",3885
282,186,"Ziegenrück","ERF",1636
283,73,"Züllichau","FRA",5729
284,220,"Bilstein","ARN",6149
285,280,"Blankenheim","AAC",1984
286,1,"Brandenburg","KON",12155
287,258,"Braunfels","KOB",3053
