id1816,kreiskey1800,county,rb,rel1816_pro_luth,rel1816_pro_ref,rel1816_cat,rel1816_men,rel1816_jew_rights,rel1816_jew_norights
1,277,"Achen","AAC",549,1038,41652,2,108,0
2,33,"Adelnau","POS",6569,28,39571,0,0,1232
3,254,"Adenau","KOB",8,0,18883,0,3,13
4,196,"Ahaus","MUN",37,549,33044,0,190,6
5,255,"Ahrweiler","KOB",23,428,24499,0,358,0
6,219,"Altena","ARN",23636,3957,500,0,115,15
7,257,"Altenkirchen","KOB",5356,8355,12439,12,111,52
8,10,"Angerburg","GUM",37350,354,226,0,7,10
9,53,"Angermünde","POT",32244,2337,56,0,249,10
10,32,"Anklam","STE",39436,309,242,0,44,3
11,209,"Arnsberg","ARN",319,46,30851,3,230,59
12,67,"Arnswalde","FRA",20107,12,41,0,183,1
13,160,"Aschersleben","MAG",35023,756,358,1,121,24
14,55,"(Nieder-)Barnim","POT",32623,1032,56,0,126,0
15,54,"(Ober-)Barnim","POT",34810,945,116,0,223,41
16,190,"Beckum","MUN",48,21,29163,0,232,31
17,93,"Belgard","KOS",18611,8,18,0,165,6
18,58,"Belzig","POT",40739,583,39,0,53,1
19,98,"Bergen","STR",28117,1,16,0,0,0
20,230,"Bergheim","KOL",0,240,27376,0,393,0
21,265,"Bernkastel","TRI",10151,187,21763,0,369,157
22,126,"Beuthen","OPP",1048,24,20633,0,662,0
23,203,"Bielefeld","MIN",25730,2646,1557,0,142,17
24,261,"Bitburg","TRI",0,0,27996,0,0,0
25,166,"Bitterfeld","MER",28332,129,16,0,0,0
26,216,"Bochum","ARN",21420,976,8229,0,84,144
27,27,"Bolkenhain","LIE",37437,22,18937,0,12,4
28,45,"Bomst","POS",25362,33,18709,0,0,2645
29,233,"Bonn","KOL",93,100,34877,0,683,0
30,197,"Borken","MUN",249,735,33338,0,341,14
31,208,"Brakel","MIN",221,112,19635,0,382,14
32,19,"Braunsberg","KON",2465,45,36426,6,130,20
33,111,"Breslau","BRE",82025,920,34545,0,4443,70
34,113,"Brieg","BRE",26655,55,3911,0,421,1
35,211,"Brilon","ARN",85,24,17123,0,128,413
36,20,"Bromberg","BRO",25552,63,23353,0,1,3218
37,201,"Bünde","MIN",33949,35,101,0,140,0
38,206,"Büren","MIN",286,120,26900,0,376,36
39,140,"Bunzlau","LIE",30490,17,5520,0,17,0
40,18,"Danzig, Stadtkreis","DAN",32654,945,11232,646,2216,0
41,16,"Danzig, Landkreis","DAN",22037,83,8095,605,0,0
42,259,"Daun","TRI",3,0,17973,0,0,0
43,167,"Delitzsch","MER",34925,14,38,0,0,0
44,80,"Demmin","STE",21414,16,40,0,1,0
45,236,"Dinslaken","DUS",8488,11586,6589,0,208,5
46,215,"Dortmund","ARN",23490,3189,6626,0,326,78
47,91,"Dramburg","KOS",21051,6,35,0,185,8
48,275,"Düren","AAC",151,365,36289,0,380,1
49,240,"Düsseldorf, Stadtkreis","DUS",1242,1194,19936,2,306,0
50,240,"Düsseldorf, Landkreis","DUS",693,6226,21519,4,193,0
51,173,"Eckartsberga","MER",27042,10,19,0,0,7
52,241,"Elberfeld","DUS",18067,17019,5546,9,119,0
53,185,"Erfurt","ERF",21967,36,5475,0,15,43
54,271,"Erkelenz","AAC",19,1504,28298,0,88,0
55,236,"Essen","DUS",4617,12242,16999,0,424,40
56,278,"Eupen","AAC",111,225,17083,0,0,0
57,131,"Falkenberg","OPP",7177,10,8180,0,34,0
58,117,"Frankenstein","BRE",6512,14,26425,0,70,2
59,71,"Frankfurt","FRA",21961,369,310,1,379,4
60,99,"Franzburg","STR",43786,2,172,0,0,101
61,46,"Fraustadt","POS",18426,1774,30665,0,0,4890
62,135,"Freistadt","LIE",29358,30,3918,0,71,0
63,68,"Friedeberg","FRA",26505,297,95,214,250,5
64,94,"Fürstenthum","KOS",45847,307,151,0,232,0
65,150,"Gardelegen","MAG",29513,40,70,0,71,25
66,273,"Geilenkirchen","AAC",19,392,20386,0,125,0
67,237,"Geldern","DUS",124,1425,36122,8,71,0
68,280,"Gemünd","AAC",568,214,15338,0,93,0
69,224,"Gimborn","KOL",12546,0,1200,0,17,0
70,246,"Gladbach","DUS",280,6102,32531,4,272,36
71,28,"Glaz","BRE",1393,130,93456,0,21,0
72,138,"Glogau","LIE",39224,122,13525,0,1201,15
73,48,"Gnesen","BRO",8568,72,39232,0,0,2111
74,249,"St. Goar","KOB",1692,2795,20972,0,323,81
75,146,"Görlitz","LIE",39986,1,180,0,0,6
76,88,"Greifenberg","STE",27885,33,97,0,59,27
77,83,"Greifenhagen","STE",17755,79,36,0,214,3
78,100,"Greifswald","STR",31153,4,24,0,0,14
79,245,"Grevenbroich","DUS",59,4490,23019,2,584,37
80,101,"Grimmen","STR",22580,0,10,0,0,8
81,133,"Grottkau","OPP",979,3,27040,0,8,0
82,134,"Grünberg","LIE",27955,10,7728,0,46,30
83,74,"Guben","FRA",29967,11,1176,0,0,14
84,107,"Guhrau","BRE",16550,33,4958,0,48,4
85,8,"Gumbinnen","GUM",67765,6676,391,0,37,1
86,217,"Hagen","ARN",26349,2179,2854,0,97,8
87,141,"Hainau","LIE",33467,8,1785,0,43,1
88,161,"Halberstadt","MAG",11910,529,1378,0,477,0
89,158,"(Neu-)Haldensleben","MAG",30674,98,450,0,71,0
90,169,"Halle","MER",17837,2196,373,0,73,0
91,202,"Halle","MIN",25473,14,376,0,151,31
92,214,"Hamm","ARN",13693,8504,8089,0,158,0
93,60,"(Ost-)Havelland","POT",32495,587,237,0,92,9
94,61,"(West-)Havelland","POT",37092,240,208,23,153,3
95,181,"Heiligenstadt","ERF",2061,141,27638,0,0,52
96,2,"Heilsberg","KON",3566,34,59386,0,271,25
97,272,"Heinsberg","AAC",18,581,26723,0,210,0
98,201,"Herford","MIN",19618,1248,688,5,92,0
99,29,"Hirschberg","LIE",63071,36,6451,0,85,0
100,208,"Höxter","MIN",2471,171,17107,0,459,11
101,224,"Homburg","KOL",0,9642,0,0,44,0
102,143,"Jauer","LIE",16553,5,6165,0,1,1
103,153,"1. Jerichow","MAG",36247,1027,388,0,26,17
104,152,"2. Jerichow","MAG",31924,198,39,0,20,0
105,21,"Inowrazlaw","BRO",9028,11,30419,0,0,2031
106,9,"Johannsburg","GUM",15910,21,323,0,0,0
107,218,"Iserlohn","ARN",9549,2754,13793,0,269,5
108,274,"Jülich","AAC",119,600,28569,0,477,0
109,57,"Jüterbok","POT",33255,30,36,0,53,8
110,77,"Kalau","FRA",31640,6,81,1,0,3
111,154,"Kalbe","MAG",32774,1140,34,0,109,29
112,87,"Kammin","STE",18418,10,31,0,64,0
113,238,"Kempen","DUS",19,670,39394,3,350,6
114,234,"Kleve","DUS",1232,2274,32936,91,362,0
115,248,"Koblenz","KOB",1839,276,36865,0,431,287
116,252,"Kochem","KOB",1,0,22120,0,272,0
117,229,"Köln","KOL",0,61,29271,0,394,0
118,65,"Königsberg","FRA",34465,277,90,0,427,10
119,195,"Koesfeld","MUN",124,18,35030,0,277,9
120,14,"Konitz","MAR",24798,42,33360,463,1303,50
121,128,"Kosel","OPP",564,1,16184,202,185,0
122,41,"Kosten","POS",6591,41,30667,0,0,2013
123,78,"Kottbus","FRA",32592,146,153,0,11,10
124,239,"Krefeld","DUS",800,5401,28873,684,452,0
125,120,"Kreutzburg","OPP",14217,55,3852,0,361,4
126,250,"Kreutznach","KOB",7338,8282,14005,21,1039,0
127,47,"Kröben","POS",16912,514,31739,4,1,2038
128,23,"(Deutsch)Krone","MAR",18086,3,9709,0,2539,77
129,75,"Krossen","FRA",32567,181,133,0,24,5
130,33,"Krotoschin","POS",10436,20,43118,8,0,3646
131,65,"Küstrin","FRA",29051,189,54,0,102,0
132,12,"Kulm","MAR",15787,60,23567,691,0,264
133,69,"Landsberg","FRA",37827,146,155,0,345,0
134,183,"Langensalza","ERF",24713,3,14,0,0,0
135,145,"Lauban","LIE",37425,3,3847,0,0,5
136,35,"Lauenburg","KOS",20811,78,2200,0,191,6
137,70,"Lebus","FRA",26927,73,44,0,58,29
138,231,"Lechenich","KOL",0,0,22681,0,293,0
139,242,"Lennep","DUS",24775,11961,4916,3,14,0
140,129,"Leobschütz","OPP",3017,7,59957,0,340,0
141,162,"Liebenwerda","MER",25650,0,38,0,0,0
142,142,"Liegnitz","LIE",31418,73,3716,0,83,0
143,212,"Lippstadt","ARN",1213,211,19064,0,353,106
144,144,"Löwenberg","LIE",43856,22,15094,0,42,0
145,124,"Lublinitz","OPP",835,25,22606,0,565,0
146,76,"Luckau","FRA",35107,4,76,0,0,2
147,34,"Lübben","FRA",34045,18,67,0,127,83
148,139,"Lüben","LIE",18322,7,820,0,11,1
149,191,"Lüdingshausen","MUN",72,16,29791,0,188,24
150,155,"Magdeburg","MAG",31832,2149,1581,0,271,0
151,253,"Maien","KOB",39,23,29003,0,529,0
152,281,"Malmedy","AAC",4,2,12913,0,0,0
153,171,"Mansfeld, Gebirgskreis","MER",27909,118,56,0,12,0
154,170,"Mansfeld, Seekreis","MER",31779,167,34,0,41,0
155,11,"Marienburg","DAN",47899,374,18826,7885,410,0
156,17,"Marienwerder","MAR",42082,283,9317,584,363,21
157,38,"Memel","KON",21368,375,633,27,31,0
158,175,"Merseburg","MER",36829,23,47,0,13,0
159,267,"Merzig","TRI",6,4,21479,0,204,0
160,25,"Meseritz","POS",19401,56,18454,5,1,2854
161,106,"Militsch","BRE",25910,10,7617,0,215,1
162,199,"Minden","MIN",39236,734,980,19,188,43
163,3,"Mohrungen","KON",64395,199,2439,127,133,12
164,279,"Montjoie","AAC",599,517,15868,0,0,0
165,182,"Mühlhausen","ERF",22074,108,11157,0,80,4
166,227,"Mühlheim","KOL",1420,599,25785,0,82,0
167,192,"Münster","MUN",47,2285,26731,0,87,54
168,116,"Münsterberg","BRE",4310,4,14956,0,140,0
169,102,"Namslau","BRE",12219,48,8888,0,338,0
170,86,"Naugard","STE",12816,7,23,0,55,1
171,177,"Naumburg","MER",9964,20,62,0,0,0
172,4,"Neidenburg","KON",50852,33,5148,0,57,8
173,132,"Neisse","OPP",1253,21,57807,0,104,0
174,110,"Neumarkt","BRE",16904,2,15602,0,12,2
175,244,"Neuss","DUS",110,113,26838,0,336,0
176,130,"Neustadt","OPP",3353,6,40640,0,1263,0
177,256,"Neuwied","KOB",874,12739,12636,245,480,20
178,8,"Niederung","GUM",25110,39,171,200,0,0
179,115,"Nimptsch","BRE",17893,4,4099,0,1,0
180,179,"Nordhausen","ERF",37036,22,616,0,325,2
181,42,"Obernik","POS",15016,25,28361,0,0,4355
182,104,"Oels","BRE",41105,11,4433,0,301,4
183,112,"Ohlau","BRE",16642,6,13610,0,60,0
184,9,"Oletzko","GUM",40276,359,1777,0,19,0
185,122,"Oppeln","OPP",5499,1120,43136,0,473,0
186,159,"Oschersleben","MAG",30202,34,1151,0,115,13
187,148,"Osterburg","MAG",27908,20,24,0,144,0
188,37,"Osterwiek","MAG",34390,36,143,0,132,0
189,270,"Ottweiler","TRI",5459,241,12715,0,357,0
190,205,"Paderborn","MIN",405,80,24137,0,252,0
191,84,"Piritz","STE",30278,55,41,0,85,5
192,31,"Pless","OPP",4897,519,43983,0,1187,0
193,24,"Posen","POS",8883,240,50473,33,3,6287
194,51,"Prenzlow","POT",32965,2010,236,0,358,0
195,63,"(Ost-)Priegnitz","POT",40531,40,51,0,99,0
196,64,"(West-)Priegnitz","POT",39906,52,39,0,53,7
197,260,"Prüm","TRI",0,4,21083,0,0,0
198,174,"Querfurt","MER",32902,6,31,0,0,0
199,200,"Rahden","MIN",29109,25,106,0,176,1
200,82,"Randow","STE",61003,1151,1028,0,105,20
201,5,"Rastenburg","KON",55648,121,1078,3,121,0
202,127,"Ratibor","OPP",1011,48,42901,0,873,0
203,198,"Recklinghausen","MUN",45,11,37518,0,37,40
204,235,"Rees","DUS",3997,5574,22277,35,371,0
205,89,"Regenwalde","STE",16909,4,18,0,179,1
206,118,"Reichenbach","BRE",27541,36,9167,0,4,0
207,232,"Rheinbach","KOL",0,106,21601,0,367,0
208,237,"Rheinberg","DUS",427,14404,20695,1,360,43
209,121,"Rosenberg","OPP",1998,11,18115,0,455,1
210,147,"Rothenburg","LIE",31758,2,85,0,0,0
211,96,"Rummelsburg","KOS",12133,1,59,0,54,0
212,62,"Ruppin","POT",45052,2793,186,39,48,5
213,168,"Saalkreis","MER",27494,463,27,0,11,0
214,269,"Saarbrücken","TRI",11810,940,10742,11,40,40
215,266,"Saarburg","TRI",14,3,16977,0,121,0
216,268,"Saarlouis","TRI",83,1,31286,5,626,0
217,85,"Saazig","STE",41241,381,364,0,318,1
218,136,"Sagan","LIE",27726,10,6645,0,11,37
219,149,"Salzwedel","MAG",27924,37,35,0,62,57
220,172,"Sangerhausen","MER",33342,29,40,0,0,3
