id1819,kreiskey1800,county,rb,fac1819_brick,fac1819_lime,fac1819_glass,mill1819_water,mill1819_saw_one,mill1819_saw_more
1,277,"Achen","AAC",5,10,2,26,0,0
2,33,"Adelnau","POS",11,6,0,26,1,0
3,254,"Adenau","KOB",0,1,0,71,0,0
4,196,"Ahaus","MUN",11,15,0,20,0,0
5,255,"Ahrweiler","KOB",0,0,0,51,0,0
6,2,"Allenstein","KON",5,0,1,31,14,4
7,219,"Altena","ARN",3,13,0,41,0,0
8,257,"Altenkirchen","KOB",1,0,0,41,0,0
9,10,"Angerburg","GUM",4,26,0,5,1,0
10,53,"Angermünde","POT",13,2,0,28,11,0
11,32,"Anklam","STE",3,0,0,2,0,0
12,209,"Arnsberg","ARN",12,4,0,26,19,0
13,67,"Arnswalde","FRA",7,3,3,29,14,0
14,160,"Aschersleben","MAG",8,5,0,57,1,0
15,55,"(Nieder-)Barnim","POT",8,0,1,30,16,0
16,54,"(Ober-)Barnim","POT",18,0,0,36,13,0
17,190,"Beckum","MUN",8,3,0,22,2,0
18,93,"Belgard","KOS",8,0,1,38,8,0
19,58,"Belzig","POT",18,1,0,43,20,0
20,15,"Berent","DAN",2,6,2,28,12,0
21,98,"Bergen","STR",8,2,0,6,0,0
22,230,"Bergheim","KOL",3,0,0,23,0,0
23,265,"Bernkastel","TRI",1,0,0,125,19,0
24,126,"Beuthen","OPP",6,12,1,67,10,0
25,203,"Bielefeld","MIN",5,0,0,39,0,0
26,25,"Birnbaum","POS",11,1,0,46,6,0
27,261,"Bitburg","TRI",2,28,0,85,17,0
28,166,"Bitterfeld","MER",8,0,0,39,26,1
29,216,"Bochum","ARN",9,0,0,56,0,0
30,27,"Bolkenhain","LIE",6,5,0,62,11,0
31,45,"Bomst","POS",10,0,0,12,0,0
32,233,"Bonn","KOL",11,0,0,30,0,0
33,197,"Borken","MUN",12,2,0,19,0,0
34,208,"Brakel","MIN",3,1,3,47,13,0
