id1819,kreiskey1800,county,rb,fac1819_looms_silk_looms,fac1819_looms_cotton_looms,fac1819_looms_wool_looms,fac1819_looms_linen_looms,fac1819_looms_hosiery_looms,fac1819_looms_band_looms,fac1819_looms_se_linen_looms,fac1819_looms_se_shag_looms,fac1819_looms_se_others_looms
1,277,"Achen","AAC",8,0,450,26,0,58,15,14,2
2,33,"Adelnau","POS",0,0,38,5,0,0,20,0,0
3,254,"Adenau","KOB",0,0,94,0,0,0,67,0,0
4,196,"Ahaus","MUN",0,0,15,37,0,0,1937,37,29
5,255,"Ahrweiler","KOB",0,1,9,66,7,0,27,3,0
6,2,"Allenstein","KON",0,0,4,0,0,0,403,0,0
7,219,"Altena","ARN",0,0,13,22,16,0,84,0,0
8,257,"Altenkirchen","KOB",0,1,1,32,1,0,470,0,0
9,10,"Angerburg","GUM",0,0,10,5,1,0,1436,0,0
10,53,"Angermünde","POT",0,0,4,360,2,0,2,0,0
11,32,"Anklam","STE",0,0,3,148,3,0,64,1,0
12,209,"Arnsberg","ARN",0,0,5,72,2,0,99,12,0
13,67,"Arnswalde","FRA",0,0,79,30,0,0,1430,0,0
14,160,"Aschersleben","MAG",0,0,246,141,10,1,325,0,0
15,55,"(Nieder-)Barnim","POT",3,82,24,239,1,0,0,0,0
16,54,"(Ober-)Barnim","POT",0,29,148,194,5,21,53,1,1
17,190,"Beckum","MUN",0,1,0,253,1,0,73,0,0
18,93,"Belgard","KOS",0,0,33,12,0,0,1369,0,0
19,58,"Belzig","POT",0,0,52,360,4,0,193,8,0
20,15,"Berent","DAN",0,0,10,15,0,0,4,0,0
21,98,"Bergen","STR",0,0,6,96,0,0,1035,0,0
22,230,"Bergheim","KOL",0,23,1,150,0,0,6,0,0
23,265,"Bernkastel","TRI",0,0,0,41,16,0,114,0,0
24,126,"Beuthen","OPP",0,0,17,52,0,0,9,3,0
25,203,"Bielefeld","MIN",0,12,6,623,0,0,447,0,0
26,25,"Birnbaum","POS",0,0,74,14,0,0,79,2,0
27,261,"Bitburg","TRI",0,0,49,34,1,0,599,0,0
28,166,"Bitterfeld","MER",0,2,63,124,0,0,120,0,0
29,216,"Bochum","ARN",15,7,54,195,10,1,79,0,0
30,27,"Bolkenhain","LIE",0,1,12,1024,1,5,417,0,3
31,45,"Bomst","POS",0,0,56,14,0,0,1,1,0
32,233,"Bonn","KOL",6,78,1,60,17,0,91,0,0
33,197,"Borken","MUN",0,358,17,162,8,0,1050,7,0
34,208,"Brakel","MIN",0,0,1,2,0,0,127,2,0
35,258,"Braunfels","KOB",0,0,5,102,34,0,374,0,11
36,19,"Braunsberg","KON",0,0,55,7,0,0,1161,3,0
37,111,"Breslau","BRE",3,14,75,318,38,10,47,0,1
38,113,"Brieg","BRE",0,4,66,54,11,11,262,0,0
39,211,"Brilon","ARN",0,0,29,65,0,0,207,2,0
40,20,"Bromberg","BRO",0,0,8,18,1,0,35,2,0
41,201,"Bünde","MIN",0,0,0,54,0,0,455,0,0
42,206,"Büren","MIN",0,0,1,41,0,0,312,0,0
43,24,"Buk","POS",0,0,9,37,0,0,38,0,0
44,140,"Bunzlau","LIE",0,1,46,64,10,5,21,15,0
45,23,"Chodzesen","BRO",0,0,50,4,1,0,513,15,0
46,18,"Danzig, Stadtkreis","DAN",0,25,59,31,13,0,0,0,0
47,16,"Danzig, Landkreis","DAN",0,0,0,29,0,0,125,0,1
48,8,"Darkehmen","GUM",0,0,10,18,1,0,997,0,0
49,259,"Daun","TRI",0,0,2,0,0,0,198,0,0
50,167,"Delitzsch","MER",3,44,19,46,10,7,186,0,0
51,80,"Demmin","STE",0,0,9,184,1,0,146,2,0
52,236,"Dinslaken","DUS",3,91,22,60,4,0,36,0,2
53,215,"Dortmund","ARN",0,0,19,76,16,0,284,0,0
54,91,"Dramburg","KOS",0,0,257,3,0,0,647,1,0
55,275,"Düren","AAC",0,0,20,79,4,0,60,3,0
56,240,"Düsseldorf, Stadtkreis","DUS",0,0,0,0,4,0,0,0,0
57,240,"Düsseldorf, Landkreis","DUS",70,47,19,37,5,21,68,6,1
58,173,"Eckartsberga","MER",0,3,2,37,8,1,735,0,0
59,1,"(Preussisch) Eilau","KON",0,0,40,0,0,0,2212,0,0
60,241,"Elberfeld","DUS",1357,794,3,50,17,7498,10,0,80
61,11,"Elbing","DAN",0,0,4,46,1,1,660,0,2
62,185,"Erfurt","ERF",2,175,69,97,53,960,0,0,0
63,271,"Erkelenz","AAC",1,15,2,30,2,20,196,3,4
64,236,"Essen","DUS",18,360,111,128,10,0,37,3,3
65,278,"Eupen","AAC",0,11,301,4,0,0,0,1,0
66,131,"Falkenberg","OPP",0,0,0,97,4,1,38,0,0
67,6,"Fischhausen","KON",0,0,0,0,0,0,953,0,0
68,22,"Flatow","MAR",0,0,25,2,0,0,46,0,0
69,117,"Frankenstein","BRE",0,44,14,227,28,0,49,0,3
70,71,"Frankfurt","FRA",0,0,0,0,0,0,27,0,0
71,99,"Franzburg","STR",0,0,9,236,1,0,43,0,0
72,46,"Fraustadt","POS",0,31,108,154,1,2,69,0,0
73,135,"Freistadt","LIE",0,0,59,135,0,6,116,9,3
74,68,"Friedeberg","FRA",0,0,82,30,1,0,1097,0,0
75,1,"Friedland","KON",0,0,14,2,0,0,1655,0,0
76,94,"Fürstenthum","KOS",0,0,16,12,0,1,2278,0,0
77,150,"Gardelegen","MAG",0,0,25,19,4,0,364,0,0
78,273,"Geilenkirchen","AAC",0,0,3,27,0,0,46,2,0
79,237,"Geldern","DUS",53,10,21,10,5,5,189,3,0
80,280,"Gemünd","AAC",0,0,23,0,0,0,28,4,0
81,5,"Gerdauen","KON",0,0,0,0,0,0,0,8,1490
82,224,"Gimborn","KOL",0,32,9,12,75,180,252,1,0
83,246,"Gladbach","DUS",285,1900,0,291,15,107,186,0,30
