id1819,kreiskey1800,county,rb,trans1819_ships,trans1819_ships_capacity,buil1819_inns_cargo
1,277,"Achen","AAC",0,0,119
2,33,"Adelnau","POS",0,0,75
3,254,"Adenau","KOB",0,0,0
4,196,"Ahaus","MUN",0,0,13
5,255,"Ahrweiler","KOB",21,656,33
6,2,"Allenstein","KON",0,0,38
7,219,"Altena","ARN",0,0,75
8,257,"Altenkirchen","KOB",0,0,78
9,10,"Angerburg","GUM",0,0,71
10,53,"Angermünde","POT",39,332,106
11,32,"Anklam","STE",27,644,40
12,209,"Arnsberg","ARN",0,0,34
13,67,"Arnswalde","FRA",0,0,42
14,160,"Aschersleben","MAG",0,0,44
15,55,"(Nieder-)Barnim","POT",210,3144,125
16,54,"(Ober-)Barnim","POT",70,770,173
17,190,"Beckum","MUN",2,33,38
18,93,"Belgard","KOS",0,0,29
19,58,"Belzig","POT",63,922,103
20,15,"Berent","DAN",0,0,42
21,98,"Bergen","STR",56,487,40
22,230,"Bergheim","KOL",0,0,42
23,265,"Bernkastel","TRI",21,550,39
24,126,"Beuthen","OPP",0,0,111
25,203,"Bielefeld","MIN",0,0,15
26,25,"Birnbaum","POS",15,105,49
27,261,"Bitburg","TRI",9,12,85
28,166,"Bitterfeld","MER",0,0,60
29,216,"Bochum","ARN",20,500,39
30,27,"Bolkenhain","LIE",0,0,55
31,45,"Bomst","POS",0,0,124
32,233,"Bonn","KOL",18,345,62
33,197,"Borken","MUN",0,0,95
34,208,"Brakel","MIN",0,0,28
35,258,"Braunfels","KOB",0,0,70
36,19,"Braunsberg","KON",13,251,52
37,111,"Breslau","BRE",187,1659,153
38,113,"Brieg","BRE",38,433,55
39,211,"Brilon","ARN",0,0,27
40,20,"Bromberg","BRO",51,610,79
41,201,"Bünde","MIN",0,0,8
42,206,"Büren","MIN",0,0,19
43,24,"Buk","POS",0,0,40
44,140,"Bunzlau","LIE",0,0,61
45,23,"Chodzesen","BRO",2,24,31
46,18,"Danzig, Stadtkreis","DAN",209,22768,24
47,16,"Danzig, Landkreis","DAN",20,202,120
48,8,"Darkehmen","GUM",0,0,35
49,259,"Daun","TRI",0,0,20
50,167,"Delitzsch","MER",0,0,80
51,80,"Demmin","STE",29,524,36
52,236,"Dinslaken","DUS",19,1480,48
53,215,"Dortmund","ARN",34,720,42
54,91,"Dramburg","KOS",0,0,28
55,275,"Düren","AAC",0,0,54
56,240,"Düsseldorf, Stadtkreis","DUS",12,175,16
57,240,"Düsseldorf, Landkreis","DUS",1,6,41
