id1819,kreiskey1800,county,rb,occ1819_servant_m_farm,occ1819_servant_f_farm
1,277,"Achen","AAC",1798,1555
2,33,"Adelnau","POS",2275,1924
3,254,"Adenau","KOB",138,239
4,196,"Ahaus","MUN",1145,1627
5,255,"Ahrweiler","KOB",680,953
6,2,"Allenstein","KON",1198,935
7,219,"Altena","ARN",1055,1333
8,257,"Altenkirchen","KOB",701,973
9,10,"Angerburg","GUM",1088,1084
10,53,"Angermünde","POT",1799,1455
11,32,"Anklam","STE",832,935
12,209,"Arnsberg","ARN",1092,1429
13,67,"Arnswalde","FRA",1109,802
14,160,"Aschersleben","MAG",929,985
15,55,"(Nieder-)Barnim","POT",1478,1575
16,54,"(Ober-)Barnim","POT",1642,1473
17,190,"Beckum","MUN",2317,2531
18,93,"Belgard","KOS",1255,1124
19,58,"Belzig","POT",2205,2116
20,15,"Berent","DAN",849,688
21,98,"Bergen","STR",3333,3456
22,230,"Bergheim","KOL",1478,1365
23,265,"Bernkastel","TRI",126,332
24,126,"Beuthen","OPP",708,863
25,203,"Bielefeld","MIN",1017,1176
26,25,"Birnbaum","POS",874,664
27,261,"Bitburg","TRI",774,795
28,166,"Bitterfeld","MER",1371,1675
29,216,"Bochum","ARN",1033,1528
30,27,"Bolkenhain","LIE",1282,1423
31,45,"Bomst","POS",1481,1276
32,233,"Bonn","KOL",1000,1572
33,197,"Borken","MUN",1439,1998
34,208,"Brakel","MIN",735,721
35,258,"Braunfels","KOB",182,369
36,19,"Braunsberg","KON",1955,2022
37,111,"Breslau","BRE",4363,3751
38,113,"Brieg","BRE",1688,1671
39,211,"Brilon","ARN",667,886
40,20,"Bromberg","BRO",1784,2111
41,201,"Bünde","MIN",1839,2268
42,206,"Büren","MIN",1561,1440
43,24,"Buk","POS",1811,972
44,140,"Bunzlau","LIE",1427,1496
45,23,"Chodzesen","BRO",1240,1341
46,18,"Danzig, Stadtkreis","DAN",606,2870
47,16,"Danzig, Landkreis","DAN",2626,1968
48,8,"Darkehmen","GUM",1461,930
49,259,"Daun","TRI",262,530
50,167,"Delitzsch","MER",1642,2424
51,80,"Demmin","STE",1634,1463
52,236,"Dinslaken","DUS",1108,1866
53,215,"Dortmund","ARN",1465,2192
54,91,"Dramburg","KOS",775,629
55,275,"Düren","AAC",1756,2033
56,240,"Düsseldorf, Stadtkreis","DUS",383,1143
57,240,"Düsseldorf, Landkreis","DUS",1535,1738
58,173,"Eckartsberga","MER",734,1103
59,1,"(Preussisch) Eilau","KON",2076,1996
60,241,"Elberfeld","DUS",103,2553
61,11,"Elbing","DAN",1371,1332
62,185,"Erfurt","ERF",503,1258
63,271,"Erkelenz","AAC",1539,1631
64,236,"Essen","DUS",2019,2280
65,278,"Eupen","AAC",177,296
66,131,"Falkenberg","OPP",832,755
67,6,"Fischhausen","KON",1552,1443
68,22,"Flatow","MAR",1333,803
69,117,"Frankenstein","BRE",1619,1998
70,71,"Frankfurt","FRA",445,610
71,99,"Franzburg","STR",1898,1917
72,46,"Fraustadt","POS",2658,1829
73,135,"Freistadt","LIE",2329,2195
74,68,"Friedeberg","FRA",842,838
75,1,"Friedland","KON",1419,1927
76,94,"Fürstenthum","KOS",2731,2259
77,150,"Gardelegen","MAG",1440,1375
78,273,"Geilenkirchen","AAC",776,793
79,237,"Geldern","DUS",2275,2658
80,280,"Gemünd","AAC",384,756
81,5,"Gerdauen","KON",1429,1237
82,224,"Gimborn","KOL",220,446
83,246,"Gladbach","DUS",1681,1882
84,28,"Glaz","BRE",1715,2652
85,138,"Glogau","LIE",3175,2826
86,48,"Gnesen","BRO",2661,3066
87,249,"St. Goar","KOB",331,587
88,146,"Görlitz","LIE",1911,2188
89,8,"Goldap","GUM",821,647
90,12,"Graudenz","MAR",2271,2369
91,88,"Greifenberg","STE",2169,1896
92,83,"Greifenhagen","STE",1395,1243
93,100,"Greifswald","STR",1562,1424
94,245,"Grevenbroich","DUS",1522,1646
95,101,"Grimmen","STR",1683,1335
96,133,"Grottkau","OPP",1458,1600
97,134,"Grünberg","LIE",1403,1230
98,74,"Guben","FRA",1221,1211
99,107,"Guhrau","BRE",2579,2591
100,8,"Gumbinnen","GUM",1506,1216
101,28,"Habelschwerdt","BRE",1285,1553
102,217,"Hagen","ARN",832,1399
103,141,"Hainau","LIE",2090,2056
104,161,"Halberstadt","MAG",469,788
105,158,"(Neu-)Haldensleben","MAG",1657,1616
106,169,"Halle","MER",196,637
107,202,"Halle","MIN",846,1123
108,214,"Hamm","ARN",1524,2210
109,60,"(Ost-)Havelland","POT",2299,2164
110,61,"(West-)Havelland","POT",2304,2088
111,8,"Heidekrug","GUM",654,750
112,181,"Heiligenstadt","ERF",349,586
113,2,"Heilsberg","KON",1540,1353
114,272,"Heinsberg","AAC",719,1031
115,201,"Herford","MIN",648,1014
116,29,"Hirschberg","LIE",2021,2075
117,208,"Höxter","MIN",460,526
118,3,"(Preussisch) Holland","KON",1544,1344
119,224,"Homburg","KOL",141,234
120,143,"Jauer","LIE",1348,1414
121,153,"1. Jerichow","MAG",2011,2138
122,152,"2. Jerichow","MAG",1812,1769
123,21,"Inowrazlaw","BRO",2588,1362
124,8,"Insterburg","GUM",1757,1692
125,9,"Johannsburg","GUM",969,566
126,218,"Iserlohn","ARN",908,1393
127,274,"Jülich","AAC",1589,1498
128,57,"Jüterbok","POT",1521,1409
129,77,"Kalau","FRA",1361,1395
130,154,"Kalbe","MAG",1205,1346
131,87,"Kammin","STE",1589,1218
132,16,"Karthaus","DAN",757,629
133,238,"Kempen","DUS",3170,3924
134,234,"Kleve","DUS",2563,2621
135,248,"Koblenz","KOB",560,1651
136,252,"Kochem","KOB",293,551
137,229,"Köln","KOL",2056,2176
138,65,"Königsberg","FRA",1889,1602
139,6,"Königsberg, Stadtkreis","KON",650,882
140,6,"Königsberg, Landkreis","KON",2251,2034
141,195,"Koesfeld","MUN",2018,2387
142,14,"Konitz","MAR",1502,1164
143,128,"Kosel","OPP",418,819
144,41,"Kosten","POS",953,855
145,78,"Kottbus","FRA",1310,1205
146,239,"Krefeld","DUS",1372,1814
147,120,"Kreutzburg","OPP",1110,1213
148,250,"Kreutznach","KOB",443,1258
149,47,"Kröben","POS",2189,2444
150,23,"(Deutsch)Krone","MAR",1245,956
151,75,"Krossen","FRA",887,907
152,33,"Krotoschin","POS",2690,1646
153,65,"Küstrin","FRA",1384,1092
154,12,"Kulm","MAR",1367,725
155,7,"Labiau","KON",1311,1379
156,69,"Landsberg","FRA",974,937
157,27,"Landshut","LIE",1043,1023
158,183,"Langensalza","ERF",389,700
159,145,"Lauban","LIE",1363,1630
160,35,"Lauenburg","KOS",1369,1268
161,70,"Lebus","FRA",1243,1043
162,231,"Lechenich","KOL",882,1087
163,242,"Lennep","DUS",724,1326
164,129,"Leobschütz","OPP",1429,1525
165,162,"Liebenwerda","MER",713,966
166,142,"Liegnitz","LIE",2649,2801
167,9,"Lik","GUM",1055,718
168,256,"Linz","KOB",119,360
169,212,"Lippstadt","ARN",1903,1052
170,13,"Löbau","MAR",1114,948
171,10,"Lötzen","GUM",771,630
172,144,"Löwenberg","LIE",1558,1613
173,124,"Lublinitz","OPP",783,1013
174,76,"Luckau","FRA",1103,1133
175,34,"Lübben","FRA",1118,1088
