id1819,kreiskey1800,county,rb,occ1819_servant_m_conv,occ1819_servant_f_conv
1,277,"Achen","AAC",36,121
2,33,"Adelnau","POS",128,126
3,254,"Adenau","KOB",0,6
4,196,"Ahaus","MUN",1,10
5,255,"Ahrweiler","KOB",3,41
6,2,"Allenstein","KON",11,97
7,219,"Altena","ARN",15,96
8,257,"Altenkirchen","KOB",1,0
9,10,"Angerburg","GUM",28,22
10,53,"Angermünde","POT",169,246
11,32,"Anklam","STE",45,115
12,209,"Arnsberg","ARN",32,35
13,67,"Arnswalde","FRA",64,48
14,160,"Aschersleben","MAG",71,82
15,55,"(Nieder-)Barnim","POT",48,66
16,54,"(Ober-)Barnim","POT",87,269
17,190,"Beckum","MUN",13,82
18,93,"Belgard","KOS",32,34
19,58,"Belzig","POT",58,107
20,15,"Berent","DAN",4,39
21,98,"Bergen","STR",192,267
22,230,"Bergheim","KOL",29,27
23,265,"Bernkastel","TRI",1,7
24,126,"Beuthen","OPP",27,68
25,203,"Bielefeld","MIN",12,13
26,25,"Birnbaum","POS",72,107
27,261,"Bitburg","TRI",0,71
28,166,"Bitterfeld","MER",93,165
29,216,"Bochum","ARN",17,20
30,27,"Bolkenhain","LIE",38,51
31,45,"Bomst","POS",70,44
32,233,"Bonn","KOL",51,376
33,197,"Borken","MUN",32,32
34,208,"Brakel","MIN",14,26
35,258,"Braunfels","KOB",14,14
36,19,"Braunsberg","KON",40,245
37,111,"Breslau","BRE",1259,5173
38,113,"Brieg","BRE",11,620
39,211,"Brilon","ARN",10,35
40,20,"Bromberg","BRO",62,143
41,201,"Bünde","MIN",12,81
42,206,"Büren","MIN",24,72
43,24,"Buk","POS",87,87
44,140,"Bunzlau","LIE",50,53
45,23,"Chodzesen","BRO",39,38
46,18,"Danzig, Stadtkreis","DAN",172,874
47,16,"Danzig, Landkreis","DAN",81,100
48,8,"Darkehmen","GUM",39,62
49,259,"Daun","TRI",2,7
50,167,"Delitzsch","MER",58,86
51,80,"Demmin","STE",56,144
52,236,"Dinslaken","DUS",35,54
53,215,"Dortmund","ARN",52,149
54,91,"Dramburg","KOS",43,39
55,275,"Düren","AAC",46,85
56,240,"Düsseldorf, Stadtkreis","DUS",132,208
57,240,"Düsseldorf, Landkreis","DUS",41,44
58,173,"Eckartsberga","MER",37,67
59,1,"(Preussisch) Eilau","KON",65,90
60,241,"Elberfeld","DUS",59,20
61,11,"Elbing","DAN",70,1108
62,185,"Erfurt","ERF",60,166
63,271,"Erkelenz","AAC",9,12
64,236,"Essen","DUS",23,48
65,278,"Eupen","AAC",16,128
66,131,"Falkenberg","OPP",63,43
67,6,"Fischhausen","KON",27,83
68,22,"Flatow","MAR",36,52
69,117,"Frankenstein","BRE",52,357
70,71,"Frankfurt","FRA",128,561
71,99,"Franzburg","STR",209,626
72,46,"Fraustadt","POS",204,808
73,135,"Freistadt","LIE",104,162
74,68,"Friedeberg","FRA",75,114
75,1,"Friedland","KON",106,213
76,94,"Fürstenthum","KOS",91,813
77,150,"Gardelegen","MAG",36,87
78,273,"Geilenkirchen","AAC",14,63
79,237,"Geldern","DUS",30,40
80,280,"Gemünd","AAC",9,14
81,5,"Gerdauen","KON",34,41
82,224,"Gimborn","KOL",1,1
83,246,"Gladbach","DUS",24,75
84,28,"Glaz","BRE",48,392
85,138,"Glogau","LIE",257,778
86,48,"Gnesen","BRO",254,800
87,249,"St. Goar","KOB",2,28
88,146,"Görlitz","LIE",141,397
89,8,"Goldap","GUM",10,31
90,12,"Graudenz","MAR",85,205
91,88,"Greifenberg","STE",70,89
92,83,"Greifenhagen","STE",34,34
93,100,"Greifswald","STR",104,715
94,245,"Grevenbroich","DUS",17,37
95,101,"Grimmen","STR",51,131
96,133,"Grottkau","OPP",98,135
97,134,"Grünberg","LIE",91,194
98,74,"Guben","FRA",60,83
99,107,"Guhrau","BRE",100,134
100,8,"Gumbinnen","GUM",38,136
101,28,"Habelschwerdt","BRE",13,30
102,217,"Hagen","ARN",28,115
103,141,"Hainau","LIE",67,184
104,161,"Halberstadt","MAG",40,108
105,158,"(Neu-)Haldensleben","MAG",93,238
106,169,"Halle","MER",72,232
107,202,"Halle","MIN",15,15
108,214,"Hamm","ARN",39,43
109,60,"(Ost-)Havelland","POT",88,270
110,61,"(West-)Havelland","POT",121,206
111,8,"Heidekrug","GUM",1,30
112,181,"Heiligenstadt","ERF",39,131
113,2,"Heilsberg","KON",18,113
114,272,"Heinsberg","AAC",10,18
115,201,"Herford","MIN",2,19
116,29,"Hirschberg","LIE",67,389
117,208,"Höxter","MIN",54,92
118,3,"(Preussisch) Holland","KON",80,96
119,224,"Homburg","KOL",0,0
120,143,"Jauer","LIE",71,70
121,153,"1. Jerichow","MAG",44,202
122,152,"2. Jerichow","MAG",37,65
123,21,"Inowrazlaw","BRO",131,158
124,8,"Insterburg","GUM",77,334
125,9,"Johannsburg","GUM",54,57
126,218,"Iserlohn","ARN",28,39
127,274,"Jülich","AAC",18,167
128,57,"Jüterbok","POT",35,95
129,77,"Kalau","FRA",107,132
130,154,"Kalbe","MAG",58,279
131,87,"Kammin","STE",45,54
132,16,"Karthaus","DAN",12,28
133,238,"Kempen","DUS",0,62
134,234,"Kleve","DUS",68,370
135,248,"Koblenz","KOB",45,271
136,252,"Kochem","KOB",0,5
137,229,"Köln","KOL",4,78
138,65,"Königsberg","FRA",93,136
139,6,"Königsberg, Stadtkreis","KON",367,4603
140,6,"Königsberg, Landkreis","KON",67,109
141,195,"Koesfeld","MUN",31,37
142,14,"Konitz","MAR",46,128
143,128,"Kosel","OPP",27,108
144,41,"Kosten","POS",104,234
145,78,"Kottbus","FRA",54,168
146,239,"Krefeld","DUS",59,139
147,120,"Kreutzburg","OPP",67,119
148,250,"Kreutznach","KOB",6,165
149,47,"Kröben","POS",157,386
150,23,"(Deutsch)Krone","MAR",36,95
151,75,"Krossen","FRA",62,120
152,33,"Krotoschin","POS",173,112
153,65,"Küstrin","FRA",28,200
154,12,"Kulm","MAR",77,463
155,7,"Labiau","KON",49,63
156,69,"Landsberg","FRA",61,519
157,27,"Landshut","LIE",57,251
158,183,"Langensalza","ERF",24,34
159,145,"Lauban","LIE",75,218
160,35,"Lauenburg","KOS",14,49
161,70,"Lebus","FRA",102,163
162,231,"Lechenich","KOL",4,5
163,242,"Lennep","DUS",15,95
164,129,"Leobschütz","OPP",15,31
165,162,"Liebenwerda","MER",47,45
166,142,"Liegnitz","LIE",166,601
167,9,"Lik","GUM",12,43
168,256,"Linz","KOB",9,35
169,212,"Lippstadt","ARN",42,59
170,13,"Löbau","MAR",40,58
171,10,"Lötzen","GUM",16,69
172,144,"Löwenberg","LIE",62,279
173,124,"Lublinitz","OPP",38,48
174,76,"Luckau","FRA",68,81
175,34,"Lübben","FRA",64,114
176,139,"Lüben","LIE",72,62
177,191,"Lüdingshausen","MUN",20,42
178,155,"Magdeburg","MAG",170,1188
179,253,"Maien","KOB",4,44
180,281,"Malmedy","AAC",12,142
181,171,"Mansfeld, Gebirgskreis","MER",29,160
182,170,"Mansfeld, Seekreis","MER",148,165
183,11,"Marienburg","DAN",49,417
184,17,"Marienwerder","MAR",130,339
185,38,"Memel","KON",84,229
186,175,"Merseburg","MER",185,307
187,267,"Merzig","TRI",6,11
188,210,"Meschede","ARN",21,27
189,25,"Meseritz","POS",99,193
190,241,"Mettmann","DUS",2,4
191,106,"Militsch","BRE",97,376
192,199,"Minden","MIN",59,146
193,21,"Mogilno","BRO",74,81
194,3,"Mohrungen","KON",48,98
195,279,"Montjoie","AAC",0,52
196,182,"Mühlhausen","ERF",36,185
197,227,"Mühlheim","KOL",22,24
198,192,"Münster","MUN",4,15
199,116,"Münsterberg","BRE",51,320
200,102,"Namslau","BRE",71,102
201,86,"Naugard","STE",26,148
202,177,"Naumburg","MER",75,490
203,4,"Neidenburg","KON",11,46
204,132,"Neisse","OPP",106,593
