id1819,kreiskey1800,county,rb,misc1821_area
1,277,"Achen","AAC",85005
2,33,"Adelnau","POS",359680
3,254,"Adenau","KOB",152655
4,196,"Ahaus","MUN",235306
5,255,"Ahrweiler","KOB",69502
6,2,"Allenstein","KON",523148
7,219,"Altena","ARN",221331
8,257,"Altenkirchen","KOB",212486
9,10,"Angerburg","GUM",391086
10,53,"Angermünde","POT",509536
11,32,"Anklam","STE",234799
12,209,"Arnsberg","ARN",253857
13,67,"Arnswalde","FRA",455982
14,160,"Aschersleben","MAG",159907
15,55,"(Nieder-)Barnim","POT",705085
16,54,"(Ober-)Barnim","POT",525121
17,190,"Beckum","MUN",256687
18,93,"Belgard","KOS",431603
19,58,"Belzig","POT",719207
20,15,"Berent","DAN",500433
21,98,"Bergen","STR",343985
22,230,"Bergheim","KOL",100553
23,265,"Bernkastel","TRI",212292
24,126,"Beuthen","OPP",318029
25,203,"Bielefeld","MIN",110063
26,25,"Birnbaum","POS",547136
27,261,"Bitburg","TRI",354324
28,166,"Bitterfeld","MER",213846
29,216,"Bochum","ARN",140654
30,27,"Bolkenhain","LIE",119392
31,45,"Bomst","POS",410283
32,233,"Bonn","KOL",73218
33,197,"Borken","MUN",318354
34,208,"Brakel","MIN",134274
35,258,"Braunfels","KOB",
36,19,"Braunsberg","KON",374402
37,111,"Breslau","BRE",293343
38,113,"Brieg","BRE",234124
39,211,"Brilon","ARN",376584
40,20,"Bromberg","BRO",574944
41,201,"Bünde","MIN",142326
42,206,"Büren","MIN",260570
43,24,"Buk","POS",375643
44,140,"Bunzlau","LIE",377317
45,23,"Chodzesen","BRO",423364
46,18,"Danzig, Stadtkreis","DAN",26119
47,16,"Danzig, Landkreis","DAN",416449
48,8,"Darkehmen","GUM",299627
49,259,"Daun","TRI",268374
50,167,"Delitzsch","MER",321255
51,80,"Demmin","STE",352068
52,236,"Dinslaken","DUS",193450
53,215,"Dortmund","ARN",184718
54,91,"Dramburg","KOS",463186
55,275,"Düren","AAC",155031
56,240,"Düsseldorf, Stadtkreis","DUS",18649
57,240,"Düsseldorf, Landkreis","DUS",140921
58,173,"Eckartsberga","MER",215185
59,1,"(Preussisch) Eilau","KON",467342
60,241,"Elberfeld","DUS",124797
61,11,"Elbing","DAN",227016
62,185,"Erfurt","ERF",137416
63,271,"Erkelenz","AAC",111150
64,236,"Essen","DUS",110497
65,278,"Eupen","AAC",55961
66,131,"Falkenberg","OPP",243694
67,6,"Fischhausen","KON",407957
68,22,"Flatow","MAR",593265
69,117,"Frankenstein","BRE",218916
70,71,"Frankfurt","FRA",212138
71,99,"Franzburg","STR",451026
72,46,"Fraustadt","POS",386968
73,135,"Freistadt","LIE",312231
74,68,"Friedeberg","FRA",371624
75,1,"Friedland","KON",319607
76,94,"Fürstenthum","KOS",989474
77,150,"Gardelegen","MAG",500306
78,273,"Geilenkirchen","AAC",77670
79,237,"Geldern","DUS",175290
80,280,"Gemünd","AAC",276751
81,5,"Gerdauen","KON",322998
82,224,"Gimborn","KOL",86785
83,246,"Gladbach","DUS",86890
84,28,"Glaz","BRE",362336
85,138,"Glogau","LIE",515394
86,48,"Gnesen","BRO",510473
87,249,"St. Goar","KOB",164539
88,146,"Görlitz","LIE",326724
89,8,"Goldap","GUM",378056
90,12,"Graudenz","MAR",339345
91,88,"Greifenberg","STE",311440
92,83,"Greifenhagen","STE",384288
93,100,"Greifswald","STR",392255
94,245,"Grevenbroich","DUS",85832
95,101,"Grimmen","STR",306624
96,133,"Grottkau","OPP",219475
97,134,"Grünberg","LIE",328594
98,74,"Guben","FRA",372039
99,107,"Guhrau","BRE",282005
100,8,"Gumbinnen","GUM",234114
101,28,"Habelschwerdt","BRE",313441
102,217,"Hagen","ARN",190147
103,141,"Hainau","LIE",187095
104,161,"Halberstadt","MAG",48336
105,158,"(Neu-)Haldensleben","MAG",263201
106,169,"Halle","MER",18797
107,202,"Halle","MIN",123000
108,214,"Hamm","ARN",190404
109,60,"(Ost-)Havelland","POT",524177
110,61,"(West-)Havelland","POT",542756
111,8,"Heidekrug","GUM",261741
112,181,"Heiligenstadt","ERF",165927
113,2,"Heilsberg","KON",430791
114,272,"Heinsberg","AAC",108139
115,201,"Herford","MIN",93921
116,29,"Hirschberg","LIE",238429
117,208,"Höxter","MIN",130429
118,3,"(Preussisch) Holland","KON",130784
119,224,"Homburg","KOL",86785
120,143,"Jauer","LIE",109889
121,153,"1. Jerichow","MAG",546558
122,152,"2. Jerichow","MAG",546074
123,21,"Inowrazlaw","BRO",608574
124,8,"Insterburg","GUM",466149
125,9,"Johannsburg","GUM",688510
126,218,"Iserlohn","ARN",140654
127,274,"Jülich","AAC",107699
128,57,"Jüterbok","POT",517245
129,77,"Kalau","FRA",433191
130,154,"Kalbe","MAG",210044
131,87,"Kammin","STE",438401
132,16,"Karthaus","DAN",553215
133,238,"Kempen","DUS",131263
134,234,"Kleve","DUS",200935
135,248,"Koblenz","KOB",116907
136,252,"Kochem","KOB",228750
137,229,"Köln","KOL",159374
138,65,"Königsberg","FRA",441472
139,6,"Königsberg, Stadtkreis","KON",22457
140,6,"Königsberg, Landkreis","KON",492766
141,195,"Koesfeld","MUN",317703
142,14,"Konitz","MAR",893571
143,128,"Kosel","OPP",275882
144,41,"Kosten","POS",486167
145,78,"Kottbus","FRA",402172
146,239,"Krefeld","DUS",94792
147,120,"Kreutzburg","OPP",214530
148,250,"Kreutznach","KOB",124416
149,47,"Kröben","POS",406176
150,23,"(Deutsch)Krone","MAR",829259
151,75,"Krossen","FRA",480911
152,33,"Krotoschin","POS",404661
153,65,"Küstrin","FRA",290219
154,12,"Kulm","MAR",341432
155,7,"Labiau","KON",428754
156,69,"Landsberg","FRA",378437
