kreiskey1829,county,rb,edu1829_ele_stud_win_m,edu1829_ele_stud_win_f,edu1829_ele_stud_sum_m,edu1829_ele_stud_sum_f
276,"Wipperfürth","KOL",1200,960,860,690
277,"Gummersbach","KOL",1940,1650,1300,1100
278,"Waldbroel","KOL",972,693,881,603
279,"Sieg-Kreis","KOL",4091,3493,3976,3367
280,"Mülheim","KOL",1926,1632,1398,1181
281,"Cöln (Stadt)","KOL",2341,2094,2341,2094
282,"Cöln (Land)","KOL",2974,2765,2386,2282
283,"Bergheim","KOL",2542,2423,2006,1876
284,"Euskirchen","KOL",2210,2008,1353,1219
285,"Rheinbach","KOL",2287,2175,2133,2107
286,"Bonn","KOL",2963,2781,2553,2607
287,"Cleve","DUS",3334,2741,2819,2234
288,"Rees","DUS",3049,2618,2429,2186
289,"Duisburg","DUS",5520,4869,4784,4221
290,"Geldern","DUS",4963,4283,3871,3298
291,"Kempen","DUS",2833,2638,2397,2193
292,"Crefeld","DUS",2394,2106,2216,1973
293,"Düsseldorf","DUS",4552,3958,4282,3734
294,"Elberfeld","DUS",6088,5659,6129,5728
295,"Lennep","DUS",3837,3419,3949,3526
296,"Solingen","DUS",3734,3526,3767,3601
297,"Neuss","DUS",2074,1891,2053,1904
298,"Grevenbroich","DUS",2445,2081,1962,1688
299,"Gladbach","DUS",2629,2251,2521,2127
300,"Simmern","KOB",3070,2979,2790,2582
301,"Coblenz","KOB",3749,3830,3714,3792
302,"St. Goar","KOB",3151,2782,3099,2737
303,"Creuznach","KOB",4467,4219,4388,4158
304,"Zell","KOB",2056,1925,2031,1912
305,"Cochem","KOB",2338,2279,2245,2198
306,"Mayen","KOB",3301,3232,3293,3206
307,"Adenau","KOB",1751,1652,1745,1652
308,"Ahrweiler","KOB",2491,2337,2383,2253
309,"Neuwied","KOB",4513,4433,4538,4463
310,"Altenkirchen","KOB",2840,2633,2754,2532
311,"Wetzlar","KOB",3399,3199,3009,2947
312,"Daun","TRI",1966,1984,1978,1997
313,"Prüm","TRI",2123,2116,2098,2105
314,"Bittburg","TRI",2764,2691,2712,2558
315,"Wittlich","TRI",2461,2371,2421,2369
316,"Trier (Stadt)","TRI",1444,1517,1444,1517
317,"Trier (Land)","TRI",4053,3878,3942,3819
318,"Berncastel","TRI",3067,3028,3081,3018
319,"Saarburg","TRI",1995,2009,1961,2003
320,"Merzig","TRI",2560,2638,2605,2661
321,"Saarlouis","TRI",3531,3309,3252,3027
322,"Saarbrück","TRI",2550,2480,2550,2480
323,"Ottweiler","TRI",2291,2253,2316,2280
325,"Erkelenz","AAC",2678,2222,2551,1979
326,"Heinsberg","AAC",2530,2013,1909,1567
327,"Geilenkirchen","AAC",2107,1625,1745,1343
328,"Jülich","AAC",2795,2377,2354,1985
329,"Düren","AAC",3383,2976,2705,2236
330,"Aachen (Stadt)","AAC",2317,1786,2317,1786
331,"Aaachen (Land)","AAC",2853,2228,2282,1661
332,"Eupen","AAC",981,767,849,676
333,"Montjoie","AAC",1351,1243,1087,1014
334,"Gemünd","AAC",2811,2517,1660,1519
335,"Malmedy","AAC",2072,1733,691,646
