kreiskey1829,county,rb,pop1829_m_5to14,pop1829_f_5to14
276,"Wipperfürth","KOL",2000,1800
277,"Gummersbach","KOL",2560,2540
278,"Waldbroel","KOL",1459,1321
279,"Sieg-Kreis","KOL",7045,5728
280,"Mülheim","KOL",3128,2960
281,"Cöln (Stadt)","KOL",4997,4893
282,"Cöln (Land)","KOL",3331,3154
283,"Bergheim","KOL",3009,2779
284,"Euskirchen","KOL",2560,2305
285,"Rheinbach","KOL",2446,2349
286,"Bonn","KOL",3536,3640
287,"Cleve","DUS",3766,3138
288,"Rees","DUS",3605,3153
289,"Duisburg","DUS",6381,5703
290,"Geldern","DUS",6803,5938
291,"Kempen","DUS",3737,3612
292,"Crefeld","DUS",2931,2671
293,"Düsseldorf","DUS",7353,7057
294,"Elberfeld","DUS",7788,7242
295,"Lennep","DUS",5206,4799
296,"Solingen","DUS",5405,5043
297,"Neuss","DUS",2777,2671
298,"Grevenbroich","DUS",2830,2596
299,"Gladbach","DUS",3573,3300
300,"Simmern","KOB",3072,2981
301,"Coblenz","KOB",3886,3892
302,"St. Goar","KOB",3189,2805
303,"Creuznach","KOB",4631,4370
304,"Zell","KOB",2100,1975
305,"Cochem","KOB",2409,2356
306,"Mayen","KOB",3350,3260
307,"Adenau","KOB",1911,1791
308,"Ahrweiler","KOB",2581,2418
309,"Neuwied","KOB",4599,4529
310,"Altenkirchen","KOB",2980,2785
311,"Wetzlar","KOB",3410,3227
312,"Daun","TRI",1981,1999
313,"Prüm","TRI",2299,2247
314,"Bittburg","TRI",3151,2934
315,"Wittlich","TRI",2657,2558
316,"Trier (Stadt)","TRI",1491,1524
317,"Trier (Land)","TRI",4349,4258
318,"Berncastel","TRI",3134,3088
319,"Saarburg","TRI",2139,2144
320,"Merzig","TRI",2652,2701
321,"Saarlouis","TRI",3908,3712
322,"Saarbrück","TRI",4149,3759
323,"Ottweiler","TRI",2316,2280
325,"Erkelenz","AAC",3117,2997
326,"Heinsberg","AAC",3182,2867
327,"Geilenkirchen","AAC",2440,1993
328,"Jülich","AAC",3124,2814
329,"Düren","AAC",3949,3446
330,"Aachen (Stadt)","AAC",3574,3481
331,"Aaachen (Land)","AAC",4835,4415
332,"Eupen","AAC",1711,1848
333,"Montjoie","AAC",1743,1653
334,"Gemünd","AAC",3261,3122
335,"Malmedy","AAC",2377,2210
