kreiskey1849,county,rb,land1849_far_ext_ov600,land1849_far_ext_300to600,land1849_far_ext_30to300,land1849_far_ext_5to30,land1849_far_ext_un5,land1849_uti_estate_gardens,land1849_uti_estate_fields,land1849_uti_estate_meadows,land1849_uti_estate_pasture,land1849_uti_estate_woods
1,"Memel","KON",20,28,1502,592,841,5556,97313,36798,61964,3524
2,"Fischhausen","KON",115,81,899,353,219,3246,144580,30885,71434,42050
3,"Königsberg Stadt","KON",0,1,10,152,629,170,1314,2381,235,0
4,"Königsberg Land","KON",108,116,928,278,155,2852,195899,45550,53940,38825
5,"Labiau","KON",37,36,1035,1376,1091,6333,129552,31037,30879,11405
6,"Welau","KON",89,59,1218,520,549,5599,142210,37680,51700,49055
7,"Gerdauen","KON",93,45,878,247,316,1591,169124,37987,17667,66253
8,"Rastenburg","KON",112,74,792,233,383,3659,197684,46461,17176,47780
9,"Friedland","KON",92,43,802,404,218,3093,177829,39836,19531,50084
10,"Preuss. Eilau","KON",142,99,1504,525,365,6955,212802,59169,44435,78538
11,"Heiligenbeil","KON",101,88,1402,528,482,5480,157504,39934,42125,57965
12,"Braunsberg","KON",20,107,1372,592,1122,5682,171326,49815,26401,82888
13,"Heilsberg","KON",23,80,2157,609,1085,7155,215096,65176,42671,51289
14,"Rössel","KON",31,49,1679,614,766,7724,172091,55931,16466,31948
15,"Allenstein","KON",43,89,1915,511,453,2517,255318,31775,47377,45489
16,"Ortelsburg","KON",32,47,2907,445,529,6262,328528,67764,43021,27188
17,"Neidenburg","KON",66,114,2301,189,274,7222,334781,42970,39020,39797
18,"Osterode","KON",100,57,1736,531,678,8631,242881,37835,36641,87167
19,"Morungen","KON",122,67,1360,592,702,9813,223320,47329,24642,80808
20,"Pr. Holland","KON",82,35,1188,572,457,5844,184886,42238,15342,54681
21,"Heidekrug","GUM",7,3,1322,1307,569,795,44179,56850,26384,24327
22,"Niederung","GUM",14,34,2229,2176,647,4026,82731,99869,59279,69638
