kreiskey1849,county,rb,ani1849_horses_un3,ani1849_horses_4to10,ani1849_horses_ov10,ani1849_mule,ani1849_donkey,ani1849_bulls,ani1849_oxen,ani1849_cattle,ani1849_youngcattle,ani1849_merino,ani1849_halfmerino,ani1849_nomerino,ani1849_goats,ani1849_pigs
1,"Memel","KON",1407,3697,2781,0,0,469,2483,7215,3571,3656,1467,12422,170,7383
2,"Fischhausen","KON",1956,4706,3594,0,0,469,5244,8596,5423,29600,3836,12583,205,11557
3,"Königsberg Stadt","KON",12,736,821,0,0,3,13,934,77,0,0,186,64,891
4,"Königsberg Land","KON",1884,5635,4562,0,4,556,5473,11074,3967,27914,5453,12007,23,13811
5,"Labiau","KON",1290,3581,2746,0,0,348,2986,7929,4367,8761,0,9431,37,11130
6,"Welau","KON",2174,4539,3051,0,0,377,3500,7718,4523,27251,4424,11541,59,12108
7,"Gerdauen","KON",2157,4327,2267,0,0,260,3516,6173,4386,37821,5551,12467,58,11035
8,"Rastenburg","KON",2156,5109,2414,1,6,371,4660,6597,4401,67334,2101,9685,45,13964
9,"Friedland","KON",1642,4541,2861,0,1,368,4173,6372,3690,52544,11599,9426,153,10342
10,"Preuss. Eilau","KON",2820,5620,4414,0,0,569,5672,10002,6132,52694,6469,13168,204,15300
11,"Heiligenbeil","KON",2071,4404,3432,0,0,409,4242,8315,5383,23548,18585,9652,85,11853
12,"Braunsberg","KON",2652,5367,3869,0,0,473,4156,6839,4963,3738,2455,11077,285,12614
13,"Heilsberg","KON",2530,5703,4266,0,0,710,4900,8347,6225,12257,998,15911,419,14024
14,"Rössel","KON",1947,4425,3199,0,0,431,4057,5835,4629,8669,5368,10848,390,9051
15,"Allenstein","KON",1428,4232,2863,0,0,373,5568,6471,5271,12850,3557,11237,554,8883
16,"Ortelsburg","KON",1462,4415,2577,0,0,189,8232,9131,8011,8746,4868,15765,406,10284
17,"Neidenburg","KON",990,3120,1297,0,0,153,7520,6108,5312,11616,10585,19481,941,6796
18,"Osterode","KON",973,3445,1857,0,4,185,6530,7497,5102,23054,18090,14975,1497,11058
19,"Morungen","KON",1606,4382,3706,0,0,360,5196,9121,5412,62317,16183,13084,281,14787
20,"Pr. Holland","KON",2205,5294,3302,0,4,438,3932,7981,4263,48182,9761,8943,178,14045
21,"Heidekrug","GUM",1301,3271,2118,0,0,449,595,9980,4351,1000,1423,8284,46,8698
22,"Niederung","GUM",3582,5183,2830,0,0,793,907,17674,7034,613,1528,10349,14,17484
23,"Tilsit","GUM",3140,5387,2705,0,1,434,962,12886,4789,8551,1376,14986,44,14506
24,"Ragnit","GUM",3712,5985,3143,0,0,804,4122,11541,7128,16847,3285,17602,41,19270
25,"Pillkallen","GUM",3452,6274,2116,0,0,625,5456,8311,8056,9447,1783,23762,16,15108
26,"Stallupönen","GUM",3612,5005,2053,0,0,445,4980,6790,7344,8273,319,22662,13,14128
27,"Gumbinnen","GUM",2759,4420,2083,0,0,363,4626,7613,6456,10540,1084,19475,5,15388
28,"Insterburg","GUM",3445,6159,3332,0,0,526,4650,10626,7809,19937,2967,20557,66,18934
29,"Darkehmen","GUM",2647,4491,1855,0,0,317,3493,6845,4964,31452,932,11928,5,12071
30,"Angerburg","GUM",2094,4487,1692,0,0,281,3745,5888,5475,16496,2100,23870,100,10787
31,"Goldapp","GUM",1750,4205,2051,0,0,280,4105,7039,5923,8191,1756,13247,27,10684
32,"Oletzko","GUM",1689,3930,1927,0,0,206,4339,5526,5665,10473,3765,12060,149,11862
33,"Lyck","GUM",1769,4553,2541,0,0,166,6178,5105,5617,7571,829,14689,55,10355
34,"Lötzen","GUM",1272,4404,1779,0,0,223,4450,4154,3688,6284,3087,15648,153,9008
35,"Sensburg","GUM",1102,4414,2154,0,0,226,5132,5565,4065,13502,3273,15371,390,9665
36,"Johannisburg","GUM",957,4165,2088,0,0,171,5991,5441,5236,1778,4496,13582,112,9500
37,"Elbing","DAN",2184,3791,2996,0,2,395,1108,9030,3979,5079,839,3399,341,7491
38,"Marienburg","DAN",3473,6574,4939,0,0,640,407,10433,3971,1381,295,1942,398,9016
39,"Danzig Stadt","DAN",12,543,497,0,4,5,83,378,19,0,6,60,178,445
40,"Danzig Land","DAN",2711,6039,4457,0,4,695,1912,11949,4776,22416,13864,6091,780,13753
41,"Stargard","DAN",1313,3993,2643,0,1,336,4126,6754,3772,34481,22377,12485,585,9592
42,"Behrend","DAN",706,2190,1168,0,0,143,3213,6021,3665,11156,9901,18295,137,4422
43,"Karthaus","DAN",586,2471,1276,0,0,115,3762,7501,4126,9005,6332,16392,144,4645
44,"Neustadt","DAN",776,2718,1845,0,2,207,3536,9081,5030,16934,11588,15478,261,7881
45,"Stuhm","MAR",1569,3631,2542,0,0,416,2214,6449,3243,29900,7966,3229,588,11079
46,"Marienwerder","MAR",1876,4970,3186,0,0,399,2485,9066,3832,43013,17250,4913,1071,14727
47,"Rosenberg","MAR",1163,2895,2423,5,1,199,3520,7426,3763,59117,27145,4757,198,10479
48,"Löbau","MAR",803,2913,1780,0,2,121,4228,6158,4089,15853,9763,12538,477,7155
49,"Strassburg","MAR",1847,3902,2055,0,1,212,5482,9775,6261,30616,33378,12545,375,14092
50,"Thorn","MAR",1320,3206,2165,1,1,350,3694,9336,4792,13843,57160,4092,251,12196
51,"Culm","MAR",1119,3365,1872,3,9,334,3283,8347,3711,30426,45607,4072,130,10097
52,"Graudenz","MAR",1541,3333,2310,0,1,235,3597,7028,4443,31163,39829,2805,487,11972
53,"Schwetz","MAR",1281,3573,2865,1,0,368,4221,11854,6190,11754,45025,11556,518,13178
54,"Konitz","MAR",865,2863,1686,0,1,250,4830,8321,4922,14165,26899,34105,308,8302
55,"Schlochau","MAR",621,2461,1459,0,3,242,4746,9733,5983,9452,28425,49224,465,6170
56,"Flatow","MAR",1516,4026,1758,1,8,260,4117,10900,9069,19018,42146,50032,479,11324
57,"Deutsch-Crone","MAR",880,3909,1570,0,16,247,2207,9242,6608,36252,45623,55118,992,8780
58,"Wreschen","POS",910,2649,1560,0,30,166,2886,8094,4913,11578,57528,15731,117,8342
59,"Pleschen","POS",1146,3695,2002,1,38,235,4781,11969,6692,28775,88096,13485,219,11203
60,"Schroda","POS",1445,3890,1701,0,47,272,3672,10413,6146,32159,80750,10842,154,9567
61,"Schrimm","POS",1116,3500,1835,0,30,260,3174,10847,5241,41395,48430,8274,187,9574
62,"Kosten","POS",1347,4079,2101,11,75,237,3615,12370,7475,71831,45526,1401,306,9219
63,"Buk","POS",774,2467,1688,4,27,196,3283,11021,4730,6917,62029,5504,898,7914
64,"Posen","POS",980,3419,2561,3,38,206,3081,9662,3561,45073,57732,6014,517,9500
