kreiskey1849,county,rb,occ1849_typefoundry_inst,occ1849_printoffice_book_inst,occ1849_printoffice_copper_inst,occ1849_lithographic_inst,occ1849_bookshop_propr,occ1849_antiquarian_inst,occ1849_lendinglibrary_inst
1,"Memel","KON",0,2,0,1,2,0,2
2,"Fischhausen","KON",0,1,0,0,0,0,0
3,"Königsberg Stadt","KON",1,8,0,5,12,2,8
4,"Königsberg Land","KON",0,0,0,0,0,0,0
5,"Labiau","KON",0,0,0,0,0,0,0
6,"Welau","KON",0,1,0,0,0,0,1
7,"Gerdauen","KON",0,0,0,0,0,0,0
8,"Rastenburg","KON",0,1,0,0,2,0,1
9,"Friedland","KON",0,0,0,0,0,0,2
10,"Preuss. Eilau","KON",0,0,0,0,0,0,1
11,"Heiligenbeil","KON",0,0,0,0,0,0,1
12,"Braunsberg","KON",0,1,0,1,2,0,2
13,"Heilsberg","KON",0,1,0,0,0,0,2
14,"Rössel","KON",0,1,0,0,0,0,0
15,"Allenstein","KON",0,1,0,0,1,0,2
16,"Ortelsburg","KON",0,1,0,0,0,0,1
17,"Neidenburg","KON",0,1,0,0,0,0,1
18,"Osterode","KON",0,2,0,0,0,0,2
19,"Morungen","KON",0,2,0,0,0,0,0
20,"Pr. Holland","KON",0,1,0,0,0,0,0
21,"Heidekrug","GUM",0,0,0,0,0,0,0
22,"Niederung","GUM",0,0,0,0,0,0,1
23,"Tilsit","GUM",2,19,1,1,1,0,3
24,"Ragnit","GUM",0,0,0,0,0,0,0
25,"Pillkallen","GUM",0,0,0,0,0,0,0
26,"Stallupönen","GUM",0,0,0,0,0,0,1
27,"Gumbinnen","GUM",0,2,0,0,2,0,1
28,"Insterburg","GUM",0,1,0,1,1,0,3
29,"Darkehmen","GUM",0,0,0,0,0,0,0
30,"Angerburg","GUM",0,0,0,0,0,0,1
31,"Goldapp","GUM",0,0,0,0,0,1,0
32,"Oletzko","GUM",0,0,0,0,0,0,0
33,"Lyck","GUM",0,1,0,1,0,0,1
34,"Lötzen","GUM",0,1,0,0,0,0,0
35,"Sensburg","GUM",0,1,0,0,0,0,0
36,"Johannisburg","GUM",0,1,0,0,0,0,1
37,"Elbing","DAN",0,5,0,4,3,0,2
38,"Marienburg","DAN",0,2,0,0,2,0,3
39,"Danzig Stadt","DAN",0,3,0,6,9,2,6
40,"Danzig Land","DAN",0,0,0,0,0,0,0
41,"Stargard","DAN",0,2,0,0,3,0,3
42,"Behrend","DAN",0,0,0,0,0,0,1
43,"Karthaus","DAN",0,0,0,0,0,0,0
44,"Neustadt","DAN",0,1,0,0,0,0,2
45,"Stuhm","MAR",0,1,0,0,0,0,1
46,"Marienwerder","MAR",0,2,0,1,2,0,4
47,"Rosenberg","MAR",0,1,0,0,1,0,1
48,"Löbau","MAR",0,1,0,0,1,0,0
49,"Strassburg","MAR",0,1,0,0,0,0,0
50,"Thorn","MAR",0,3,0,2,1,0,2
51,"Culm","MAR",0,3,0,0,3,0,2
52,"Graudenz","MAR",0,2,0,1,2,0,2
53,"Schwetz","MAR",0,0,0,0,0,0,1
54,"Konitz","MAR",0,1,0,0,1,0,2
55,"Schlochau","MAR",0,0,0,0,0,0,0
56,"Flatow","MAR",0,0,1,0,0,0,0
57,"Deutsch-Crone","MAR",0,1,0,0,1,0,1
58,"Wreschen","POS",0,0,0,1,0,0,1
59,"Pleschen","POS",0,0,0,0,1,0,2
60,"Schroda","POS",0,0,0,0,0,0,0
61,"Schrimm","POS",0,0,0,0,1,0,1
62,"Kosten","POS",0,1,0,0,2,0,0
63,"Buk","POS",0,0,0,0,1,0,1
64,"Posen","POS",0,6,0,4,10,4,0
65,"Obornik","POS",0,0,0,1,1,0,0
66,"Samter","POS",0,1,0,0,0,0,1
67,"Birnbaum","POS",0,2,0,0,1,0,1
68,"Meseritz","POS",0,1,0,0,0,0,2
69,"Schildberg","POS",0,0,0,0,3,0,0
70,"Bomst","POS",0,1,0,0,1,0,1
71,"Fraustadt","POS",0,2,0,2,3,0,2
72,"Kröben","POS",0,1,0,1,1,0,2
