kreiskey1849,county,rb,edu1849_pub_ele_sc,edu1849_pub_mim_sc,edu1849_pub_mif_sc,edu1849_pub_high_sc,edu1849_pub_pgy_sc,edu1849_pub_gym_sc,edu1849_pub_sem_sc
1,"Memel","KON",54,1,1,1,0,0,0
2,"Fischhausen","KON",68,1,2,1,0,0,0
3,"Königsberg Stadt","KON",34,3,2,2,2,3,1
4,"Königsberg Land","KON",92,0,0,0,0,0,0
5,"Labiau","KON",80,2,0,0,0,0,0
6,"Welau","KON",70,0,1,1,0,0,0
7,"Gerdauen","KON",64,2,1,0,0,0,0
8,"Rastenburg","KON",85,3,0,0,0,1,0
9,"Friedland","KON",70,4,3,0,0,0,0
10,"Preuss. Eilau","KON",88,0,0,0,0,0,1
11,"Heiligenbeil","KON",70,2,2,0,0,0,0
12,"Braunsberg","KON",71,0,0,0,0,1,1
13,"Heilsberg","KON",91,0,0,0,0,0,0
14,"Rössel","KON",71,0,0,0,1,0,0
15,"Allenstein","KON",74,0,0,0,0,0,0
16,"Ortelsburg","KON",116,0,0,0,0,0,1
17,"Neidenburg","KON",104,2,1,0,0,0,0
18,"Osterode","KON",103,0,0,0,1,0,0
19,"Morungen","KON",85,3,2,0,0,0,0
20,"Pr. Holland","KON",93,1,0,0,0,0,0
21,"Heidekrug","GUM",37,0,0,0,0,0,0
22,"Niederung","GUM",47,0,0,0,0,0,0
23,"Tilsit","GUM",59,1,1,1,0,1,0
24,"Ragnit","GUM",71,1,1,0,0,0,0
25,"Pillkallen","GUM",65,2,2,0,0,0,0
26,"Stallupönen","GUM",66,1,1,0,0,0,0
27,"Gumbinnen","GUM",70,1,1,0,0,1,0
28,"Insterburg","GUM",84,0,1,1,0,0,1
29,"Darkehmen","GUM",58,1,1,0,0,0,0
30,"Angerburg","GUM",72,1,1,0,0,0,1
31,"Goldapp","GUM",77,1,1,0,0,0,0
32,"Oletzko","GUM",79,1,1,0,0,0,0
33,"Lyck","GUM",85,1,1,0,0,1,0
34,"Lötzen","GUM",68,2,2,0,0,0,0
35,"Sensburg","GUM",86,2,2,0,0,0,0
36,"Johannisburg","GUM",90,3,3,0,0,0,0
37,"Elbing","DAN",76,1,1,1,0,1,0
38,"Marienburg","DAN",113,0,1,1,0,0,1
39,"Danzig Stadt","DAN",46,2,1,4,0,1,0
40,"Danzig Land","DAN",104,1,0,0,0,0,0
41,"Stargard","DAN",89,2,1,0,0,0,0
42,"Behrend","DAN",67,0,1,0,0,0,0
43,"Karthaus","DAN",53,0,0,0,0,0,0
44,"Neustadt","DAN",86,2,0,0,0,0,0
45,"Stuhm","MAR",70,0,0,0,0,0,0
46,"Marienwerder","MAR",93,0,0,0,0,1,0
47,"Rosenberg","MAR",77,2,2,0,0,0,0
48,"Löbau","MAR",58,0,0,0,0,0,0
49,"Strassburg","MAR",74,0,1,1,0,0,0
50,"Thorn","MAR",65,1,1,0,0,1,0
51,"Culm","MAR",69,0,0,2,0,1,0
52,"Graudenz","MAR",77,0,1,2,0,0,1
53,"Schwetz","MAR",97,0,0,0,0,0,0
54,"Konitz","MAR",75,0,2,0,0,1,0
55,"Schlochau","MAR",84,0,0,0,0,0,0
56,"Flatow","MAR",106,0,0,0,0,0,0
57,"Deutsch-Crone","MAR",97,0,0,0,1,0,0
58,"Wreschen","POS",51,1,0,0,0,0,0
59,"Pleschen","POS",73,0,0,0,0,0,0
60,"Schroda","POS",76,1,0,0,0,0,0
61,"Schrimm","POS",73,0,0,0,0,0,0
62,"Kosten","POS",78,0,0,0,0,0,0
63,"Buk","POS",72,0,0,0,0,0,0
64,"Posen","POS",72,0,2,1,0,2,1
65,"Obornik","POS",75,1,1,0,0,0,0
66,"Samter","POS",61,0,0,0,0,0,0
67,"Birnbaum","POS",69,1,1,0,0,0,0
68,"Meseritz","POS",77,0,0,1,0,0,1
69,"Schildberg","POS",69,0,0,0,0,0,0
70,"Bomst","POS",89,0,0,0,0,0,0
71,"Fraustadt","POS",75,0,0,1,0,1,0
72,"Kröben","POS",70,3,2,0,0,0,1
73,"Krotoschin","POS",76,0,1,0,1,0,0
74,"Adelnau","POS",59,0,1,0,0,1,0
75,"Tscharnikow","BRO",96,1,0,0,0,0,0
76,"Chodezien","BRO",86,2,1,0,0,0,0
77,"Wirsitz","BRO",84,0,1,0,0,0,0
78,"Bromberg","BRO",85,1,1,0,0,1,1
79,"Schubin","BRO",80,1,1,0,0,0,0
80,"Inowrazlaw","BRO",80,1,0,0,0,0,0
81,"Mogilno","BRO",54,0,0,0,0,1,0
82,"Gnesen","BRO",68,0,1,0,0,0,0
83,"Wongrowiz","BRO",74,1,0,0,0,0,0
84,"Haupt- und Residenzstadt Berlin","POT",87,24,58,5,2,6,1
