kreiskey1849,county,rb,edu1849_pub_ele_stud_m,edu1849_pub_ele_stud_f,edu1849_pub_mim_stud_m,edu1849_pub_mif_stud_f,edu1849_pub_high_stud_m,edu1849_pub_pgy_stud_m,edu1849_pub_gym_stud_m,edu1849_pub_sem_stud
1,"Memel","KON",2236,2127,19,120,181,0,0,0
2,"Fischhausen","KON",2772,2681,63,112,114,0,0,0
3,"Königsberg Stadt","KON",3584,2803,374,304,630,81,815,36
4,"Königsberg Land","KON",2799,2686,0,0,0,0,0,0
5,"Labiau","KON",3323,3311,68,0,0,0,0,0
6,"Welau","KON",2192,2167,0,85,287,0,0,0
7,"Gerdauen","KON",2046,1918,70,20,0,0,0,0
8,"Rastenburg","KON",2570,2554,168,167,0,0,226,0
9,"Friedland","KON",2227,2293,321,275,0,0,0,0
10,"Preuss. Eilau","KON",3221,3194,0,0,0,0,0,70
11,"Heiligenbeil","KON",2872,2794,108,109,0,0,0,0
12,"Braunsberg","KON",2820,2600,0,0,0,0,301,34
13,"Heilsberg","KON",2807,2571,0,0,0,0,0,0
14,"Rössel","KON",2072,1940,0,0,0,208,0,0
15,"Allenstein","KON",2294,2284,0,0,0,0,0,0
16,"Ortelsburg","KON",3831,3921,0,0,0,0,0,10
17,"Neidenburg","KON",2644,2530,54,36,0,0,0,0
18,"Osterode","KON",3083,3013,0,0,0,145,0,0
19,"Morungen","KON",3617,3573,110,54,0,0,0,0
20,"Pr. Holland","KON",2240,2380,41,0,0,0,0,0
21,"Heidekrug","GUM",1674,1617,0,0,0,0,0,0
22,"Niederung","GUM",1503,1528,0,0,0,0,0,0
23,"Tilsit","GUM",2372,2318,110,120,218,0,224,0
24,"Ragnit","GUM",3042,2934,129,90,0,0,0,0
25,"Pillkallen","GUM",2578,2613,182,160,0,0,0,0
26,"Stallupönen","GUM",2842,2764,97,101,0,0,0,0
27,"Gumbinnen","GUM",2793,2789,140,168,0,0,190,0
28,"Insterburg","GUM",3058,3145,0,122,308,0,0,60
29,"Darkehmen","GUM",1912,1939,110,98,0,0,0,0
30,"Angerburg","GUM",2344,2331,178,135,0,0,0,52
31,"Goldapp","GUM",2567,2581,171,147,0,0,0,0
32,"Oletzko","GUM",2141,2244,153,116,0,0,0,0
33,"Lyck","GUM",2314,2399,94,124,0,0,180,0
34,"Lötzen","GUM",1859,1840,315,134,0,0,0,0
35,"Sensburg","GUM",2496,2474,158,138,0,0,0,0
36,"Johannisburg","GUM",2111,2115,258,154,0,0,0,0
37,"Elbing","DAN",3520,3436,139,156,270,0,162,0
38,"Marienburg","DAN",3589,3504,0,129,169,0,0,42
39,"Danzig Stadt","DAN",2822,2478,359,290,929,0,380,0
40,"Danzig Land","DAN",4629,4315,46,0,0,0,0,0
41,"Stargard","DAN",3744,3407,166,105,0,0,0,0
42,"Behrend","DAN",2622,2452,0,10,0,0,0,0
43,"Karthaus","DAN",2654,2549,0,0,0,0,0,0
44,"Neustadt","DAN",3977,3831,48,47,0,0,0,0
45,"Stuhm","MAR",2221,2094,0,0,0,0,0,0
46,"Marienwerder","MAR",3389,3220,0,0,0,0,243,0
47,"Rosenberg","MAR",3090,2976,257,88,0,0,0,0
48,"Löbau","MAR",2922,2756,0,0,0,0,0,0
49,"Strassburg","MAR",2377,2111,0,64,117,0,0,0
50,"Thorn","MAR",2608,2628,173,88,0,0,235,0
51,"Culm","MAR",2739,2764,0,0,235,0,268,0
52,"Graudenz","MAR",2756,2541,0,141,263,0,0,41
53,"Schwetz","MAR",3687,3347,0,0,0,0,0,0
54,"Konitz","MAR",3469,3130,0,65,0,0,436,0
55,"Schlochau","MAR",3700,3635,0,0,0,0,0,0
56,"Flatow","MAR",4742,4476,0,0,0,0,0,0
57,"Deutsch-Crone","MAR",3830,3801,0,0,0,142,0,0
58,"Wreschen","POS",2854,2543,20,0,0,0,0,0
59,"Pleschen","POS",3905,3653,0,0,0,0,0,0
60,"Schroda","POS",3414,3616,30,0,0,0,0,0
61,"Schrimm","POS",3764,3698,0,0,0,0,0,0
62,"Kosten","POS",4855,4813,0,0,0,0,0,0
63,"Buk","POS",3868,3970,0,0,0,0,0,0
64,"Posen","POS",4340,3883,0,321,147,0,1068,71
65,"Obornik","POS",3659,3414,26,35,0,0,0,0
66,"Samter","POS",3231,3178,0,0,0,0,0,0
67,"Birnbaum","POS",3292,3259,48,71,0,0,0,0
68,"Meseritz","POS",3417,3237,0,0,199,0,0,77
69,"Schildberg","POS",3635,3406,0,0,0,0,0,0
70,"Bomst","POS",4327,4041,0,0,0,0,0,0
71,"Fraustadt","POS",4549,4483,0,0,115,0,262,0
72,"Kröben","POS",4772,4696,538,497,0,0,0,7
73,"Krotoschin","POS",5279,4962,0,44,0,154,0,0
74,"Adelnau","POS",4799,4763,0,0,0,0,222,0
75,"Tscharnikow","BRO",4612,4483,12,0,0,0,0,0
76,"Chodezien","BRO",4250,4094,54,31,0,0,0,0
77,"Wirsitz","BRO",3900,3642,0,23,0,0,0,0
78,"Bromberg","BRO",3151,2797,255,311,0,0,305,30
79,"Schubin","BRO",3069,2692,24,22,0,0,0,0
80,"Inowrazlaw","BRO",2486,2148,65,0,0,0,0,0
81,"Mogilno","BRO",1857,1953,0,0,0,0,400,0
82,"Gnesen","BRO",2437,2100,0,38,0,0,0,0
83,"Wongrowiz","BRO",2693,2476,15,0,0,0,0,0
84,"Haupt- und Residenzstadt Berlin","POT",12844,12186,3978,6907,2157,288,2420,29
85,"Prenzlau","POT",4344,4088,332,552,0,0,223,0
86,"Templin","POT",3550,3531,692,686,0,0,0,0
87,"Angermünde","POT",4423,4115,1208,944,0,0,0,0
88,"Ober-Barnim","POT",4403,4335,1063,939,0,0,0,0
89,"Nieder-Barnim","POT",5639,5501,724,743,0,0,0,0
90,"Beeskow-Storkow","POT",2986,2870,472,423,0,0,0,0
91,"Teltow","POT",4901,4807,545,564,0,60,0,0
92,"Jüterbock-Luckenwalde","POT",3402,3612,1135,1020,0,0,0,0
93,"Zauch-Belzig","POT",4715,4695,1072,1031,0,0,0,0
94,"Potsdam","POT",1851,1791,1127,265,267,0,331,96
95,"Ost-Havelland","POT",3455,3333,868,863,0,0,0,0
96,"West-Havelland","POT",3746,3805,778,576,0,0,198,0
97,"Ruppin","POT",5855,5557,579,605,0,0,204,0
98,"Ost-Priegnitz","POT",4950,4872,813,770,0,0,0,0
99,"West-Priegnitz","POT",5159,5052,992,905,147,0,0,0
