kreiskey1849,county,rb,fac1849_spin_woolyarn_factories,fac1849_spin_combyarn_factories,fac1849_spin_cotton_factories,fac1849_spin_flax_factories,fac1849_spin_tow_factories,fac1849_fact_thread_factories,fac1849_fact_silk_ao_factories,fac1849_wool_cloth_factories,fac1849_halfwool_cloth_factories,fac1849_cotton_factories,fac1849_linen_factories,fac1849_silk_factories,fac1849_shawl_factories,fac1849_band_factories,fac1849_carpet_factories,fac1849_passement_factories,fac1849_hosiery_factories,fac1849_laces_factories,fac1849_bleach_unit_factories,fac1849_bleach_yarn_factories,fac1849_dye_turkeyred_factories,fac1849_dye_silk_factories,fac1849_dye_others_factories,fac1849_print_factories,mill1849_water_mills,mill1849_post_mills,mill1849_dutchmills,mill1849_animals_mills,mill1849_steam_mills,mill1849_oil_mills,mill1849_fulling_mills,mill1849_tan_mills,mill1849_saw_german_mills,mill1849_saw_dutch_mills,mill1849_saw_circular_mills,mill1849_other_mills,fac1849_ironworks_factories,fac1849_wireworks_factories,fac1849_rake_factories,fac1849_sewingneedle_factories,fac1849_fixingpin_factories,fac1849_ironware_factories,fac1849_steel_factories,fac1849_steelware_factories,fac1849_copperhammer_factories,fac1849_brass_factories,fac1849_smeltery_factories,fac1849_bronzeware_factories,fac1849_engines_factories,fac1849_glassworks_factories,fac1849_grindery_factories,fac1849_mirrorglass_factories,fac1849_porcelain_factories,fac1849_earthenware_factories,fac1849_chemicals_factories,fac1849_potboilery_factories,fac1849_limekiln_factories,fac1849_brickworks_factories,fac1849_tarfurnace_factories,fac1849_cerecloth_factories,fac1849_paper_factories,fac1849_wallpaper_factories,fac1849_rubbergoods_factories,fac1849_leather_factories,fac1849_glue_factories,fac1849_cigar_factories,fac1849_sugarrefinery_factories,fac1849_mangold_sugar_factories,fac1849_starch_factories,fac1849_writing_factories,fac1849_specialpaper_factories,fac1849_cardboard_factories,fac1849_umbrella_factories,fac1849_paintshop_factories,fac1849_gold_silver_factories,fac1849_germansilver_factories,fac1849_gunpowder_factories,fac1849_cement_factories,fac1849_wadding_factories,fac1849_hairspinnery_factories,fac1849_glaze_factories,fac1849_button_factories,fac1849_railwaycar_factories,fac1849_waxproduct_factories,fac1849_chocolate_factories,fac1849_soap_factories,fac1849_vinegar_factories,fac1849_playingcard_factories,fac1849_beer_factories,fac1849_brandy_factories,fac1849_distillery_factories,fac1849_perfumery_factories,fac1849_metalletter_factories,fac1849_threadeye_factories,fac1849_metalfoundry_factories,fac1849_copper_factories,fac1849_gasandcoke_factories,fac1849_flax_factories,fac1849_pineseed_factories,fac1849_fabricflower_factories,fac1849_rope_factories,fac1849_pipetube_factories,fac1849_cheese_factories,fac1849_others_factories
1,"Memel","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,15,4,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Fischhausen","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,22,19,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Königsberg Stadt","KON",2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,3,6,0,5,3,3,3,2,5,0,0,0,9,1,0,1,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,3,3,0,0,0,3,0,2,1,0,0,0,3,5,0,1,0,0,0,5,5,6,0,35,0,37,1,1,0,0,0,0,0,0,0,0,0,0,0
4,"Königsberg Land","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,31,16,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Labiau","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,41,5,24,0,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Welau","KON",1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,20,28,8,16,0,7,0,9,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Gerdauen","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,15,0,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Rastenburg","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,8,6,28,0,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,20,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Friedland","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,10,18,0,9,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,40,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Preuss. Eilau","KON",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,24,9,6,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
