kreiskey1849,county,rb,occ1849_mar_ships,occ1849_mar_capacity,occ1849_river_ships,occ1849_river_capacity,occ1849_carriage_horses,occ1849_inn_carriage_inns
1,"Memel","KON",89,18696,34,1217,99,47
2,"Fischhausen","KON",3,495,45,1254.5,18,74
3,"Königsberg Stadt","KON",41,6489,101,3610,553,38
4,"Königsberg Land","KON",0,0,4,94,22,73
5,"Labiau","KON",0,0,54,1985,14,54
6,"Welau","KON",0,0,74,1494,0,41
7,"Gerdauen","KON",0,0,0,0,0,48
8,"Rastenburg","KON",0,0,0,0,0,30
9,"Friedland","KON",0,0,0,0,0,39
10,"Preuss. Eilau","KON",0,0,0,0,0,64
11,"Heiligenbeil","KON",0,0,24,231.5,20,56
12,"Braunsberg","KON",4,542,32,294,0,53
13,"Heilsberg","KON",0,0,0,0,0,71
14,"Rössel","KON",0,0,0,0,0,40
15,"Allenstein","KON",0,0,0,0,0,51
16,"Ortelsburg","KON",0,0,0,0,0,60
17,"Neidenburg","KON",0,0,0,0,0,62
18,"Osterode","KON",0,0,0,0,0,59
19,"Morungen","KON",0,0,0,0,2,71
20,"Pr. Holland","KON",0,0,14,37,3,80
21,"Heidekrug","GUM",0,0,78,1753,0,58
22,"Niederung","GUM",0,0,40,1111,8,51
23,"Tilsit","GUM",0,0,127,3732,70,92
24,"Ragnit","GUM",0,0,83,2001,7,55
25,"Pillkallen","GUM",0,0,0,0,12,66
26,"Stallupönen","GUM",0,0,0,0,40,65
27,"Gumbinnen","GUM",0,0,0,0,20,72
28,"Insterburg","GUM",0,0,120,2971,12,67
29,"Darkehmen","GUM",0,0,0,0,0,93
30,"Angerburg","GUM",0,0,0,0,0,57
31,"Goldapp","GUM",0,0,0,0,0,59
32,"Oletzko","GUM",0,0,0,0,4,27
33,"Lyck","GUM",0,0,0,0,0,41
34,"Lötzen","GUM",0,0,0,0,0,30
35,"Sensburg","GUM",0,0,2,2,0,88
36,"Johannisburg","GUM",0,0,2,24,0,48
37,"Elbing","DAN",15,2149,128,1842.5,322,50
38,"Marienburg","DAN",0,0,94,772.5,48,75
39,"Danzig Stadt","DAN",108,22977,121,5195.5,392,15
40,"Danzig Land","DAN",1,25,23,472,30,144
41,"Stargard","DAN",0,0,2,32,44,142
42,"Behrend","DAN",0,0,0,0,0,54
43,"Karthaus","DAN",0,0,0,0,0,99
44,"Neustadt","DAN",18,219.5,0,0,0,64
45,"Stuhm","MAR",0,0,12,154,12,83
46,"Marienwerder","MAR",0,0,53,814,20,123
47,"Rosenberg","MAR",0,0,0,0,6,88
48,"Löbau","MAR",0,0,0,0,0,47
49,"Strassburg","MAR",0,0,0,0,0,63
50,"Thorn","MAR",0,0,170,4951,34,114
51,"Culm","MAR",0,0,28,425,0,44
52,"Graudenz","MAR",0,0,38,793,12,75
53,"Schwetz","MAR",0,0,72,1201,37,103
54,"Konitz","MAR",0,0,0,0,17,73
55,"Schlochau","MAR",0,0,0,0,30,70
56,"Flatow","MAR",0,0,0,0,4,71
57,"Deutsch-Crone","MAR",0,0,0,0,22,117
58,"Wreschen","POS",0,0,0,0,20,20
59,"Pleschen","POS",0,0,2,59,6,136
60,"Schroda","POS",0,0,0,0,12,121
61,"Schrimm","POS",0,0,38,902,7,84
62,"Kosten","POS",0,0,0,0,0,104
63,"Buk","POS",0,0,0,0,23,82
64,"Posen","POS",0,0,165,3662,160,102
65,"Obornik","POS",0,0,4,75,10,59
66,"Samter","POS",0,0,19,414,50,112
67,"Birnbaum","POS",0,0,42,961,18,65
68,"Meseritz","POS",0,0,4,50,0,68
69,"Schildberg","POS",0,0,0,0,45,46
70,"Bomst","POS",0,0,0,0,24,66
71,"Fraustadt","POS",0,0,0,0,56,73
72,"Kröben","POS",0,0,0,0,58,115
73,"Krotoschin","POS",0,0,0,0,39,64
74,"Adelnau","POS",0,0,0,0,31,44
75,"Tscharnikow","BRO",0,0,21,477,8,80
76,"Chodezien","BRO",0,0,5,132,3,95
77,"Wirsitz","BRO",0,0,8,127,12,71
78,"Bromberg","BRO",0,0,109,3113,61,92
79,"Schubin","BRO",0,0,0,0,6,71
80,"Inowrazlaw","BRO",0,0,0,0,16,108
81,"Mogilno","BRO",0,0,0,0,4,51
82,"Gnesen","BRO",0,0,0,0,20,65
83,"Wongrowiz","BRO",0,0,0,0,0,73
84,"Haupt- und Residenzstadt Berlin","POT",0,0,569,17010,2906,71
85,"Prenzlau","POT",0,0,0,0,149,103
86,"Templin","POT",0,0,420,10954,31,85
87,"Angermünde","POT",0,0,45,949,232,115
88,"Ober-Barnim","POT",0,0,49,1164,151,116
89,"Nieder-Barnim","POT",0,0,416,12108,67,183
90,"Beeskow-Storkow","POT",0,0,252,5873,6,29
91,"Teltow","POT",0,0,63,1301,134,140
92,"Jüterbock-Luckenwalde","POT",0,0,0,0,33,79
93,"Zauch-Belzig","POT",0,0,93,1980,42,164
94,"Potsdam","POT",0,0,37,733,271,20
95,"Ost-Havelland","POT",0,0,113,3218,71,115
96,"West-Havelland","POT",0,0,231,6006.5,86,136
97,"Ruppin","POT",0,0,89,2992.5,81,165
98,"Ost-Priegnitz","POT",0,0,0,0,12,177
99,"West-Priegnitz","POT",0,0,97,3069,12,194
100,"Königsberg","FRA",0,0,195,3981.5,148,166
101,"Soldin","FRA",0,0,0,0,25,90
102,"Arnswalde","FRA",0,0,3,42.5,36,82
103,"Friedeberg","FRA",0,0,70,1455,110,76
104,"Landsberg","FRA",0,0,235,5478,133,174
105,"Lebus","FRA",0,0,127,2889,97,157
106,"Frankfurt","FRA",0,0,36,988,168,40
107,"Sternberg","FRA",0,0,49,1110,43,197
108,"Züllichau","FRA",0,0,43,898,52,74
109,"Guben","FRA",0,0,192,3153,74,54
110,"Crossen","FRA",0,0,239,5819,61,109
111,"Lübben","FRA",0,0,6,129,50,39
112,"Luckau","FRA",0,0,0,0,77,31
113,"Kalau","FRA",0,0,2,22,53,35
114,"Cottbus","FRA",0,0,1,28,74,24
115,"Sorau","FRA",0,0,0,0,61,17
116,"Spremberg","FRA",0,0,0,0,35,12
117,"Demmin","STE",12,1245,48,938,52,82
118,"Anclam","STE",9,892,21,387,26,62
119,"Usedom-Wollin","STE",36,3197,120,2662,62,52
120,"Uckermünde","STE",103,7282,195,5035,54,77
121,"Randow","STE",199,26716,229,5885,389,135
122,"Greiffenhagen","STE",0,0,13,200,19,80
123,"Pyritz","STE",0,0,0,0,6,80
124,"Saazig","STE",0,0,0,0,32,116
125,"Naugardt","STE",0,0,44,595.5,2,99
126,"Cammin","STE",15,1557,37,851,8,50
127,"Greiffenberg","STE",5,49,0,0,2,30
128,"Regenwalde","STE",0,0,0,0,8,80
129,"Schiefelbein","KOS",0,0,0,0,4,26
130,"Dramburg","KOS",0,0,0,0,4,55
131,"Neustettin","KOS",0,0,0,0,19,97
132,"Belgard","KOS",0,0,0,0,17,56
133,"Fürstenthum","KOS",53,4431,0,0,150,131
134,"Schlawe","KOS",42,2705,0,0,39,68
135,"Rummelsburg","KOS",0,0,0,0,0,21
136,"Stolpe","KOS",27,2498,0,0,9,59
137,"Lauenburg","KOS",0,0,0,0,16,26
138,"Bütow","KOS",0,0,0,0,8,14
139,"Rügen","STR",106,3109,46,505,78,73
140,"Franzburg","STR",400,32348,0,0,164,68
141,"Greifswald","STR",109,12102,79,1553,45,47
142,"Grimmen","STR",6,79,6,123,22,41
143,"Namslau","BRE",0,0,0,0,6,79
144,"Wartenberg","BRE",0,0,0,0,16,66
145,"Oels","BRE",0,0,0,0,28,103
146,"Trebnitz","BRE",0,0,0,0,12,71
147,"Militsch","BRE",0,0,0,0,10,145
148,"Gurau","BRE",0,0,29,668,16,139
149,"Steinau","BRE",0,0,88,2147,21,49
150,"Wolau","BRE",0,0,71,1879,15,109
151,"Neumarkt","BRE",0,0,59,1621,14,120
152,"Breslau","BRE",0,0,163,3557,575,180
153,"Olau","BRE",0,0,136,2489,22,113
154,"Brieg","BRE",0,0,40,714,74,75
155,"Strehlen","BRE",0,0,0,0,33,94
156,"Nimtsch","BRE",0,0,0,0,22,84
157,"Münsterberg","BRE",0,0,0,0,45,38
158,"Frankenstein","BRE",0,0,0,0,34,108
159,"Reichenbach","BRE",0,0,0,0,41,82
160,"Schweidnitz","BRE",0,0,0,0,100,107
161,"Striegau","BRE",0,0,0,0,38,65
162,"Waldenburg","BRE",0,0,0,0,209,81
163,"Glatz","BRE",0,0,0,0,84,114
164,"Habelschwerdt","BRE",0,0,0,0,37,75
165,"Creutzburg","OPP",0,0,0,0,4,38
166,"Rosenberg","OPP",0,0,0,0,0,61
167,"Oppeln","OPP",0,0,94,3115,32,67
168,"Gross-Strehlitz","OPP",0,0,31,487,7,33
169,"Lublinitz","OPP",0,0,0,0,4,86
170,"Tost","OPP",0,0,3,58,17,48
171,"Beuthen","OPP",0,0,20,120,48,60
172,"Pless","OPP",0,0,0,0,2,40
173,"Riebnick","OPP",0,0,0,0,2,54
174,"Ratibor","OPP",0,0,5,101,8,67
175,"Cosel","OPP",0,0,48,1033,11,36
176,"Leobschütz","OPP",0,0,0,0,24,59
177,"Neustadt","OPP",0,0,0,0,26,107
178,"Falkenberg","OPP",0,0,11,158,2,81
179,"Neisse","OPP",0,0,0,0,116,83
180,"Grotkau","OPP",0,0,0,0,13,104
181,"Grünberg","LIE",0,0,21,520.5,15,72
182,"Freistadt","LIE",0,0,196,6241.5,29,102
183,"Sagan","LIE",0,0,0,0,65,39
184,"Sprottau","LIE",0,0,0,0,12,73
185,"Glogau","LIE",0,0,39,958,106,150
186,"Lüben","LIE",0,0,0,0,19,34
187,"Bunzlau","LIE",0,0,0,0,91,103
188,"Hainau-Goldberg","LIE",0,0,0,0,62,88
189,"Liegnitz","LIE",0,0,0,0,117,112
190,"Jauer","LIE",0,0,0,0,48,92
191,"Schönau","LIE",0,0,0,0,10,54
192,"Bolkenhain","LIE",0,0,0,0,8,74
193,"Landshut","LIE",0,0,0,0,30,73
194,"Hirschberg","LIE",0,0,0,0,54,73
