kreiskey1849,county,rb,buil1849_church,buil1849_school,buil1849_asyl,buil1849_police,buil1849_authority,buil1849_military,buil1849_privatehome,buil1849_factory,buil1849_barn
1,"Memel","KON",10,56,8,13,20,4,4286,317,6614
2,"Fischhausen","KON",16,68,2,9,49,46,3080,145,3482
3,"Königsberg Stadt","KON",20,33,65,18,112,76,4044,707,2281
4,"Königsberg Land","KON",18,77,7,3,18,0,3043,189,3718
5,"Labiau","KON",7,68,1,8,6,0,4712,163,4295
6,"Welau","KON",12,66,12,4,18,5,3640,228,4474
7,"Gerdauen","KON",13,66,8,1,24,0,2646,138,3703
8,"Rastenburg","KON",18,86,16,4,17,3,3022,159,4069
9,"Friedland","KON",18,67,12,7,28,3,2980,163,4249
10,"Preuss. Eilau","KON",23,88,8,8,12,0,4159,170,5265
11,"Heiligenbeil","KON",17,69,22,5,28,0,3664,195,4191
12,"Braunsberg","KON",56,69,12,10,221,4,4245,796,5615
13,"Heilsberg","KON",45,93,21,4,30,0,5306,133,6106
14,"Rössel","KON",30,72,7,4,28,0,4532,152,5901
15,"Allenstein","KON",30,73,7,3,13,1,4691,201,8678
16,"Ortelsburg","KON",13,119,7,9,24,2,5802,149,8996
17,"Neidenburg","KON",24,95,3,16,94,0,4561,87,7064
18,"Osterode","KON",27,95,6,5,41,3,5078,114,6352
19,"Morungen","KON",25,87,6,6,6,4,4813,244,5931
20,"Pr. Holland","KON",29,93,10,5,19,3,3831,382,5278
21,"Heidekrug","GUM",9,34,0,2,14,0,3945,132,4270
22,"Niederung","GUM",8,50,2,7,32,0,5331,292,5488
23,"Tilsit","GUM",11,59,6,6,21,5,5467,541,6191
24,"Ragnit","GUM",8,66,3,3,0,0,4763,625,7125
25,"Pillkallen","GUM",7,65,0,5,13,0,4325,1025,7138
26,"Stallupönen","GUM",7,64,2,4,15,0,3627,694,6108
27,"Gumbinnen","GUM",11,77,10,3,28,5,3931,384,6625
28,"Insterburg","GUM",15,82,3,6,78,5,5434,553,7363
29,"Darkehmen","GUM",7,57,2,2,2,0,2701,273,4383
30,"Angerburg","GUM",8,73,4,11,16,3,2976,236,4176
31,"Goldapp","GUM",8,78,2,2,8,0,4036,169,6588
32,"Oletzko","GUM",8,81,10,6,13,0,3689,179,6457
33,"Lyck","GUM",10,83,3,2,20,0,4498,219,7957
34,"Lötzen","GUM",7,70,7,2,18,0,3192,143,4127
35,"Sensburg","GUM",12,87,5,2,100,0,4270,282,5794
36,"Johannisburg","GUM",7,77,7,4,55,0,4230,195,6732
37,"Elbing","DAN",26,77,27,10,136,3,5651,370,2032
38,"Marienburg","DAN",66,117,55,11,436,7,5222,961,5601
39,"Danzig Stadt","DAN",29,31,20,28,107,146,5279,323,2009
40,"Danzig Land","DAN",40,104,19,3,189,15,6177,484,5300
41,"Stargard","DAN",34,78,14,8,69,2,4883,196,5114
42,"Behrend","DAN",19,58,6,11,14,0,3523,95,3860
43,"Karthaus","DAN",19,53,3,4,20,0,4902,74,4223
44,"Neustadt","DAN",66,77,4,16,49,1,5161,96,5224
45,"Stuhm","MAR",24,65,21,3,21,0,3646,142,3713
46,"Marienwerder","MAR",26,94,14,14,66,4,5879,205,4967
47,"Rosenberg","MAR",28,75,6,5,10,20,4085,183,4314
48,"Löbau","MAR",31,59,11,2,15,0,4115,127,5351
49,"Strassburg","MAR",41,71,12,10,91,0,5315,250,6026
50,"Thorn","MAR",50,66,14,6,58,32,4687,341,4981
51,"Culm","MAR",39,71,9,3,24,4,4548,204,4891
52,"Graudenz","MAR",26,76,10,9,22,3,4854,213,4448
53,"Schwetz","MAR",30,97,13,5,85,0,7187,384,6920
54,"Konitz","MAR",39,73,5,5,71,3,6336,216,7745
55,"Schlochau","MAR",60,84,11,4,60,0,5301,145,8042
56,"Flatow","MAR",53,98,5,7,41,0,5909,231,9386
57,"Deutsch-Crone","MAR",102,99,8,8,14,0,5455,246,9411
58,"Wreschen","POS",40,51,2,4,44,0,3144,223,4928
59,"Pleschen","POS",50,74,6,6,252,7,5225,395,7713
60,"Schroda","POS",36,71,7,3,15,0,4416,251,7428
61,"Schrimm","POS",35,71,9,5,280,1,4664,338,7399
62,"Kosten","POS",51,76,12,4,117,6,5520,499,8197
63,"Buk","POS",29,71,6,2,44,0,5384,430,8288
64,"Posen","POS",52,72,31,32,283,72,6527,455,8500
65,"Obornik","POS",29,69,7,4,251,0,3763,289,6414
66,"Samter","POS",28,57,8,3,76,1,4043,262,5951
67,"Birnbaum","POS",39,66,10,4,374,0,3936,440,7523
68,"Meseritz","POS",42,78,6,4,199,0,4740,225,8317
69,"Schildberg","POS",44,68,8,7,61,1,6210,214,8070
70,"Bomst","POS",33,89,9,3,73,1,5969,313,9343
71,"Fraustadt","POS",58,78,44,11,152,12,6752,733,8073
72,"Kröben","POS",51,70,19,14,163,2,7773,656,10236
73,"Krotoschin","POS",41,73,13,13,229,6,6307,456,9941
74,"Adelnau","POS",27,60,2,4,88,1,5007,320,8198
75,"Tscharnikow","BRO",58,96,2,5,50,0,5642,316,10446
76,"Chodezien","BRO",30,80,9,5,26,4,4444,325,7504
77,"Wirsitz","BRO",40,79,4,13,23,13,4123,337,7132
78,"Bromberg","BRO",32,85,8,10,135,15,5937,458,6639
79,"Schubin","BRO",30,75,3,4,17,0,4715,288,6992
80,"Inowrazlaw","BRO",41,74,3,3,52,12,5765,474,7119
81,"Mogilno","BRO",67,50,4,3,21,0,3560,298,5414
82,"Gnesen","BRO",49,61,3,5,56,5,4862,324,7511
83,"Wongrowiz","BRO",42,71,6,1,30,0,4162,264,6810
84,"Haupt- und Residenzstadt Berlin","POT",43,74,40,56,177,124,9155,634,6548
85,"Prenzlau","POT",100,114,25,8,205,5,4485,391,8099
86,"Templin","POT",72,83,19,10,211,0,4081,284,6908
87,"Angermünde","POT",81,91,23,9,102,7,5006,313,8045
