kreiskey1849,county,rb,occ1849_farming_main_occu,occ1849_farming_subsidiary_occu,occ1849_servant_m_farm,occ1849_servant_f_farm
1,"Memel","KON",17654,877,2402,2023
2,"Fischhausen","KON",20593,3595,2358,2010
3,"Königsberg Stadt","KON",82,74,677,515
4,"Königsberg Land","KON",27953,3571,3016,2481
5,"Labiau","KON",35428,404,1906,1997
6,"Welau","KON",27111,4725,2217,2217
7,"Gerdauen","KON",23712,1733,1847,1851
8,"Rastenburg","KON",23170,1553,2386,2198
9,"Friedland","KON",22507,4296,2052,2071
10,"Preuss. Eilau","KON",25692,3765,2471,2067
11,"Heiligenbeil","KON",18379,2857,2025,1944
12,"Braunsberg","KON",22131,4104,2299,2388
13,"Heilsberg","KON",27790,8602,2555,2226
14,"Rössel","KON",20319,6244,2108,1954
15,"Allenstein","KON",21930,1175,2118,1448
16,"Ortelsburg","KON",28726,3618,1576,1245
17,"Neidenburg","KON",27086,3007,2134,1308
18,"Osterode","KON",29839,4258,1635,1381
19,"Morungen","KON",27756,5018,1967,1633
20,"Pr. Holland","KON",23374,3182,2357,2076
21,"Heidekrug","GUM",17209,571,1045,975
22,"Niederung","GUM",34382,1803,1834,2191
23,"Tilsit","GUM",29607,1802,2227,2063
24,"Ragnit","GUM",22902,7270,1919,1528
25,"Pillkallen","GUM",26016,9173,3285,1644
26,"Stallupönen","GUM",18813,6159,2589,1561
27,"Gumbinnen","GUM",30716,3384,2163,1517
28,"Insterburg","GUM",40253,1845,1826,1681
29,"Darkehmen","GUM",19504,1706,1745,1280
30,"Angerburg","GUM",14406,160,1580,1470
31,"Goldapp","GUM",19483,1557,1684,1341
32,"Oletzko","GUM",24328,759,1667,1183
33,"Lyck","GUM",24882,6004,2259,1413
34,"Lötzen","GUM",10231,3963,1281,1200
35,"Sensburg","GUM",30809,4687,1691,1724
36,"Johannisburg","GUM",24730,1448,1953,1351
37,"Elbing","DAN",22733,6625,1633,1803
38,"Marienburg","DAN",21036,4107,3490,2898
39,"Danzig Stadt","DAN",37,247,554,2325
40,"Danzig Land","DAN",28512,5769,3247,2772
41,"Stargard","DAN",27744,1874,2150,1605
42,"Behrend","DAN",25591,1567,1105,860
43,"Karthaus","DAN",34380,1979,1272,897
44,"Neustadt","DAN",32184,2922,1750,1354
45,"Stuhm","MAR",18911,2413,1618,1183
46,"Marienwerder","MAR",24862,6305,2906,2489
47,"Rosenberg","MAR",21735,2356,1555,1504
48,"Löbau","MAR",19225,994,2752,1592
49,"Strassburg","MAR",36591,960,2572,1640
50,"Thorn","MAR",24830,4136,2984,1741
51,"Culm","MAR",20295,1362,1994,1711
52,"Graudenz","MAR",23483,8127,2278,1426
53,"Schwetz","MAR",28711,7053,2155,1859
54,"Konitz","MAR",19063,831,2064,1360
55,"Schlochau","MAR",25337,6337,1853,1163
56,"Flatow","MAR",26976,2397,1788,1002
57,"Deutsch-Crone","MAR",12886,4185,1846,1473
58,"Wreschen","POS",11090,8927,2084,1595
59,"Pleschen","POS",28638,5788,2515,2329
60,"Schroda","POS",26720,2365,2979,2784
61,"Schrimm","POS",26430,1828,3007,2714
62,"Kosten","POS",26111,6269,2862,2375
63,"Buk","POS",26924,3045,2052,1447
64,"Posen","POS",29693,1154,3899,2614
65,"Obornik","POS",27930,2444,2050,1885
66,"Samter","POS",19530,1725,1511,1430
67,"Birnbaum","POS",20719,2093,1679,1584
68,"Meseritz","POS",21603,2061,1381,1116
69,"Schildberg","POS",33637,2276,1890,1519
70,"Bomst","POS",19242,2971,1853,1469
71,"Fraustadt","POS",29881,5203,2427,2306
72,"Kröben","POS",26808,6018,3426,2824
73,"Krotoschin","POS",24501,1794,3484,1875
74,"Adelnau","POS",24844,1285,2630,1714
75,"Tscharnikow","BRO",21202,9131,1942,1847
76,"Chodezien","BRO",27789,2703,1487,1416
77,"Wirsitz","BRO",31210,922,1839,1504
78,"Bromberg","BRO",20108,6770,1716,1307
79,"Schubin","BRO",28797,3202,1595,1387
80,"Inowrazlaw","BRO",43227,3619,4611,2690
81,"Mogilno","BRO",23328,2508,2516,1729
82,"Gnesen","BRO",31713,1456,3524,2631
83,"Wongrowiz","BRO",32430,792,3267,1957
84,"Haupt- und Residenzstadt Berlin","POT",452,87,2391,3221
85,"Prenzlau","POT",18504,3075,3246,2276
86,"Templin","POT",13781,9030,1386,1222
87,"Angermünde","POT",15966,10953,2361,2103
88,"Ober-Barnim","POT",18220,3716,2077,1757
89,"Nieder-Barnim","POT",19758,7005,2488,2606
90,"Beeskow-Storkow","POT",15018,8126,1230,1114
91,"Teltow","POT",21620,5927,2121,2145
92,"Jüterbock-Luckenwalde","POT",16825,4095,1750,1665
93,"Zauch-Belzig","POT",18809,8287,2582,2594
94,"Potsdam","POT",61,0,382,1226
95,"Ost-Havelland","POT",20815,4639,2614,2579
96,"West-Havelland","POT",23542,4250,2364,2356
97,"Ruppin","POT",17280,1849,2427,2580
98,"Ost-Priegnitz","POT",30353,8971,2597,2095
99,"West-Priegnitz","POT",20744,5446,2094,2231
100,"Königsberg","FRA",27285,7534,2737,2559
101,"Soldin","FRA",15840,2111,1266,979
102,"Arnswalde","FRA",18952,6575,1649,1386
103,"Friedeberg","FRA",20568,4003,1264,1464
104,"Landsberg","FRA",26201,5753,1593,1919
105,"Lebus","FRA",28079,7240,3229,2393
106,"Frankfurt","FRA",1200,2000,1200,3715
107,"Sternberg","FRA",30385,5176,2580,2186
108,"Züllichau","FRA",14489,3579,1382,1270
109,"Guben","FRA",22956,4008,1377,1482
110,"Crossen","FRA",23487,5592,1477,1488
111,"Lübben","FRA",15318,4037,1137,971
112,"Luckau","FRA",25340,9818,1588,1517
113,"Kalau","FRA",25327,5999,1544,1651
114,"Cottbus","FRA",28114,5187,1332,1329
115,"Sorau","FRA",26558,8847,1748,2484
116,"Spremberg","FRA",7528,2665,330,572
117,"Demmin","STE",18289,2601,1786,1539
118,"Anclam","STE",12846,5570,884,1159
119,"Usedom-Wollin","STE",8806,5380,848,1167
120,"Uckermünde","STE",6581,6170,574,667
121,"Randow","STE",44963,20415,2770,2298
122,"Greiffenhagen","STE",17705,5797,1911,1517
123,"Pyritz","STE",27531,2911,2201,1462
124,"Saazig","STE",24780,3159,2033,1513
125,"Naugardt","STE",24273,4192,1512,1311
126,"Cammin","STE",22302,2663,1409,1391
127,"Greiffenberg","STE",17637,5204,1804,1393
128,"Regenwalde","STE",26458,2727,1475,1304
129,"Schiefelbein","KOS",9797,1748,722,552
130,"Dramburg","KOS",16063,3846,1038,801
131,"Neustettin","KOS",27494,6301,1791,1119
132,"Belgard","KOS",16374,4513,1335,1166
133,"Fürstenthum","KOS",48899,6384,3410,3066
134,"Schlawe","KOS",32951,6367,3078,2757
135,"Rummelsburg","KOS",15345,2424,721,607
136,"Stolpe","KOS",48906,8418,2608,2250
137,"Lauenburg","KOS",24916,2128,1259,1108
138,"Bütow","KOS",6514,8180,766,571
139,"Rügen","STR",21982,4974,2897,1900
140,"Franzburg","STR",18048,6819,2018,1867
141,"Greifswald","STR",10035,595,1951,1767
142,"Grimmen","STR",17231,3825,2113,1889
143,"Namslau","BRE",16149,2087,1870,1577
144,"Wartenberg","BRE",26955,3910,1975,1723
145,"Oels","BRE",29513,4301,3521,2980
146,"Trebnitz","BRE",30562,6975,3692,3094
147,"Militsch","BRE",30757,4841,2594,2061
148,"Gurau","BRE",17988,3401,2052,1713
149,"Steinau","BRE",9663,1789,1193,943
150,"Wolau","BRE",23448,3693,2365,1912
151,"Neumarkt","BRE",25323,4110,2637,2629
152,"Breslau","BRE",26949,3698,5208,4198
153,"Olau","BRE",27417,4334,2283,2230
154,"Brieg","BRE",19811,3539,2067,1944
155,"Strehlen","BRE",13400,1787,1476,1323
156,"Nimtsch","BRE",19621,3107,1678,1515
157,"Münsterberg","BRE",14766,2948,1515,1645
158,"Frankenstein","BRE",17607,3701,1844,2303
159,"Reichenbach","BRE",11593,5034,1522,2065
160,"Schweidnitz","BRE",23700,5333,3088,2944
161,"Striegau","BRE",11101,2787,1607,1413
162,"Waldenburg","BRE",10205,6347,1349,1695
163,"Glatz","BRE",19174,10424,1805,2673
164,"Habelschwerdt","BRE",17275,11086,1283,1980
165,"Creutzburg","OPP",21819,5278,1801,1772
166,"Rosenberg","OPP",24558,5945,1104,1132
167,"Oppeln","OPP",33985,7369,1671,2077
168,"Gross-Strehlitz","OPP",16657,11250,1157,1376
169,"Lublinitz","OPP",20099,2851,1492,1644
170,"Tost","OPP",33562,7312,1480,2005
171,"Beuthen","OPP",7671,11191,1839,2520
172,"Pless","OPP",24635,3482,2034,1962
173,"Riebnick","OPP",27641,7310,895,1403
174,"Ratibor","OPP",39553,10507,2523,2722
175,"Cosel","OPP",24358,5440,1383,1633
176,"Leobschütz","OPP",40106,9131,2322,2916
177,"Neustadt","OPP",43523,8901,1836,2583
178,"Falkenberg","OPP",28325,261,1377,1172
179,"Neisse","OPP",37579,13939,2399,3142
180,"Grotkau","OPP",33883,382,2599,4083
181,"Grünberg","LIE",20559,4568,1490,1770
182,"Freistadt","LIE",20807,3100,2534,2449
183,"Sagan","LIE",14200,8273,2038,2397
184,"Sprottau","LIE",11986,2900,1638,1462
185,"Glogau","LIE",23579,9240,3418,3220
186,"Lüben","LIE",15117,2528,1528,1204
187,"Bunzlau","LIE",15058,7415,2083,2379
188,"Hainau-Goldberg","LIE",18051,5447,2849,2720
189,"Liegnitz","LIE",20672,4360,3232,2930
190,"Jauer","LIE",10214,2924,1652,1555
191,"Schönau","LIE",7484,4593,1429,1148
192,"Bolkenhain","LIE",10350,3729,1659,1622
193,"Landshut","LIE",8134,6007,1201,1106
194,"Hirschberg","LIE",7709,8026,953,1231
195,"Löwenberg","LIE",14660,11784,2128,2138
196,"Lauban","LIE",14232,11719,1684,2151
197,"Görlitz","LIE",25440,3135,2625,3003
198,"Rothenburg","LIE",25020,7434,1391,1947
199,"Hoyerswerda","LIE",17354,4897,841,1096
200,"Osterburg","MAG",24735,4489,2619,1976
201,"Salzwedel","MAG",14890,4668,1208,1558
202,"Gardelegen","MAG",14623,20341,1818,1968
203,"Stendal","MAG",18999,5781,2045,1889
204,"Jerichow II","MAG",19271,10283,2068,2155
205,"Jerichow I","MAG",18837,7277,2113,1798
206,"Calbe","MAG",9879,4472,1016,1145
207,"Magdeburg","MAG",793,43,468,874
208,"Wanzleben","MAG",12020,4991,1441,1485
209,"Wollmirstädt","MAG",14680,3431,1491,1648
210,"Neuhaldensleben","MAG",12608,6333,1678,1523
211,"Oschersleben","MAG",11797,8028,1180,1036
212,"Aschersleben","MAG",7506,5348,1053,1066
213,"Halberstadt","MAG",19332,4900,1521,1169
214,"Grafschaft Wernigerode","MAG",3568,1563,325,490
215,"Liebenwerda","MER",14889,5264,916,1049
216,"Torgau","MER",16538,4923,1647,1869
217,"Schweinitz","MER",21212,4754,1334,1308
218,"Wittenberg","MER",20176,4222,1482,1747
219,"Bitterfeld","MER",11122,4132,1185,1562
220,"Delitsch","MER",20621,3936,1988,2433
221,"Saal-Kreis","MER",13975,2634,1422,1883
222,"Halle","MER",1500,200,325,110
223,"Seekreis Mannsfeld","MER",19319,9052,1247,1511
224,"Gebirgskreis Mannsfeld","MER",6399,9237,587,967
225,"Sangerhausen","MER",13239,8252,1009,1644
226,"Eckartsberga","MER",18685,6033,735,1086
227,"Querfurt","MER",23432,8990,1159,1648
228,"Merseburg","MER",25066,7079,1198,2210
229,"Weissenfels","MER",20872,4003,1314,2310
230,"Naumburg","MER",8074,701,408,1024
231,"Zeitz","MER",9476,2468,841,1277
232,"Nordhausen","ERF",7136,4748,1203,1213
233,"Worbis","ERF",10283,7971,553,923
234,"Heiligenstadt","ERF",9523,7088,516,933
235,"Mühlhausen","ERF",8907,15433,492,900
236,"Langensalza","ERF",12857,5525,521,948
237,"Weissensee","ERF",13689,4396,452,667
238,"Erfurt","ERF",14756,4072,645,1252
239,"Ziegenrück","ERF",5092,3407,372,471
240,"Schleusingen","ERF",3793,9508,203,689
241,"Tecklenburg","MUN",28914,6212,1664,2590
242,"Warendorf","MUN",14898,3210,1470,2175
243,"Beckum","MUN",14367,10422,2311,2543
244,"Lüdinghausen","MUN",18694,8948,1948,2700
245,"Landkreis Münster","MUN",17703,8267,2446,3138
246,"Stadt Münster","MUN",0,0,141,1603
247,"Steinfurt","MUN",17817,7013,1782,2511
248,"Coesfeld","MUN",20135,10080,2082,2904
249,"Ahaus","MUN",21872,14424,1130,1788
250,"Borken","MUN",19691,11941,1672,2352
251,"Recklinghausen","MUN",16224,9475,1373,2497
252,"Minden","MIN",17366,14140,1919,2044
253,"Lübbecke","MIN",16248,10758,1252,1584
254,"Herfort","MIN",22361,10002,1124,1766
255,"Halle","MIN",21575,8926,948,1265
256,"Bielefeld","MIN",17020,15335,1162,1668
257,"Wiedenbrück","MIN",22205,6320,1092,1366
258,"Paderborn","MIN",20018,4174,711,1119
259,"Büren","MIN",15441,3860,981,983
260,"Warburg","MIN",9197,1660,911,1030
261,"Höxter","MIN",13882,4917,1002,1194
262,"Arnsberg","ARN",10846,3384,1106,1741
263,"Meschede","ARN",13306,7904,1250,1609
264,"Brillon","ARN",8589,12129,659,974
265,"Lippstadt","ARN",12316,6876,1329,1803
266,"Soest","ARN",14708,1821,2090,2565
267,"Hamm","ARN",12532,7293,1809,2652
