kreiskey1849,county,rb,occ1849_baker_master,occ1849_baker_assi,occ1849_pastrychef_master,occ1849_pastrychef_assi,occ1849_butcher_master,occ1849_butcher_assi,occ1849_soapboiler_master,occ1849_soapboiler_assi,occ1849_tanner_master,occ1849_tanner_assi,occ1849_shoemaker_master,occ1849_shoemaker_assi,occ1849_glover_master,occ1849_glover_assi,occ1849_furrier_master,occ1849_furrier_assi,occ1849_lorimer_master,occ1849_lorimer_assi,occ1849_ropemaker_master,occ1849_ropemaker_assi,occ1849_sailmaker_master,occ1849_sailmaker_assi,occ1849_firehosemaker_master,occ1849_firehosemaker_assi,occ1849_tailor_master,occ1849_tailor_assi,occ1849_passementer_self_emp,occ1849_passementer_assi,occ1849_milliner_self_emp,occ1849_milliner_assi,occ1849_embroiderer_self_emp,occ1849_embroiderer_assi,occ1849_paperhanger_self_emp,occ1849_paperhanger_assi,occ1849_hatter_master,occ1849_hatter_assi,occ1849_cloth_cutter_self_emp,occ1849_cloth_cutter_assi,occ1849_dyer_self_emp,occ1849_dyer_assi,occ1849_bleacher_self_emp,occ1849_bleacher_assi,occ1849_carpenter_self_emp,occ1849_carpenter_assi,occ1849_carpenter_patchers,occ1849_wellsinker_master,occ1849_wellsinker_assi,occ1849_cabinetmaker_master,occ1849_cabinetmaker_assi,occ1849_wheelwright_master,occ1849_wheelwright_assi,occ1849_wainwright_master,occ1849_wainwright_assi,occ1849_cooper_master,occ1849_cooper_assi,occ1849_turner_master,occ1849_turner_assi,occ1849_manufacturer_f_self_emp,occ1849_manufacturer_f_assi,occ1849_manufacturer_c_self_emp,occ1849_manufacturer_c_assi,occ1849_combmaker_master,occ1849_combmaker_assi,occ1849_brushmaker_master,occ1849_brushmaker_assi,occ1849_basketmaker_master,occ1849_basketmaker_assi,occ1849_bricklayer_master,occ1849_bricklayer_assi,occ1849_bricklayer_patchers,occ1849_slater_master,occ1849_slater_assi,occ1849_stonemason_master,occ1849_stonemason_assi,occ1849_paver_master,occ1849_paver_assi,occ1849_chimneysweep_self_emp,occ1849_chimneysweep_assi,occ1849_potter_master,occ1849_potter_assi,occ1849_glazier_master,occ1849_glazier_assi,occ1849_colourist_self_emp,occ1849_colourist_assi,occ1849_painter_self_emp,occ1849_painter_assi,occ1849_lacquerer_self_emp,occ1849_lacquerer_assi,occ1849_sculptor_self_emp,occ1849_sculptor_assi,occ1849_blacksmith_master,occ1849_blacksmith_assi,occ1849_locksmith_master,occ1849_locksmith_assi,occ1849_beltmaker_master,occ1849_beltmaker_assi,occ1849_millwright_self_emp,occ1849_millwright_assi,occ1849_spoolmaker_self_emp,occ1849_spoolmaker_assi,occ1849_coppersmith_master,occ1849_coppersmith_assi,occ1849_bellfounder_master,occ1849_bellfounder_assi,occ1849_tinmoulder_master,occ1849_tinmoulder_assi,occ1849_plumber_master,occ1849_plumber_assi,occ1849_wiredrawer_master,occ1849_wiredrawer_assi,occ1849_sc_instrument_self_emp,occ1849_sc_instrument_assi,occ1849_mus_instrument_self_emp,occ1849_mus_instrument_assi,occ1849_clockmaker_self_emp,occ1849_clockmaker_assi,occ1849_goldsmith_self_emp,occ1849_goldsmith_assi,occ1849_stonecutter_self_emp,occ1849_stonecutter_assi,occ1849_gold_beater_self_emp,occ1849_gold_beater_assi,occ1849_barber_self_emp,occ1849_barber_assi,occ1849_hairdresser_self_emp,occ1849_hairdresser_assi,occ1849_fisher_self_emp,occ1849_fisher_assi,occ1849_gardener_self_emp,occ1849_gardener_assi,occ1849_bookbinder_self_emp,occ1849_bookbinder_assi,occ1849_goldborder_self_emp,occ1849_goldborder_assi,occ1849_papiermache_self_emp,occ1849_papiermache_assi,occ1849_umbrellamaker_self_emp,occ1849_umbrellamaker_assi,occ1849_cigarmaker_self_emp,occ1849_cigarmaker_assi,occ1849_plasterfigurine_self_emp,occ1849_plasterfigurine_assi,occ1849_waxcandlemaker_self_emp,occ1849_waxcandlemaker_assi,occ1849_waddingmaker_self_emp,occ1849_waddingmaker_assi,occ1849_blanketmaker_self_emp,occ1849_blanketmaker_assi,occ1849_carder_self_emp,occ1849_carder_assi,occ1849_yarnspinner_self_emp,occ1849_yarnspinner_assi,occ1849_ingnitermaker_self_emp,occ1849_ingnitermaker_assi,occ1849_product_corn_self_emp,occ1849_product_corn_assi,occ1849_writing_utens_self_emp,occ1849_writing_utens_assi,occ1849_autioneer_self_emp,occ1849_autioneer_assi,occ1849_executioner_self_emp,occ1849_executioner_assi,occ1849_musicteacher_self_emp,occ1849_musicteacher_assi,occ1849_actor_self_emp,occ1849_actor_assi,occ1849_cleaner_self_emp,occ1849_cleaner_assi,occ1849_metalworker_self_emp,occ1849_metalworker_assi,occ1849_pastoralist_self_emp,occ1849_pastoralist_assi,occ1849_bargee_self_emp,occ1849_bargee_assi,occ1849_tinker_self_emp,occ1849_tinker_assi,occ1849_thatcher_self_emp,occ1849_thatcher_assi,occ1849_charburner_self_emp,occ1849_charburner_assi,occ1849_castrator_self_emp,occ1849_castrator_assi
1,"Memel","KON",26,45,6,10,37,41,3,1,2,1,166,85,1,0,5,5,14,7,12,34,7,26,0,0,133,85,3,1,15,15,3,3,1,0,4,2,2,1,3,2,1,1,11,448,11,1,1,51,86,10,11,1,1,45,72,9,5,2,1,6,2,2,0,3,1,1,0,4,143,8,0,0,0,2,2,4,5,5,12,12,14,8,0,0,15,14,0,0,0,0,76,55,16,35,4,2,2,1,0,0,2,8,0,0,1,0,9,15,2,1,2,2,0,0,5,4,4,4,1,0,0,0,9,0,1,0,239,40,6,2,8,11,0,0,0,0,1,0,2,1,0,0,0,0,3,0,0,0,3,4,10,0,0,0,2,1,0,0,14,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Fischhausen","KON",22,18,2,3,22,12,0,0,2,3,95,51,0,0,4,3,19,12,5,4,1,3,0,0,126,64,0,0,24,0,0,0,0,0,0,0,0,0,7,5,0,0,14,99,6,2,2,71,29,52,15,0,0,11,4,3,2,0,0,2,0,0,0,0,0,0,0,13,45,7,0,1,0,0,0,0,2,4,11,9,11,5,0,0,4,0,0,0,0,0,107,55,9,12,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,101,72,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Königsberg Stadt","KON",141,347,17,86,119,188,11,9,12,26,425,887,9,13,38,86,39,78,28,54,5,13,0,0,220,578,13,14,24,75,6,4,14,26,8,34,13,16,20,21,38,1,10,434,3,3,9,175,716,27,46,6,21,90,147,41,70,0,0,12,3,5,4,14,29,12,19,12,423,3,0,0,2,12,5,37,8,41,32,135,42,27,19,7,56,105,1,3,2,5,43,129,83,243,17,17,0,0,0,0,8,28,3,6,10,4,43,98,9,11,16,33,11,52,30,25,24,61,5,2,0,0,37,44,6,8,14,10,164,110,38,55,1,0,1,2,3,0,4,11,2,4,2,1,8,6,0,0,2,5,0,51,3,4,2,5,2,0,113,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Königsberg Land","KON",7,3,0,0,18,7,0,0,1,0,88,13,0,0,2,0,31,13,5,0,0,0,0,0,109,24,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,19,27,17,0,0,53,27,71,20,0,0,10,5,4,0,0,0,1,0,0,0,0,0,1,0,15,16,32,1,0,0,0,0,0,0,0,7,3,3,1,0,0,0,0,0,0,0,0,119,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,34,23,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,"Labiau","KON",26,10,0,0,18,16,0,0,14,11,155,80,0,0,17,21,24,7,8,6,0,0,0,0,107,69,0,0,5,0,0,0,0,0,1,1,0,0,7,8,0,0,12,124,4,0,0,64,28,24,8,0,0,27,7,8,4,0,0,0,0,2,2,0,0,2,0,8,117,2,0,0,0,0,1,0,1,2,21,12,9,2,0,0,3,3,0,0,0,0,88,27,8,6,1,0,0,1,0,0,2,1,0,0,0,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,143,254,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Welau","KON",19,36,1,4,35,40,1,1,19,16,122,99,2,1,10,6,33,11,9,11,0,0,0,0,153,95,0,0,13,4,0,0,0,0,2,0,1,0,13,22,0,0,6,100,29,1,2,84,46,55,16,0,0,40,23,16,2,0,0,1,0,2,0,2,0,9,0,5,159,41,0,1,0,0,0,0,2,4,24,26,11,9,0,0,3,6,0,0,0,0,115,67,18,30,0,0,2,1,0,0,3,4,0,0,0,0,5,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,5,1,10,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Gerdauen","KON",15,9,3,2,20,14,0,0,8,4,94,43,0,0,19,8,20,6,7,7,0,0,0,0,102,36,0,0,4,0,0,0,0,0,1,1,0,0,9,9,0,0,1,58,2,1,0,70,25,62,10,0,0,25,13,20,11,0,0,0,0,0,0,0,0,0,0,0,75,1,3,9,0,0,0,0,2,3,20,11,8,2,0,0,1,0,0,0,0,0,100,22,20,15,0,0,0,0,0,0,3,1,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
8,"Rastenburg","KON",24,27,2,0,33,26,2,5,7,12,100,60,2,0,22,17,24,20,8,3,0,0,0,0,101,57,0,0,5,0,0,0,1,2,1,0,1,0,8,15,0,0,7,47,13,2,0,68,46,43,24,0,0,15,9,10,5,0,0,1,0,1,1,0,0,0,0,3,56,13,2,0,1,0,1,0,1,2,13,25,9,4,0,0,2,3,0,0,0,0,95,58,13,14,0,0,3,17,2,2,3,0,1,3,0,0,3,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,13,12,4,1,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9,"Friedland","KON",39,25,3,4,45,30,0,0,19,9,152,89,2,1,34,26,20,20,13,5,0,0,0,0,97,67,0,0,8,0,0,0,0,0,3,0,7,5,16,18,0,0,11,66,19,1,0,74,60,48,28,2,4,23,13,18,9,0,0,1,0,1,0,0,0,2,0,6,94,3,0,1,0,0,0,0,3,4,23,23,10,4,0,0,4,0,0,0,0,0,103,70,29,36,1,1,0,0,0,0,4,3,0,0,0,0,5,4,5,1,0,0,0,0,3,0,1,1,0,0,0,0,7,1,0,0,1,1,12,13,6,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
10,"Preuss. Eilau","KON",34,16,1,1,31,19,0,0,14,9,146,63,1,1,23,9,28,15,7,4,0,0,0,0,118,40,0,0,10,6,0,0,0,0,2,2,4,1,14,11,0,0,15,27,12,3,0,96,42,69,13,0,0,27,8,13,6,0,0,0,0,1,0,0,0,2,2,10,45,10,2,3,0,0,0,0,3,2,18,14,11,2,0,0,1,0,0,0,0,0,119,53,19,12,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,27,27,0,0,0,0,0,0,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Heiligenbeil","KON",31,18,1,0,21,10,0,0,12,6,165,64,0,0,16,3,24,15,6,4,0,0,0,0,85,46,0,0,2,0,0,0,0,0,1,0,40,19,10,9,0,0,2,59,0,1,1,92,43,51,16,0,0,25,6,21,20,0,0,3,0,1,0,0,0,3,2,1,69,2,1,0,0,0,1,0,1,2,19,16,10,0,0,0,4,1,0,0,0,0,103,63,21,19,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,384,62,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Braunsberg","KON",50,27,3,2,39,20,3,3,23,15,293,144,8,0,26,23,30,17,17,5,0,0,0,0,162,83,1,1,13,2,0,0,0,0,11,11,1,0,14,17,0,0,4,77,7,1,2,117,76,62,25,0,0,46,17,24,11,0,0,7,0,4,2,6,0,3,3,5,124,1,1,3,0,0,2,0,5,3,39,32,17,6,0,0,8,7,1,0,1,1,117,66,36,33,0,0,0,0,2,2,3,1,1,0,3,1,11,7,2,2,1,0,1,1,6,0,2,1,0,0,0,0,12,5,0,0,36,13,3,2,7,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,4,119,0,3,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Heilsberg","KON",26,13,1,2,21,4,1,0,11,4,159,93,5,0,24,14,21,7,6,5,0,0,0,0,127,59,1,0,5,0,0,0,0,0,6,3,1,0,7,8,0,0,4,49,2,0,0,89,44,57,26,0,0,24,8,17,8,0,0,0,0,0,0,0,0,2,0,2,49,0,1,0,0,0,0,0,2,3,24,24,11,6,0,0,3,0,0,0,0,0,135,59,18,25,0,0,0,0,3,2,3,2,0,0,0,0,4,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,8,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,"Rössel","KON",40,19,3,0,27,15,0,0,23,11,233,86,1,0,38,16,24,14,18,15,0,0,0,0,148,54,3,0,11,0,0,0,0,0,3,0,6,6,13,13,1,0,2,37,2,0,0,81,36,59,16,0,0,23,14,15,6,0,0,4,0,1,0,3,0,0,0,4,44,2,1,0,0,0,0,0,2,1,36,13,17,2,1,1,4,1,0,0,1,0,112,41,27,16,0,0,0,0,45,38,2,2,0,0,0,0,5,2,10,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,7,0,1,2,0,0,1,0,0,0,13,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
