kreiskey1849,county,rb,fac1849_spin_woolyarn_workers,fac1849_spin_combyarn_workers,fac1849_spin_cotton_workers,fac1849_spin_flax_workers,fac1849_spin_tow_workers,fac1849_looms_silk_masters,fac1849_looms_silk_assistants,fac1849_looms_cotton_masters,fac1849_looms_cotton_assistants,fac1849_looms_linen_masters,fac1849_looms_linen_assistants,fac1849_looms_wool_masters,fac1849_looms_wool_assistants,fac1849_looms_hosiery_masters,fac1849_looms_hosiery_assistants,fac1849_looms_band_masters,fac1849_looms_band_assistants,fac1849_looms_others_masters,fac1849_looms_others_assistants,fac1849_fact_thread_workers,fac1849_fact_silk_ao_workers,fac1849_wool_cloth_workers,fac1849_halfwool_cloth_workers,fac1849_cotton_workers,fac1849_linen_workers,fac1849_silk_workers,fac1849_shawl_workers,fac1849_band_workers,fac1849_carpet_workers,fac1849_passement_workers,fac1849_hosiery_workers,fac1849_laces_workers,fac1849_bleach_unit_workers,fac1849_bleach_yarn_workers,fac1849_dye_turkeyred_workers,fac1849_dye_silk_workers,fac1849_dye_others_workers,fac1849_print_workers,mill1849_water_masters,mill1849_water_assistants,mill1849_post_mills_masters,mill1849_post_mills_assistants,mill1849_dutchmills_masters,mill1849_dutchmills_assistants,mill1849_animals_workers,mill1849_steam_workers,mill1849_oil_workers,mill1849_fulling_workers,mill1849_tan_workers,mill1849_saw_german_workers,mill1849_saw_dutch_workers,mill1849_saw_circular_workers,mill1849_other_workers,fac1849_ironworks_workers,fac1849_wireworks_workers,fac1849_rake_workers,fac1849_sewingneedle_workers,fac1849_fixingpin_workers,fac1849_ironware_workers,fac1849_steel_workers,fac1849_steelware_workers,fac1849_copperhammer_workers,fac1849_brass_workers,fac1849_smeltery_workers,fac1849_bronzeware_workers,fac1849_engines_workers,fac1849_glassworks_workers,fac1849_grindery_workers,fac1849_mirrorglass_workers,fac1849_porcelain_workers,fac1849_earthenware_workers,fac1849_chemicals_workers,fac1849_potboilery_workers,fac1849_limekiln_workers,fac1849_brickworks_workers,fac1849_tarfurnace_workers,fac1849_cerecloth_workers,fac1849_paper_workers,fac1849_wallpaper_workers,fac1849_rubbergoods_workers,fac1849_leather_workers,fac1849_glue_workers,fac1849_cigar_workers,fac1849_sugarrefinery_workers,fac1849_mangold_sugar_workers,fac1849_starch_workers,fac1849_writing_workers,fac1849_specialpaper_workers,fac1849_cardboard_workers,fac1849_umbrella_workers,fac1849_paintshop_workers,fac1849_gold_silver_workers,fac1849_germansilver_workers,fac1849_gunpowder_workers,fac1849_cement_workers,fac1849_wadding_workers,fac1849_hairspinnery_workers,fac1849_glaze_workers,fac1849_button_workers,fac1849_railwaycar_workers,fac1849_waxproduct_workers,fac1849_chocolate_workers,fac1849_soap_workers,fac1849_vinegar_workers,fac1849_playingcard_workers,fac1849_beer_workers,fac1849_brandy_workers,fac1849_distillery_workers,fac1849_perfumery_workers,fac1849_metalletter_workers,fac1849_threadeye_workers,fac1849_metalfoundry_workers,fac1849_copper_workers,fac1849_gasandcoke_workers,fac1849_flax_workers,fac1849_pineseed_workers,fac1849_fabricflower_workers,fac1849_rope_workers,fac1849_pipetube_workers,fac1849_cheese_workers,fac1849_others_workers
1,"Memel","KON",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,15,31,11,29,5,0,6,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,38,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Fischhausen","KON",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,13,14,12,36,19,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Königsberg Stadt","KON",11,0,0,0,0,0,0,1,1,4,2,8,9,1,12,0,0,8,7,65,0,0,3,0,0,0,0,0,0,0,13,0,0,13,0,0,11,6,4,22,0,0,2,9,6,12,48,2,5,0,0,0,22,0,0,74,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,14,0,1,0,0,0,0,4,0,19,0,186,346,0,0,0,17,0,13,5,0,0,0,8,17,0,2,0,0,0,16,19,9,0,199,0,50,3,8,0,0,0,0,0,0,0,0,0,0,0
4,"Königsberg Land","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,24,33,15,38,8,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Labiau","KON",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,32,40,4,5,27,0,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Welau","KON",56,0,0,0,0,0,0,0,60,1,19,0,57,0,0,0,0,0,0,0,0,30,27,60,18,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24,20,17,5,4,16,0,27,0,9,1,5,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,28,0,0,0,0,0,0,30,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Gerdauen","KON",0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,12,12,3,4,15,0,20,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Rastenburg","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,30,7,6,3,8,29,0,17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,29,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Friedland","KON",0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,13,13,7,7,18,0,13,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,2,9,0,44,59,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Preuss. Eilau","KON",5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,40,13,13,10,10,8,0,4,2,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,34,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0
