kreiskey1849,county,rb,pop1849_m_un5,pop1849_f_un5,pop1849_m_6to7,pop1849_f_6to7,pop1849_m_8to14,pop1849_f_8to14,pop1849_m_un14,pop1849_f_un14,pop1849_m_15to16,pop1849_f_15to16,pop1849_m_17to19,pop1849_m_20to24,pop1849_m_25to32,pop1849_m_33to39,pop1849_m_40to45,pop1849_m_46to60,pop1849_m_ov60,pop1849_m_ov16,pop1849_f_17to45,pop1849_f_46to60,pop1849_f_ov60,pop1849_f_ov16,pop1849_m_tot,pop1849_f_tot,pop1849_tot
1,"Memel","KON",2967,2996,1083,1099,3215,3239,7265,7334,859,768,1345,1975,3082,2225,1530,2268,1002,13427,11000,2345,1176,14521,21551,22623,44174
2,"Fischhausen","KON",2923,2592,959,1000,2653,2525,6535,6117,790,788,1072,1851,2604,1956,1165,2009,1040,11697,8456,2127,1114,11697,19022,18602,37624
3,"Königsberg Stadt","KON",4207,4028,1316,1226,4385,4189,9908,9443,1415,1182,2272,5314,5823,3376,1908,3583,1701,23977,20585,5542,3188,29315,35300,39940,75240
4,"Königsberg Land","KON",3059,3021,1083,994,2702,2672,6844,6687,837,852,1135,1632,2980,2110,1190,2141,1096,12284,9415,2416,1040,12871,19965,20410,40375
5,"Labiau","KON",3402,3247,1170,1176,3037,3013,7609,7436,941,932,1231,1589,2775,2101,1444,2280,1035,12455,9152,2775,1076,13003,21005,21371,42376
6,"Welau","KON",3065,2919,1127,1094,2887,2737,7079,6750,961,927,1297,1883,3121,2173,1247,2249,1163,13133,9554,2481,1213,13248,21173,20925,42098
7,"Gerdauen","KON",2571,2461,864,908,2277,2233,5712,5602,755,648,939,1196,2014,1627,904,1592,835,9107,7548,1703,964,10215,15574,16465,32039
8,"Rastenburg","KON",2749,2732,891,952,2401,2366,6041,6050,853,711,1070,1386,2358,1840,1230,1814,953,10651,8770,2109,1106,11985,17545,18746,36291
9,"Friedland","KON",2838,2757,901,813,2495,2383,6234,5953,689,705,938,1354,2538,1823,893,1989,1014,10549,8613,2125,1049,11787,17472,18445,35917
10,"Preuss. Eilau","KON",3739,3675,1166,1066,3123,3024,8028,7765,933,922,1226,1744,3028,2110,1036,2370,1369,12883,10269,2436,1337,14042,21844,22729,44573
11,"Heiligenbeil","KON",2921,2850,1000,1050,2794,2564,6515,6464,769,785,962,1291,2358,1715,895,1956,1058,10235,8444,2036,1096,11576,17719,18825,36544
12,"Braunsberg","KON",3371,3241,1060,982,3096,2997,7527,7220,985,934,1183,1946,3049,2057,875,2462,1432,13004,9769,2617,1551,13937,21516,22091,45607
13,"Heilsberg","KON",3791,3678,1162,1068,2890,2918,7843,7664,932,902,1111,1738,3232,2388,845,2341,1493,13148,10138,2345,1386,13869,21923,22435,44358
14,"Rössel","KON",3170,3054,870,933,2580,2416,6620,6403,777,689,1020,1451,2643,1982,988,1836,976,10896,8984,2020,1039,12043,18293,19135,37428
15,"Allenstein","KON",3343,3196,1205,1162,2482,2389,7030,6747,962,961,1262,1737,2759,2155,1303,2162,1094,12472,8533,2194,1041,11768,20464,19476,39940
16,"Ortelsburg","KON",4259,4283,1199,1192,3452,3388,8910,8863,1021,963,1393,1978,3930,2238,1427,2437,1121,14524,11080,2361,1016,14457,24455,24283,48738
17,"Neidenburg","KON",3065,3053,988,916,2426,2267,6479,6236,787,768,1033,1744,3371,1754,1145,1921,914,11882,8535,1890,828,11253,19148,18257,37405
18,"Osterode","KON",4155,4117,1257,1203,3301,3071,8713,8391,995,983,1156,1932,3671,2256,1149,2381,1025,13570,10275,2235,1011,13521,23278,22895,46173
19,"Morungen","KON",3792,3746,1233,1216,3275,3237,8300,8199,871,879,1154,1571,3084,2267,1077,2389,1325,12867,10128,2554,1498,14180,22038,23258,45296
20,"Pr. Holland","KON",2993,2899,976,957,2725,2700,6694,6556,791,743,991,1353,2535,1911,840,2054,1209,10893,8167,2201,1368,11736,18346,18991,37337
21,"Heidekrug","GUM",2287,2166,756,825,2255,2214,5298,5205,602,547,822,1182,2375,1554,1104,1773,916,9708,7619,1596,938,10153,15608,15905,31513
22,"Niederung","GUM",3367,3264,1198,1119,3447,3319,8012,7702,894,927,1185,1885,3471,2245,1392,2435,1355,13968,1157,2363,1501,15021,22874,23650,46524
23,"Tilsit","GUM",3899,3801,1218,1255,3792,3693,8909,8749,1042,973,1612,2150,3918,2432,1555,2703,1346,15716,12649,2830,1800,17279,25667,27003,52670
