kreiskey1849,county,rb,dis1849_deaf_m_un5,dis1849_deaf_f_un5,dis1849_deaf_m_5to15,dis1849_deaf_f_5to15,dis1849_deaf_m_15to30,dis1849_deaf_f_15to30,dis1849_deaf_m_ov30,dis1849_deaf_f_ov30,dis1849_deaf_tot,dis1849_blind_m_un15,dis1849_blind_f_un15,dis1849_blind_m_15to30,dis1849_blind_f_15to30,dis1849_blind_m_ov30,dis1849_blind_f_ov30,dis1849_blind_tot
1,"Memel","KON",0,1,3,4,12,10,5,9,44,1,1,4,4,12,14,36
2,"Fischhausen","KON",0,1,6,2,5,2,4,2,22,0,0,1,2,13,10,26
3,"Königsberg Stadt","KON",0,0,20,6,14,10,14,12,76,10,3,11,10,22,29,85
4,"Königsberg Land","KON",0,2,5,3,8,13,7,5,43,1,0,0,0,10,4,15
5,"Labiau","KON",2,4,7,6,9,10,13,8,59,2,3,4,8,11,11,39
6,"Welau","KON",0,0,5,4,9,6,5,9,38,1,3,1,0,16,17,38
7,"Gerdauen","KON",2,0,9,3,7,3,8,1,33,0,0,2,2,5,7,16
8,"Rastenburg","KON",0,2,0,3,9,5,9,15,43,2,1,3,1,13,7,27
9,"Friedland","KON",1,0,4,2,10,9,9,4,39,1,0,0,1,19,10,31
10,"Preuss. Eilau","KON",1,1,4,3,13,8,3,7,40,2,0,0,1,15,13,31
11,"Heiligenbeil","KON",1,0,10,0,4,6,5,1,27,1,0,1,1,6,8,17
12,"Braunsberg","KON",0,1,7,3,12,5,9,6,43,2,1,2,2,11,5,23
13,"Heilsberg","KON",2,2,8,3,9,3,10,4,41,0,1,2,1,8,16,28
14,"Rössel","KON",1,5,11,6,8,5,7,5,48,2,1,1,1,20,6,31
15,"Allenstein","KON",2,0,7,2,6,4,13,5,39,1,0,2,2,6,6,17
16,"Ortelsburg","KON",5,2,10,5,13,7,10,5,57,3,1,4,2,20,11,41
17,"Neidenburg","KON",1,2,5,4,6,5,4,7,34,0,1,4,2,4,13,24
18,"Osterode","KON",1,2,8,4,12,4,8,7,46,4,1,1,0,13,11,30
19,"Morungen","KON",2,2,7,2,15,7,8,5,48,1,1,3,1,14,9,29
20,"Pr. Holland","KON",1,2,5,4,8,8,5,6,39,0,0,2,2,12,7,23
21,"Heidekrug","GUM",2,0,5,0,7,5,3,6,28,1,0,2,5,8,9,25
22,"Niederung","GUM",1,0,4,2,11,5,7,8,38,1,0,3,4,13,12,33
23,"Tilsit","GUM",3,1,10,3,11,10,14,2,54,1,0,3,4,13,26,47
24,"Ragnit","GUM",1,1,6,0,10,7,14,10,49,1,2,1,0,10,15,29
25,"Pillkallen","GUM",2,0,7,6,6,7,13,8,49,0,1,4,0,13,14,32
26,"Stallupönen","GUM",0,0,4,8,15,12,9,8,56,1,0,1,3,12,7,24
27,"Gumbinnen","GUM",1,2,9,3,9,9,14,12,59,2,0,0,2,6,13,23
28,"Insterburg","GUM",0,0,8,6,13,12,15,12,66,3,0,3,2,23,11,42
29,"Darkehmen","GUM",2,0,8,0,15,5,6,4,40,1,3,4,1,5,7,21
30,"Angerburg","GUM",0,1,31,19,17,4,7,2,81,2,0,2,2,7,5,18
31,"Goldapp","GUM",0,2,7,8,8,7,7,6,45,1,3,6,2,8,11,31
32,"Oletzko","GUM",0,0,2,1,2,6,5,9,30,0,1,4,2,9,6,22
33,"Lyck","GUM",1,2,10,5,5,7,4,10,44,0,0,1,0,8,14,23
34,"Lötzen","GUM",0,1,5,6,4,5,6,7,34,0,1,2,0,1,4,8
35,"Sensburg","GUM",2,1,10,9,9,6,6,6,49,1,0,1,0,8,14,24
36,"Johannisburg","GUM",2,1,11,5,13,10,7,6,55,2,0,0,2,10,3,17
37,"Elbing","DAN",1,1,6,5,15,8,9,1,46,1,0,0,0,20,12,33
38,"Marienburg","DAN",0,1,27,13,19,12,19,5,96,1,0,5,1,20,16,43
39,"Danzig Stadt","DAN",0,0,0,4,4,3,7,6,24,1,1,2,0,10,12,26
40,"Danzig Land","DAN",0,0,8,3,8,11,10,9,49,0,5,1,2,10,12,30
41,"Stargard","DAN",2,0,6,4,5,10,7,5,39,0,0,1,1,9,9,20
42,"Behrend","DAN",1,1,5,3,13,2,6,7,38,1,0,3,1,5,1,11
43,"Karthaus","DAN",0,0,4,5,7,6,8,4,34,1,0,2,4,7,4,18
44,"Neustadt","DAN",0,1,3,3,13,6,5,3,34,0,1,2,2,7,11,23
45,"Stuhm","MAR",0,0,3,8,7,4,6,2,30,1,1,1,0,3,2,8
46,"Marienwerder","MAR",1,0,6,1,12,4,8,5,37,2,1,5,1,22,11,42
47,"Rosenberg","MAR",1,2,5,3,11,6,8,4,40,1,0,4,0,22,14,42
48,"Löbau","MAR",2,1,4,3,8,8,5,4,35,0,1,0,0,8,5,14
49,"Strassburg","MAR",0,0,8,7,15,4,5,2,41,2,0,0,0,12,8,22
50,"Thorn","MAR",0,0,4,2,7,8,4,8,33,1,3,2,1,16,12,35
51,"Culm","MAR",3,2,7,3,6,5,9,4,39,3,0,1,2,13,12,31
52,"Graudenz","MAR",0,2,13,10,10,9,6,3,53,1,1,1,4,11,2,20
53,"Schwetz","MAR",2,1,10,9,13,8,3,8,54,0,1,2,1,6,8,18
54,"Konitz","MAR",1,0,6,5,9,8,10,3,42,1,1,2,2,8,9,23
55,"Schlochau","MAR",0,1,8,4,2,11,4,11,41,1,0,4,3,7,3,18
56,"Flatow","MAR",4,2,7,7,12,8,6,7,53,0,1,0,1,11,6,19
57,"Deutsch-Crone","MAR",0,1,6,3,9,9,5,5,38,0,2,3,5,8,5,23
58,"Wreschen","POS",0,0,4,3,12,6,5,3,33,0,1,2,0,11,13,27
59,"Pleschen","POS",1,3,11,6,19,8,5,6,59,1,0,4,8,15,16,44
60,"Schroda","POS",0,0,6,3,9,10,5,5,38,0,1,5,1,27,13,47
61,"Schrimm","POS",1,1,3,7,8,10,13,5,48,1,3,3,2,9,14,32
62,"Kosten","POS",0,1,14,11,14,9,11,6,66,1,0,3,5,17,18,44
63,"Buk","POS",1,0,9,4,17,19,6,3,59,1,0,6,6,19,12,44
64,"Posen","POS",0,0,21,14,16,21,11,9,92,3,1,5,6,16,18,49
65,"Obornik","POS",1,0,2,4,4,6,3,7,27,1,0,1,0,5,6,13
66,"Samter","POS",0,2,2,1,7,2,6,3,23,0,1,1,3,6,10,21
67,"Birnbaum","POS",0,0,3,3,9,3,6,3,27,1,1,0,2,8,8,20
68,"Meseritz","POS",0,0,3,1,8,10,5,5,32,1,1,2,0,11,10,25
69,"Schildberg","POS",0,2,7,3,7,4,7,8,38,0,0,3,1,5,10,19
70,"Bomst","POS",1,1,5,3,7,9,8,2,36,1,0,3,1,9,12,26
71,"Fraustadt","POS",3,0,3,3,5,4,13,9,40,1,1,5,4,10,15,36
72,"Kröben","POS",0,0,5,1,8,4,12,6,36,0,1,6,2,22,15,46
73,"Krotoschin","POS",1,0,12,5,12,6,12,9,57,0,1,4,8,12,36,61
74,"Adelnau","POS",1,0,6,6,11,9,10,3,46,0,2,6,4,15,18,45
75,"Tscharnikow","BRO",0,0,3,9,12,10,8,5,47,0,0,1,2,8,15,26
76,"Chodezien","BRO",0,0,7,2,12,8,7,13,49,1,1,4,3,13,8,30
77,"Wirsitz","BRO",1,0,9,7,3,5,7,6,38,2,0,1,0,4,5,12
78,"Bromberg","BRO",0,1,6,10,11,5,9,6,48,1,3,5,3,7,11,30
79,"Schubin","BRO",0,0,4,2,13,6,3,3,31,0,1,0,1,3,5,10
80,"Inowrazlaw","BRO",1,0,6,4,8,13,3,7,42,0,1,3,0,10,15,29
81,"Mogilno","BRO",0,0,4,0,4,4,4,2,18,0,0,1,2,4,4,11
82,"Gnesen","BRO",0,0,2,0,13,3,5,1,24,0,0,2,6,12,15,35
83,"Wongrowiz","BRO",0,1,3,6,7,7,7,4,35,0,0,5,2,17,7,31
84,"Haupt- und Residenzstadt Berlin","POT",2,0,29,19,52,20,49,28,199,15,7,22,12,48,49,153
85,"Prenzlau","POT",3,0,6,5,6,8,7,3,38,0,1,3,0,15,19,38
86,"Templin","POT",1,0,6,4,2,2,6,4,25,3,0,2,1,11,4,21
87,"Angermünde","POT",2,1,4,4,12,8,12,14,57,2,0,2,5,14,5,28
88,"Ober-Barnim","POT",2,2,4,5,5,6,7,8,39,4,3,3,0,15,14,40
89,"Nieder-Barnim","POT",3,0,5,2,9,9,15,5,48,0,4,4,1,5,11,25
90,"Beeskow-Storkow","POT",1,3,7,4,8,4,7,8,42,2,1,4,0,8,7,22
91,"Teltow","POT",0,0,8,6,9,5,13,9,50,1,0,3,0,7,11,22
92,"Jüterbock-Luckenwalde","POT",0,1,7,2,2,4,9,12,37,0,1,5,2,12,7,27
93,"Zauch-Belzig","POT",0,1,3,3,9,9,9,11,45,1,1,5,0,9,15,31
94,"Potsdam","POT",0,0,1,1,4,1,2,3,12,1,1,0,2,9,12,25
95,"Ost-Havelland","POT",0,0,4,2,3,2,11,7,29,0,0,2,1,8,12,23
96,"West-Havelland","POT",1,1,3,1,3,6,6,6,27,2,2,0,3,7,9,23
97,"Ruppin","POT",1,2,2,3,11,4,8,13,44,2,1,3,2,17,9,34
98,"Ost-Priegnitz","POT",2,2,6,6,12,7,15,11,61,5,0,0,6,22,10,43
99,"West-Priegnitz","POT",0,2,4,1,5,2,3,3,20,2,1,2,3,13,12,33
100,"Königsberg","FRA",2,2,6,7,6,7,13,5,48,3,2,5,2,23,12,47
101,"Soldin","FRA",0,0,7,4,8,10,7,9,45,1,1,0,0,8,3,13
102,"Arnswalde","FRA",1,1,4,0,4,5,1,3,19,0,2,1,0,9,6,18
103,"Friedeberg","FRA",0,0,5,2,7,9,3,12,38,2,0,1,3,0,4,13
104,"Landsberg","FRA",1,0,4,6,8,6,4,7,36,2,2,0,3,9,11,27
105,"Lebus","FRA",1,0,8,4,4,12,9,13,51,5,1,3,3,12,14,38
106,"Frankfurt","FRA",1,0,3,0,1,1,0,2,8,0,0,1,1,4,6,12
107,"Sternberg","FRA",1,1,8,3,10,10,14,8,55,1,1,1,4,9,6,22
108,"Züllichau","FRA",1,1,1,2,7,3,3,6,24,0,0,0,1,9,6,16
109,"Guben","FRA",0,0,4,7,8,8,10,5,42,1,2,3,2,16,13,37
110,"Crossen","FRA",0,0,10,4,4,8,12,8,46,2,1,5,1,11,12,32
111,"Lübben","FRA",1,0,1,2,2,4,6,3,19,0,0,3,1,7,11,22
112,"Luckau","FRA",0,0,3,1,8,7,10,8,37,2,0,0,3,9,4,18
113,"Kalau","FRA",0,0,10,3,3,1,9,10,36,0,2,0,2,5,5,14
114,"Cottbus","FRA",2,2,9,7,5,13,7,9,54,0,1,2,0,4,11,18
115,"Sorau","FRA",1,0,3,5,15,8,14,9,55,0,2,0,1,11,8,22
116,"Spremberg","FRA",0,0,1,0,4,0,6,4,15,1,0,0,0,2,8,11
117,"Demmin","STE",1,1,7,3,5,9,6,5,37,1,1,1,1,10,9,23
118,"Anclam","STE",0,0,6,4,6,2,5,0,23,2,2,3,1,9,9,26
119,"Usedom-Wollin","STE",0,3,5,1,5,5,8,8,35,1,1,2,1,14,7,26
120,"Uckermünde","STE",1,0,4,5,8,5,8,9,40,1,2,2,2,10,4,21
121,"Randow","STE",1,1,17,14,23,17,10,14,97,5,2,4,6,31,21,69
122,"Greiffenhagen","STE",1,1,4,3,5,5,8,4,31,4,1,7,0,23,8,43
123,"Pyritz","STE",1,2,3,4,3,7,7,2,29,0,0,1,1,6,8,16
124,"Saazig","STE",2,0,2,3,8,7,6,6,34,1,3,2,1,13,5,25
125,"Naugardt","STE",0,1,7,4,6,7,8,10,43,1,1,1,1,3,5,12
