kreiskey1849,county,rb,pop1849_families,pop1849_m_wedlock,pop1849_f_wedlock
1,"Memel","KON",8441,7026,7077
2,"Fischhausen","KON",6909,6010,6083
3,"Königsberg Stadt","KON",13854,10085,10323
4,"Königsberg Land","KON",6876,6609,6628
5,"Labiau","KON",8365,7213,7233
6,"Welau","KON",8094,6873,7162
7,"Gerdauen","KON",6251,5314,5370
8,"Rastenburg","KON",7021,5871,5901
9,"Friedland","KON",7619,6183,6194
10,"Preuss. Eilau","KON",8884,7660,7689
11,"Heiligenbeil","KON",7270,6009,6030
12,"Braunsberg","KON",8821,7191,7209
13,"Heilsberg","KON",9041,7403,7413
14,"Rössel","KON",8402,6318,6332
15,"Allenstein","KON",7769,6712,6704
16,"Ortelsburg","KON",9813,8548,8559
17,"Neidenburg","KON",7704,6567,6575
18,"Osterode","KON",9286,8222,8208
19,"Morungen","KON",8860,8047,8053
20,"Pr. Holland","KON",7679,6617,6634
21,"Heidekrug","GUM",6820,5745,5745
22,"Niederung","GUM",9546,7992,7993
23,"Tilsit","GUM",11304,8660,8669
24,"Ragnit","GUM",7699,7403,7403
25,"Pillkallen","GUM",7728,6484,6505
26,"Stallupönen","GUM",6684,5882,5970
27,"Gumbinnen","GUM",8089,6347,6366
28,"Insterburg","GUM",10801,8745,8813
29,"Darkehmen","GUM",5962,5157,5157
30,"Angerburg","GUM",5884,5309,5320
31,"Goldapp","GUM",7036,5909,5909
32,"Oletzko","GUM",5622,5389,5389
33,"Lyck","GUM",7041,6056,6046
34,"Lötzen","GUM",5586,4913,4913
35,"Sensburg","GUM",7751,6399,6399
36,"Johannisburg","GUM",6657,5985,5985
37,"Elbing","DAN",11593,9111,9157
38,"Marienburg","DAN",11430,9135,9179
39,"Danzig Stadt","DAN",12294,8739,8739
40,"Danzig Land","DAN",12418,10196,10207
41,"Stargard","DAN",10395,8782,8788
42,"Behrend","DAN",6149,5429,5434
43,"Karthaus","DAN",7621,6715,6715
44,"Neustadt","DAN",8890,7697,7759
45,"Stuhm","MAR",6735,6027,6027
46,"Marienwerder","MAR",11496,9616,9677
47,"Rosenberg","MAR",8385,7113,7113
48,"Löbau","MAR",7636,6799,6791
49,"Strassburg","MAR",10407,8792,8811
50,"Thorn","MAR",10756,8318,8264
51,"Culm","MAR",8763,7627,7632
52,"Graudenz","MAR",9288,7996,7957
53,"Schwetz","MAR",11207,9755,9764
54,"Konitz","MAR",10005,8815,8797
55,"Schlochau","MAR",8904,7847,7852
56,"Flatow","MAR",9556,8607,8614
57,"Deutsch-Crone","MAR",9995,8537,8547
58,"Wreschen","POS",6782,6269,6278
59,"Pleschen","POS",10751,9671,9670
60,"Schroda","POS",8095,7214,7228
61,"Schrimm","POS",9147,8407,8410
62,"Kosten","POS",10165,9224,9332
63,"Buk","POS",9508,8426,8463
64,"Posen","POS",16040,13459,13479
65,"Obornik","POS",7704,6697,6696
66,"Samter","POS",8321,7438,7453
67,"Birnbaum","POS",8116,7336,7334
68,"Meseritz","POS",7889,6991,7025
69,"Schildberg","POS",10273,8692,8728
70,"Bomst","POS",9387,8499,8518
71,"Fraustadt","POS",11331,9594,9842
72,"Kröben","POS",13245,12140,12008
73,"Krotoschin","POS",11401,9819,9824
74,"Adelnau","POS",10110,8798,8865
75,"Tscharnikow","BRO",11148,9780,9783
76,"Chodezien","BRO",9027,7532,7566
77,"Wirsitz","BRO",9021,8002,8005
78,"Bromberg","BRO",11419,9715,9566
79,"Schubin","BRO",9292,7804,7804
80,"Inowrazlaw","BRO",11930,10546,10545
81,"Mogilno","BRO",7031,5834,5877
82,"Gnesen","BRO",10609,8354,8354
83,"Wongrowiz","BRO",8800,7707,7714
84,"Haupt- und Residenzstadt Berlin","POT",64405,52214,52288
85,"Prenzlau","POT",10660,8895,8986
86,"Templin","POT",8530,7329,7424
87,"Angermünde","POT",9831,8823,8868
88,"Ober-Barnim","POT",11746,9378,9385
89,"Nieder-Barnim","POT",14062,12009,12045
90,"Beeskow-Storkow","POT",7559,6380,6381
91,"Teltow","POT",14360,11843,12022
92,"Jüterbock-Luckenwalde","POT",9574,8503,8541
93,"Zauch-Belzig","POT",12069,10739,10742
94,"Potsdam","POT",7445,5241,5257
95,"Ost-Havelland","POT",10392,9142,8948
96,"West-Havelland","POT",11773,9611,9670
97,"Ruppin","POT",14446,12064,12130
98,"Ost-Priegnitz","POT",13399,11640,11678
99,"West-Priegnitz","POT",14252,11566,11595
100,"Königsberg","FRA",15524,13299,13360
101,"Soldin","FRA",8370,7487,7557
