kreiskey1849,county,rb,rel1849_pro_main_church,rel1849_pro_sub_church,rel1849_pro_other_meetplace,rel1849_pro_priest,rel1849_pro_religious_teach,rel1849_cat_main_church,rel1849_cat_sub_church,rel1849_cat_other_meetplace,rel1849_cat_priest,rel1849_cat_chaplain_vicar,rel1849_menn_meetplace,rel1849_jew_meetplace
1,"Memel","KON",6,0,2,10,0,1,0,0,1,1,0,1
2,"Fischhausen","KON",14,2,0,17,0,0,0,0,0,0,0,0
3,"Königsberg Stadt","KON",13,1,5,26,0,1,0,0,1,3,1,1
4,"Königsberg Land","KON",18,1,0,20,0,0,0,0,0,0,0,0
5,"Labiau","KON",7,0,0,8,0,0,0,0,0,0,0,0
6,"Welau","KON",10,1,1,15,0,0,0,0,0,0,0,0
7,"Gerdauen","KON",10,2,0,12,0,0,0,0,0,0,0,1
8,"Rastenburg","KON",13,3,1,17,0,1,0,0,1,2,0,1
9,"Friedland","KON",14,4,1,17,0,0,0,0,0,0,0,0
10,"Preuss. Eilau","KON",20,2,0,25,0,0,0,0,0,0,0,1
11,"Heiligenbeil","KON",15,2,0,17,0,0,0,0,0,0,0,0
12,"Braunsberg","KON",4,0,0,5,0,17,6,10,17,19,0,4
13,"Heilsberg","KON",2,0,0,3,0,23,6,8,23,15,0,1
14,"Rössel","KON",4,0,0,4,0,15,3,8,15,12,0,4
15,"Allenstein","KON",2,0,1,2,0,19,2,6,19,8,0,2
16,"Ortelsburg","KON",10,1,0,13,1,0,0,0,0,0,0,1
17,"Neidenburg","KON",13,7,0,13,0,3,1,1,3,0,0,2
18,"Osterode","KON",16,11,1,16,0,0,0,0,0,0,0,1
19,"Morungen","KON",20,5,0,23,0,0,0,0,0,0,0,3
20,"Pr. Holland","KON",18,5,3,19,0,0,0,0,0,0,0,1
21,"Heidekrug","GUM",6,1,0,7,2,1,0,1,1,1,0,0
22,"Niederung","GUM",6,0,0,8,4,0,0,0,0,0,1,0
23,"Tilsit","GUM",7,0,1,8,7,1,0,0,1,1,1,1
24,"Ragnit","GUM",8,0,0,10,5,0,0,0,0,0,0,1
25,"Pillkallen","GUM",7,0,0,9,4,0,0,0,0,0,0,1
26,"Stallupönen","GUM",7,0,0,8,4,0,0,0,0,0,0,0
27,"Gumbinnen","GUM",9,0,1,10,4,0,0,0,0,0,0,1
28,"Insterburg","GUM",13,0,2,15,5,0,0,0,0,0,0,0
29,"Darkehmen","GUM",7,0,0,8,3,0,0,0,0,0,0,1
30,"Angerburg","GUM",7,1,0,9,2,0,0,0,0,0,0,0
31,"Goldapp","GUM",8,0,0,9,4,0,0,0,0,0,0,0
32,"Oletzko","GUM",7,0,0,9,4,0,0,0,0,0,0,1
33,"Lyck","GUM",9,0,0,12,4,0,0,0,0,0,0,1
34,"Lötzen","GUM",7,0,0,9,3,0,0,0,0,0,0,1
35,"Sensburg","GUM",9,0,1,12,2,0,0,0,0,0,0,2
36,"Johannisburg","GUM",9,0,0,12,5,0,0,0,0,0,0,1
37,"Elbing","DAN",14,1,3,17,0,3,0,1,3,3,3,2
38,"Marienburg","DAN",23,2,1,23,4,20,7,1,20,3,8,3
39,"Danzig Stadt","DAN",12,0,2,20,0,6,0,1,6,4,1,5
40,"Danzig Land","DAN",25,1,5,23,0,7,2,0,6,2,1,0
41,"Stargard","DAN",3,0,0,4,0,15,9,1,16,3,0,2
42,"Behrend","DAN",3,1,0,3,0,9,4,1,9,1,0,2
43,"Karthaus","DAN",3,0,1,3,0,8,3,2,7,5,0,0
44,"Neustadt","DAN",6,0,1,6,0,13,7,2,12,6,0,2
45,"Stuhm","MAR",4,1,0,4,0,9,6,2,9,5,1,3
46,"Marienwerder","MAR",8,1,1,11,1,10,2,1,11,2,1,2
47,"Rosenberg","MAR",15,7,0,13,1,0,0,0,0,0,0,5
48,"Löbau","MAR",1,1,0,2,0,19,5,3,18,2,0,2
49,"Strassburg","MAR",4,1,0,3,0,22,9,3,22,2,0,4
50,"Thorn","MAR",5,2,16,7,0,23,7,3,22,2,0,4
51,"Culm","MAR",3,1,5,4,1,17,4,2,17,3,1,2
52,"Graudenz","MAR",4,0,1,5,0,14,4,3,12,2,0,3
53,"Schwetz","MAR",3,1,4,4,2,14,4,2,14,1,3,2
54,"Konitz","MAR",3,0,2,4,0,15,13,4,15,8,0,3
55,"Schlochau","MAR",7,13,2,8,0,9,22,1,8,3,0,5
56,"Flatow","MAR",6,7,9,6,0,12,7,6,12,1,0,6
