kreiskey1849,county,rb,rel1849_pro,rel1849_cat,rel1849_greek,rel1849_menno,rel1849_jew
1,"Memel","KON",42281,1749,3,12,129
2,"Fischhausen","KON",37387,152,9,10,66
3,"Königsberg Stadt","KON",71071,2089,4,126,1950
4,"Königsberg Land","KON",40240,125,2,0,8
5,"Labiau","KON",42202,80,5,1,88
6,"Welau","KON",41762,198,0,5,133
7,"Gerdauen","KON",31805,51,0,0,183
8,"Rastenburg","KON",34975,1198,1,0,117
9,"Friedland","KON",35635,160,1,1,120
10,"Preuss. Eilau","KON",44248,221,1,4,99
11,"Heiligenbeil","KON",36038,392,0,22,92
12,"Braunsberg","KON",4118,39162,0,44,283
13,"Heilsberg","KON",3235,40821,0,0,302
14,"Rössel","KON",3651,33475,0,0,302
15,"Allenstein","KON",2824,36889,0,9,218
16,"Ortelsburg","KON",45161,3292,13,1,271
17,"Neidenburg","KON",31905,5176,4,1,319
18,"Osterode","KON",42028,3829,8,1,307
19,"Morungen","KON",44079,773,3,19,422
20,"Pr. Holland","KON",36147,881,5,80,224
21,"Heidekrug","GUM",30159,1253,7,14,80
22,"Niederung","GUM",45510,433,8,445,128
23,"Tilsit","GUM",50427,1607,2,267,367
24,"Ragnit","GUM",43324,516,6,21,194
25,"Pillkallen","GUM",39039,880,3,0,115
26,"Stallupönen","GUM",36728,377,0,0,89
27,"Gumbinnen","GUM",40600,36,0,0,57
28,"Insterburg","GUM",56152,158,11,0,76
29,"Darkehmen","GUM",31301,23,1,0,51
30,"Angerburg","GUM",31223,53,2,0,32
31,"Goldapp","GUM",35511,281,8,0,96
32,"Oletzko","GUM",30178,537,11,0,113
33,"Lyck","GUM",33564,1529,16,2,104
34,"Lötzen","GUM",27949,123,5,0,80
35,"Sensburg","GUM",34764,1123,880,0,107
36,"Johannisburg","GUM",34587,480,14,0,210
37,"Elbing","DAN",43179,9366,3,2098,472
38,"Marienburg","DAN",27519,20413,0,5525,386
39,"Danzig Stadt","DAN",47723,13339,4,782,2369
40,"Danzig Land","DAN",39670,22424,3,565,77
41,"Stargard","DAN",12420,35791,13,55,1228
42,"Behrend","DAN",13630,17015,0,2,565
43,"Karthaus","DAN",11386,28823,2,0,150
44,"Neustadt","DAN",13159,34489,3,0,319
45,"Stuhm","MAR",11993,21413,3,917,521
46,"Marienwerder","MAR",35117,20494,0,396,783
47,"Rosenberg","MAR",38295,3621,2,40,710
48,"Löbau","MAR",5102,30582,1,0,885
49,"Strassburg","MAR",14603,33420,0,2,2061
50,"Thorn","MAR",23187,26907,1,162,1234
51,"Culm","MAR",20012,23661,0,735,965
52,"Graudenz","MAR",29178,19131,1,63,812
53,"Schwetz","MAR",27238,27264,0,843,1014
54,"Konitz","MAR",11523,38320,0,0,1745
55,"Schlochau","MAR",26066,18489,1,0,1378
56,"Flatow","MAR",28973,17834,0,0,3201
57,"Deutsch-Crone","MAR",29716,18331,0,0,2100
58,"Wreschen","POS",2607,31608,0,0,2414
59,"Pleschen","POS",7564,47918,0,0,2444
60,"Schroda","POS",6696,37034,0,0,1286
61,"Schrimm","POS",9297,38120,0,0,2824
62,"Kosten","POS",7523,45896,0,0,992
63,"Buk","POS",15255,32117,0,0,2576
64,"Posen","POS",24045,57016,13,0,9402
65,"Obornik","POS",13683,24948,0,0,2752
66,"Samter","POS",11857,27781,0,0,3237
67,"Birnbaum","POS",21575,17878,2,0,2650
68,"Meseritz","POS",22041,15778,0,0,1865
69,"Schildberg","POS",7653,42234,0,0,4684
70,"Bomst","POS",22490,25144,0,0,1652
71,"Fraustadt","POS",24988,29053,1,0,4008
72,"Kröben","POS",22821,44335,3,0,2922
73,"Krotoschin","POS",14886,42828,1,0,4412
74,"Adelnau","POS",9136,41028,0,0,2366
75,"Tscharnikow","BRO",35220,19132,0,0,3315
76,"Chodezien","BRO",27335,15645,0,0,3373
77,"Wirsitz","BRO",22922,21759,0,0,2605
78,"Bromberg","BRO",34088,22974,0,1,2521
79,"Schubin","BRO",16034,27620,0,0,2826
80,"Inowrazlaw","BRO",16756,43624,8,1,3144
81,"Mogilno","BRO",8647,24694,1,0,1251
82,"Gnesen","BRO",8623,40524,0,0,3513
83,"Wongrowiz","BRO",9178,35460,1,0,1880
84,"Haupt- und Residenzstadt Berlin","POT",398723,15532,29,14,9604
85,"Prenzlau","POT",52728,262,0,0,458
86,"Templin","POT",43417,52,0,0,190
87,"Angermünde","POT",55020,132,0,0,488
88,"Ober-Barnim","POT",57571,231,0,0,407
89,"Nieder-Barnim","POT",68750,449,0,0,411
90,"Beeskow-Storkow","POT",38189,78,0,0,211
91,"Teltow","POT",70175,598,1,1,271
92,"Jüterbock-Luckenwalde","POT",48153,182,0,0,29
93,"Zauch-Belzig","POT",59983,122,0,0,113
94,"Potsdam","POT",36689,2825,60,0,290
95,"Ost-Havelland","POT",50909,1002,1,0,235
96,"West-Havelland","POT",56058,540,0,0,280
97,"Ruppin","POT",68814,201,1,0,206
98,"Ost-Priegnitz","POT",63251,100,0,0,215
99,"West-Priegnitz","POT",64392,83,0,0,209
100,"Königsberg","FRA",79291,290,1,0,725
101,"Soldin","FRA",42376,83,0,0,441
102,"Arnswalde","FRA",37403,83,0,0,419
103,"Friedeberg","FRA",50216,283,3,6,678
104,"Landsberg","FRA",65382,243,2,0,804
105,"Lebus","FRA",73949,233,2,0,459
106,"Frankfurt","FRA",28100,1071,0,0,798
107,"Sternberg","FRA",77212,402,1,0,826
108,"Züllichau","FRA",35883,3743,2,0,182
109,"Guben","FRA",44730,1569,0,0,113
110,"Crossen","FRA",52084,358,0,0,290
111,"Lübben","FRA",30214,128,0,0,128
112,"Luckau","FRA",52192,143,0,0,44
113,"Kalau","FRA",43156,151,0,0,56
114,"Cottbus","FRA",51696,143,12,0,93
115,"Sorau","FRA",64721,1015,1,2,82
116,"Spremberg","FRA",15175,193,0,0,6
117,"Demmin","STE",48211,63,0,0,143
118,"Anclam","STE",28211,37,0,0,259
119,"Usedom-Wollin","STE",31859,45,0,0,153
120,"Uckermünde","STE",38234,833,0,0,361
121,"Randow","STE",107084,1716,1,2,1191
122,"Greiffenhagen","STE",44660,67,0,0,384
123,"Pyritz","STE",38681,54,0,0,294
124,"Saazig","STE",53098,242,1,0,705
125,"Naugardt","STE",47820,411,0,0,425
126,"Cammin","STE",38794,29,0,1,165
127,"Greiffenberg","STE",35068,188,0,0,323
128,"Regenwalde","STE",41834,36,1,0,443
129,"Schiefelbein","KOS",16551,22,1,0,172
130,"Dramburg","KOS",29338,34,0,0,455
131,"Neustettin","KOS",56548,212,0,0,765
132,"Belgard","KOS",34413,27,0,0,409
133,"Fürstenthum","KOS",90175,349,0,62,807
134,"Schlawe","KOS",64350,100,2,1,486
135,"Rummelsburg","KOS",24910,161,1,9,177
136,"Stolpe","KOS",72007,257,1,1,714
137,"Lauenburg","KOS",33461,1839,7,0,301
138,"Bütow","KOS",15291,3804,0,0,296
139,"Rügen","STR",41352,68,0,0,26
140,"Franzburg","STR",60625,311,0,0,132
141,"Greifswald","STR",48282,141,0,0,42
142,"Grimmen","STR",36031,32,0,0,16
143,"Namslau","BRE",19004,14103,0,0,582
144,"Wartenberg","BRE",31313,16647,1,0,739
145,"Oels","BRE",51743,6405,0,0,466
146,"Trebnitz","BRE",40676,11383,0,0,149
147,"Militsch","BRE",41522,11404,0,0,391
