kreiskey1858,county,rb,land1858_far_ext_und5,land1858_far_ext_5to30,land1858_far_ext_30to300,land1858_far_ext_300to600,land1858_far_ext_ov600
1,"ALLENSTEIN","KON",599,472,2079,84,58
2,"BRAUNSBERG","KON",1022,706,1368,127,19
3,"PREUSSISCH EYLAU","KON",623,666,1583,71,150
4,"FISCHHAUSEN","KON",209,471,852,111,126
5,"FRIEDLAND","KON",280,340,824,84,144
6,"GERDAUEN","KON",375,262,869,72,112
7,"HEILIGENBEIL","KON",581,564,1150,73,108
8,"HEILSBERG","KON",883,877,2200,85,29
9,"PREUSSISCH HOLLAND","KON",560,665,1167,46,96
10,"KONIGSBERG STADTKREIS","KON",5,11,14,5,0
11,"KONIGSBERG LANDKREIS","KON",148,268,874,137,128
12,"LABIAU","KON",1125,1676,952,46,52
13,"MEMEL","KON",523,665,1515,34,34
14,"MOHRUNGEN","KON",1052,661,1375,80,137
15,"NEIDENBURG","KON",296,216,2163,94,97
16,"ORTELSBURG","KON",765,704,2809,78,53
17,"OSTERODE","KON",582,486,1732,75,116
18,"RASTENBURG","KON",392,233,827,74,148
19,"ROSSEL","KON",1187,565,1644,59,36
20,"WEHLAU","KON",537,487,1187,52,70
21,"ANGERBURG","GUM",563,470,964,51,23
22,"DARKEHMEN","GUM",462,755,910,49,74
23,"GOLDAP","GUM",923,1108,1783,29,35
24,"GUMBINNEN","GUM",1052,796,1404,55,35
25,"HEYDEKRUG","GUM",726,1571,1606,11,17
26,"INSTERBURG","GUM",1016,1257,1838,90,75
27,"JOHANNISBURG","GUM",698,412,2738,38,33
28,"LOTZEN","GUM",855,442,1338,102,35
29,"LYCK","GUM",1024,490,2231,48,36
30,"NIEDERUNG","GUM",627,2824,2157,32,14
31,"OLETZKO","GUM",824,563,1509,32,31
32,"PILLKALLEN","GUM",825,1182,1866,86,41
33,"RAGNIT","GUM",609,1293,2247,75,48
34,"SENSBURG","GUM",1016,352,1770,63,47
35,"STALLUPONEN","GUM",972,902,1560,41,35
36,"TILSIT LANDKREIS","GUM",979,2102,2079,41,28
37,"BERENT","DAN",478,514,1360,112,98
38,"DANZIG LANDKREIS","DAN",1802,640,1313,125,84
39,"DANZIG STADTKREIS","DAN",185,16,7,0,0
40,"ELBING LANDKREIS","DAN",1515,881,1178,70,30
41,"KARTHAUS","DAN",538,1181,1651,69,93
42,"MARIENBURG IN PREUSSEN","DAN",1172,801,1346,169,29
43,"NEUSTADT IN WESTPREUSSEN","DAN",646,651,1470,56,110
44,"PREUSSISCH STARGARD","DAN",1321,521,1221,103,104
45,"DEUTSCH KRONE","MAR",1364,654,1998,271,149
46,"FLATOW","MAR",1397,1491,2189,112,110
47,"GRAUDENZ LANDKREIS","MAR",1585,605,975,46,83
48,"KONITZ","MAR",1395,840,1824,190,165
49,"KULM","MAR",1376,962,871,32,100
50,"LOBAU","MAR",636,477,1569,71,55
51,"MARIENWERDER","MAR",2106,770,1094,94,64
52,"ROSENBERG IN WESTPREUSSEN","MAR",798,567,1022,42,57
53,"SCHLOCHAU","MAR",914,959,1558,220,144
54,"SCHWETZ","MAR",1901,2050,1585,49,94
55,"STRASBURG","MAR",961,1135,1601,70,90
56,"STUHM","MAR",1309,415,812,80,66
57,"THORN LANDKREIS","MAR",898,937,1133,60,92
