kreiskey1862,county,rb,misc1862_area
1,"Allenstein","KON",23.86
2,"Braunsberg","KON",17.91
3,"Preuss. Eilau","KON",21.9
4,"Fischhausen","KON",32.5
5,"Friedland","KON",15.7
6,"Gerdauen","KON",15.45
7,"Heiligenbeil","KON",19.97
8,"Heilsberg","KON",20.27
9,"Pr. Holland","KON",15.92
10,"Königsberg Land","KON",23.61
11,"Königsberg Stadt","KON",.14
12,"Labiau","KON",24.7
13,"Memel","KON",19.44
14,"Morungen","KON",22.23
15,"Neidenburg","KON",29.61
16,"Ortelsburg","KON",28.52
17,"Osterode","KON",28
18,"Rastenburg","KON",15.41
19,"Rössel","KON",14.84
20,"Welau","KON",18.15
21,"Angerburg","GUM",17.58
22,"Darkehmen","GUM",13.49
23,"Goldapp","GUM",18.46
24,"Gumbinnen","GUM",13.09
25,"Heidekrug","GUM",18.39
26,"Insterburg","GUM",22.02
27,"Johannisburg","GUM",31.8
28,"Lötzen","GUM",16.56
29,"Lyck","GUM",19.85
30,"Niederung","GUM",20.73
31,"Oletzko","GUM",15.63
32,"Pillkallen","GUM",18.91
33,"Ragnit","GUM",21.79
34,"Sensburg","GUM",22.46
35,"Stallupönen","GUM",12.42
36,"Tilsit","GUM",15.03
37,"Behrend","DAN",22.95
38,"Karthaus","DAN",26.07
39,"Danzig Land","DAN",23.07
40,"Danzig Stadt","DAN",.32
41,"Elbing","DAN",12.91
42,"Marienburg","DAN",15.13
43,"Neustadt","DAN",26.33
44,"Stargard","DAN",25.5
45,"Culm","MAR",16.27
46,"Deutsch-Crone","MAR",39.03
47,"Flatow","MAR",27.93
48,"Graudenz","MAR",15.81
49,"Konitz","MAR",41.62
50,"Löbau","MAR",18.11
51,"Marienwerder","MAR",17.31
52,"Rosenberg","MAR",18.92
53,"Schlochau","MAR",38.88
54,"Schwetz","MAR",29.01
55,"Strassburg","MAR",24.47
56,"Stuhm","MAR",11.51
57,"Thorn","MAR",20.54
58,"Adelnau","POS",16.36
59,"Birnbaum","POS",23.67
60,"Bomst","POS",18.92
61,"Buk","POS",17.62
62,"Fraustadt","POS",17.91
63,"Kosten","POS",21.48
64,"Kröben","POS",18.75
65,"Krotoschin","POS",17.62
66,"Meseritz","POS",21.11
67,"Obornik","POS",20.42
68,"Pleschen","POS",19.08
69,"Posen","POS",19.91
70,"Samter","POS",19.94
71,"Schildberg","POS",17.69
72,"Schrimm","POS",18.82
73,"Schroda","POS",18.89
74,"Wreschen","POS",12.77
75,"Bromberg","BRO",27.11
76,"Chodezien","BRO",20.14
77,"Tscharnikow","BRO",28.08
78,"Gnesen","BRO",20.95
79,"Inowrazlaw","BRO",30.42
80,"Mogilno","BRO",17.21
81,"Schubin","BRO",21.2
82,"Wirsitz","BRO",21.5
83,"Wongrowiz","BRO",24.47
84,"Angermünde","POT",24.44
85,"Nieder-Barnim","POT",31.62
86,"Ober-Barnim","POT",22.07
87,"Haupt- und Residenzstadt Berlin","POT",1.09
88,"Beeskow-Storkow","POT",22.6
89,"Ost-Havelland","POT",22.26
90,"West-Havelland","POT",23.54
91,"Jüterbock-Luckenwalde","POT",24.16
92,"Potsdam","POT",.2
93,"Prenzlau","POT",20.76
