kreiskey1864,county,rb,edu1864_pub_ele_stud,edu1864_pub_mim_stud_m,edu1864_pub_mif_stud_f,edu1864_pub_rea_stud,edu1864_pub_pgy_stud,edu1864_pub_gym_stud,edu1864_pub_sem_par,edu1864_pri_ele_stud,edu1864_pri_hsm_stud_m,edu1864_pri_hsf_stud_f,edu1864_pri_voc_stud,edu1864_pri_sun_stud,edu1864_pri_kin_stud
1,"MEMEL","KON",5045,348,433,203,0,206,0,135,0,0,56,98,0
2,"FISCHHAUSEN","KON",6362,189,50,142,0,0,0,77,0,0,24,0,0
3,"KONIGSBERG STADTKREIS","KON",5566,710,420,757,0,1277,75,190,0,1619,464,114,1246
4,"KONIGSBERG LANDKREIS","KON",7191,0,0,0,0,0,0,0,0,0,28,0,0
5,"LABIAU","KON",7237,64,39,0,0,0,0,48,0,47,0,120,0
6,"WEHLAU","KON",6278,143,264,217,0,0,0,102,9,15,0,150,20
7,"GERDAUEN","KON",5502,269,231,0,0,0,0,0,0,0,0,54,0
8,"RASTENBURG","KON",5138,316,379,0,0,331,0,25,16,50,0,198,66
9,"FRIEDLAND","KON",6324,409,160,0,0,0,0,48,0,0,0,243,0
10,"PREUSSISCH EYLAU","KON",9362,0,0,0,0,0,79,21,0,0,0,84,0
11,"HEILIGENBEIL","KON",7670,97,125,0,0,0,0,0,0,15,0,60,0
12,"BRAUNSBERG","KON",7554,0,43,0,0,292,41,0,0,92,12,285,7
13,"HEILSBERG","KON",8266,54,0,0,0,0,0,0,0,0,0,0,0
14,"ROSSEL","KON",6379,0,0,0,122,0,0,0,0,0,0,35,0
15,"ALLENSTEIN","KON",7561,0,0,0,0,0,0,59,0,0,0,11,0
16,"ORTELSBURG","KON",9242,0,0,0,0,0,9,18,0,0,0,87,0
17,"NEIDENBURG","KON",6337,234,267,0,0,0,0,15,0,0,0,126,0
18,"OSTERODE","KON",9644,92,55,0,0,171,0,0,0,94,0,115,13
19,"MOHRUNGEN","KON",9123,412,437,0,0,0,0,0,0,0,0,20,0
20,"PREUSSISCH HOLLAND","KON",7507,184,162,0,0,0,0,99,0,0,0,105,0
21,"HEYDEKRUG","GUM",4586,0,0,0,0,0,0,100,33,17,0,0,0
22,"NIEDERUNG","GUM",5200,0,0,0,0,0,0,82,0,40,0,0,0
23,"TILSIT LANDKREIS","GUM",6211,0,193,312,0,441,0,119,0,120,0,0,0
24,"RAGNIT","GUM",6524,0,0,0,0,0,0,73,0,10,20,0,0
25,"PILLKALLEN","GUM",6765,0,0,0,0,0,0,110,0,0,0,0,0
26,"STALLUPONEN","GUM",5853,181,160,0,0,0,0,0,0,0,0,0,45
27,"GUMBINNEN","GUM",6433,0,218,218,0,277,0,44,0,54,0,25,72
28,"INSTERBURG","GUM",8106,108,192,0,0,394,73,65,0,23,0,0,194
29,"DARKEHMEN","GUM",5611,73,0,0,0,0,0,0,0,0,0,0,0
30,"ANGERBURG","GUM",5734,159,0,0,0,0,81,50,0,32,0,0,48
31,"GOLDAP","GUM",6314,0,0,0,0,0,0,58,6,39,0,0,0
32,"OLETZKO","GUM",5447,175,144,0,0,0,0,78,0,14,0,0,0
33,"LYCK","GUM",5727,104,117,0,0,338,0,0,44,111,0,0,45
34,"LOTZEN","GUM",5785,0,0,0,0,0,0,0,0,0,0,0,0
35,"SENSBURG","GUM",6327,142,135,0,0,0,0,56,0,0,0,83,0
36,"JOHANNISBURG","GUM",6238,70,32,0,0,0,0,86,0,39,0,24,0
37,"ELBING LANDKREIS","DAN",8387,326,682,405,0,309,0,56,0,78,0,27,212
38,"MARIENBURG IN PREUSSEN","DAN",7380,0,178,0,0,371,86,111,54,19,59,0,27
39,"DANZIG STADTKREIS","DAN",5227,565,255,1076,0,456,0,2829,84,759,366,304,717
40,"DANZIG LANDKREIS","DAN",9751,0,0,63,0,0,0,28,0,0,0,0,0
41,"PREUSSISCH STARGARD","DAN",8754,138,120,0,0,0,0,112,0,115,0,0,0
