kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
1,"MEMEL","KON",66,8,8,"6",8,9,0,12,0,7,0,"0",3,4
2,"FISCHHAUSEN","KON",88,3,4,"2",1,8,0,0,2,3,0,"0",3,0
3,"KONIGSBERG STADTKREIS","KON",76,21,18,"8",5,32,0,50,4,6,0,"159",15,6
4,"KONIGSBERG LANDKREIS","KON",107,0,0,"0",0,0,0,0,0,0,0,"0",13,0
5,"LABIAU","KON",93,0,2,"1",0,0,0,0,2,1,0,"3",0,0
6,"WEHLAU","KON",98,0,6,"5",2,11,0,0,2,2,1,"2",0,8
7,"GERDAUEN","KON",76,0,10,"0",0,0,0,0,0,0,0,"0",0,2
8,"RASTENBURG","KON",92,0,12,"0",1,0,0,13,0,1,2,"5",0,4
9,"FRIEDLAND","KON",92,0,10,"3",1,0,0,0,0,2,0,"0",0,9
10,"PREUSSISCH EYLAU","KON",123,1,0,"0",0,0,0,0,0,2,0,"0",0,3
11,"HEILIGENBEIL","KON",93,0,3,"2",0,0,0,0,0,0,0,"1",0,2
12,"BRAUNSBERG","KON",91,18,0,"2",2,0,0,13,0,0,0,"10",1,12
13,"HEILSBERG","KON",108,10,2,"0",0,0,0,0,0,0,0,"0",0,0
14,"ROSSEL","KON",88,13,0,"0",0,0,8,0,0,0,0,"0",0,1
15,"ALLENSTEIN","KON",87,7,0,"0",0,0,0,0,1,2,0,"0",0,2
16,"ORTELSBURG","KON",146,1,0,"0",0,0,0,0,1,0,0,"0",0,3
17,"NEIDENBURG","KON",104,2,8,"4",2,0,0,0,1,0,0,"0",0,4
18,"OSTERODE","KON",118,1,4,"3",1,0,0,10,0,0,0,"9",0,3
19,"MOHRUNGEN","KON",117,0,14,"0",1,0,0,0,0,0,0,"0",0,2
20,"PREUSSISCH HOLLAND","KON",109,24,8,"0",1,0,0,0,2,0,0,"0",0,2
