kreiskey1864,county,rb,occ1864_ind
1,"MEMEL","KON",6955
2,"FISCHHAUSEN","KON",7811
3,"KONIGSBERG STADTKREIS","KON",
4,"KONIGSBERG LANDKREIS","KON",2798
5,"LABIAU","KON",5812
6,"WEHLAU","KON",6344
7,"GERDAUEN","KON",4425
8,"RASTENBURG","KON",4495
9,"FRIEDLAND","KON",5404
10,"PREUSSISCH EYLAU","KON",6069
11,"HEILIGENBEIL","KON",5308
12,"BRAUNSBERG","KON",7710
13,"HEILSBERG","KON",4855
14,"ROSSEL","KON",5775
15,"ALLENSTEIN","KON",5084
16,"ORTELSBURG","KON",3983
17,"NEIDENBURG","KON",3161
18,"OSTERODE","KON",6022
19,"MOHRUNGEN","KON",7004
20,"PREUSSISCH HOLLAND","KON",4527
21,"HEYDEKRUG","GUM",4663
22,"NIEDERUNG","GUM",6672
23,"TILSIT LANDKREIS","GUM",6240
24,"RAGNIT","GUM",3340
25,"PILLKALLEN","GUM",7644
26,"STALLUPONEN","GUM",5098
27,"GUMBINNEN","GUM",4472
28,"INSTERBURG","GUM",7851
29,"DARKEHMEN","GUM",2886
30,"ANGERBURG","GUM",3426
31,"GOLDAP","GUM",4998
32,"OLETZKO","GUM",3316
33,"LYCK","GUM",2651
34,"LOTZEN","GUM",4065
35,"SENSBURG","GUM",3920
36,"JOHANNISBURG","GUM",7457
37,"ELBING LANDKREIS","DAN",9531
38,"MARIENBURG IN PREUSSEN","DAN",7418
39,"DANZIG STADTKREIS","DAN",
40,"DANZIG LANDKREIS","DAN",8198
41,"PREUSSISCH STARGARD","DAN",9646
42,"BERENT","DAN",1726
43,"KARTHAUS","DAN",1931
44,"NEUSTADT IN WESTPREUSSEN","DAN",4734
45,"STUHM","MAR",4634
46,"MARIENWERDER","MAR",8863
47,"ROSENBERG IN WESTPREUSSEN","MAR",4918
48,"LOBAU","MAR",3495
49,"STRASBURG","MAR",6059
50,"THORN LANDKREIS","MAR",6186
51,"KULM","MAR",4204
52,"GRAUDENZ LANDKREIS","MAR",7014
53,"SCHWETZ","MAR",6239
54,"KONITZ","MAR",6376
55,"SCHLOCHAU","MAR",5509
56,"FLATOW","MAR",7961
57,"DEUTSCH KRONE","MAR",8563
58,"WRESCHEN","POS",2381
59,"PLESCHEN","POS",4391
60,"SCHRODA","POS",3473
61,"SCHRIMM","POS",6210
62,"KOSTEN","POS",6432
63,"BUK","POS",6500
64,"POSEN STADTKREIS","POS",
65,"POSEN LANDKREIS","POS",4416
66,"OBORNIK","POS",3731
67,"SAMTER","POS",5678
68,"BIRNBAUM","POS",6915
69,"MESERITZ","POS",5494
70,"BOMST","POS",5362
71,"FRAUSTADT","POS",8094
72,"KROBEN","POS",10619
73,"KROTOSCHIN","POS",4960
74,"ADELNAU","POS",4577
75,"SCHILDBERG","POS",5608
76,"CZARNIKAU","BRO",7621
77,"CHODZIESEN","BRO",7900
78,"WIRSITZ","BRO",5804
79,"BROMBERG LANDKREIS","BRO",11665
80,"SCHUBIN","BRO",5818
81,"INOWRAZLAW","BRO",5659
82,"MOGILNO","BRO",3124
83,"GNESEN","BRO",4973
84,"WONGROWITZ","BRO",3839
85,"BERLIN","POT",
86,"PRENZLAU","POT",7436
87,"TEMPLIN","POT",6683
88,"ANGERMUNDE","POT",10698
89,"OBERBARNIM","POT",11551
90,"NIEDERBARNIM","POT",12609
91,"TELTOW","POT",13806
92,"BEESKOW-STORKOW","POT",5042
93,"JUTERBOG-LUCKENWALDE","POT",11294
94,"ZAUCH-BELZIG","POT",12457
95,"POTSDAM","POT",
96,"OSTHAVELLAND","POT",10415
97,"WESTHAVELLAND","POT",8240
98,"RUPPIN","POT",12963
99,"OSTPRIGNITZ","POT",8533
100,"WESTPRIGNITZ","POT",12173
101,"KONIGSBERG IN NEUMARK","FRA",11983
102,"SOLDIN","FRA",5540
103,"ARNSWALDE","FRA",5179
104,"FRIEDEBERG","FRA",7905
105,"LANDSBERG LANDKREIS","FRA",9533
106,"LEBUS","FRA",13163
107,"FRANKFURT","FRA",
108,"STERNBERG","FRA",11160
109,"ZULLICHAU-SCHWIEBUS","FRA",8105
110,"KROSSEN","FRA",12139
111,"GUBEN LANDKREIS","FRA",8352
112,"LUBBEN","FRA",3415
113,"LUCKAU","FRA",8293
114,"KALAU","FRA",4939
115,"KOTTBUS LANDKREIS","FRA",8411
116,"SORAU","FRA",20048
117,"SPREMBERG","FRA",3562
118,"DEMMIN","STE",7240
119,"ANKLAM","STE",4688
120,"USEDOM-WOLLIN","STE",5058
121,"UCKERMUNDE","STE",7590
122,"RANDOW","STE",15445
123,"STETTIN","STE",
124,"GREIFENHAGEN","STE",6240
125,"PYRITZ","STE",3149
126,"SAATZIG","STE",7012
127,"NAUGARD","STE",6082
128,"KAMMIN","STE",3563
129,"GREIFENBERG","STE",3285
130,"REGENWALDE","STE",5327
131,"SCHIVELBEIN","KOS",2011
132,"DRAMBURG","KOS",4253
133,"NEUSTETTIN","KOS",6910
134,"BELGARD","KOS",4577
135,"FURSTENTHUM","KOS",13720
136,"SCHLAWE","KOS",8991
137,"RUMMELSBURG","KOS",2952
138,"STOLP LANDKREIS","KOS",9871
139,"LAUENBURG IN POMMERN","KOS",3667
140,"BUTOW","KOS",2358
141,"RUGEN","STR",5213
142,"FRANZBURG","STR",11765
143,"GREIFSWALD","STR",9427
144,"GRIMMEN","STR",5685
145,"NAMSLAU","BRE",3788
146,"GROSS WARTENBERG","BRE",6839
147,"OLS","BRE",7613
148,"TREBNITZ","BRE",6549
149,"MILITSCH","BRE",6507
150,"GUHRAU","BRE",5478
151,"STEINAU","BRE",2877
152,"WOHLAU","BRE",6134
153,"NEUMARKT","BRE",7119
154,"BRESLAU STADTKREIS","BRE",
155,"BRESLAU LANDKREIS","BRE",11960
156,"OHLAU","BRE",6122
157,"BRIEG","BRE",7463
158,"STREHLEN","BRE",4671
159,"NIMPTSCH","BRE",3260
160,"MUNSTERBERG","BRE",3928
161,"FRANKENSTEIN","BRE",8767
162,"REICHENBACH","BRE",15927
163,"SCHWEIDNITZ LANDKREIS","BRE",16885
164,"STRIEGAU","BRE",7306
165,"WALDENBURG","BRE",24814
166,"GLATZ","BRE",10864
167,"NEURODE","BRE",9681
168,"HABELSCHWERDT","BRE",14241
169,"KREUZBURG","OPP",4714
170,"ROSENBERG IN OBERSCHLESIEN","OPP",4674
171,"OPPELN LANDKREIS","OPP",13826
172,"GROSS STREHLITZ","OPP",7853
173,"LUBLINITZ","OPP",5184
174,"TOST-GLEIWITZ","OPP",11807
175,"BEUTHEN LANDKREIS","OPP",43280
176,"PLESS","OPP",7403
177,"RYBNIK","OPP",6647
178,"RATIBOR","OPP",12836
179,"KOSEL","OPP",6110
180,"LEOBSCHUTZ","OPP",12327
181,"NEUSTADT IN OBERSCHLESIEN","OPP",10483
182,"FALKENBERG","OPP",3313
183,"NEISSE","OPP",14076
184,"GROTTKAU","OPP",5190
185,"GRUNBERG","LIE",7542
186,"FREISTADT","LIE",8966
187,"SAGAN","LIE",9846
188,"SPROTTAU","LIE",5140
189,"GLOGAU","LIE",10450
190,"LUBEN","LIE",4015
191,"BUNZLAU","LIE",16473
192,"GOLDBERG-HAINAU","LIE",8748
193,"LIEGNITZ LANDKREIS","LIE",10871
194,"JAUER","LIE",5484
195,"SCHONAU","LIE",7071
196,"BOLKENHAIN","LIE",10609
197,"LANDESHUT","LIE",14786
198,"HIRSCHBERG","LIE",17378
199,"LOWENBERG","LIE",11334
200,"LAUBAN","LIE",22409
201,"GORLITZ LANDKREIS","LIE",14120
202,"ROTHENBURG","LIE",6492
203,"HOYERSWERDA","LIE",3328
204,"OSTERBURG","MAG",5427
205,"SALZWEDEL","MAG",5311
206,"GARDELEGEN","MAG",7149
207,"STENDAL","MAG",7578
208,"JERICHOW I","MAG",12803
209,"JERICHOW II","MAG",8727
210,"KALBE","MAG",14995
211,"MAGDEBURG","MAG",
212,"WANZLEBEN","MAG",19593
213,"WOLMIRSTEDT","MAG",10440
214,"NEUHALDENSLEBEN","MAG",10644
215,"OSCHERSLEBEN","MAG",7300
216,"ASCHERSLEBEN","MAG",17057
217,"HALBERSTADT LANDKREIS","MAG",10643
218,"WERNIGERODE","MAG",3735
219,"LIEBENWERDA","MER",7754
220,"TORGAU","MER",9593
221,"SCHWEINITZ","MER",5259
222,"WITTENBERG","MER",7613
223,"BITTERFELD","MER",9076
224,"SAALKREIS","MER",12619
225,"DELITZSCH","MER",10134
226,"MANSFELDER GEBIRGSKR","MER",7550
227,"HALLE","MER",
228,"MANSFELDER SEEKREIS","MER",12415
229,"SANGERHAUSEN","MER",11007
230,"ECKARTSBERGA","MER",5109
231,"QUERFURT","MER",7780
232,"MERSEBURG","MER",10960
233,"WEISSENFELS LANDKREIS","MER",11058
234,"NAUMBURG","MER",4732
235,"ZEITZ LANDKREIS","MER",7936
236,"NORDHAUSEN LANDKREIS","ERF",15889
237,"WORBIS","ERF",9148
238,"HEILIGENSTADT","ERF",11844
239,"MUHLHAUSEN LANDKREIS","ERF",10748
240,"LANGENSALZA","ERF",5284
241,"WEISSENSEE","ERF",4242
242,"ERFURT LANDKREIS","ERF",10764
243,"ZIEGENRUCK","ERF",2376
244,"SCHLEUSINGEN","ERF",8902
245,"TECKLENBURG","MUN",4890
246,"WARENDORF","MUN",4232
247,"BECKUM","MUN",5731
248,"LUDINGHAUSEN","MUN",7250
249,"MUNSTER LANDKREIS","MUN",6331
250,"MUNSTER STADTKREIS","MUN",
251,"STEINFURT","MUN",11784
252,"KOESFELD","MUN",7739
253,"AHAUS","MUN",9221
254,"BORKEN","MUN",7664
255,"RECKLINGHAUSEN LANDKREIS","MUN",7298
256,"MINDEN","MIN",14164
257,"LUBBECKE","MIN",4064
258,"HERFORD","MIN",9151
259,"HALLE","MIN",5796
260,"BIELEFELD LANDKREIS","MIN",19504
261,"WIEDENBRUCK","MIN",6753
262,"PADERBORN","MIN",4672
263,"BUREN","MIN",3437
264,"WARBURG","MIN",2465
265,"HOXTER","MIN",6543
266,"ARNSBERG","ARN",6669
267,"MESCHEDE","ARN",5163
268,"BRILON","ARN",5481
269,"LIPPSTADT","ARN",5325
270,"SOEST","ARN",8109
271,"HAMM LANDKREIS","ARN",9097
272,"DORTMUND LANDKREIS","ARN",22073
273,"BOCHUM LANDKREIS","ARN",20529
274,"HAGEN LANDKREIS","ARN",24258
275,"ISERLOHN","ARN",12609
276,"ALTENA","ARN",12067
277,"OLPE","ARN",4881
278,"SIEGEN","ARN",9965
279,"WITTGENSTEIN","ARN",5858
280,"WIPPERFURTH","KOL",4725
281,"WALDBROL","KOL",2958
282,"GUMMERSBACH","KOL",4413
283,"SIEGKREIS","KOL",10839
284,"MULHEIM RHEIN LANDKREIS","KOL",11858
285,"KOLN STADTKREIS","KOL",
286,"KOLN LANDKREIS","KOL",13360
287,"BERGHEIM","KOL",5305
288,"EUSKIRCHEN","KOL",4958
289,"RHEINBACH","KOL",4534
290,"BONN LANDKREIS","KOL",11680
291,"KLEVE","DUS",9030
292,"REES","DUS",10260
293,"KREFELD LANDKREIS","DUS",27601
294,"DUISBURG","DUS",18790
295,"ESSEN LANDKREIS","DUS",24773
296,"MORS","DUS",11074
297,"GELDERN","DUS",9362
298,"KEMPEN","DUS",20005
299,"DUSSELDORF LANDKREIS","DUS",19662
300,"METTMANN","DUS",12398
301,"ELBERFELD","DUS",
302,"BARMEN","DUS",
303,"LENNEP","DUS",21582
304,"SOLINGEN LANDKREIS","DUS",19513
305,"NEUSS","DUS",6798
306,"GREVENBROICH","DUS",7390
307,"GLADBACH","DUS",21843
308,"KOBLENZ LANDKREIS","KOB",12875
309,"SANKT GOAR","KOB",5573
310,"KREUZNACH","KOB",12115
311,"SIMMERN","KOB",4360
312,"ZELL","KOB",3050
313,"KOCHEM","KOB",3899
314,"MAYEN","KOB",7466
