kreiskey1864,county,rb,pop1864_tot,pop1864_civ,pop1864_mil,pop1864_m_0to15,pop1864_f_0to15,pop1864_tot_15to65,pop1864_m_ov65,pop1864_f_ov65
1,"MEMEL","KON",53505,53446,59,9375,9110,33128,713,1120
2,"FISCHHAUSEN","KON",45609,44751,858,8349,8178,26508,799,917
3,"KONIGSBERG STADTKREIS","KON",101507,94827,6680,13316,13372,64190,1259,2690
4,"KONIGSBERG LANDKREIS","KON",48116,48087,29,9144,8947,28512,711,773
5,"LABIAU","KON",49252,49214,38,9140,9200,29103,790,981
6,"WEHLAU","KON",48928,48560,368,8823,8741,29239,745,1012
7,"GERDAUEN","KON",37619,37596,23,7233,7099,22014,595,655
8,"RASTENBURG","KON",41019,40753,266,7315,7357,24632,626,823
9,"FRIEDLAND","KON",43099,43036,63,8209,7959,25334,671,863
10,"PREUSSISCH EYLAU","KON",55465,55436,29,10888,10669,31856,1002,1021
11,"HEILIGENBEIL","KON",44568,44538,30,8653,8503,25735,810,837
12,"BRAUNSBERG","KON",51306,50678,628,9699,10203,28606,1043,1127
13,"HEILSBERG","KON",52680,52653,27,10012,10198,30289,1108,1046
14,"ROSSEL","KON",46714,46693,21,8877,8984,27350,713,769
15,"ALLENSTEIN","KON",50402,50251,151,9864,9915,29040,786,646
16,"ORTELSBURG","KON",59062,58979,83,11878,12069,33585,686,761
17,"NEIDENBURG","KON",47659,47619,40,9647,9623,27305,487,557
18,"OSTERODE","KON",59070,59009,61,12322,11980,33144,728,835
19,"MOHRUNGEN","KON",54799,54776,23,10707,11074,30916,962,1115
20,"PREUSSISCH HOLLAND","KON",43732,43689,43,8493,8236,25069,859,1032
21,"HEYDEKRUG","GUM",37855,37810,45,6563,6539,23353,576,779
22,"NIEDERUNG","GUM",50501,50463,38,8759,9195,30792,747,970
23,"TILSIT LANDKREIS","GUM",61068,60295,773,10400,10466,37382,833,1214
24,"RAGNIT","GUM",52358,52174,184,9981,9741,30608,881,963
25,"PILLKALLEN","GUM",46054,46015,39,8492,8320,27287,910,1006
26,"STALLUPONEN","GUM",44356,44310,46,8689,8501,25568,702,850
27,"GUMBINNEN","GUM",46552,45973,579,8525,8407,27197,834,1010
28,"INSTERBURG","GUM",64742,64200,542,11588,11351,38995,974,1292
29,"DARKEHMEN","GUM",36694,36665,29,6841,6943,21476,600,805
30,"ANGERBURG","GUM",37956,37926,30,7124,7000,22455,559,788
31,"GOLDAP","GUM",43277,43238,39,8260,8397,25222,626,733
32,"OLETZKO","GUM",38543,38506,37,7079,7151,23165,487,624
33,"LYCK","GUM",43525,43494,31,7769,7656,26755,570,744
34,"LOTZEN","GUM",37181,36569,612,6604,6775,22073,463,654
35,"SENSBURG","GUM",44862,44831,31,8488,8487,26623,561,672
36,"JOHANNISBURG","GUM",41842,41783,59,7703,7699,25093,523,765
37,"ELBING LANDKREIS","DAN",64299,63843,456,11318,10860,39020,1115,1530
38,"MARIENBURG IN PREUSSEN","DAN",58110,58049,61,10761,10541,34595,991,1161
39,"DANZIG STADTKREIS","DAN",90334,78131,12203,11886,11374,51760,1063,2048
40,"DANZIG LANDKREIS","DAN",72622,72608,14,14088,13839,42023,1226,1432
41,"PREUSSISCH STARGARD","DAN",64164,63800,364,13161,12834,35982,852,971
42,"BERENT","DAN",40894,40863,31,8442,8350,22876,589,606
43,"KARTHAUS","DAN",54104,54088,16,11118,11038,30326,798,808
44,"NEUSTADT IN WESTPREUSSEN","DAN",58293,58277,16,11624,11367,33447,893,946
45,"STUHM","MAR",39846,39812,34,7864,7820,22746,654,728
46,"MARIENWERDER","MAR",65775,65726,49,12571,12707,38308,927,1213
47,"ROSENBERG IN WESTPREUSSEN","MAR",49587,49227,360,9986,9710,27930,739,862
48,"LOBAU","MAR",46472,46418,54,9639,9496,26206,525,552
49,"STRASBURG","MAR",60153,60091,62,12140,12027,34289,755,880
50,"THORN LANDKREIS","MAR",63468,61311,2157,11611,11262,36633,808,997
51,"KULM","MAR",51637,50773,864,9937,9885,29607,602,742
52,"GRAUDENZ LANDKREIS","MAR",56267,53754,2513,10271,9972,31888,760,863
53,"SCHWETZ","MAR",68935,68889,46,13986,14173,38783,920,1027
54,"KONITZ","MAR",66069,65913,156,13674,13657,36629,964,989
55,"SCHLOCHAU","MAR",57958,57905,53,11701,11674,32778,921,831
56,"FLATOW","MAR",60716,60677,39,12564,12218,33969,989,937
57,"DEUTSCH KRONE","MAR",63415,63218,197,12746,12430,35994,967,1081
58,"WRESCHEN","POS",38063,37994,69,7296,7358,22390,459,491
59,"PLESCHEN","POS",57138,57049,89,11125,11148,33539,583,654
60,"SCHRODA","POS",49049,48981,68,8986,9039,29210,818,928
61,"SCHRIMM","POS",55623,54975,648,10511,10498,32388,725,853
62,"KOSTEN","POS",63436,63320,116,12048,12194,37457,748,873
63,"BUK","POS",56886,56838,48,10700,10935,33493,766,944
64,"POSEN STADTKREIS","POS",53383,45143,8240,7089,6657,30168,528,701
65,"POSEN LANDKREIS","POS",52463,52431,32,10095,10011,31040,554,731
66,"OBORNIK","POS",47422,47383,39,9451,9062,27580,603,687
67,"SAMTER","POS",49575,48988,587,9589,9457,28571,628,743
68,"BIRNBAUM","POS",48142,48102,40,8661,8756,28844,842,999
69,"MESERITZ","POS",45467,45436,31,8460,8353,26578,919,1126
70,"BOMST","POS",55163,54779,384,10337,10252,32112,988,1090
71,"FRAUSTADT","POS",61586,60211,1375,10589,10649,36443,1118,1412
72,"KROBEN","POS",72633,72506,127,13131,13135,43592,1238,1410
73,"KROTOSCHIN","POS",62041,61632,409,11392,11701,36700,912,927
74,"ADELNAU","POS",52380,52158,222,9886,10027,31038,577,630
75,"SCHILDBERG","POS",57818,57758,60,10982,11226,34235,641,674
76,"CZARNIKAU","BRO",68905,68860,45,14054,13804,38876,999,1127
77,"CHODZIESEN","BRO",53759,52921,838,10883,10777,29593,805,863
78,"WIRSITZ","BRO",58127,57901,226,12028,11572,32690,768,843
79,"BROMBERG LANDKREIS","BRO",83754,81641,2113,15802,15425,48204,990,1220
80,"SCHUBIN","BRO",56112,56050,62,11418,11510,31408,813,901
81,"INOWRAZLAW","BRO",70383,69757,626,13849,13926,40110,809,1063
82,"MOGILNO","BRO",40628,40558,70,7970,7988,23643,478,579
83,"GNESEN","BRO",58048,56883,1165,11164,10903,33192,706,918
84,"WONGROWITZ","BRO",55745,55689,56,11408,11171,31601,669,840
85,"BERLIN","POT",632749,609733,23016,89351,88071,414726,7065,10520
86,"PRENZLAU","POT",57329,55539,1790,10188,9885,33007,946,1513
87,"TEMPLIN","POT",48154,48118,36,9056,8676,28266,926,1194
88,"ANGERMUNDE","POT",64934,64005,929,12331,11820,37145,1180,1529
89,"OBERBARNIM","POT",69109,67443,1666,12478,12200,39999,1208,1558
90,"NIEDERBARNIM","POT",80613,80306,307,15011,14616,47692,1290,1697
91,"TELTOW","POT",88401,88187,214,16040,15961,53135,1283,1768
92,"BEESKOW-STORKOW","POT",42827,42436,391,7753,7735,25146,693,1109
93,"JUTERBOG-LUCKENWALDE","POT",58112,57582,530,10319,10067,34714,1108,1374
94,"ZAUCH-BELZIG","POT",68007,67255,752,11989,11712,40755,1259,1540
95,"POTSDAM","POT",42266,35031,7235,6165,5088,21999,663,1116
96,"OSTHAVELLAND","POT",66162,62341,3821,10604,10462,38748,1112,1415
97,"WESTHAVELLAND","POT",46289,45441,848,7982,7822,27865,825,947
98,"RUPPIN","POT",77337,75437,1900,13582,13123,45125,1575,2032
99,"OSTPRIGNITZ","POT",70730,70501,229,12296,11614,43124,1637,1830
100,"WESTPRIGNITZ","POT",74030,72537,1493,12628,12179,44406,1513,1811
101,"KONIGSBERG IN NEUMARK","FRA",91696,89286,2410,16973,16455,51803,1782,2273
102,"SOLDIN","FRA",48672,48004,668,8901,9088,27768,1006,1241
103,"ARNSWALDE","FRA",43668,43647,21,8536,8612,24690,829,980
104,"FRIEDEBERG","FRA",56105,55708,397,10368,10268,32557,1055,1460
105,"LANDSBERG LANDKREIS","FRA",78118,77035,1083,14575,14141,45183,1334,1802
106,"LEBUS","FRA",88885,88366,519,16307,16226,52177,1566,2090
107,"FRANKFURT","FRA",39523,36688,2835,5982,5767,23393,609,937
108,"STERNBERG","FRA",91165,91004,161,16475,16335,53985,1835,2374
109,"ZULLICHAU-SCHWIEBUS","FRA",47174,46726,448,8132,8045,28216,1054,1279
110,"KROSSEN","FRA",59205,58595,610,10356,10227,35256,1200,1556
111,"GUBEN LANDKREIS","FRA",57526,56584,942,9876,9778,34304,1137,1489
112,"LUBBEN","FRA",33946,33177,769,6077,5929,19613,668,890
113,"LUCKAU","FRA",59519,59405,114,10567,10354,35831,1186,1467
114,"KALAU","FRA",47361,47329,32,7844,7908,29217,1046,1314
115,"KOTTBUS LANDKREIS","FRA",61040,60451,589,10431,10247,37240,1072,1461
116,"SORAU","FRA",79113,78498,615,13012,12912,49194,1436,1944
117,"SPREMBERG","FRA",20851,20282,569,3472,3402,12673,327,408
118,"DEMMIN","STE",49625,48889,736,8939,8733,29152,977,1088
119,"ANKLAM","STE",31649,31592,57,5765,5495,18867,698,767
120,"USEDOM-WOLLIN","STE",41682,40783,899,7628,7594,23497,969,1095
121,"UCKERMUNDE","STE",45064,44258,806,8615,8328,25450,872,993
122,"RANDOW","STE",86979,86528,451,17273,17135,49104,1323,1693
123,"STETTIN","STE",70759,65053,5706,10424,9990,42701,673,1265
124,"GREIFENHAGEN","STE",53500,53474,26,10588,10282,30327,1011,1266
125,"PYRITZ","STE",44166,43596,570,8263,8292,25141,875,1025
126,"SAATZIG","STE",64684,63382,1302,12338,11636,36830,1157,1421
127,"NAUGARD","STE",56905,56819,86,11008,10811,32635,1184,1181
128,"KAMMIN","STE",44056,44025,31,8332,8059,25508,1023,1103
129,"GREIFENBERG","STE",38906,37953,953,7140,6820,22225,863,905
130,"REGENWALDE","STE",49666,49642,24,9872,9520,28494,837,919
131,"SCHIVELBEIN","KOS",19703,19662,41,3921,3777,11224,379,361
132,"DRAMBURG","KOS",36664,36647,17,7437,7351,20475,626,758
133,"NEUSTETTIN","KOS",71933,71797,136,14365,14196,40518,1367,1351
134,"BELGARD","KOS",42596,42383,213,8436,8031,24604,646,666
135,"FURSTENTHUM","KOS",111071,108298,2773,20948,20259,62888,1994,2209
136,"SCHLAWE","KOS",77184,76965,219,14731,14443,44683,1471,1637
137,"RUMMELSBURG","KOS",30871,30856,15,6142,6105,17705,425,479
138,"STOLP LANDKREIS","KOS",87890,87325,565,16686,16491,51192,1339,1617
139,"LAUENBURG IN POMMERN","KOS",41727,41705,22,8351,8245,23802,613,694
140,"BUTOW","KOS",23962,23948,14,4792,4803,13698,290,365
141,"RUGEN","STR",47190,47147,43,8700,8257,28074,994,1122
142,"FRANZBURG","STR",73706,71442,2264,12384,12139,43740,1360,1819
143,"GREIFSWALD","STR",55728,55069,659,9558,9337,33655,1137,1382
144,"GRIMMEN","STR",39509,39483,26,7289,7405,23194,777,818
145,"NAMSLAU","BRE",35769,35596,173,6517,6404,21314,596,765
146,"GROSS WARTENBERG","BRE",51356,51322,34,9612,9484,30410,811,1005
147,"OLS","BRE",62995,61920,1075,10614,10536,38320,1096,1354
148,"TREBNITZ","BRE",53521,53494,27,9049,9057,32801,1190,1397
149,"MILITSCH","BRE",55447,55108,339,9749,9757,33232,1080,1290
150,"GUHRAU","BRE",37913,37436,477,6256,6267,23021,817,1075
151,"STEINAU","BRE",24945,24929,16,4248,4242,15105,616,718
152,"WOHLAU","BRE",50185,49799,386,8483,8770,30285,1050,1211
153,"NEUMARKT","BRE",57369,57344,25,10167,10298,34520,1066,1293
154,"BRESLAU STADTKREIS","BRE",163919,156644,7275,21698,21019,108351,2072,3504
155,"BRESLAU LANDKREIS","BRE",75944,75929,15,13192,13356,47147,960,1274
156,"OHLAU","BRE",53252,52844,408,9483,9552,31845,867,1097
157,"BRIEG","BRE",51446,50828,618,8307,8517,31962,869,1173
158,"STREHLEN","BRE",32745,32403,342,5659,5673,19765,574,732
159,"NIMPTSCH","BRE",30070,30053,17,5285,5317,18020,650,781
160,"MUNSTERBERG","BRE",34641,34419,222,5988,6156,20697,735,843
161,"FRANKENSTEIN","BRE",50730,50681,49,8624,8664,30974,1165,1254
162,"REICHENBACH","BRE",64017,63344,673,10447,10812,39370,1228,1487
163,"SCHWEIDNITZ LANDKREIS","BRE",78996,75756,3240,12591,12754,47109,1523,1779
164,"STRIEGAU","BRE",33859,33765,94,5670,5749,20967,653,726
165,"WALDENBURG","BRE",82118,82085,33,13101,13379,52564,1391,1650
166,"GLATZ","BRE",60400,58310,2090,9901,9666,36326,1196,1221
167,"NEURODE","BRE",47158,47139,19,8423,8755,28075,907,979
