kreiskey1864,county,rb,rel1864_pro,rel1864_cat,rel1864_jew,rel1864_oth
1,"MEMEL","KON",49883,2439,586,538
2,"FISCHHAUSEN","KON",44102,103,134,412
3,"KONIGSBERG STADTKREIS","KON",87958,2856,3024,989
4,"KONIGSBERG LANDKREIS","KON",47907,124,40,16
5,"LABIAU","KON",48823,135,205,51
6,"WEHLAU","KON",47953,249,186,172
7,"GERDAUEN","KON",37383,83,130,0
8,"RASTENBURG","KON",38987,1600,152,14
9,"FRIEDLAND","KON",42505,193,191,147
10,"PREUSSISCH EYLAU","KON",54123,475,196,642
11,"HEILIGENBEIL","KON",43331,570,119,518
12,"BRAUNSBERG","KON",4481,45755,411,31
13,"HEILSBERG","KON",3075,49169,408,1
14,"ROSSEL","KON",4839,41441,387,26
15,"ALLENSTEIN","KON",3253,46636,353,9
16,"ORTELSBURG","KON",54076,3810,453,640
17,"NEIDENBURG","KON",40790,6313,496,20
18,"OSTERODE","KON",53562,4633,682,132
19,"MOHRUNGEN","KON",52783,1246,495,252
20,"PREUSSISCH HOLLAND","KON",42040,1251,340,58
21,"HEYDEKRUG","GUM",35828,1514,162,306
22,"NIEDERUNG","GUM",49410,391,132,530
23,"TILSIT LANDKREIS","GUM",57591,1728,487,489
24,"RAGNIT","GUM",51042,513,248,371
25,"PILLKALLEN","GUM",45497,372,124,22
26,"STALLUPONEN","GUM",43489,462,271,88
27,"GUMBINNEN","GUM",45772,32,160,9
28,"INSTERBURG","GUM",63796,90,201,113
29,"DARKEHMEN","GUM",36521,12,85,47
30,"ANGERBURG","GUM",37562,37,123,204
31,"GOLDAP","GUM",42860,231,134,13
32,"OLETZKO","GUM",37581,705,197,23
33,"LYCK","GUM",41985,1124,254,131
34,"LOTZEN","GUM",35996,317,189,67
35,"SENSBURG","GUM",41361,2256,171,1043
36,"JOHANNISBURG","GUM",41139,299,332,13
37,"ELBING LANDKREIS","DAN",49083,11925,555,2280
38,"MARIENBURG IN PREUSSEN","DAN",29862,22298,506,5382
39,"DANZIG STADTKREIS","DAN",54203,19411,2939,1578
40,"DANZIG LANDKREIS","DAN",44604,27312,156,536
41,"PREUSSISCH STARGARD","DAN",15996,46114,1493,197
42,"BERENT","DAN",17133,22965,692,73
43,"KARTHAUS","DAN",15742,38022,277,47
44,"NEUSTADT IN WESTPREUSSEN","DAN",15917,42076,279,5
45,"STUHM","MAR",13705,24814,541,752
46,"MARIENWERDER","MAR",39450,24821,919,536
47,"ROSENBERG IN WESTPREUSSEN","MAR",44915,3282,973,57
48,"LOBAU","MAR",8739,36663,989,27
49,"STRASBURG","MAR",18512,39039,2235,305
50,"THORN LANDKREIS","MAR",27308,31975,1785,243
51,"KULM","MAR",22517,26321,1208,727
52,"GRAUDENZ LANDKREIS","MAR",30428,21824,1214,288
53,"SCHWETZ","MAR",32298,34143,1530,918
54,"KONITZ","MAR",14955,48719,2216,23
55,"SCHLOCHAU","MAR",32853,23243,1673,136
56,"FLATOW","MAR",35411,22275,2916,75
57,"DEUTSCH KRONE","MAR",38122,22826,2230,40
58,"WRESCHEN","POS",3146,32863,1981,4
59,"PLESCHEN","POS",8371,46593,2077,8
60,"SCHRODA","POS",7506,40353,1122,0
61,"SCHRIMM","POS",10190,42292,2478,15
62,"KOSTEN","POS",8938,53410,972,0
63,"BUK","POS",18619,35972,2066,181
64,"POSEN STADTKREIS","POS",14748,22934,7372,89
65,"POSEN LANDKREIS","POS",8597,42496,1336,2
66,"OBORNIK","POS",17138,27562,2657,26
67,"SAMTER","POS",14076,31621,3291,0
68,"BIRNBAUM","POS",23873,21940,2010,279
69,"MESERITZ","POS",24662,19214,1412,148
70,"BOMST","POS",24324,29039,1316,100
71,"FRAUSTADT","POS",24658,32694,2852,7
72,"KROBEN","POS",22586,47539,2360,21
73,"KROTOSCHIN","POS",15771,42289,3571,1
74,"ADELNAU","POS",10069,39653,2434,2
75,"SCHILDBERG","POS",10810,42630,4318,0
76,"CZARNIKAU","BRO",42978,22628,3244,10
77,"CHODZIESEN","BRO",30681,18712,3200,328
78,"WIRSITZ","BRO",27683,27321,2632,265
79,"BROMBERG LANDKREIS","BRO",46852,31081,3246,462
