kreiskey1858,county,rb,land1866_knight_estates
1,"ALLENSTEIN","KON",33
2,"BRAUNSBERG","KON",26
3,"PREUSSISCH EYLAU","KON",73
4,"FISCHHAUSEN","KON",54
5,"FRIEDLAND","KON",80
6,"GERDAUEN","KON",49
7,"HEILIGENBEIL","KON",60
8,"HEILSBERG","KON",23
9,"PREUSSISCH HOLLAND","KON",35
10,"KONIGSBERG STADTKREIS","KON",0
11,"KONIGSBERG LANDKREIS","KON",90
12,"LABIAU","KON",39
13,"MEMEL","KON",8
14,"MOHRUNGEN","KON",69
15,"NEIDENBURG","KON",45
16,"ORTELSBURG","KON",19
17,"OSTERODE","KON",85
18,"RASTENBURG","KON",64
19,"ROSSEL","KON",21
20,"WEHLAU","KON",52
21,"ANGERBURG","GUM",37
22,"DARKEHMEN","GUM",33
23,"GOLDAP","GUM",12
24,"GUMBINNEN","GUM",14
25,"HEYDEKRUG","GUM",1
26,"INSTERBURG","GUM",41
27,"JOHANNISBURG","GUM",25
28,"LOTZEN","GUM",20
29,"LYCK","GUM",13
30,"NIEDERUNG","GUM",21
31,"OLETZKO","GUM",16
32,"PILLKALLEN","GUM",7
33,"RAGNIT","GUM",31
34,"SENSBURG","GUM",29
35,"STALLUPONEN","GUM",4
36,"TILSIT LANDKREIS","GUM",24
37,"BERENT","DAN",36
38,"DANZIG LANDKREIS","DAN",45
39,"DANZIG STADTKREIS","DAN",0
40,"ELBING LANDKREIS","DAN",2
41,"KARTHAUS","DAN",51
42,"MARIENBURG IN PREUSSEN","DAN",3
43,"NEUSTADT IN WESTPREUSSEN","DAN",88
44,"PREUSSISCH STARGARD","DAN",49
45,"DEUTSCH KRONE","MAR",37
46,"FLATOW","MAR",25
47,"GRAUDENZ LANDKREIS","MAR",45
48,"KONITZ","MAR",62
49,"KULM","MAR",64
50,"LOBAU","MAR",25
51,"MARIENWERDER","MAR",31
52,"ROSENBERG IN WESTPREUSSEN","MAR",50
53,"SCHLOCHAU","MAR",44
54,"SCHWETZ","MAR",58
55,"STRASBURG","MAR",47
56,"STUHM","MAR",45
57,"THORN LANDKREIS","MAR",39
58,"BELGARD","KOS",84
59,"BUTOW","KOS",20
60,"DRAMBURG","KOS",40
61,"FURSTENTHUM","KOS",158
62,"LAUENBURG IN POMMERN","KOS",104
63,"NEUSTETTIN","KOS",108
64,"RUMMELSBURG","KOS",69
65,"SCHIVELBEIN","KOS",36
66,"SCHLAWE","KOS",71
67,"STOLP LANDKREIS","KOS",165
68,"ANKLAM","STE",47
69,"DEMMIN","STE",73
70,"GREIFENBERG","STE",37
71,"GREIFENHAGEN","STE",11
72,"KAMMIN","STE",91
73,"NAUGARD","STE",50
74,"PYRITZ","STE",68
75,"RANDOW","STE",44
76,"REGENWALDE","STE",98
77,"SAATZIG","STE",58
78,"STETTIN","STE",0
79,"UCKERMUNDE","STE",6
80,"USEDOM-WOLLIN","STE",20
81,"FRANZBURG","STR",71
82,"GREIFSWALD","STR",83
83,"GRIMMEN","STR",60
84,"RUGEN","STR",122
85,"BROMBERG LANDKREIS","BRO",27
86,"CHODZIESEN","BRO",16
87,"CZARNIKAU","BRO",14
88,"GNESEN","BRO",92
89,"INOWRAZLAW","BRO",127
90,"MOGILNO","BRO",44
91,"SCHUBIN","BRO",63
92,"WIRSITZ","BRO",52
93,"WONGROWITZ","BRO",97
94,"ADELNAU","POS",40
95,"BIRNBAUM","POS",37
96,"BOMST","POS",24
97,"BUK","POS",75
98,"FRAUSTADT","POS",59
99,"KOSTEN","POS",90
100,"KROBEN","POS",75
101,"KROTOSCHIN","POS",40
102,"MESERITZ","POS",25
103,"OBORNIK","POS",39
104,"PLESCHEN","POS",90
105,"POSEN LANDKREIS","POS",60
106,"SAMTER","POS",58
107,"SCHILDBERG","POS",44
108,"SCHRIMM","POS",63
109,"SCHRODA","POS",91
110,"WRESCHEN","POS",55
111,"ARNSWALDE","FRA",38
112,"FRANKFURT","FRA",0
113,"FRIEDEBERG","FRA",27
114,"GUBEN LANDKREIS","FRA",39
115,"KALAU","FRA",90
116,"KONIGSBERG IN NEUMARK","FRA",41
117,"KOTTBUS LANDKREIS","FRA",47
118,"KROSSEN","FRA",41
119,"LANDSBERG LANDKREIS","FRA",16
120,"LEBUS","FRA",46
121,"LUCKAU","FRA",66
122,"LUBBEN","FRA",20
123,"SOLDIN","FRA",44
124,"SORAU","FRA",88
125,"SPREMBERG","FRA",25
126,"STERNBERG","FRA",55
127,"ZULLICHAU-SCHWIEBUS","FRA",64
128,"ANGERMUNDE","POT",44
129,"BEESKOW-STORKOW","POT",32
130,"BERLIN","POT",0
131,"JUTERBOG-LUCKENWALDE","POT",35
132,"NIEDERBARNIM","POT",37
133,"OBERBARNIM","POT",45
134,"OSTHAVELLAND","POT",33
135,"OSTPRIGNITZ","POT",64
136,"POTSDAM","POT",0
137,"PRENZLAU","POT",90
138,"RUPPIN","POT",60
139,"TELTOW","POT",46
140,"TEMPLIN","POT",65
141,"WESTHAVELLAND","POT",49
142,"WESTPRIGNITZ","POT",65
143,"ZAUCH-BELZIG","POT",36
144,"BEUTHEN LANDKREIS","OPP",74
145,"FALKENBERG","OPP",71
146,"GROTTKAU","OPP",66
147,"KOSEL","OPP",50
148,"KREUZBURG","OPP",47
149,"LEOBSCHUTZ","OPP",31
150,"LUBLINITZ","OPP",48
151,"NEISSE","OPP",74
152,"NEUSTADT IN OBERSCHLESIEN","OPP",32
153,"OPPELN LANDKREIS","OPP",26
154,"PLESS","OPP",34
155,"RATIBOR","OPP",87
156,"ROSENBERG IN OBERSCHLESIEN","OPP",56
157,"RYBNIK","OPP",72
158,"GROSS STREHLITZ","OPP",33
159,"TOST-GLEIWITZ","OPP",95
160,"BRESLAU STADTKREIS","BRE",0
161,"BRESLAU LANDKREIS","BRE",117
162,"BRIEG","BRE",27
163,"FRANKENSTEIN","BRE",26
164,"GLATZ","BRE",47
165,"GUHRAU","BRE",69
166,"HABELSCHWERDT","BRE",28
167,"MILITSCH","BRE",113
168,"MUNSTERBERG","BRE",44
169,"NAMSLAU","BRE",40
170,"NEUMARKT","BRE",77
