kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
1,"ALLENSTEIN","KON",24601,2002,0,0,0,2002,10021,10926,167,1485,129
2,"BRAUNSBERG","KON",17191,582,0,0,0,582,15662,546,261,140,0
3,"PREUSSISCH EYLAU","KON",22369,8726,0,0,0,8726,10829,2149,485,180,0
4,"FISCHHAUSEN","KON",19276,2188,0,0,0,2188,12820,3857,286,125,0
5,"FRIEDLAND","KON",16002,5197,0,0,0,5197,8875,1785,0,145,0
6,"GERDAUEN","KON",15679,8250,0,0,0,8250,5951,1268,0,210,0
7,"HEILIGENBEIL","KON",16451,2796,0,0,0,2796,8620,4914,0,121,0
8,"HEILSBERG","KON",19894,1443,0,0,0,1443,13050,4887,116,398,0
9,"PREUSSISCH HOLLAND","KON",15631,2430,0,0,2819,5249,10147,0,0,235,0
10,"KONIGSBERG","KON",19524,5199,0,0,0,5199,13518,530,0,277,0
11,"LABIAU","KON",19312,2050,201,1478,0,3729,10236,572,4588,187,0
12,"MEMEL","KON",15270,0,0,0,0,0,6851,7232,1070,117,0
13,"MOHRUNGEN","KON",23250,2254,0,0,0,2254,15394,3841,0,1761,0
14,"NEIDENBURG","KON",29702,0,0,0,0,0,15689,11244,1864,905,0
15,"ORTELSBURG","KON",31042,595,0,0,0,595,6634,19619,3033,1161,0
16,"OSTERODE","KON",27891,0,0,0,0,0,17893,8316,188,1494,0
17,"RASTENBURG","KON",15888,2009,0,1351,1943,5303,7574,2731,0,280,0
18,"ROSSEL","KON",15461,4970,72,1078,0,6120,5746,2163,731,701,0
19,"WEHLAU","KON",18985,1328,1330,6390,0,9048,9249,173,319,196,112
20,"ANGERBURG","GUM",16729,1840,0,0,532,2372,9118,1394,1507,2338,0
21,"DARKEHMEN","GUM",13847,1453,0,0,0,1453,9614,2318,341,121,143
22,"GOLDAP","GUM",17835,3076,0,4433,0,7509,8168,1476,139,543,0
23,"GUMBINNEN","GUM",13209,2134,0,0,0,2134,9331,918,719,107,0
24,"HEYDEKRUG","GUM",14558,226,192,0,0,418,3054,5904,4460,722,11
25,"INSTERBURG","GUM",21787,9823,0,6893,0,16716,3954,354,614,149,0
26,"JOHANNISBURG","GUM",30441,0,0,0,0,0,7301,16238,3462,3440,0
27,"LOTZEN","GUM",16247,30,0,0,0,30,9790,2430,1905,2092,0
28,"LYCK","GUM",20481,331,0,0,0,331,14503,3832,183,1632,0
