kreiskey1871,county,rb,pop1867_tot
1,"MEMEL","KON",56408
2,"FISCHHAUSEN","KON",47119
3,"KONIGSBERG","KON",106296
4,"KONIGSBERG","KON",48789
5,"LABIAU","KON",50467
6,"WEHLAU","KON",49207
7,"GERDAUEN","KON",38110
8,"RASTENBURG","KON",42426
9,"FRIEDLAND","KON",44833
10,"PREUSSISCH EYLAU","KON",55874
11,"HEILIGENBEIL","KON",45064
12,"BRAUNSBERG","KON",52235
13,"HEILSBERG","KON",53279
14,"ROSSEL","KON",47361
15,"ALLENSTEIN","KON",52754
16,"ORTELSBURG","KON",60511
17,"NEIDENBURG","KON",50340
18,"OSTERODE","KON",61859
19,"MOHRUNGEN","KON",56245
20,"PREUSSISCH HOLLAND","KON",44163
21,"HEYDEKRUG","GUM",38557
22,"NIEDERUNG","GUM",51834
23,"TILSIT","GUM",63838
24,"RAGNIT","GUM",53598
25,"PILLKALLEN","GUM",45665
26,"STALLUPONEN","GUM",44463
27,"GUMBINNEN","GUM",47218
28,"INSTERBURG","GUM",66086
29,"DARKEHMEN","GUM",37010
30,"ANGERBURG","GUM",38771
31,"GOLDAP","GUM",44004
32,"OLETZKO","GUM",39593
33,"LYCK","GUM",45496
34,"LOTZEN","GUM",39014
35,"SENSBURG","GUM",46218
36,"JOHANNISBURG","GUM",43413
37,"ELBING","DAN",65115
38,"MARIENBURG","DAN",59092
39,"DANZIG","DAN",89311
40,"DANZIG","DAN",74919
41,"PREUSSISCH STARGARD","DAN",67587
42,"BERENT","DAN",43056
43,"KARTHAUS","DAN",55924
44,"NEUSTADT","DAN",60218
45,"STUHM","MAR",40483
46,"MARIENWERDER","MAR",66607
47,"ROSENBERG","MAR",50805
48,"LOBAU","MAR",47888
49,"STRASBURG","MAR",61804
50,"THORN","MAR",64864
51,"KULM","MAR",53158
52,"GRAUDENZ","MAR",58247
53,"SCHWETZ","MAR",71159
54,"KONITZ","MAR",67981
55,"SCHLOCHAU","MAR",59522
56,"FLATOW","MAR",61157
57,"DEUTSCH KRONE","MAR",63945
58,"BERLIN","BER",702437
59,"PRENZLAU","POT",55448
60,"TEMPLIN","POT",46240
61,"ANGERMUNDE","POT",65281
62,"OBERBARNIM","POT",72351
63,"NIEDERBARNIM","POT",83597
64,"TELTOW","POT",94678
65,"BEESKOW-STORKOW","POT",42874
66,"JUTERBOG-LUCKENWALDE","POT",59613
67,"ZAUCH-BELZIG","POT",67567
68,"POTSDAM","POT",42863
69,"OSTHAVELLAND","POT",69085
70,"WESTHAVELLAND","POT",72731
71,"RUPPIN","POT",76752
72,"OSTPRIGNITZ","POT",70857
73,"WESTPRIGNITZ","POT",73491
74,"KONIGSBERG","FRA",91359
75,"SOLDIN","FRA",47575
76,"ARNSWALDE","FRA",42578
77,"FRIEDEBERG","FRA",55553
78,"LANDSBERG","FRA",77992
79,"LEBUS","FRA",93646
80,"FRANKFURT","FRA",40994
81,"OSTSTERNBERG","FRA",48860
82,"WESTSTERNBERG","FRA",43046
83,"ZULLICHAU-SCHWIEBUS","FRA",48926
84,"KROSSEN","FRA",59851
85,"GUBEN","FRA",59564
86,"LUBBEN","FRA",34268
87,"LUCKAU","FRA",60529
88,"KALAU","FRA",48156
89,"KOTTBUS","FRA",63446
90,"SORAU","FRA",82429
91,"SPREMBERG","FRA",21385
92,"DEMMIN","STE",48285
93,"ANKLAM","STE",30834
94,"USEDOM-WOLLIN","STE",42453
95,"UCKERMUNDE","STE",44092
96,"RANDOW","STE",87665
97,"STETTIN","STE",73721
98,"GREIFENHAGEN","STE",53824
99,"PYRITZ","STE",43330
100,"SAATZIG","STE",64226
101,"NAUGARD","STE",56744
102,"KAMMIN","STE",43825
103,"GREIFENBERG","STE",38459
104,"REGENWALDE","STE",48138
105,"SCHIVELBEIN","KOS",19623
106,"DRAMBURG","KOS",36929
