kreiskey1871,county,rb,lit1871_raw_ov10,lit1871_mis_ov10,lit1871_ill_ov10
1,"MEMEL","KON",28771,1069,13165
2,"FISCHHAUSEN","KON",28219,621,6878
3,"KONIGSBERG","KON",82032,283,9063
4,"KONIGSBERG","KON",26180,916,8606
5,"LABIAU","KON",25481,482,11866
6,"WEHLAU","KON",27355,890,8303
7,"GERDAUEN","KON",21870,694,5749
8,"RASTENBURG","KON",24656,462,6920
9,"FRIEDLAND","KON",26208,1544,5954
10,"PREUSSISCH EYLAU","KON",31656,941,8355
11,"HEILIGENBEIL","KON",25605,712,7642
12,"BRAUNSBERG","KON",33117,547,6547
13,"HEILSBERG","KON",32888,1020,6921
14,"ROSSEL","KON",24820,721,11183
15,"ALLENSTEIN","KON",23943,1054,16072
16,"ORTELSBURG","KON",28069,846,16058
17,"NEIDENBURG","KON",22505,747,14724
18,"OSTERODE","KON",24485,535,20531
19,"MOHRUNGEN","KON",30658,734,10333
20,"PREUSSISCH HOLLAND","KON",28471,351,4182
21,"HEYDEKRUG","GUM",16855,624,12115
22,"NIEDERUNG","GUM",22180,1063,16234
23,"TILSIT","GUM",31924,1430,14669
24,"RAGNIT","GUM",23939,746,14109
25,"PILLKALLEN","GUM",22861,980,9765
26,"STALLUPONEN","GUM",24061,1279,7354
27,"GUMBINNEN","GUM",28288,834,6880
28,"INSTERBURG","GUM",37220,902,12196
29,"DARKEHMEN","GUM",20454,626,6293
30,"ANGERBURG","GUM",21237,1411,5919
31,"GOLDAP","GUM",21856,687,9373
32,"OLETZKO","GUM",19959,397,8205
33,"LYCK","GUM",26734,1187,6698
34,"LOTZEN","GUM",21114,796,7584
35,"SENSBURG","GUM",20834,681,13005
36,"JOHANNISBURG","GUM",21720,781,10429
37,"ELBING","DAN",43474,623,8392
38,"MARIENBURG","DAN",33970,229,9632
39,"DANZIG","DAN",59481,1581,10097
40,"DANZIG","DAN",35664,1546,18539
41,"PREUSSISCH STARGARD","DAN",26333,1267,23531
42,"BERENT","DAN",14991,120,16084
43,"KARTHAUS","DAN",14381,1363,24074
44,"NEUSTADT","DAN",20480,43,23596
45,"STUHM","MAR",17080,358,11857
46,"MARIENWERDER","MAR",30832,965,16463
47,"ROSENBERG","MAR",25680,268,11751
48,"LOBAU","MAR",14970,1622,19726
49,"STRASBURG","MAR",20099,786,26230
50,"THORN","MAR",30305,1253,19547
51,"KULM","MAR",22151,974,16441
52,"GRAUDENZ","MAR",26964,1130,16377
53,"SCHWETZ","MAR",30319,557,21146
54,"KONITZ","MAR",25016,2102,23392
55,"SCHLOCHAU","MAR",31357,744,11202
56,"FLATOW","MAR",30034,1197,13750
57,"DEUTSCH KRONE","MAR",36983,1043,7985
58,"BERLIN","BER",652988,0,13597
59,"PRENZLAU","POT",36563,445,3204
60,"TEMPLIN","POT",28380,765,3338
61,"ANGERMUNDE","POT",43656,573,3384
62,"OBERBARNIM","POT",51025,989,2572
63,"NIEDERBARNIM","POT",61768,889,4204
64,"TELTOW","POT",73573,2530,4695
65,"BEESKOW-STORKOW","POT",28454,497,2486
66,"JUTERBOG-LUCKENWALDE","POT",43464,651,1957
67,"ZAUCH-BELZIG","POT",49445,908,1956
68,"POTSDAM","POT",35321,392,892
69,"OSTHAVELLAND","POT",52859,381,2399
70,"WESTHAVELLAND","POT",55290,482,1812
71,"RUPPIN","POT",52418,1259,3873
72,"OSTPRIGNITZ","POT",48722,1195,3896
73,"WESTPRIGNITZ","POT",50214,617,3978
74,"KONIGSBERG","FRA",62096,1116,4932
75,"SOLDIN","FRA",29777,1626,4050
76,"ARNSWALDE","FRA",26067,1664,3777
77,"FRIEDEBERG","FRA",33421,1481,6573
78,"LANDSBERG","FRA",49778,1687,6441
79,"LEBUS","FRA",65129,1148,3182
80,"FRANKFURT","FRA",32550,41,1643
81,"OSTSTERNBERG","FRA",31949,430,4099
82,"WESTSTERNBERG","FRA",28573,318,3563
83,"ZULLICHAU-SCHWIEBUS","FRA",33613,1201,3068
84,"KROSSEN","FRA",40782,456,4603
85,"GUBEN","FRA",44002,175,3148
86,"LUBBEN","FRA",23496,751,1803
87,"LUCKAU","FRA",43383,513,2639
88,"KALAU","FRA",35371,591,2359
89,"KOTTBUS","FRA",46230,1259,3469
90,"SORAU","FRA",60580,1105,4387
91,"SPREMBERG","FRA",16296,290,1209
92,"DEMMIN","STE",29745,428,4697
93,"ANKLAM","STE",20418,480,1909
94,"USEDOM-WOLLIN","STE",27758,1061,3003
95,"UCKERMUNDE","STE",28185,533,2660
96,"RANDOW","STE",58894,0,6913
97,"STETTIN","STE",61953,875,1397
98,"GREIFENHAGEN","STE",36088,159,3050
99,"PYRITZ","STE",28547,518,2774
100,"SAATZIG","STE",43072,321,4298
101,"NAUGARD","STE",35782,154,4427
102,"KAMMIN","STE",29642,340,2256
103,"GREIFENBERG","STE",26230,565,1599
104,"REGENWALDE","STE",30115,724,3732
105,"SCHIVELBEIN","KOS",12548,277,1246
106,"DRAMBURG","KOS",23413,663,2900
107,"NEUSTETTIN","KOS",44398,1789,6332
108,"BELGARD","KOS",28447,511,3090
109,"KOLBERG-KORLIN","KOS",32013,1087,2528
110,"KOSLIN","KOS",28561,563,2108
111,"BUBLITZ","KOS",12446,927,1944
112,"SCHLAWE","KOS",48539,1740,6836
113,"RUMMELSBURG","KOS",16945,14,5946
114,"STOLP","KOS",54916,1361,11365
