kreiskey1874,county,rb,lit1871_ill_m_to10_pro,lit1871_ill_f_to10_pro,lit1871_ill_m_to10_cat,lit1871_ill_f_to10_cat,lit1871_ill_m_to10_jew,lit1871_ill_f_to10_jew,lit1871_ill_m_to10_oth,lit1871_ill_f_to10_oth,lit1871_ill_m_to10_tot,lit1871_ill_f_to10_tot,edu1871_lit_mis_m,edu1871_lit_mis_f
1,"Memel","KON",4500,7388,539,451,81,148,22,36,5142,8023,365,540
2,"Fischhausen","KON",3109,3699,31,8,7,8,5,11,3152,3726,215,276
3,"Stadt Königsberg","KON",2659,5757,149,178,92,186,6,36,2906,6157,32,138
4,"Landkreis Königsberg","KON",3889,4658,20,11,13,10,3,2,3925,4681,385,561
5,"Labiau","KON",4745,7006,32,12,18,26,10,17,4805,7061,137,299
6,"Wehlau","KON",3473,4761,26,12,13,14,1,3,3513,4790,333,497
7,"Gerdauen","KON",2348,3368,6,4,13,10,0,0,2367,3382,365,414
8,"Rastenburg","KON",2499,4012,177,214,9,4,2,3,2687,4233,101,322
9,"Friedland","KON",2390,3495,13,14,8,5,9,20,2420,3534,686,832
10,"Preussisch Eylau","KON",3504,4667,42,62,4,7,22,47,3572,4783,364,510
11,"Heiligenbeil","KON",3100,4349,45,61,4,7,20,56,3169,4473,233,397
12,"Braunsberg","KON",191,312,2150,3853,26,13,1,1,2368,4179,41,71
13,"Heilsberg","KON",139,209,2321,4230,9,12,0,1,2469,4452,435,555
14,"Rössel","KON",428,521,4065,6117,20,32,0,0,4513,6670,332,391
15,"Allenstein","KON",370,234,6641,8794,12,18,3,0,7026,9046,419,550
16,"Ortelsburg","KON",5868,8234,928,799,32,34,59,104,6887,9171,348,465
17,"Neidenburg","KON",4521,6274,2216,1632,26,35,19,1,6782,7942,313,399
18,"Osterode a. d. Drew.","KON",7843,10093,1229,1276,30,37,8,15,9110,11421,197,315
19,"Mohrungen","KON",3974,5827,230,240,17,30,7,8,4228,6105,233,410
20,"Preussisch Holland","KON",1612,2285,121,144,5,10,3,2,1741,2441,135,159
21,"Heydekrug","GUM",4455,6881,356,384,8,18,6,7,4825,7290,180,353
22,"Niederung","GUM",6276,9635,108,77,37,45,21,35,6442,9792,354,520
23,"Tilsit: Stadt","GUM",829,1571,49,60,20,32,0,0,898,1663,150,227
24,"Landkreis Tilsit","GUM",4382,7055,335,252,24,25,14,21,4755,7353,389,581
25,"Ragnit","GUM",5569,8182,187,70,31,43,11,16,5798,8311,267,411
26,"Pillkallen","GUM",3999,5446,268,39,7,4,2,0,4276,5489,415,640
27,"Stallupönen","GUM",3037,4066,130,61,19,22,6,13,3192,4162,532,747
28,"Gumbinnen","GUM",2862,3991,3,1,8,12,2,1,2875,4005,184,261
29,"Insterburg","GUM",5108,7026,20,12,13,10,2,5,5143,7053,278,465
30,"Darkehmen","GUM",2556,3723,1,0,0,0,4,9,2561,3732,228,372
31,"Angerburg","GUM",2400,3483,7,4,3,6,8,8,2418,3501,576,746
32,"Goldap","GUM",3857,5369,86,38,4,7,5,7,3952,5421,300,381
33,"Oletzko","GUM",3317,4539,211,108,11,17,2,0,3541,4664,168,224
34,"Lyk","GUM",2588,3632,284,154,3,13,12,12,2887,3811,490,653
35,"Lötzen","GUM",3024,4452,20,29,19,18,8,14,3071,4513,314,384
36,"Sensburg","GUM",4818,6957,537,634,23,14,9,13,5387,7618,241,305
37,"Johannisburg","GUM",4192,6031,127,27,21,31,0,0,4340,6089,292,364
38,"Elbing","DAN",544,1218,220,476,10,8,13,27,787,1729,71,127
39,"Landkreis Elbing","DAN",1830,2457,706,838,1,0,13,31,2550,3326,174,188
40,"Marienburg i. Pr.","DAN",1769,2185,2555,2871,12,14,78,148,4414,5218,13,0
41,"Stadt Danzig","DAN",1801,3064,1937,3089,50,135,6,15,3794,6303,620,907
42,"Landkreis Danzig","DAN",3398,4179,5025,5915,5,8,1,8,8429,10110,671,848
43,"Pr. Stargard","DAN",1110,1655,9071,11468,70,129,15,13,10266,13265,395,719
44,"Berent","DAN",1735,2381,5150,6689,46,82,0,1,6931,9153,0,27
