kreiskey1871,county,rb,pop1871_shh,pop1871_fhh,pop1871_m_tot,pop1871_f_tot,pop1871_tot,pop1871_nat,pop1871_nat_pru,pop1871_nat_npr,pop1871_un10,pop1871_away
1,"MEMEL","KON",645,11276,26210,29748,55958,25736,55156,702,12953,1896
2,"FISCHHAUSEN","KON",257,8695,23183,23920,47103,18022,47058,45,11385,484
3,"KONIGSBERG","KON",1411,22719,53209,58883,112092,52828,111166,922,20714,1331
4,"KONIGSBERG","KON",167,8819,23307,24911,48218,16186,48182,30,12516,328
5,"LABIAU","KON",298,9871,24103,26569,50672,23923,50658,14,12843,450
6,"WEHLAU","KON",405,9301,23071,24971,48042,18034,48011,29,11494,486
7,"GERDAUEN","KON",257,7406,18317,19913,38230,16164,38182,46,9917,366
8,"RASTENBURG","KON",324,8133,19955,22542,42497,17900,42457,32,10459,349
9,"FRIEDLAND","KON",357,8436,21637,22882,44519,18106,44498,20,10813,419
10,"PREUSSISCH EYLAU","KON",395,10507,26333,28936,55269,24864,55235,17,14317,579
11,"HEILIGENBEIL","KON",355,8753,21603,24096,45699,21962,45674,22,11740,501
12,"BRAUNSBERG","KON",647,10010,25252,27204,52456,30893,52435,21,12245,292
13,"HEILSBERG","KON",509,10149,26174,27912,54086,31825,54075,8,13257,263
14,"ROSSEL","KON",629,9584,24107,25292,49399,27270,49378,20,12675,482
15,"ALLENSTEIN","KON",189,10400,27900,28025,55925,29693,55883,41,14856,271
16,"ORTELSBURG","KON",288,12306,30754,32405,63159,35541,63126,31,18186,393
17,"NEIDENBURG","KON",253,10078,26070,26575,52645,26508,52189,304,14669,392
18,"OSTERODE","KON",194,12006,30752,32606,63358,29916,63339,18,17807,499
19,"MOHRUNGEN","KON",378,10964,26590,29773,56363,28799,56343,15,14638,510
20,"PREUSSISCH HOLLAND","KON",260,8388,21632,22888,44520,21253,44493,27,11516,336
21,"HEYDEKRUG","GUM",323,8330,18406,20636,39042,16296,38962,47,9448,554
22,"NIEDERUNG","GUM",393,10531,24910,27699,52609,19448,52550,51,13132,755
23,"TILSIT","GUM",910,12658,29845,32944,62789,27219,62609,145,14766,666
24,"RAGNIT","GUM",393,10166,25103,27288,52391,22610,52293,79,13597,628
