kreiskey1874,county,rb,pop1871_born_m_7162,pop1871_born_f_7162
1,"Memel","KON",6564,6553
2,"Fischhausen","KON",5861,5654
3,"Stadt Königsberg","KON",10524,10303
4,"Landkreis Königsberg","KON",6299,6187
5,"Labiau","KON",6402,6487
6,"Wehlau","KON",5764,5790
7,"Gerdauen","KON",4935,4897
8,"Rastenburg","KON",5181,5317
9,"Friedland","KON",5405,5434
10,"Preussisch Eylau","KON",7145,7239
11,"Heiligenbeil","KON",5888,5934
12,"Braunsberg","KON",6393,6287
13,"Heilsberg","KON",6599,6688
14,"Rössel","KON",6319,6354
15,"Allenstein","KON",7499,7442
16,"Ortelsburg","KON",9139,9080
17,"Neidenburg","KON",7323,7381
18,"Osterode a. d. Drew.","KON",8875,8955
19,"Mohrungen","KON",7370,7359
20,"Preussisch Holland","KON",5922,5651
21,"Heydekrug","GUM",4693,4846
22,"Niederung","GUM",6650,6671
23,"Tilsit: Stadt","GUM",2078,2019
24,"Landkreis Tilsit","GUM",5336,5416
25,"Ragnit","GUM",6801,6864
26,"Pillkallen","GUM",5388,5237
27,"Stallupönen","GUM",5791,5735
28,"Gumbinnen","GUM",5898,5665
29,"Insterburg","GUM",8408,8221
30,"Darkehmen","GUM",4621,4751
31,"Angerburg","GUM",5030,5004
32,"Goldap","GUM",5605,5718
33,"Oletzko","GUM",4961,4915
34,"Lyk","GUM",5616,5508
35,"Lötzen","GUM",4886,4921
36,"Sensburg","GUM",6382,6489
37,"Johannisburg","GUM",5779,5765
38,"Elbing","DAN",3241,3198
39,"Landkreis Elbing","DAN",4882,4724
40,"Marienburg i. Pr.","DAN",7607,7444
41,"Stadt Danzig","DAN",9010,8860
42,"Landkreis Danzig","DAN",10630,10381
43,"Pr. Stargard","DAN",10036,10168
44,"Berent","DAN",6387,6288
45,"Karthaus","DAN",8429,8008
46,"Neustadt i. Wpr.","DAN",8589,8401
47,"Stuhm","MAR",5450,5519
48,"Marienwerder","MAR",8840,8724
49,"Rosenberg i. Pr.","MAR",7065,6963
50,"Löbau","MAR",7255,7123
51,"Strasburg","MAR",9265,9237
52,"Thorn","MAR",9381,9610
53,"Kulm","MAR",7488,7594
54,"Graudenz","MAR",7618,7782
55,"Schwetz","MAR",10821,10826
56,"Konitz","MAR",10363,10488
57,"Schlochau","MAR",8636,8518
58,"Flatkow","MAR",9249,9096
59,"Dt. Krone","MAR",8624,8660
60,"Berlin","POT",79296,79808
61,"Prenzlau","POT",6435,6385
62,"Templin","POT",5939,5711
63,"Angermünde","POT",8030,7842
64,"Oberbarnim","POT",8749,8452
65,"Niederbarnim","POT",10939,10949
66,"Teltow","POT",13483,13265
67,"Beeskow-Storkow","POT",5411,5699
68,"Jüterbock-Luckenwalde","POT",7326,7174
69,"Zauche-Belzig","POT",8253,7945
70,"Stadt Potsdam","POT",3887,3911
71,"Ost-Havelland","POT",8080,7898
72,"Brandenburg a./Havel","POT",2662,2714
73,"West-Havelland","POT",5668,5484
74,"Ruppin","POT",8477,8479
75,"Ostpriegnitz","POT",7814,7538
76,"Westpriegnitz","POT",8213,7903
77,"Königsberg","FRA",11180,11246
78,"Soldin","FRA",6249,6124
79,"Arnswalde","FRA",5422,5497
80,"Friedeberg","FRA",6777,6565
81,"Landsberg","FRA",10007,9883
82,"Lebus","FRA",11814,11752
83,"Stadt Frankfurt","FRA",4575,4405
84,"Ost-Sternberg","FRA",5569,5396
85,"West-Sternberg","FRA",5924,6091
86,"Züllichau-Schwiebus","FRA",6070,6018
87,"Krossen","FRA",7575,7492
88,"Guben","FRA",7626,7483
89,"Lübben","FRA",4162,4015
90,"Luckau","FRA",7343,7249
91,"Kalau","FRA",5571,5570
92,"Kottbus","FRA",7644,7724
93,"Sorau","FRA",10146,10021
94,"Spremberg","FRA",2806,2954
95,"Demmin","STE",5953,5740
96,"Anklam","STE",3862,3746
97,"Usedom-Wollin","STE",5415,5309
98,"Ükermünde","STE",5732,5583
99,"Randow","STE",12150,12138
100,"Stadtkreis Stettin","STE",7309,7287
101,"Greifenhagen","STE",7055,6840
102,"Pyritz","STE",5357,5320
103,"Saatzig","STE",8050,7797
104,"Naugard","STE",7495,7231
105,"Kammin","STE",5778,5597
106,"Greifenberg","STE",4562,4459
107,"Regenwalde","STE",6604,6417
108,"Schivelbein","KOS",2673,2501
109,"Dramburg","KOS",4906,4798
110,"Neustettin","KOS",10421,10128
111,"Belgard","KOS",6134,5927
112,"Kolberg-Körlin","KOS",6279,6006
113,"Köslin","KOS",5392,5338
114,"Bublitz","KOS",2949,2913
115,"Schlawe","KOS",10303,10230
116,"Rummelsburg","KOS",4600,4515
117,"Stolp","KOS",12358,11977
118,"Lauenburg","KOS",6190,5994
119,"Bütow","KOS",3333,3264
120,"Rügen","STR",5807,5609
121,"Stadt Stralsund","STR",3324,3247
122,"Franzburg","STR",5143,5021
123,"Greifswald","STR",6818,6725
124,"Grimmen","STR",5074,4827
125,"Wreschen","POS",5823,5849
126,"Pleschen","POS",9131,9128
127,"Schroda","POS",7209,7099
128,"Schrimm","POS",8256,8241
129,"Kosten","POS",9622,9618
130,"Buk","POS",8135,8263
131,"Stadt Posen","POS",4930,4811
132,"Landkreis Posen","POS",8153,8058
133,"Obernik","POS",6648,6617
134,"Samter","POS",6911,6950
135,"Birnbaum","POS",6286,6227
136,"Meseritz","POS",6040,5880
137,"Bomst","POS",7459,7294
138,"Fraustadt","POS",7348,7328
139,"Kröben","POS",9930,9753
140,"Krotoschin","POS",9248,9104
141,"Adelnau","POS",8483,8463
142,"Schildberg","POS",9202,9232
143,"Czarnikau","BRO",9677,9590
144,"Chodziesen","BRO",7466,7116
145,"Wirsitz","BRO",8115,8083
146,"Bromberg","BRO",2998,2942
147,"Landkreis Bromberg","BRO",9542,9364
148,"Schubin","BRO",8270,8292
149,"Inowraclaw","BRO",11356,11201
150,"Mogilno","BRO",6820,6881
151,"Gnesen","BRO",8527,8370
152,"Wongrowitz","BRO",8033,7803
153,"Namslau","BRE",5017,5008
154,"Wartenberg","BRE",7140,7062
