kreiskey1871,county,rb,dis1871_blind_tot,dis1871_deaf_tot,dis1871_dumb_tot
1,"MEMEL","KON",78,81,80
2,"FISCHHAUSEN","KON",38,65,73
3,"KONIGSBERG","KON",166,160,121
4,"KONIGSBERG","KON",39,78,107
5,"LABIAU","KON",93,132,115
6,"WEHLAU","KON",58,87,408
7,"GERDAUEN","KON",43,58,78
8,"RASTENBURG","KON",55,62,82
9,"FRIEDLAND","KON",53,87,52
10,"PREUSSISCH EYLAU","KON",46,69,122
11,"HEILIGENBEIL","KON",30,52,127
12,"BRAUNSBERG","KON",56,81,99
13,"HEILSBERG","KON",39,94,134
14,"ROSSEL","KON",43,91,86
15,"ALLENSTEIN","KON",27,85,62
16,"ORTELSBURG","KON",90,106,79
17,"NEIDENBURG","KON",74,77,68
18,"OSTERODE","KON",55,93,96
19,"MOHRUNGEN","KON",59,90,102
20,"PREUSSISCH HOLLAND","KON",36,55,68
21,"HEYDEKRUG","GUM",63,67,95
22,"NIEDERUNG","GUM",119,87,116
23,"TILSIT","GUM",111,108,122
24,"RAGNIT","GUM",70,86,82
25,"PILLKALLEN","GUM",54,64,95
26,"STALLUPONEN","GUM",59,72,103
27,"GUMBINNEN","GUM",50,55,73
28,"INSTERBURG","GUM",94,97,130
29,"DARKEHMEN","GUM",41,67,65
30,"ANGERBURG","GUM",46,162,66
31,"GOLDAP","GUM",40,57,80
32,"OLETZKO","GUM",53,56,67
33,"LYCK","GUM",86,96,33
34,"LOTZEN","GUM",40,45,38
35,"SENSBURG","GUM",58,85,58
36,"JOHANNISBURG","GUM",68,96,71
37,"ELBING","DAN",83,75,108
38,"MARIENBURG","DAN",77,170,133
39,"DANZIG","DAN",119,118,158
40,"DANZIG","DAN",53,127,95
41,"PREUSSISCH STARGARD","DAN",56,128,93
42,"BERENT","DAN",58,166,92
43,"KARTHAUS","DAN",82,134,99
44,"NEUSTADT","DAN",76,65,106
45,"STUHM","MAR",47,57,73
46,"MARIENWERDER","MAR",64,119,101
47,"ROSENBERG","MAR",41,85,77
48,"LOBAU","MAR",48,82,70
49,"STRASBURG","MAR",88,111,86
50,"THORN","MAR",53,89,78
51,"KULM","MAR",43,83,74
52,"GRAUDENZ","MAR",60,86,74
53,"SCHWETZ","MAR",75,140,436
54,"KONITZ","MAR",55,188,107
55,"SCHLOCHAU","MAR",59,147,87
56,"FLATOW","MAR",63,133,107
57,"DEUTSCH KRONE","MAR",48,100,130
58,"BERLIN","BER",602,493,1007
59,"PRENZLAU","POT",49,39,74
60,"TEMPLIN","POT",42,29,88
61,"ANGERMUNDE","POT",38,56,75
62,"OBERBARNIM","POT",49,50,647
63,"NIEDERBARNIM","POT",65,59,238
64,"TELTOW","POT",70,105,382
65,"BEESKOW-STORKOW","POT",25,53,90
66,"JUTERBOG-LUCKENWALDE","POT",47,56,73
67,"ZAUCH-BELZIG","POT",50,48,124
68,"POTSDAM","POT",40,21,37
69,"OSTHAVELLAND","POT",37,35,54
70,"WESTHAVELLAND","POT",50,34,67
71,"RUPPIN","POT",57,66,119
72,"OSTPRIGNITZ","POT",80,58,161
73,"WESTPRIGNITZ","POT",60,33,110
74,"KONIGSBERG","FRA",70,94,144
75,"SOLDIN","FRA",39,56,88
76,"ARNSWALDE","FRA",27,48,77
77,"FRIEDEBERG","FRA",42,48,64
78,"LANDSBERG","FRA",62,74,144
79,"LEBUS","FRA",58,86,99
80,"FRANKFURT","FRA",33,23,53
81,"OSTSTERNBERG","FRA",33,51,74
82,"WESTSTERNBERG","FRA",29,35,66
83,"ZULLICHAU-SCHWIEBUS","FRA",31,30,64
84,"KROSSEN","FRA",56,57,103
85,"GUBEN","FRA",39,50,57
86,"LUBBEN","FRA",23,23,38
87,"LUCKAU","FRA",37,76,64
88,"KALAU","FRA",21,59,48
89,"KOTTBUS","FRA",46,93,109
90,"SORAU","FRA",53,96,430
91,"SPREMBERG","FRA",11,16,32
92,"DEMMIN","STE",40,42,78
93,"ANKLAM","STE",37,22,57
94,"USEDOM-WOLLIN","STE",55,63,76
95,"UCKERMUNDE","STE",36,36,80
96,"RANDOW","STE",73,75,185
97,"STETTIN","STE",105,84,48
98,"GREIFENHAGEN","STE",41,58,86
99,"PYRITZ","STE",35,44,71
100,"SAATZIG","STE",34,57,65
101,"NAUGARD","STE",47,59,125
102,"KAMMIN","STE",52,47,86
103,"GREIFENBERG","STE",31,54,70
104,"REGENWALDE","STE",38,57,102
105,"SCHIVELBEIN","KOS",8,21,26
106,"DRAMBURG","KOS",33,39,78
107,"NEUSTETTIN","KOS",59,148,131
108,"BELGARD","KOS",26,51,82
109,"KOLBERG-KORLIN","KOS",47,48,88
110,"KOSLIN","KOS",32,83,79
111,"BUBLITZ","KOS",20,31,45
112,"SCHLAWE","KOS",88,104,265
113,"RUMMELSBURG","KOS",37,56,74
114,"STOLP","KOS",77,121,138
115,"LAUENBURG","KOS",54,60,83
116,"BUTOW","KOS",23,74,40
117,"RUGEN","STR",48,33,81
118,"FRANZBURG","STR",58,70,178
119,"GREIFSWALD","STR",57,37,140
120,"GRIMMEN","STR",41,24,67
121,"WRESCHEN","POS",62,81,48
122,"PLESCHEN","POS",77,72,77
123,"SCHRODA","POS",48,79,65
124,"SCHRIMM","POS",69,97,75
125,"KOSTEN","POS",74,109,103
126,"GRATZ","POS",40,60,48
127,"POSEN","POS",52,110,83
128,"POSEN","POS",60,84,183
129,"OBORNIK","POS",52,46,81
130,"SAMTER","POS",39,74,66
131,"BIRNBAUM","POS",36,63,50
132,"MESERITZ","POS",66,53,94
133,"BOMST","POS",64,58,59
134,"FRAUSTADT","POS",64,47,85
135,"GOSTYN","POS",87,97,122
136,"KROTOSCHIN","POS",98,105,96
137,"ADELNAU","POS",82,80,88
138,"SCHILDBERG","POS",45,84,76
139,"CZARNIKAU","BRO",51,107,114
140,"KOLMAR","BRO",56,79,117
141,"WIRSITZ","BRO",52,111,78
142,"BROMBERG","BRO",117,134,114
143,"SCHUBIN","BRO",72,115,95
144,"HOHENSALZA","BRO",59,119,106
145,"MOGILNO","BRO",55,60,52
146,"GNESEN","BRO",90,128,110
147,"WONGROWITZ","BRO",66,89,72
148,"NAMSLAU","BRE",28,26,42
149,"GROSS WARTENBERG","BRE",56,48,79
150,"OLS","BRE",50,41,89
151,"TREBNITZ","BRE",39,40,57
152,"MILITSCH","BRE",52,40,186
153,"GUHRAU","BRE",46,32,46
154,"STEINAU","BRE",30,19,48
155,"WOHLAU","BRE",57,41,211
156,"NEUMARKT","BRE",42,37,95
157,"BRESLAU","BRE",224,224,243
158,"BRESLAU","BRE",43,62,99
159,"OHLAU","BRE",39,40,69
160,"BRIEG","BRE",37,54,237
161,"STREHLEN","BRE",27,18,47
162,"NIMPTSCH","BRE",21,22,50
163,"MUNSTERBERG","BRE",32,34,42
164,"FRANKENSTEIN","BRE",40,36,83
165,"REICHENBACH","BRE",67,62,99
166,"SCHWEIDNITZ","BRE",71,55,129
167,"STRIEGAU","BRE",30,27,46
168,"WALDENBURG","BRE",75,64,148
169,"GLATZ","BRE",55,53,198
170,"NEURODE","BRE",43,34,84
171,"HABELSCHWERDT","BRE",67,39,138
172,"GRUNBERG","LIE",57,54,61
173,"FREISTADT","LIE",57,39,58
174,"SAGAN","LIE",55,40,82
175,"SPROTTAU","LIE",20,18,35
176,"GLOGAU","LIE",68,48,85
177,"LUBEN","LIE",33,24,45
178,"BUNZLAU","LIE",51,40,537
179,"GOLDBERG-HAINAU","LIE",38,16,52
180,"LIEGNITZ","LIE",19,62,34
181,"LIEGNITZ","LIE",28,19,54
182,"JAUER","LIE",24,19,39
183,"SCHONAU","LIE",22,18,45
184,"BOLKENHAIN","LIE",37,13,42
185,"LANDESHUT","LIE",50,24,59
186,"HIRSCHBERG","LIE",57,35,132
187,"LOWENBERG","LIE",60,45,219
188,"LAUBAN","LIE",78,34,90
189,"GORLITZ","LIE",53,25,155
190,"ROTHENBURG","LIE",47,23,79
191,"HOYERSWERDA","LIE",31,34,75
192,"KREUZBURG","OPP",48,60,72
193,"ROSENBERG","OPP",38,65,55
194,"OPPELN","OPP",117,123,165
195,"GROSS STREHLITZ","OPP",78,89,69
196,"LUBLINITZ","OPP",37,48,57
197,"TOST-GLEIWITZ","OPP",86,111,125
198,"TARNOWITZ","OPP",33,39,43
199,"BEUTHEN","OPP",53,53,63
200,"ZABRZE","OPP",30,45,43
201,"KATTOWITZ","OPP",58,41,59
202,"PLESS","OPP",98,120,198
203,"RYBNIK","OPP",78,107,129
204,"RATIBOR","OPP",87,250,168
205,"KOSEL","OPP",93,92,84
206,"LEOBSCHUTZ","OPP",87,93,130
207,"NEUSTADT","OPP",98,94,99
208,"FALKENBERG","OPP",35,35,66
209,"NEISSE","OPP",76,70,127
210,"GROTTKAU","OPP",40,44,66
211,"OSTERBURG","MAG",51,58,98
212,"SALZWEDEL","MAG",43,33,88
213,"GARDELEGEN","MAG",39,37,81
214,"STENDAL","MAG",50,21,77
215,"JERICHOW I","MAG",58,51,111
216,"JERICHOW II","MAG",30,41,88
217,"KALBE","MAG",111,49,96
218,"WANZLEBEN","MAG",37,45,84
219,"MAGDEBURG","MAG",55,55,95
220,"WOLMIRSTEDT","MAG",28,40,59
221,"NEUHALDENSLEBEN","MAG",46,38,106
222,"OSCHERSLEBEN","MAG",20,36,53
223,"ASCHERSLEBEN","MAG",61,34,162
224,"HALBERSTADT","MAG",50,84,97
225,"WERNIGERODE","MAG",11,13,54
226,"LIEBENWERDA","MER",35,41,68
227,"TORGAU","MER",45,52,90
228,"SCHWEINITZ","MER",39,33,66
229,"WITTENBERG","MER",41,27,91
230,"BITTERFELD","MER",49,29,123
231,"SAALKREIS","MER",44,40,662
232,"HALLE","MER",34,86,69
233,"DELITZSCH","MER",44,22,71
234,"MANSFELDER GEBIRGSKR","MER",32,11,78
235,"MANSFELDER SEEKREIS","MER",31,34,74
236,"SANGERHAUSEN","MER",55,57,110
237,"ECKARTSBERGA","MER",36,11,48
238,"QUERFURT","MER",38,25,72
239,"MERSEBURG","MER",63,35,104
240,"WEISSENFELS","MER",59,100,110
241,"NAUMBURG","MER",23,22,44
242,"ZEITZ","MER",31,29,59
243,"NORDHAUSEN","ERF",48,51,119
244,"WORBIS","ERF",35,32,58
245,"HEILIGENSTADT","ERF",45,28,95
246,"MUHLHAUSEN","ERF",65,54,101
247,"LANGENSALZA","ERF",28,25,37
248,"WEISSENSEE","ERF",25,23,35
249,"ERFURT","ERF",47,74,58
250,"ERFURT","ERF",21,15,40
251,"ZIEGENRUCK","ERF",22,10,22
252,"SCHLEUSINGEN","ERF",40,34,85
253,"HADERSLEBEN","SCH",46,35,150
254,"APENRADE","SCH",38,8,96
255,"SONDERBURG","SCH",29,23,76
256,"FLENSBURG","SCH",69,30,221
257,"SCHLESWIG","SCH",53,148,946
258,"ECKERNFORDE","SCH",37,25,145
259,"EIDERSTEDT","SCH",6,7,50
260,"HUSUM","SCH",55,18,100
261,"TONDERN","SCH",70,28,175
262,"OLDENBURG","SCH",59,23,134
263,"PLON","SCH",58,44,199
264,"KIEL","SCH",65,39,240
265,"RENDSBURG","SCH",43,30,135
266,"NORDERDITHMARSCHEN","SCH",29,33,110
267,"SUDERDITHMARSCHEN","SCH",33,14,119
268,"STEINBURG","SCH",57,23,200
269,"SEGEBERG","SCH",29,40,130
270,"STORMARN","SCH",50,26,217
271,"PINNEBERG","SCH",61,42,225
272,"ALTONA","SCH",58,25,99
273,"DIEPHOLZ","HAN",36,34,105
274,"HOYA","HAN",23,21,85
275,"NIENBURG","HAN",36,31,104
276,"HANNOVER","HAN",127,35,53
277,"HANNOVER","HAN",38,39,312
278,"SPRINGE","HAN",41,22,73
279,"HAMELN","HAN",40,29,108
280,"HILDESHEIM","HIL",52,114,732
281,"MARIENBURG","HIL",39,44,153
282,"GOSLAR","HIL",43,50,114
283,"OSTERODE AM HARZ","HIL",59,53,120
284,"GOTTINGEN","HIL",62,75,465
285,"EINBECK","HIL",52,64,122
286,"ZELLERFELD","HIL",45,40,114
287,"KOMMUNIONHARZ","HIL",0,0,0
288,"CELLE","LUN",45,27,141
289,"GIFHORN","LUN",23,31,100
290,"FALLINGBOSTEL","LUN",35,34,95
291,"ULZEN","LUN",29,21,83
292,"DANNENBERG","LUN",50,38,107
293,"LUNEBURG","LUN",38,18,108
294,"HARBURG","LUN",38,47,159
295,"STADER MARSCHKREIS","STA",31,27,74
296,"STADER GEESTKREIS","STA",23,87,108
297,"NEUHAUS","STA",22,30,74
298,"HADELN","STA",13,9,39
299,"LEHE","STA",29,17,88
300,"OSTERHOLZ","STA",20,22,118
301,"VERDEN","STA",21,22,83
302,"ROTENBURG","STA",14,14,78
303,"MEPPEN","OSN",58,28,136
304,"LINGEN","OSN",48,28,155
305,"BERSENBRUCK","OSN",31,21,174
306,"OSNABRUCK","OSN",51,88,353
307,"MELLE","OSN",42,40,150
308,"AURICH","AUR",71,65,202
309,"EMDEN","AUR",64,48,84
310,"LEER","AUR",43,40,155
311,"TECKLENBURG","MUN",46,44,482
312,"WARENDORF","MUN",25,12,103
313,"BECKUM","MUN",42,16,97
314,"LUDINGHAUSEN","MUN",34,14,95
315,"MUNSTER","MUN",31,16,35
316,"MUNSTER","MUN",27,22,172
317,"STEINFURT","MUN",42,42,106
318,"KOESFELD","MUN",36,11,102
319,"AHAUS","MUN",36,16,110
320,"BORKEN","MUN",42,34,137
321,"RECKLINGHAUSEN","MUN",45,24,142
322,"MINDEN","MIN",54,80,137
323,"LUBBECKE","MIN",26,17,69
324,"HERFORD","MIN",70,69,149
325,"HALLE","MIN",19,14,77
326,"BIELEFELD","MIN",60,51,131
327,"WIEDENBRUCK","MIN",23,35,160
328,"PADERBORN","MIN",70,30,92
329,"BUREN","MIN",25,61,76
330,"WARBURG","MIN",43,32,101
331,"HOXTER","MIN",50,34,113
332,"ARNSBERG","ARN",43,19,73
333,"MESCHEDE","ARN",38,26,51
334,"BRILON","ARN",49,52,515
335,"LIPPSTADT","ARN",48,32,152
336,"SOEST","ARN",106,71,89
337,"HAMM","ARN",56,36,117
338,"DORTMUND","ARN",84,101,150
339,"BOCHUM","ARN",91,67,173
340,"HAGEN","ARN",63,47,171
341,"ISERLOHN","ARN",42,37,138
342,"ALTENA","ARN",40,31,132
343,"OLPE","ARN",31,27,61
344,"SIEGEN","ARN",39,36,105
345,"WITTGENSTEIN","ARN",31,20,59
346,"KASSEL","KAS",26,12,80
347,"KASSEL","KAS",33,41,72
348,"ESCHWEGE","KAS",46,57,119
349,"FRITZLAR","KAS",34,50,56
350,"HOFGEISMAR","KAS",47,31,71
351,"HOMBERG","KAS",20,45,39
352,"MELSUNGEN","KAS",28,43,44
353,"ROTENBURG","KAS",54,69,77
354,"WITZENHAUSEN","KAS",40,36,76
355,"WOLFHAGEN","KAS",56,49,297
356,"MARBURG","KAS",43,49,99
357,"FRANKENBERG","KAS",56,36,316
358,"KIRCHHAIN","KAS",25,25,44
359,"ZIEGENHAIN","KAS",36,46,57
360,"FULDA","KAS",38,51,102
361,"HERSFELD","KAS",45,46,65
362,"HUNFELD","KAS",26,34,93
363,"HANAU","KAS",55,51,99
364,"GELNHAUSEN","KAS",52,45,124
365,"SCHLUCHTERN","KAS",25,28,88
366,"SCHMALKALDEN","KAS",22,53,97
367,"SCHAUMBURG","KAS",27,29,78
368,"GERSFELD","KAS",21,43,94
369,"DILLKREIS","WIE",36,33,97
370,"OBERWESTERWALDKREIS","WIE",23,18,100
371,"UNTERWESTERWALDKREIS","WIE",36,34,128
372,"OBERLAHNKREIS","WIE",49,23,155
373,"UNTERLAHNKREIS","WIE",45,59,157
374,"RHEINGAUKREIS","WIE",33,49,405
375,"WIESBADEN","WIE",34,21,36
376,"WIESBADEN","WIE",43,42,127
377,"OBERTAUNUSKREIS","WIE",34,42,137
378,"UNTERTAUNUSKREIS","WIE",39,107,92
379,"FRANKFURT","WIE",67,59,218
380,"BIEDENKOPF","WIE",37,42,76
381,"KOBLENZ","KOB",64,58,245
382,"SANKT GOAR","KOB",29,25,87
383,"KREUZNACH","KOB",42,27,85
384,"SIMMERN","KOB",28,16,44
385,"ZELL","KOB",16,16,68
386,"KOCHEM","KOB",35,25,80
387,"MAYEN","KOB",48,83,424
388,"ADENAU","KOB",31,17,58
389,"AHRWEILER","KOB",31,33,83
390,"NEUWIED","KOB",50,117,149
391,"ALTENKIRCHEN","KOB",32,33,62
392,"WETZLAR","KOB",35,39,71
393,"MEISENHEIM","KOB",7,12,33
394,"KLEVE","DUS",54,23,148
395,"REES","DUS",63,42,146
396,"KREFELD","DUS",86,38,154
397,"KREFELD","DUS",23,16,62
398,"DUISBURG","DUS",22,17,44
399,"MULHEIM","DUS",84,56,204
400,"ESSEN","DUS",43,30,47
401,"ESSEN","DUS",49,34,127
402,"MORS","DUS",57,68,171
403,"GELDERN","DUS",43,28,154
404,"KEMPEN","DUS",65,101,233
405,"DUSSELDORF","DUS",55,39,438
406,"DUSSELDORF","DUS",54,23,162
407,"ELBERFELD","DUS",67,30,142
408,"BARMEN","DUS",41,24,116
409,"METTMANN","DUS",45,17,137
410,"LENNEP","DUS",51,53,206
411,"SOLINGEN","DUS",79,41,189
412,"NEUSS","DUS",51,21,272
413,"GREVENBROICH","DUS",50,18,109
414,"GLADBACH","DUS",94,53,411
415,"WIPPERFURTH","KOL",19,14,83
416,"WALDBROL","KOL",19,18,53
417,"GUMMERSBACH","KOL",16,21,63
418,"SIEGKREIS","KOL",88,51,516
419,"MULHEIM","KOL",48,31,141
420,"KOLN","KOL",132,180,152
421,"KOLN","KOL",79,102,408
422,"BERGHEIM","KOL",52,31,115
423,"EUSKIRCHEN","KOL",47,22,95
424,"RHEINBACH","KOL",40,16,75
425,"BONN","KOL",50,43,264
426,"DAUN","TRI",18,11,47
427,"PRUM","TRI",27,28,72
428,"BITBURG","TRI",39,44,84
429,"WITTLICH","TRI",30,19,44
430,"BERNKASTEL","TRI",41,56,111
431,"TRIER","TRI",52,47,232
432,"TRIER","TRI",46,55,104
433,"SAARBURG","TRI",24,34,52
434,"MERZIG","TRI",23,40,56
435,"SAARLOUIS","TRI",56,39,103
436,"SAARBRUCKEN","TRI",36,66,100
437,"OTTWEILER","TRI",25,29,57
438,"SANKT WENDEL","TRI",31,52,98
439,"ERKELENZ","AAC",49,28,116
440,"HEINSBERG","AAC",43,27,116
441,"GEILENKIRCHEN","AAC",45,24,88
442,"JULICH","AAC",65,29,128
443,"DUREN","AAC",148,30,153
444,"AACHEN","AAC",111,100,362
445,"AACHEN","AAC",113,48,184
446,"EUPEN","AAC",31,27,100
447,"MONTJOIE","AAC",23,12,63
448,"SCHLEIDEN","AAC",68,29,130
449,"MALMEDY","AAC",40,20,112
450,"SIGMARINGEN","SIG",17,14,75
451,"GAMMERTINGEN","SIG",10,3,3
452,"HECHINGEN","SIG",14,37,36
453,"HAIGERLOCH","SIG",8,13,25
