kreiskey1871,county,rb,rel1871_pro,rel1871_cat,rel1871_ocr,rel1871_jew,rel1871_ore
1,"MEMEL","KON",52000,2380,452,1126,0
2,"FISCHHAUSEN","KON",46293,360,289,161,0
3,"KONIGSBERG","KON",103934,3773,549,3836,0
4,"KONIGSBERG","KON",47905,179,62,72,0
5,"LABIAU","KON",50238,109,82,242,1
6,"WEHLAU","KON",47577,233,58,174,0
7,"GERDAUEN","KON",38040,77,1,109,3
8,"RASTENBURG","KON",40599,1685,37,176,0
9,"FRIEDLAND","KON",43774,329,225,191,0
10,"PREUSSISCH EYLAU","KON",53917,642,564,146,0
11,"HEILIGENBEIL","KON",44420,640,481,157,1
12,"BRAUNSBERG","KON",5549,46393,20,494,0
13,"HEILSBERG","KON",3042,50607,3,434,0
14,"ROSSEL","KON",5798,43156,9,436,0
15,"ALLENSTEIN","KON",4102,51458,9,356,0
16,"ORTELSBURG","KON",57323,4784,591,455,6
17,"NEIDENBURG","KON",44677,7421,28,519,0
18,"OSTERODE","KON",57536,4995,122,705,0
19,"MOHRUNGEN","KON",54347,1358,208,450,0
20,"PREUSSISCH HOLLAND","KON",42675,1431,65,349,0
21,"HEYDEKRUG","GUM",37237,1469,155,181,0
22,"NIEDERUNG","GUM",51536,350,504,219,0
23,"TILSIT","GUM",59991,1672,493,633,0
24,"RAGNIT","GUM",51532,432,138,289,0
25,"PILLKALLEN","GUM",43720,490,8,88,0
26,"STALLUPONEN","GUM",43270,500,107,343,0
27,"GUMBINNEN","GUM",46888,66,46,176,0
28,"INSTERBURG","GUM",66038,216,226,308,0
29,"DARKEHMEN","GUM",36438,25,141,115,0
30,"ANGERBURG","GUM",38266,51,85,110,0
31,"GOLDAP","GUM",42832,204,72,124,1
32,"OLETZKO","GUM",37614,628,7,183,0
33,"LYCK","GUM",44255,929,230,285,0
34,"LOTZEN","GUM",38576,326,68,233,0
35,"SENSBURG","GUM",43691,3238,97,230,0
36,"JOHANNISBURG","GUM",43736,289,4,320,0
37,"ELBING","DAN",53137,12559,2215,560,0
38,"MARIENBURG","DAN",30325,22310,5490,541,0
39,"DANZIG","DAN",62014,23428,901,2625,7
40,"DANZIG","DAN",46543,29538,496,154,2
41,"PREUSSISCH STARGARD","DAN",17740,51656,243,1541,2
42,"BERENT","DAN",17755,25224,49,749,0
43,"KARTHAUS","DAN",15574,40221,22,316,0
44,"NEUSTADT","DAN",15207,45483,89,296,0
45,"STUHM","MAR",13598,25356,779,518,0
46,"MARIENWERDER","MAR",38963,25664,374,804,0
47,"ROSENBERG","MAR",46961,3678,67,931,0
48,"LOBAU","MAR",9875,39656,41,1102,17
49,"STRASBURG","MAR",19579,43508,264,2142,0
50,"THORN","MAR",30375,37500,170,1934,0
51,"KULM","MAR",24126,28704,547,1228,0
52,"GRAUDENZ","MAR",33588,24721,159,1269,0
53,"SCHWETZ","MAR",33660,37728,679,1542,3
54,"KONITZ","MAR",15601,53021,2,2193,0
55,"SCHLOCHAU","MAR",33873,24789,103,1618,0
56,"FLATOW","MAR",37084,23511,170,2538,0
57,"DEUTSCH KRONE","MAR",37893,23317,44,2031,1
58,"BERLIN","BER",733123,54636,2161,36021,34
59,"PRENZLAU","POT",52127,365,103,436,0
60,"TEMPLIN","POT",43210,116,473,175,0
61,"ANGERMUNDE","POT",62392,386,120,594,0
62,"OBERBARNIM","POT",70249,767,58,440,0
63,"NIEDERBARNIM","POT",86806,1375,81,392,0
64,"TELTOW","POT",104333,2498,116,410,5
65,"BEESKOW-STORKOW","POT",41726,126,9,270,3
66,"JUTERBOG-LUCKENWALDE","POT",59730,525,61,101,0
67,"ZAUCH-BELZIG","POT",67674,278,55,57,0
68,"POTSDAM","POT",40078,3220,60,476,0
69,"OSTHAVELLAND","POT",68587,2593,66,261,0
70,"WESTHAVELLAND","POT",71843,1365,460,326,0
71,"RUPPIN","POT",73685,546,65,200,0
72,"OSTPRIGNITZ","POT",68567,229,41,166,0
73,"WESTPRIGNITZ","POT",70090,514,44,244,0
74,"KONIGSBERG","FRA",89099,582,121,690,5
75,"SOLDIN","FRA",46918,264,97,431,6
76,"ARNSWALDE","FRA",41577,120,87,541,0
77,"FRIEDEBERG","FRA",53578,429,48,735,0
78,"LANDSBERG","FRA",75823,765,141,1009,0
79,"LEBUS","FRA",91668,664,88,459,3
80,"FRANKFURT","FRA",40049,2281,113,767,4
81,"OSTSTERNBERG","FRA",47402,511,27,536,0
82,"WESTSTERNBERG","FRA",42923,247,62,210,0
83,"ZULLICHAU-SCHWIEBUS","FRA",43364,5924,138,263,0
84,"KROSSEN","FRA",59385,765,8,369,0
85,"GUBEN","FRA",59652,2457,133,220,0
86,"LUBBEN","FRA",33846,243,12,127,0
87,"LUCKAU","FRA",60794,238,59,53,0
88,"KALAU","FRA",48976,368,7,42,0
89,"KOTTBUS","FRA",65396,691,49,167,0
90,"SORAU","FRA",83024,2698,202,265,0
91,"SPREMBERG","FRA",23027,440,1,37,0
92,"DEMMIN","STE",46251,148,73,119,0
93,"ANKLAM","STE",29991,111,8,221,0
94,"USEDOM-WOLLIN","STE",41782,361,215,235,0
95,"UCKERMUNDE","STE",40985,1106,64,379,0
96,"RANDOW","STE",88428,674,168,539,0
97,"STETTIN","STE",72089,1916,452,1823,0
98,"GREIFENHAGEN","STE",52613,98,21,430,0
99,"PYRITZ","STE",41830,115,50,514,0
100,"SAATZIG","STE",61908,401,366,753,0
101,"NAUGARD","STE",54350,474,2,472,0
102,"KAMMIN","STE",42948,66,314,205,0
103,"GREIFENBERG","STE",36843,73,60,415,0
104,"REGENWALDE","STE",46870,194,110,396,0
105,"SCHIVELBEIN","KOS",18837,59,3,347,0
106,"DRAMBURG","KOS",36059,72,63,423,0
107,"NEUSTETTIN","KOS",71451,300,137,1062,2
108,"BELGARD","KOS",43354,217,38,493,0
109,"KOLBERG-KORLIN","KOS",46521,904,42,471,0
110,"KOSLIN","KOS",41148,451,75,327,0
111,"BUBLITZ","KOS",20817,18,172,192,0
112,"SCHLAWE","KOS",76520,182,177,625,0
113,"RUMMELSBURG","KOS",31445,97,157,253,0
114,"STOLP","KOS",89618,539,509,1122,0
115,"LAUENBURG","KOS",39706,2394,252,455,4
116,"BUTOW","KOS",19542,4147,46,418,0
117,"RUGEN","STR",45522,146,10,21,0
118,"FRANZBURG","STR",69908,983,143,161,0
119,"GREIFSWALD","STR",53536,526,76,136,0
120,"GRIMMEN","STR",37071,71,2,29,0
121,"WRESCHEN","POS",3325,34940,0,1781,0
122,"PLESCHEN","POS",8832,50212,278,1864,0
123,"SCHRODA","POS",8034,41158,0,887,0
124,"SCHRIMM","POS",10335,45174,2,2156,0
125,"KOSTEN","POS",8911,56392,6,873,0
126,"GRATZ","POS",19299,36749,9,1832,0
127,"POSEN","POS",20368,28733,18,7255,0
128,"POSEN","POS",9710,45952,5,1086,0
129,"OBORNIK","POS",17089,28633,4,2367,0
130,"SAMTER","POS",14340,33199,67,2830,0
131,"BIRNBAUM","POS",23299,22614,14,1522,0
132,"MESERITZ","POS",25076,19802,26,1098,0
133,"BOMST","POS",24132,29904,26,1044,0
134,"FRAUSTADT","POS",24971,34834,58,2423,0
135,"GOSTYN","POS",22679,50383,25,2126,0
136,"KROTOSCHIN","POS",17040,45774,2,3069,0
137,"ADELNAU","POS",11242,44390,5,2240,0
138,"SCHILDBERG","POS",11836,47054,10,3771,0
139,"CZARNIKAU","BRO",42629,23422,4,3002,0
140,"KOLMAR","BRO",31259,18693,102,2696,0
141,"WIRSITZ","BRO",28278,26530,32,2292,0
142,"BROMBERG","BRO",53749,34819,296,3448,0
143,"SCHUBIN","BRO",21372,33669,43,2320,0
144,"HOHENSALZA","BRO",21583,52361,4,2651,0
145,"MOGILNO","BRO",11111,33765,0,1257,0
146,"GNESEN","BRO",10955,47018,31,2471,0
147,"WONGROWITZ","BRO",9737,43421,8,1621,0
148,"NAMSLAU","BRE",20869,15943,33,474,0
149,"GROSS WARTENBERG","BRE",33109,18606,18,462,0
150,"OLS","BRE",55556,8352,74,577,0
151,"TREBNITZ","BRE",41299,11027,44,160,0
152,"MILITSCH","BRE",43552,11776,132,342,0
153,"GUHRAU","BRE",29919,6585,15,175,0
154,"STEINAU","BRE",19438,4403,7,183,0
