kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_tlt,tax1878_tin
1,"MEMEL","KON",73601,43247,77963,141004
2,"FISCHHAUSEN","KON",51294,14903,95134,148582
3,"KONIGSBERG LANDKREIS","KON",43424,22325,147780,188048
4,"LABIAU","KON",37855,10259,100064,155113
5,"WEHLAU","KON",39638,17849,74876,138699
6,"GERDAUEN","KON",25439,14775,79175,137599
7,"RASTENBURG","KON",34577,22953,116264,139311
8,"FRIEDLAND","KON",35002,23061,134249,278738
9,"PREUSSISCH EYLAU","KON",45703,24494,190930,257901
10,"HEILIGENBEIL","KON",36801,14306,68920,129709
11,"BRAUNSBERG","KON",69644,16550,71123,111843
12,"HEILSBERG","KON",63708,7094,121978,150426
13,"ROSSEL","KON",57935,9776,54968,78649
14,"ALLENSTEIN","KON",52158,8769,35081,167324
15,"ORTELSBURG","KON",29243,6785,47189,93388
16,"NEIDENBURG","KON",36216,9477,97654,182747
17,"OSTERODE","KON",42477,17859,69964,110374
18,"MOHRUNGEN","KON",38883,16623,58080,99816
19,"PREUSSISCH HOLLAND","KON",47274,21150,78101,170518
20,"HEYDEKRUG","GUM",34094,4376,35967,67069
21,"NIEDERUNG","GUM",50220,8136,127740,224413
22,"TILSIT","GUM",78653,55696,133159,291068
23,"RAGNIT","GUM",42150,8108,106420,147998
24,"PILLKALLEN","GUM",36662,5844,66355,161706
25,"STALLUPONEN","GUM",39530,10188,92272,112953
26,"GUMBINNEN","GUM",52645,23795,78061,106921
27,"INSTERBURG","GUM",75729,26501,106312,185843
28,"DARKEHMEN","GUM",27696,10607,64690,97233
29,"ANGERBURG","GUM",24732,7104,30522,51188
30,"GOLDAP","GUM",31382,6875,91019,110015
31,"OLETZKO","GUM",34320,5910,53606,82661
32,"LYCK","GUM",40354,7922,66704,101803
33,"LOTZEN","GUM",27859,7069,72552,101125
34,"SENSBURG","GUM",43341,8616,58117,84963
35,"JOHANNISBURG","GUM",35607,5613,70959,183566
36,"Landkreis Elbing","DAN",43275,7641,89929,151048
37,"MARIENBURG","DAN",84615,59418,166707,229115
38,"DANZIG LANDKREIS","DAN",69368,32291,159131,410315
39,"PREUSSISCH STARGARD","DAN",71304,36804,67505,132451
40,"BERENT","DAN",30917,6210,81868,114302
41,"KARTHAUS","DAN",41807,7677,62281,242906
42,"NEUSTADT I WESTPR.","DAN",52536,16557,124048,155604
43,"STUHM","MAR",44129,15698,85075,109542
44,"MARIENWERDER","MAR",80840,63752,127916,252279
45,"ROSENBERG I WESTPR.","MAR",53627,30383,90535,139052
46,"LOBAU","MAR",39313,13491,87117,196436
47,"STRASBURG I WESTPR.","MAR",62604,21425,97487,349119
48,"THORN","MAR",92431,58524,127752,177946
49,"KULM","MAR",59291,42538,117723,176202
50,"GRAUDENZ","MAR",67602,40262,123000,150890
51,"SCHWETZ","MAR",72951,21522,145687,439777
52,"KONITZ","MAR",70752,24641,129718,315784
53,"SCHLOCHAU","MAR",59505,13029,56495,149797
54,"FLATOW","MAR",71079,12258,90031,156811
55,"DEUTSCH KRONE","MAR",75075,21033,100276,2613635
56,"PRENZLAU","POT",99215,89270,106994,244598
57,"TEMPLIN","POT",66689,33637,51865,93794
58,"ANGERMUNDE","POT",105762,55601,42839,77319
59,"OBERBARNIM","POT",145808,92534,99025,203196
60,"NIEDERBARNIM","POT",203115,95459,89169,555171
61,"TELTOW","POT",235069,134468,107729,410463
62,"BEESKOW-STORKOW","POT",61019,16805,76471,140514
63,"JUTERBOG-LUCKENWALDE","POT",108095,40322,45103,118592
64,"ZAUCHE-BELZIG","POT",122060,36281,65995,188489
65,"OSTHAVELLAND","POT",168009,88734,157239,204523
66,"WESTHAVELLAND","POT",157393,110477,132014,179147
67,"RUPPIN","POT",128605,55261,136917,363144
68,"OSTPRIGNITZ","POT",117162,35888,70325,288422
69,"WESTPRIGNITZ","POT",132384,39830,68545,114408
70,"KONIGSBERG IN NEUMARK","FRA",141361,68803,163747,254118
71,"SOLDIN","FRA",62138,20868,61321,106581
72,"ARNSWALDE","FRA",46017,13647,39927,78524
73,"FRIEDEBERG","FRA",69617,19999,14100,42731
74,"LANDSBERG","FRA",125882,55161,61657,153949
75,"LEBUS","FRA",143166,71565,194510,281737
76,"WESTSTERNBERG","FRA",59064,16257,11544,41300
77,"OSTSTERNBERG","FRA",59149,16348,18919,47441
78,"ZULLICHAU-SCHWIEBUS","FRA",66783,28240,34763,87489
79,"KROSSEN","FRA",79052,27707,37962,77755
80,"GUBEN","FRA",106436,37776,0,33521
81,"LUBBEN","FRA",41963,11529,38460,140605
82,"LUCKAU","FRA",95212,20034,40759,79977
83,"KALAU","FRA",66012,17070,33170,70069
84,"KOTTBUS","FRA",95088,46874,70601,114430
85,"SORAU","FRA",131808,53517,86050,135275
86,"SPREMBERG","FRA",32839,13626,6190,17746
87,"DEMMIN","STE",71147,59231,31437,73820
88,"ANKLAM","STE",51334,39600,28934,57914
89,"USEDOM-WOLLIN","STE",75607,23603,59285,93392
90,"UCKERMUNDE","STE",66817,17275,13190,39073
91,"RANDOW","STE",165986,62441,74042,174805
92,"GREIFENHAGEN","STE",81706,30168,72257,146861
93,"PYRITZ","STE",66854,35569,108042,350097
94,"SAATZIG","STE",110572,67447,30281,80808
95,"NAUGARD","STE",76451,22172,51262,195134
96,"KAMMIN","STE",48256,21702,80732,124366
97,"GREIFENBERG","STE",53556,25186,72930,109872
98,"REGENWALDE","STE",57405,33273,38345,97313
99,"SCHIVELBEIN","KOS",27371,7869,7434,22364
100,"DRAMBURG","KOS",36560,12519,39018,69932
101,"NEUSTETTIN","KOS",82470,15279,19005,92758
102,"BELGARD","KOS",52880,19960,41276,73583
103,"KOLBERG-KORLIN","KOS",71751,37145,73573,103269
104,"KOSLIN","KOS",69304,55277,49463,86724
105,"BUBLITZ","KOS",23363,4149,25043,46273
106,"SCHLAWE","KOS",109352,25322,90783,131187
107,"RUMMELSBURG","KOS",24817,5917,22791,67995
108,"STOLP","KOS",112365,65202,68981,179956
109,"LAUENBURG i. Pm.","KOS",43841,16483,53995,86270
110,"BUTOW","KOS",26090,7325,2792,37551
111,"RUGEN","STR",65415,39902,74794,116543
112,"FRANZBURG","STR",60845,43598,30838,56199
113,"GREIFSWALD","STR",88240,78490,51980,78056
114,"GRIMMEN","STR",46810,26257,2919,50234
115,"WRESCHEN","POS",36571,12182,69249,78540
116,"PLESCHEN","POS",55885,20724,94211,102636
117,"SCHRODA","POS",50349,16773,78801,129937
118,"SCHRIMM","POS",49039,19017,38472,42842
119,"KOSTEN","POS",69129,28991,58184,63727
120,"BUK","POS",57864,16854,99688,131736
121,"LANDKREIS POSEN","POS",58655,22706,49500,56687
122,"OBORNIK","POS",49501,16806,81476,128153
123,"SAMTER","POS",41487,26712,94028,150090
124,"BIRNBAUM","POS",59438,17717,40024,47287
125,"MESERITZ","POS",61250,14586,74876,76723
