kreiskey1883,county,rb,land1882_far_ext_un1,land1882_far_ext_1to2,land1882_far_ext_2to10,land1882_far_ext_10to50,land1882_far_ext_50to100,land1882_far_ext_ov100,land1882_far_ext_tot,land1882_area_ext_un1,land1882_area_ext_1to2,land1882_area_ext_2to10,land1882_area_ext_10to50,land1882_area_ext_50to100,land1882_area_ext_ov100,land1882_area_ext_tot
1,"MEMEL","KON",973,386,1338,942,58,60,3757,396,881,9125,27491,5371,17202,60466
2,"FISCHHAUSEN","KON",1153,145,520,515,152,168,2653,324,227,3079,18966,12328,49855,84779
3,"KONIGSBERG STADTKREIS","KON",100,18,31,15,0,2,166,26,24,116,235,0,394,795
4,"KONIGSBERG LANDKREIS","KON",2306,242,465,509,210,183,3915,524,377,2666,15016,16188,60677,95448
5,"LABIAU","KON",2776,1224,1708,570,99,70,6447,844,1981,8048,13531,8007,22358,54769
6,"WEHLAU","KON",3632,251,597,732,128,101,5441,821,359,3135,21355,9387,42456,77513
7,"GERDAUEN","KON",3174,240,401,539,88,106,4548,775,332,2110,15273,6896,57511,82897
8,"RASTENBURG","KON",4387,146,291,458,130,130,5542,1044,208,1702,13172,9809,56313,82248
9,"FRIEDLAND","KON",2686,185,351,516,91,132,3961,752,259,2006,14641,7006,58230,82894
10,"PREUSSISCH EYLAU","KON",2600,402,1007,1057,148,150,5364,774,588,5965,27722,11112,70200,116361
11,"HEILIGENBEIL","KON",2124,349,837,814,156,103,4383,609,504,4702,22061,12047,43446,83369
12,"BRAUNSBERG","KON",1185,1119,1051,992,427,34,4808,560,1306,5304,35274,31389,9218,83051
13,"HEILSBERG","KON",1586,781,1583,1627,316,46,5939,704,1106,8246,51439,22698,11777,95970
14,"ROSSEL","KON",1519,531,1076,1297,159,52,4634,525,785,5815,36970,11711,15380,71186
15,"ALLENSTEIN","KON",2267,612,1797,1523,228,71,6498,802,982,9744,43936,16522,20376,92362
16,"ORTELSBURG","KON",2342,764,2045,2116,210,73,7550,824,1147,11507,63825,15594,25797,118694
17,"NEIDENBURG","KON",2082,730,1096,1472,312,131,5823,701,1023,6393,45147,22045,50893,126202
18,"OSTERODE","KON",3099,780,1365,1195,162,127,6728,1236,1138,7889,32549,12249,65915,120976
19,"MOHRUNGEN","KON",3231,639,1118,967,120,128,6203,1121,952,5984,24522,8822,61715,103116
20,"PREUSSISCH HOLLAND","KON",2754,396,929,886,139,88,5192,811,589,5022,24828,9484,35416,76150
21,"HEYDEKRUG","GUM",2252,1051,2088,969,44,20,6424,1170,2122,14018,25100,3255,6625,52290
22,"NIEDERUNG","GUM",2549,886,2250,1285,108,40,7118,853,1508,11819,33608,7160,8172,63120
23,"TILSIT LANDKREIS","GUM",2071,862,2244,1262,83,46,6568,687,1641,13100,30145,5959,18600,70132
24,"RAGNIT","GUM",2399,650,2120,1268,148,101,6686,711,1161,11321,33873,12292,30923,90281
25,"PILLKALLEN","GUM",1993,580,1720,1093,215,103,5704,560,921,8381,32806,16985,24976,84629
26,"STALLUPONEN","GUM",1852,601,1262,999,121,60,4895,588,931,6114,27240,8316,16585,59774
27,"GUMBINNEN","GUM",2032,422,936,941,134,81,4546,633,645,4437,25720,9690,21828,62953
28,"INSTERBURG","GUM",2797,640,1449,1119,192,127,6324,911,940,7541,29150,14998,33724,87264
29,"DARKEHMEN","GUM",1989,328,843,587,100,105,3952,540,497,4397,15792,7376,41184,69786
30,"ANGERBURG","GUM",2032,360,855,707,137,101,4192,601,524,4565,21550,10369,31496,69105
31,"GOLDAP","GUM",1910,683,1455,1289,87,54,5478,635,1041,7804,34532,6740,18770,69522
32,"OLETZKO","GUM",1815,550,1007,1122,118,67,4679,599,868,5158,31944,8831,23720,71120
33,"LYCK","GUM",2676,569,1070,1448,160,84,6007,1002,853,5943,46193,12437,23359,89787
34,"LOTZEN","GUM",1766,449,770,808,196,93,4082,602,638,4279,26230,14239,24783,70771
35,"SENSBURG","GUM",3841,677,1151,1011,136,101,6917,1167,974,6369,28081,10183,37272,84046
36,"JOHANNISBURG","GUM",1589,576,1201,1461,167,61,5055,561,908,7456,44918,13440,22532,89815
37,"ELBING STADTKREIS","DAN",731,40,62,21,2,2,858,109,53,301,1232,107,2923,4725
38,"ELBING LANDKREIS","DAN",2359,386,1000,845,91,37,4718,664,942,6002,22852,7023,10030,47513
39,"MARIENBURG IN PREUSSEN","DAN",3919,314,801,877,338,108,6357,699,495,4391,23785,23860,16611,69841
40,"DANZIG STADTKREIS","DAN",319,46,43,15,1,1,425,85,62,202,301,57,120,827
41,"DANZIG LANDKREIS","DAN",6603,505,907,945,226,131,9317,1747,753,4968,24379,16347,34753,82947
42,"PREUSSISCH STARGARD","DAN",4146,531,873,839,151,146,6686,1363,847,5478,21598,11252,56430,96968
43,"BERENT","DAN",2063,492,1191,1180,127,102,5155,970,783,8461,36128,12275,41158,99775
44,"KARTHAUS","DAN",2822,1098,3129,1453,102,111,8715,1223,1625,20752,34711,8768,43939,111018
45,"NEUSTADT IN WESTPREUSSEN","DAN",3344,1043,1581,1110,107,122,7307,1385,1537,10757,29246,9211,59070,111206
46,"STUHM","MAR",2547,352,449,546,126,110,4130,749,529,2213,14812,8557,29553,56413
47,"MARIENWERDER","MAR",3029,681,914,681,156,119,5580,1031,995,4447,18165,11552,46418,82608
48,"ROSENBERG IN WESTPREUSSEN","MAR",3566,417,710,669,63,92,5517,1165,868,4030,15314,4580,61869,87826
49,"LOBAU","MAR",2535,607,1139,1114,158,97,5650,1003,903,5709,26370,11544,35636,81165
50,"STRASBURG","MAR",3422,970,1725,1204,96,133,7550,1263,1430,9142,28537,5921,60521,106814
51,"THORN LANDKREIS","MAR",3264,701,1298,745,103,130,6241,1104,1120,6639,19327,7200,54944,90334
52,"KULM","MAR",3199,643,1111,595,82,127,5757,1002,1003,5483,14598,4975,54230,81291
53,"GRAUDENZ LANDKREIS","MAR",2962,574,796,659,120,114,5225,1016,864,3811,17856,7582,43306,74435
54,"SCHWETZ","MAR",4097,1241,2169,1132,111,99,8849,1513,2027,11594,28984,9140,58365,111623
55,"TUCHEL","MAR",1282,342,702,548,90,64,3028,496,564,3805,14467,6817,23317,49466
56,"KONITZ","MAR",1917,562,912,913,239,60,4603,768,995,7298,37394,26239,33759,106453
57,"SCHLOCHAU","MAR",2535,1172,1649,1399,297,211,7263,1100,1639,11867,45360,24978,74128,159072
58,"FLATOW","MAR",3044,952,2121,1645,204,122,8088,1261,1398,11408,44351,15158,53053,126629
59,"DEUTSCH KRONE","MAR",3204,689,1073,1584,255,202,7007,1201,1153,6955,51451,21033,101404,183197
60,"BERLIN","BER",1530,56,110,35,6,2,1739,198,85,527,705,351,405,2271
