kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
1,"MEMEL","KON",2510,7909,342,539,35,379,4,4,6,9,0,3,2559,8302,346,547
2,"FISCHHAUSEN","KON",1086,9702,408,692,2,20,1,3,2,1,0,0,1092,9733,409,695
3,"KONIGSBERG","KON",118,436,14,13,3,8,0,0,2,3,0,0,126,447,14,13
4,"KONIGSBERG","KON",1266,13052,119,267,8,126,0,0,6,1,0,0,1284,13189,119,267
5,"LABIAU","KON",3391,10445,153,467,1,19,2,3,0,4,0,0,3404,10485,155,471
6,"WEHLAU","KON",1322,9841,15,182,4,15,0,1,0,0,0,0,1326,9856,15,183
7,"GERDAUEN","KON",1140,9309,2,100,1,12,1,0,0,0,0,0,1144,9326,3,100
8,"RASTENBURG","KON",817,10048,3,101,73,488,0,2,1,0,1,0,892,10537,4,103
9,"FRIEDLAND","KON",1039,10034,1,69,11,41,0,0,0,0,0,0,1050,10082,1,69
10,"PREUSSISCH EYLAU","KON",2126,13120,1,96,86,170,0,1,0,1,0,0,2245,13349,1,99
11,"HEILIGENBEIL","KON",1749,10489,175,136,14,204,0,1,0,0,0,0,1780,10740,175,138
12,"BRAUNSBERG","KON",53,408,1,20,2477,8785,55,50,0,0,0,0,2530,9193,56,70
13,"HEILSBERG","KON",70,377,2,17,3712,10522,3,28,0,3,0,0,3782,10902,5,45
14,"ROSSEL","KON",55,740,7,25,2436,9104,2,62,0,1,0,0,2492,9846,9,87
15,"ALLENSTEIN","KON",70,414,6,52,3667,12210,12,84,0,2,1,1,3738,12626,19,137
16,"ORTELSBURG","KON",4389,11653,17,94,471,1128,2,5,1,1,2,1,4994,12883,21,100
17,"NEIDENBURG","KON",2704,10234,19,112,281,2255,1,6,7,4,0,0,2994,12494,20,118
18,"OSTERODE","KON",2736,12119,43,203,315,1083,2,15,5,6,0,0,3075,13247,45,218
19,"MOHRUNGEN","KON",2047,11217,59,192,12,329,0,3,1,0,1,0,2072,11557,60,195
20,"PREUSSISCH HOLLAND","KON",1851,9661,7,51,63,312,0,3,0,0,0,0,1917,9976,7,54
21,"HEYDEKRUG","GUM",4209,7168,139,74,141,369,4,2,3,9,0,0,4392,7577,143,76
22,"NIEDERUNG","GUM",4639,11915,42,75,18,94,4,1,2,8,0,0,4737,12102,46,76
23,"TILSIT","GUM",4336,9910,8,21,126,260,0,1,4,1,0,0,4502,10193,8,22
24,"RAGNIT","GUM",3991,10968,7,254,24,132,1,13,10,13,0,0,4043,11143,8,267
25,"PILLKALLEN","GUM",3533,10764,5,102,18,408,0,5,2,1,0,0,3553,11175,5,107
26,"STALLUPONEN","GUM",2810,9864,2,32,21,216,1,0,4,2,0,0,2840,10087,3,32
27,"GUMBINNEN","GUM",2389,9108,6,71,2,3,0,0,0,0,0,0,2421,9229,7,73
28,"INSTERBURG","GUM",3143,12938,12,178,2,12,0,2,2,2,0,0,3160,12968,12,180
29,"DARKEHMEN","GUM",1749,8845,3,67,3,7,0,0,2,3,0,0,1757,8862,3,67
30,"ANGERBURG","GUM",1790,9000,20,105,3,16,0,0,0,0,2,9,1807,9026,23,115
31,"GOLDAP","GUM",3237,7800,8,256,9,44,0,3,3,0,0,0,3285,7895,8,260
32,"OLETZKO","GUM",2440,9260,1,29,28,117,0,0,2,1,0,0,2473,9387,1,29
33,"LYCK","GUM",2927,11556,4,46,44,319,0,7,2,3,1,3,3003,11930,5,56
34,"LOTZEN","GUM",1770,8591,14,39,31,44,0,0,0,1,1,16,1811,8652,15,55
35,"SENSBURG","GUM",2146,9576,16,371,257,613,1,6,0,0,0,0,2415,10219,17,377
36,"JOHANNISBURG","GUM",3045,9509,15,581,13,40,0,5,1,0,2,10,3060,9550,17,596
37,"ELBING","DAN",83,161,17,3,19,45,0,0,0,0,0,0,104,209,17,3
38,"ELBING","DAN",1430,5464,131,88,209,1516,5,8,0,0,0,0,1903,7166,136,96
39,"MARIENBURG","DAN",1212,5859,67,23,226,7415,26,5,1,0,0,0,2280,13866,94,28
40,"DANZIG","DAN",102,294,11,6,36,255,3,0,1,1,0,0,139,553,14,6
41,"DANZIG","DAN",1941,7179,531,332,512,7618,59,74,4,1,0,0,2489,14824,590,406
42,"PREUSSISCH STARGARD","DAN",485,2701,14,105,1602,11512,31,185,3,3,0,0,2094,14221,45,291
43,"BERENT","DAN",1294,3382,3,47,1458,5346,28,24,3,2,0,0,2757,8732,31,71
44,"KARTHAUS","DAN",1410,2658,5,60,3628,8866,7,36,10,6,0,0,5050,11544,12,96
45,"NEUSTADT","DAN",807,1873,96,102,2281,8598,552,156,0,0,0,0,3093,10481,648,258
46,"STUHM","MAR",508,2414,7,22,648,6289,5,15,2,1,0,0,1280,8796,12,38
47,"MARIENWERDER","MAR",1472,5459,13,55,741,6568,19,21,1,1,0,0,2265,12073,32,76
48,"ROSENBERG","MAR",1479,8522,38,139,103,966,1,10,1,1,0,0,1592,9493,39,149
49,"LOBAU","MAR",442,1181,7,29,2480,8848,11,17,1,3,0,0,2925,10032,18,46
50,"STRASBURG","MAR",1414,2758,8,65,2227,9585,21,20,3,1,1,1,3673,12373,30,86
51,"THORN","MAR",1544,4210,3,46,1002,10050,10,34,4,6,0,0,2575,14287,13,80
52,"KULM","MAR",1574,3730,14,25,865,7273,21,23,6,3,0,0,2524,11089,35,48
53,"GRAUDENZ","MAR",1578,4945,14,43,584,5479,3,26,2,4,0,0,2185,10478,17,70
54,"SCHWETZ","MAR",2349,5965,17,138,2115,7972,20,71,9,3,0,0,4489,13952,37,209
55,"TUCHEL","MAR",353,871,4,56,1145,4110,6,44,2,3,0,0,1502,4984,10,100
56,"KONITZ","MAR",275,1025,7,55,1912,7151,26,66,4,9,0,0,2191,8185,33,121
57,"SCHLOCHAU","MAR",1595,5999,17,163,1845,4921,9,67,3,6,0,0,3443,10927,26,230
58,"FLATOW","MAR",2710,6615,6,77,1410,5106,11,17,10,8,0,0,4130,11729,17,94
59,"DEUTSCH KRONE","MAR",1508,7263,17,141,1212,5313,11,54,0,2,0,0,2725,12590,28,195
60,"PRENZLAU","POT",1384,10732,23,71,2,424,0,1,0,0,0,0,1386,11156,23,72
61,"TEMPLIN","POT",1450,7430,53,335,0,87,0,3,0,1,0,0,1468,7558,53,339
62,"ANGERMUNDE","POT",2084,9886,180,217,3,165,0,1,1,1,0,0,2090,10066,180,218
63,"OBERBARNIM","POT",1931,10220,25,340,3,45,2,23,1,0,0,0,1935,10270,27,363
