kreiskey1882,county,rb,occ1882_se_min_pr,occ1882_emp_min_pr,occ1882_se_sto_pr,occ1882_emp_sto_pr,occ1882_se_met_pr,occ1882_emp_met_pr,occ1882_se_eng_pr,occ1882_emp_eng_pr,occ1882_se_che_pr,occ1882_emp_che_pr,occ1882_se_lum_pr,occ1882_emp_lum_pr,occ1882_se_tex_pr,occ1882_emp_tex_pr,occ1882_se_pap_pr,occ1882_emp_pap_pr,occ1882_se_woo_pr,occ1882_emp_woo_pr,occ1882_se_foo_pr,occ1882_emp_foo_pr,occ1882_se_clo_pr,occ1882_emp_clo_pr,occ1882_se_bui_pr,occ1882_emp_bui_pr,occ1882_se_pri_pr,occ1882_emp_pri_pr,occ1882_se_art_pr,occ1882_emp_art_pr,occ1882_se_min_cat,occ1882_emp_min_cat,occ1882_se_sto_cat,occ1882_emp_sto_cat,occ1882_se_met_cat,occ1882_emp_met_cat,occ1882_se_eng_cat,occ1882_emp_eng_cat,occ1882_se_che_cat,occ1882_emp_che_cat,occ1882_se_lum_cat,occ1882_emp_lum_cat,occ1882_se_tex_cat,occ1882_emp_tex_cat,occ1882_se_pap_cat,occ1882_emp_pap_cat,occ1882_se_woo_cat,occ1882_emp_woo_cat,occ1882_se_foo_cat,occ1882_emp_foo_cat,occ1882_se_clo_cat,occ1882_emp_clo_cat,occ1882_se_bui_cat,occ1882_emp_bui_cat,occ1882_se_pri_cat,occ1882_emp_pri_cat,occ1882_se_art_cat,occ1882_emp_art_cat,occ1882_se_min_jew,occ1882_emp_min_jew,occ1882_se_sto_jew,occ1882_emp_sto_jew,occ1882_se_met_jew,occ1882_emp_met_jew,occ1882_se_eng_jew,occ1882_emp_eng_jew,occ1882_se_che_jew,occ1882_emp_che_jew,occ1882_se_lum_jew,occ1882_emp_lum_jew,occ1882_se_tex_jew,occ1882_emp_tex_jew,occ1882_se_pap_jew,occ1882_emp_pap_jew,occ1882_se_woo_jew,occ1882_emp_woo_jew,occ1882_se_foo_jew,occ1882_emp_foo_jew,occ1882_se_clo_jew,occ1882_emp_clo_jew,occ1882_se_bui_jew,occ1882_emp_bui_jew,occ1882_se_pri_jew,occ1882_emp_pri_jew,occ1882_se_art_jew,occ1882_emp_art_jew,occ1882_se_min_tot,occ1882_emp_min_tot,occ1882_se_sto_tot,occ1882_emp_sto_tot,occ1882_se_met_tot,occ1882_emp_met_tot,occ1882_se_eng_tot,occ1882_emp_eng_tot,occ1882_se_che_tot,occ1882_emp_che_tot,occ1882_se_lum_tot,occ1882_emp_lum_tot,occ1882_se_tex_tot,occ1882_emp_tex_tot,occ1882_se_pap_tot,occ1882_emp_pap_tot,occ1882_se_woo_tot,occ1882_emp_woo_tot,occ1882_se_foo_tot,occ1882_emp_foo_tot,occ1882_se_clo_tot,occ1882_emp_clo_tot,occ1882_se_bui_tot,occ1882_emp_bui_tot,occ1882_se_pri_tot,occ1882_emp_pri_tot,occ1882_se_art_tot,occ1882_emp_art_tot
1,"MEMEL","KON",2,658,25,78,110,274,42,166,7,28,3,15,82,84,29,42,107,430,157,293,939,392,69,601,9,26,1,2,0,8,1,4,6,24,4,8,1,3,0,0,3,9,0,1,7,36,3,4,49,24,4,28,0,0,1,0,0,2,0,1,7,4,4,3,0,2,0,0,4,6,0,1,1,2,14,9,42,16,1,1,0,1,0,0,2,670,26,83,125,304,50,181,8,33,3,15,91,104,29,47,117,470,177,307,1060,442,75,635,9,30,2,2
2,"FISCHHAUSEN","KON",3,493,17,71,133,186,94,75,4,7,0,1,150,35,44,50,123,72,123,233,611,210,58,864,2,4,1,0,0,8,0,5,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,2,1,35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,502,19,77,134,189,94,75,5,7,0,1,155,36,44,50,127,72,125,233,618,212,62,903,2,4,1,0
3,"KONIGSBERG","KON",1,30,49,287,295,1641,162,631,18,85,9,66,169,229,166,415,491,1554,542,1840,4861,2606,331,2794,43,290,45,54,0,0,4,10,11,67,8,33,2,4,0,3,3,7,7,7,10,41,16,43,187,83,24,158,0,13,4,9,0,0,1,0,4,11,16,11,4,6,0,0,8,9,3,9,10,50,24,29,87,48,14,6,5,12,2,1,1,30,54,297,310,1722,188,679,24,95,9,69,181,246,177,432,513,1654,583,1915,5146,2744,372,2963,48,316,51,64
4,"KONIGSBERG","KON",0,23,15,212,105,119,57,68,2,18,0,0,47,2,42,49,93,72,151,520,464,138,28,943,0,0,1,0,0,0,2,29,0,9,0,5,0,0,0,0,0,0,1,0,2,1,2,5,2,1,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,24,17,243,105,126,57,73,2,18,0,0,47,2,43,49,95,74,153,525,471,139,32,1050,0,0,1,0
5,"LABIAU","KON",0,0,15,54,103,126,52,38,4,5,0,0,107,22,30,25,127,132,146,200,550,309,46,536,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,55,103,126,54,38,4,5,0,0,108,22,30,25,127,132,147,200,554,309,47,539,2,4,0,0
6,"WEHLAU","KON",0,10,30,329,113,162,58,43,6,10,1,9,115,24,48,44,176,162,203,352,673,305,72,731,2,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0,1,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,30,330,113,162,58,43,7,11,1,9,116,24,48,44,180,162,204,354,675,310,75,734,3,10,1,0
7,"GERDAUEN","KON",0,2,25,66,77,83,40,30,4,3,0,0,88,17,34,36,137,71,106,135,448,195,45,389,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,2,2,1,2,1,0,0,0,0,0,0,2,25,66,78,84,40,31,4,4,0,0,88,17,34,36,138,83,108,137,450,199,49,412,1,2,0,0
8,"RASTENBURG","KON",0,15,16,95,82,138,39,55,6,7,2,7,161,21,37,60,139,159,146,239,602,283,54,635,2,8,0,1,0,2,0,3,4,10,2,1,1,2,0,0,8,1,1,3,16,7,8,7,22,6,5,97,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,11,0,0,0,0,0,17,16,98,86,148,42,56,7,10,2,7,169,22,38,63,155,167,155,246,627,289,60,744,3,8,0,1
9,"FRIEDLAND","KON",1,19,34,155,102,180,53,42,4,5,0,10,202,41,50,58,139,108,193,279,721,393,60,567,3,7,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,0,1,1,2,3,2,3,7,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,19,35,161,104,180,54,42,5,6,0,10,203,41,51,59,141,113,197,282,729,397,61,575,3,8,2,0
10,"PREUSSISCH EYLAU","KON",1,8,33,74,128,208,60,50,5,3,0,0,213,41,51,46,154,128,163,189,722,288,49,457,2,2,3,0,1,1,1,2,3,3,3,1,0,0,0,0,2,2,1,1,3,4,4,4,9,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,9,34,77,133,212,63,51,5,3,0,0,219,43,53,47,159,133,169,193,735,294,52,468,2,2,3,0
