kreiskey1882,county,rb,occ1882_se_utb_pr,occ1882_emp_utb_pr,occ1882_unemp_pr,occ1882_ukn_pr,occ1882_dom_pr,occ1882_wif_pr,occ1882_sum_pr,occ1882_se_utb_cat,occ1882_emp_utb_cat,occ1882_unemp_cat,occ1882_ukn_cat,occ1882_dom_cat,occ1882_wif_cat,occ1882_sum_cat,occ1882_se_utb_jew,occ1882_emp_utb_jew,occ1882_unemp_jew,occ1882_ukn_jew,occ1882_dom_jew,occ1882_wif_jew,occ1882_sum_jew,occ1882_se_utb_tot,occ1882_emp_utb_tot,occ1882_unemp_tot,occ1882_ukn_tot,occ1882_dom_tot,occ1882_wif_tot,occ1882_sum_tot
1,"MEMEL","KON",0,25,2125,38,1846,29835,55160,0,1,77,0,56,1106,2268,0,0,42,1,46,856,1394,0,26,2269,39,1960,31975,59181
2,"FISCHHAUSEN","KON",0,3,1061,0,2004,29256,50555,0,0,9,0,13,108,366,0,0,2,0,2,111,173,0,3,1075,0,2026,29558,51230
3,"KONIGSBERG","KON",6,623,7565,708,7333,63746,129990,0,21,257,25,313,2120,5222,0,2,354,0,77,3261,5508,6,646,8198,736,7752,69310,141102
4,"KONIGSBERG","KON",0,21,1330,86,1892,30840,54032,0,0,8,1,10,102,552,0,0,3,0,5,60,118,0,21,1343,90,1914,31056,54797
5,"LABIAU","KON",0,8,1062,37,1811,31194,52472,0,0,4,0,1,46,94,0,0,5,0,3,181,269,0,8,1075,37,1816,31503,52962
6,"WEHLAU","KON",0,19,2648,11,1748,27458,48953,0,0,193,0,2,94,360,0,0,26,0,2,88,160,0,19,2867,11,1753,27643,49478
7,"GERDAUEN","KON",0,2,809,3,1117,21280,36784,0,0,1,0,3,54,110,0,0,2,0,2,86,145,0,2,815,3,1122,21458,37094
8,"RASTENBURG","KON",0,11,1207,4,1523,23794,41942,0,0,75,1,76,1082,2086,0,0,12,0,2,106,181,0,11,1296,5,1602,25010,44249
9,"FRIEDLAND","KON",2,30,1240,60,1773,25277,45855,0,0,4,0,32,161,318,0,0,4,1,0,63,106,2,32,1248,61,1811,25532,46335
10,"PREUSSISCH EYLAU","KON",0,6,1471,2,2074,30851,54333,0,0,17,0,44,621,1033,0,0,1,0,1,119,168,0,6,1506,2,2130,31856,55947
11,"HEILIGENBEIL","KON",0,7,1118,45,1548,25531,44992,0,0,12,0,56,311,684,0,0,3,0,1,84,134,0,8,1144,45,1609,26167,46177
12,"BRAUNSBERG","KON",0,5,288,4,199,2896,5718,0,13,1407,21,2069,27496,47824,0,0,8,0,2,308,453,0,18,1706,25,2271,30702,54005
13,"HEILSBERG","KON",0,0,102,2,86,1675,2946,0,5,1133,37,2147,30115,52096,0,0,8,0,2,245,387,0,5,1243,39,2235,32035,55429
14,"ROSSEL","KON",0,0,141,0,184,2939,5144,0,0,968,0,1486,25691,43930,0,0,7,0,1,260,402,0,0,1116,0,1671,28891,49482
15,"ALLENSTEIN","KON",0,7,769,9,153,2808,5329,0,13,1056,34,1811,33866,57452,0,0,17,0,1,285,457,0,20,1842,43,1965,36972,63253
