kreiskey1886,county,rb,yie1886_hec_wwh_gra,yie1886_hec_wwh_str,yie1886_hec_swh_gra,yie1886_hec_swh_str,yie1886_hec_wsp_gra,yie1886_hec_wsp_str,yie1886_hec_ssp_gra,yie1886_hec_ssp_str,yie1886_hec_wei_gra,yie1886_hec_wei_str,yie1886_hec_sei_gra,yie1886_hec_sei_str,yie1886_hec_wry_gra,yie1886_hec_wry_str,yie1886_hec_sry_gra,yie1886_hec_sry_str,yie1886_hec_wba_gra,yie1886_hec_wba_str,yie1886_hec_sba_gra,yie1886_hec_sba_str,yie1886_hec_oat_gra,yie1886_hec_oat_str,yie1886_hec_buc_gra,yie1886_hec_buc_str,yie1886_hec_pea_fru,yie1886_hec_pea_str,yie1886_hec_fbe_fru,yie1886_hec_fbe_str,yie1886_hec_vet_fru,yie1886_hec_vet_str,yie1886_hec_lup_fru,yie1886_hec_lup_str,yie1886_hec_pot_tub,yie1886_hec_pot_dis,yie1886_hec_bee_roo,yie1886_hec_car_roo,yie1886_hec_tur_roo,yie1886_hec_rut_roo,yie1886_hec_wra_gra,yie1886_hec_sra_gra,yie1886_hec_hop_con,yie1886_hec_clo_hay,yie1886_hec_luc_hay,yie1886_hec_sai_hay,yie1886_hec_oth_hay,yie1886_hec_clo_see,yie1886_hec_hay_tot,yie1886_hec_whi_hec,yie1886_tot_wwh_gra,yie1886_tot_wwh_str,yie1886_tot_swh_gra,yie1886_tot_swh_str,yie1886_tot_wsp_gra,yie1886_tot_wsp_str,yie1886_tot_ssp_gra,yie1886_tot_ssp_str,yie1886_tot_wei_gra,yie1886_tot_wei_str,yie1886_tot_sei_gra,yie1886_tot_sei_str,yie1886_tot_wry_gra,yie1886_tot_wry_str,yie1886_tot_sry_gra,yie1886_tot_sry_str,yie1886_tot_wba_gra,yie1886_tot_wba_str,yie1886_tot_sba_gra,yie1886_tot_sba_str,yie1886_tot_oat_gra,yie1886_tot_oat_str,yie1886_tot_buc_gra,yie1886_tot_buc_str,yie1886_tot_pea_fru,yie1886_tot_pea_str,yie1886_tot_fbe_fru,yie1886_tot_fbe_str,yie1886_tot_vet_fru,yie1886_tot_vet_str,yie1886_tot_lup_fru,yie1886_tot_lup_str,yie1886_tot_pot_tub,yie1886_tot_pot_dis,yie1886_tot_bee_roo,yie1886_tot_car_roo,yie1886_tot_tur_roo,yie1886_tot_rut_roo,yie1886_tot_wra_gra,yie1886_tot_sra_gra,yie1886_tot_hop_con,yie1886_tot_clo_hay,yie1886_tot_luc_hay,yie1886_tot_sai_hay,yie1886_tot_oth_hay,yie1886_tot_clo_see,yie1886_tot_hay_tot,yie1886_tot_whi_hec,_merge
1,"MEMEL","KON",8.02,13.8,8.12,14.23,0,0,0,0,0,0,0,0,7.07,14.53,5.02,10.29,0,0,7.81,11.34,7.69,13.01,2.98,4.97,6.11,10.24,5.56,8.05,8.24,13.38,12.67,15.57,39.27,0,77.71,68.58,122.17,47.38,10.91,0,0,17.94,0,0,15.01,2.52,10.93,0,6282,10810,715,1254,0,0,0,0,0,0,0,0,50712,104222,1806,3702,0,0,19168,27832,42586,72047,693,1156,6357,10654,304,440,2925,5848,75,248,134563,1583,17695,604,3763,725,764,0,0,50921,0,0,5034,11,135927,0,"matched (3)"
2,"FISCHHAUSEN","KON",9.99,16.84,12.65,18.7,0,0,0,0,0,0,0,0,8.59,16.19,6.12,14.47,7.35,10,9.96,13.36,10.15,14.59,5.94,8.94,8.15,13.02,10.47,15.5,8.8,13.24,7.07,13.63,56.06,0,160.87,262,107.7,166.42,11.05,0,0,16.97,0,0,18.01,2.15,16.44,0,24234,40850,7667,11371,0,0,0,0,0,0,0,0,99514,187560,1748,4133,37,51,29533,39615,106698,153442,566,888,19255,30761,2334,3470,9758,18600,5223,11204,160976,1446,84618,157,43,25895,3663,0,0,92826,0,0,6678,179,142412,0,"matched (3)"
3,"KONIGSBERG","KON",17.62,13.71,0,0,0,0,0,0,0,0,0,0,12.53,15.67,10.97,11.75,0,0,13.71,15.67,11.75,15.67,0,0,0,0,0,0,0,0,0,0,141,0,300,0,0,195.83,0,0,0,13.71,0,0,0,0,9.79,0,35,27,0,0,0,0,0,0,0,0,0,0,308,385,21,22,0,0,232,265,222,296,0,0,0,0,0,0,0,0,0,0,6627,28,2790,0,0,98,0,0,0,137,0,0,0,0,3609,0,"matched (3)"
4,"KONIGSBERG","KON",12.61,21.76,13.87,21.77,0,0,0,0,0,0,0,0,11.16,20.4,8.46,15.36,0,0,12.95,16.45,12.43,17.4,6,10.06,11.09,16.97,14.08,18.96,12.01,18.4,15,10.5,66.99,0,192.61,179.25,83,253.69,10.19,0,0,23.82,0,0,21.58,1,20.48,0,53454,92241,18238,28625,0,0,0,0,0,0,0,0,120780,220781,2980,5410,0,0,67273,85454,119240,167351,115,193,24054,36808,12458,16965,24301,49387,8,739,203281,1420,237161,3531,988,9894,5389,0,0,160804,0,0,7579,77,263127,0,"matched (3)"
5,"LABIAU","KON",10.05,17.3,10.53,17.79,0,0,0,0,0,0,0,0,9.47,16.93,9.66,12.81,10.5,13,8.89,12.18,9.02,14.66,5.85,9,8.07,12.13,10.42,15.87,8.61,13.06,0,0,45.19,0,60.82,28.86,0,49.94,10.85,0,0,21.85,0,0,17.47,1.26,15.95,0,21397,36833,2027,3425,0,0,0,0,0,0,0,0,54178,96857,785,1041,269,333,31029,42590,53041,86457,81,124,9452,14208,1687,2569,8607,15839,0,0,170787,8283,26913,1807,0,3641,1515,0,0,75063,0,0,6378,99,214740,0,"matched (3)"
6,"WEHLAU","KON",10.05,17.2,9.47,15.23,0,0,0,0,0,0,0,0,9.4,17.11,6.69,11.38,9.6,7,9.48,12.65,9.63,14.06,8.7,13.5,7.87,12.86,9.45,14.62,8.18,12.63,12,18.63,15.31,0,94.87,124.47,100,153.48,10.19,0,17.6,23.26,0,0,18.27,1.69,19.06,0,37573,64304,4411,7094,0,0,0,0,0,0,0,0,75958,138259,1842,3233,77,56,26829,35806,87024,127133,157,244,15682,25625,5929,9173,10314,20922,722,1271,132380,2899,48687,3099,70,7659,1842,0,35,116288,0,0,9373,703,177567,0,"matched (3)"
7,"GERDAUEN","KON",11.9,17.1,11.26,16.74,0,0,0,0,0,0,0,0,11.19,17.33,4.5,10,4.9,12,9.94,12.47,11.12,14.61,0,0,9.87,13.69,10.8,14.69,8.86,12.83,13.76,15.25,61.97,0,111.89,120.08,0,49.41,8.66,0,2,18.3,0,0,19.6,1.06,14.01,0,58174,83595,3078,4912,0,0,0,0,0,0,0,0,88726,137410,88,195,15,36,19003,23840,83860,110618,0,0,21714,30118,5455,7582,8106,15204,688,1464,138974,0,533,58507,2390,949,1513,0,4,98646,0,0,19561,470,132022,0,"matched (3)"
8,"RASTENBURG","KON",13.98,22.1,13.28,20.27,0,0,0,0,0,0,0,0,16.87,28.4,7.98,15.94,0,0,12.4,16.09,12.25,17.38,4,15.5,10.89,15.46,12.86,17.62,10.82,15.62,11.22,16.84,75.08,0,177.27,156.8,25,135.78,9.23,0,7.91,23.14,29.12,0,17.54,1.53,18.15,0,75830,119875,8705,13287,0,0,0,0,0,0,0,0,140854,237123,1788,3571,0,0,35481,46040,84091,119307,49,437,23673,33607,15561,21320,9581,19152,2277,3442,171821,1892,86880,2540,133,2811,4092,0,86,136084,518,0,7098,348,200233,0,"matched (3)"
9,"FRIEDLAND","KON",10.18,16.93,11.23,16.17,0,0,0,0,0,0,0,0,10.22,16.78,8.17,14.88,9,8,9.74,13.41,9.27,14.24,11.37,10,9.46,14.79,12.33,18.08,9.22,14.28,9.29,13.91,56.43,0,112.59,109.01,34.3,122.76,9.35,0,12.83,18.05,0,0,16.64,1.11,14.21,0,48337,80387,6591,9842,0,0,0,0,0,0,0,0,102885,168924,507,923,414,368,22595,31109,70997,109133,57,50,19763,30898,9395,13831,10849,21780,2354,3817,144433,1608,43257,3030,14,6936,2667,0,62,111293,0,0,8545,203,120406,0,"matched (3)"
10,"PREUSSISCH EYLAU","KON",9.12,14.93,10.27,15.2,0,0,0,0,0,0,0,0,8.85,13.55,5.98,9.82,15.45,26.5,9.76,12.03,8.94,12.13,5.3,6.1,8.45,12.55,11.88,15.29,9.24,12.14,9.32,15.43,49.49,0,92.55,84.93,19.5,160.88,7.86,13.7,5.45,20.32,0,0,15.03,.95,16.75,0,41564,68043,8351,12359,0,0,0,0,0,0,0,0,113952,175756,1364,2240,128,220,33081,40774,105045,142528,9,32,25756,38252,8308,10692,11068,19257,923,1791,185157,599,50375,2038,101,2156,2112,27,22,160221,0,0,14209,194,234936,0,"matched (3)"
