kreiskey1888,county,rb,edu1886_apa_m_free,edu1886_apa_m_ren,edu1886_apa_f_free,edu1886_apa_f_ren,edu1886_val_she,edu1886_wag_m_tot,edu1886_wag_f_tot,edu1886_fin_fee_wag,edu1886_fin_fou_wag,edu1886_fin_soc_wag,edu1886_fin_pat_wag,edu1886_fin_sfu_wag,edu1886_fin_sgr_wag,edu1886_tot_bui,edu1886_new_sum,edu1886_new_num,edu1886_new_apa,edu1886_new_roo,edu1886_ext_sum,edu1886_ext_num,edu1886_ext_apa,edu1886_ext_roo,edu1886_tot_ren,edu1886_fin_pat_bui,edu1886_fin_sgr_bui,edu1886_fin_fou_bui,edu1886_fin_soc_bui,edu1886_fin_mun_bui,edu1886_fin_oth_bui,edu1886_fin_tot_mai,edu1886_fin_fou_mai,edu1886_fin_soc_mai,edu1886_fin_mun_mai,edu1886_fin_sgr_mai,edu1886_fin_oth_mai,edu1886_fin_tot
1,"MEMEL","KON",65,8,3,0,184,74600,5190,7456,6364,18588,20554,146,26682,15051,6556,5,3,3,1514,4,1,0,6981,1216,1220,113,7021,2815,2666,25735,0,14366,11002,361,6,40786
2,"FISCHHAUSEN","KON",95,4,1,0,268,82492,1224,1462,12931,18840,38505,1076,10902,19693,3975,6,2,2,7963,13,3,3,7755,1109,1333,679,3583,12851,138,46670,489,7653,26752,11776,0,66363
3,"KONIGSBERG","KON",22,0,0,0,260,213321,46550,54537,1854,200,202680,600,0,154415,22265,2,0,16,131446,7,2,42,704,828,0,199,0,153388,0,85394,1348,0,81471,0,2575,239809
4,"KONIGSBERG","KON",116,5,2,0,180,96618,2280,570,25620,25968,39533,682,6525,26341,16573,4,2,2,1259,12,3,3,8509,12972,0,114,4117,9110,28,37722,617,12631,20989,3295,190,64063
5,"LABIAU","KON",91,2,0,0,102.5,75188,0,0,8500,41220,6207,275,18986,13938,1737,5,0,0,5867,16,3,3,6334,3146,0,753,8413,1606,20,27526,415,22144,3429,1510,28,41464
6,"WEHLAU","KON",101,3,0,0,158.5,85683,450,4038,13466,36736,15505,390,15998,22326,12489,6,3,20,3541,12,5,3,6296,1794,0,207,13354,6971,0,28071,26,15949,10016,2051,29,50397
7,"GERDAUEN","KON",90,0,0,0,196,76972,2000,6688,22155,25777,14240,283,9829,17317,5628,5,5,6,5247,13,4,3,6442,2989,0,331,10786,2999,212,26588,114,14738,11530,206,0,43905
8,"RASTENBURG","KON",97,0,0,0,214.5,85430,811,1242,26956,21140,25659,171,11073,11988,3041,4,3,1,2436,7,3,1,6511,1349,0,29,2893,7693,24,35122,329,11915,18517,4324,37,47110
9,"FRIEDLAND","KON",87,1,0,0,163.5,79411,0,3756,14223,37845,11825,0,11762,8844,2712,2,2,2,2288,10,2,0,3844,337,0,19,6233,2154,101,23107,325,14750,7721,175,136,31951
10,"PREUSSISCH EYLAU","KON",133,1,0,0,170.5,114589,0,3732,18212,52610,18391,2689,18955,16882,10892,6,5,6,310,7,0,0,5680,635,0,29,10653,5565,0,35116,473,20502,11845,2296,0,51998
11,"HEILIGENBEIL","KON",98,1,0,0,179.5,86704,1040,4870,16189,31408,15464,2284,17529,12964,2612,3,2,2,3346,12,1,0,7006,829,0,180,8502,3402,51,34416,115,16774,11883,5603,41,47380
12,"BRAUNSBERG","KON",91,1,5,0,153,106840,12151,2658,8802,74465,6013,730,26323,24483,13937,7,8,8,4127,11,2,2,6419,1217,293,0,19016,3957,0,37956,208,28360,9388,0,0,62439
13,"HEILSBERG","KON",110,3,6,0,176,109783,7290,778,15773,45801,31244,456,23021,14735,3333,5,1,1,3843,21,3,4,7559,195,303,392,5836,8009,0,35906,90,18454,16075,1287,0,50641
14,"ROSSEL","KON",91,0,2,0,186.5,94594,4992,289,7696,21217,39316,716,30352,31576,22416,9,10,10,3240,19,1,2,5920,28,1653,47,12366,17452,30,37273,755,8761,27146,611,0,68849
15,"ALLENSTEIN","KON",119,7,3,0,158.5,122821,6170,0,8831,20370,66973,910,31907,30747,20602,13,6,6,6981,17,5,5,4664,498,3646,0,8128,17583,892,43789,30,10447,32993,273,46,74536
16,"ORTELSBURG","KON",144,15,0,0,191.5,140626,900,10300,31630,1113,44247,97,54139,46454,31410,43,17,17,5742,20,2,2,7802,9155,8507,88,423,28181,100,48663,0,306,32574,15783,0,95117
17,"NEIDENBURG","KON",121,8,0,0,203,106865,0,5355,13200,26424,20786,1797,39303,35141,29263,21,11,12,2996,4,1,1,3883,2875,5435,2150,18781,5723,177,40053,356,20793,17686,1211,7,75194
18,"OSTERODE","KON",129,28,0,0,239.5,137204,837,9251,19793,48512,18375,2150,39960,34153,24397,19,14,14,3218,17,6,4,5537,4399,5879,357,17681,5382,455,56967,627,27857,22146,5854,483,91120
