kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
1,"MEMEL","KON",6,12,42,44,48,56,52,91,3,3,0,0,0,0,1,6,5,3,4,0
2,"FISCHHAUSEN","KON",15,15,58,58,73,73,73,126,0,0,0,0,0,0,0,0,6,2,13,3
3,"KONIGSBERG","KON",4,24,0,0,4,24,23,223,1,4,0,0,0,0,0,0,2,16,7,42
4,"KONIGSBERG","KON",21,21,68,68,89,89,89,137,0,0,0,0,0,0,0,0,4,2,12,3
5,"LABIAU","KON",9,10,63,64,72,74,74,123,0,0,0,0,0,0,0,0,5,0,16,3
6,"WEHLAU","KON",14,15,58,58,72,73,73,116,0,0,0,0,0,0,0,0,6,20,12,3
7,"GERDAUEN","KON",19,20,48,48,67,68,68,103,0,0,0,0,0,0,0,0,5,6,13,3
8,"RASTENBURG","KON",30,33,48,50,78,83,81,114,2,3,0,0,0,0,0,0,4,1,7,1
9,"FRIEDLAND","KON",18,19,49,49,67,68,68,100,0,0,0,0,0,0,0,0,2,2,10,0
10,"PREUSSISCH EYLAU","KON",20,23,72,72,92,95,95,155,0,0,0,0,0,0,0,0,6,6,7,0
11,"HEILIGENBEIL","KON",14,15,57,58,71,73,73,115,0,0,0,0,0,0,0,0,3,2,12,0
12,"BRAUNSBERG","KON",25,25,41,46,66,71,3,12,67,127,0,0,0,0,1,7,7,8,11,2
13,"HEILSBERG","KON",54,56,38,42,92,98,6,9,91,149,0,0,0,0,1,2,5,1,21,4
14,"ROSSEL","KON",31,36,40,42,71,78,9,16,68,127,0,0,0,0,1,2,9,10,19,2
15,"ALLENSTEIN","KON",30,33,57,57,87,90,2,3,86,167,0,0,0,0,2,22,13,6,17,5
16,"ORTELSBURG","KON",68,72,54,55,122,127,120,198,6,7,0,0,0,0,1,2,43,17,20,2
17,"NEIDENBURG","KON",60,61,54,55,114,116,108,145,8,9,0,0,0,0,0,0,21,12,4,1
18,"OSTERODE","KON",45,49,70,72,115,121,115,180,3,3,0,0,0,0,3,11,19,14,17,4
19,"MOHRUNGEN","KON",30,32,60,61,90,93,92,157,1,2,0,0,0,0,0,0,7,2,24,0
20,"PREUSSISCH HOLLAND","KON",36,38,54,55,90,93,91,127,1,2,0,0,0,0,1,7,2,1,10,0
21,"HEYDEKRUG","GUM",6,6,50,52,56,58,56,96,2,2,0,0,0,0,0,0,3,3,17,4
22,"NIEDERUNG","GUM",1,1,68,68,69,69,69,107,0,0,0,0,0,0,0,0,6,5,18,7
23,"TILSIT","GUM",8,11,61,61,69,72,71,128,1,1,0,0,0,0,0,0,7,7,13,3
24,"RAGNIT","GUM",5,5,86,86,91,91,91,120,0,0,0,0,0,0,0,0,13,14,6,3
25,"PILLKALLEN","GUM",10,12,75,75,85,87,87,120,0,0,0,0,0,0,0,0,4,4,4,3
26,"STALLUPONEN","GUM",13,13,65,65,78,78,78,117,0,0,0,0,0,0,0,0,1,0,12,1
27,"GUMBINNEN","GUM",20,20,65,65,85,85,85,118,0,0,0,0,0,0,0,0,2,3,17,1
28,"INSTERBURG","GUM",7,9,86,87,93,96,96,149,0,0,0,0,0,0,0,0,8,8,17,3
29,"DARKEHMEN","GUM",4,4,65,65,69,69,69,93,0,0,0,0,0,0,0,0,4,2,17,2
30,"ANGERBURG","GUM",39,39,33,33,72,72,72,100,0,0,0,0,0,0,0,0,1,1,13,0
31,"GOLDAP","GUM",22,22,69,69,91,91,91,119,0,0,0,0,0,0,0,0,6,5,12,3
32,"OLETZKO","GUM",49,50,34,34,83,84,84,134,0,0,0,0,0,0,0,0,3,7,18,0
33,"LYCK","GUM",37,37,52,52,89,89,89,122,0,0,0,0,0,0,0,0,7,5,10,6
34,"LOTZEN","GUM",41,41,30,31,71,72,71,106,0,0,0,0,0,0,1,2,7,4,26,1
35,"SENSBURG","GUM",37,37,59,59,96,96,94,116,0,0,0,0,0,0,2,6,31,7,24,3
36,"JOHANNISBURG","GUM",30,30,68,68,98,98,98,129,0,0,0,0,0,0,0,0,22,18,8,1
37,"ELBING","DAN",1,11,0,0,1,11,5,36,1,5,0,0,0,0,5,31,0,0,1,3
38,"ELBING","DAN",33,33,35,36,68,69,63,81,6,16,0,0,0,0,0,0,5,1,9,3
39,"MARIENBURG","DAN",77,77,40,40,117,117,87,111,26,34,0,0,0,0,4,14,7,2,9,2
40,"DANZIG","DAN",1,19,0,0,1,19,2,5,1,4,0,0,0,0,16,178,1,12,4,14
41,"DANZIG NIEDERUNG","DAN",24,27,28,29,52,56,52,80,2,2,0,0,0,0,2,5,9,11,6,0
42,"DANZIG HOHE","DAN",21,25,30,32,51,57,33,47,16,33,0,0,0,0,8,24,9,13,11,2
43,"DIRSCHAU","DAN",26,26,22,22,48,48,22,25,19,27,0,0,0,0,7,33,5,3,8,2
