kreiskey1888,county,rb,edu1886_loc_pri,edu1886_loc_max,edu1886_loc_rea,edu1886_loc_dis,edu1886_loc_nvr,edu1886_loc_tot,edu1886_loc_awa,edu1886_dif_pri,edu1886_dif_max,edu1886_dif_rea,edu1886_dif_dis,edu1886_dif_nvr,edu1886_dif_tot,edu1886_dif_awa,edu1886_tot_you,edu1886_tot_old,edu1886_tot_pri,edu1886_tot_max,edu1886_tot_rea,edu1886_tot_dis,edu1886_tot_nvr,edu1886_tot_tot,edu1886_tot_awa,edu1886_stud_tot,edu1886_stud_m,edu1886_stud_f,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_stud_ger,edu1886_stud_pol,edu1886_stud_pag,edu1886_stud_lit,edu1886_stud_lag,edu1886_stud_wen,edu1886_stud_wag,edu1886_stud_sla,edu1886_stud_sag,edu1886_stud_dan,edu1886_stud_dag,edu1886_stud_oth,edu1886_stud_oag,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
1,"MEMEL","KON",1070,0,2,3,2,1982,0,167,111,312,42,119,5804,1190,1271,10141,1237,111,314,45,121,7786,1190,7786,3906,3880,3068,3080,6148,7469,190,102,25,3690,0,0,2834,1055,0,0,0,0,0,0,154,53,7268,7091,68,84,25,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,405,378,9,18,0
2,"FISCHHAUSEN","KON",363,8,52,1,0,2040,3,287,0,142,15,1,6523,609,1246,9261,650,8,194,16,1,8563,612,8563,4346,4217,4295,4180,8475,8407,9,132,15,8563,0,0,0,0,0,0,0,0,0,0,0,0,8563,8407,9,132,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"KONIGSBERG","KON",3523,76,39,0,0,15061,6,0,0,0,0,0,0,0,2769,21042,3523,76,39,0,0,15061,6,15061,7282,7779,625,593,1218,14417,438,70,136,15045,1,15,0,0,0,0,0,0,0,0,0,0,14713,14417,90,70,136,348,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"KONIGSBERG","KON",86,56,12,2,0,2063,58,340,0,103,12,9,7345,228,1374,10128,426,56,115,14,9,9408,286,9408,4656,4752,4656,4752,9408,9314,23,55,16,9408,0,0,0,0,0,0,0,0,0,0,0,0,9408,9314,23,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LABIAU","KON",294,0,46,0,0,1446,14,176,27,178,37,0,7607,375,1344,9624,470,27,224,37,0,9053,389,9053,4485,4568,4485,4568,9053,8984,6,39,24,7048,0,0,868,1137,0,0,0,0,0,0,0,0,9053,8984,6,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"WEHLAU","KON",33,0,1,0,0,1524,32,740,0,73,21,5,6587,418,1178,8738,773,0,74,21,5,8111,450,8111,4131,3980,3983,3851,7834,8051,12,38,10,8109,0,2,0,0,0,0,0,0,0,0,0,0,8111,8051,12,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"GERDAUEN","KON",50,0,12,1,0,1826,0,134,15,66,13,1,5002,323,969,6900,184,15,78,14,1,6828,323,6828,3474,3354,3379,3259,6638,6787,14,0,27,6828,0,0,0,0,0,0,0,0,0,0,0,0,6828,6787,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"RASTENBURG","KON",756,0,133,8,0,3005,86,84,10,92,14,0,4530,198,1086,8218,840,10,225,22,0,7535,284,7535,3689,3846,3427,3586,7013,7124,387,10,14,7306,72,157,0,0,0,0,0,0,0,0,0,0,7332,7124,184,10,14,203,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"FRIEDLAND","KON",452,0,9,1,1,2367,9,79,0,174,10,2,4837,589,1099,8296,531,0,183,11,3,7204,598,7204,3579,3625,3343,3366,6709,7128,17,59,0,7203,0,0,0,0,0,0,0,0,0,0,0,1,7204,7128,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"PREUSSISCH EYLAU","KON",341,0,28,6,1,2833,7,122,0,147,23,15,7244,193,1391,10177,463,0,175,29,16,10077,200,10077,5046,5031,4889,4891,9780,9734,173,128,42,10077,0,0,0,0,0,0,0,0,0,0,0,0,10077,9734,173,128,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"HEILIGENBEIL","KON",96,0,45,7,3,2101,8,92,21,128,24,5,5902,337,1110,8432,188,21,173,31,8,8003,345,8003,3997,4006,3697,3684,7381,7872,47,74,10,8002,1,0,0,0,0,0,0,0,0,0,0,0,8003,7872,47,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"BRAUNSBERG","KON",25,0,3,6,0,2045,17,357,0,27,12,1,6971,404,1303,9347,382,0,30,18,1,9016,421,9016,4455,4561,2890,2888,5778,848,8104,0,64,9016,0,0,0,0,0,0,0,0,0,0,0,0,654,641,0,0,13,7906,150,7720,0,36,0,0,0,0,0,0,0,0,0,0,456,57,384,0,15
13,"HEILSBERG","KON",29,0,27,12,0,5146,197,183,0,15,9,0,4672,148,1394,9765,212,0,42,21,0,9818,345,9818,4908,4910,4193,4233,8426,375,9388,0,55,9814,0,4,0,0,0,0,0,0,0,0,0,0,353,241,58,0,54,9309,122,9186,0,1,0,0,0,0,0,0,0,0,0,0,156,12,144,0,0
14,"ROSSEL","KON",92,0,49,5,0,4409,109,51,0,100,12,3,4566,318,1131,9036,143,0,149,17,3,8975,427,8975,4549,4426,3482,3415,6897,818,8084,2,71,7098,1214,663,0,0,0,0,0,0,0,0,0,0,835,625,159,0,51,8002,178,7802,2,20,0,0,0,0,0,0,0,0,0,0,138,15,123,0,0
15,"ALLENSTEIN","KON",342,0,111,16,0,5142,90,59,18,147,15,4,7295,534,1646,12724,401,18,258,31,4,12437,624,12437,6233,6204,4977,4975,9952,633,11756,7,41,3707,6718,2012,0,0,0,0,0,0,0,0,0,0,193,123,55,4,11,10729,248,10465,3,13,0,0,0,0,0,0,0,0,0,0,1515,262,1236,0,17
16,"ORTELSBURG","KON",214,0,79,13,0,6815,398,232,40,47,10,0,6498,499,1596,13105,446,40,126,23,0,13313,897,13313,6652,6661,6581,6603,13184,11763,1223,257,70,898,11474,941,0,0,0,0,0,0,0,0,0,0,12664,11686,651,257,70,534,0,534,0,0,0,0,0,0,0,0,0,0,0,0,115,77,38,0,0
