kreiskey1888,county,rb,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup
1,"MEMEL","KON",4,0,0,80,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,84,1,4,0,0,0,0,0,6,5,1,0,0,0
2,"FISCHHAUSEN","KON",15,0,0,110,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,112,3,0,0,0,0,0,0,0,0,0,0,0,0
3,"KONIGSBERG","KON",2,1,0,169,2,0,0,54,2,0,0,0,0,0,0,0,0,0,0,223,0,4,0,0,0,0,0,0,0,0,0,0,0
4,"KONIGSBERG","KON",19,0,0,123,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,127,1,0,0,0,0,0,0,0,0,0,0,0,0
5,"LABIAU","KON",7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"WEHLAU","KON",12,0,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"GERDAUEN","KON",14,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"RASTENBURG","KON",14,1,0,103,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104,0,2,0,0,0,0,0,0,0,0,0,0,0
9,"FRIEDLAND","KON",15,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"PREUSSISCH EYLAU","KON",23,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"HEILIGENBEIL","KON",18,0,0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"BRAUNSBERG","KON",5,27,0,11,112,0,0,2,14,0,0,2,0,0,0,0,0,0,0,12,0,120,2,0,0,0,0,7,1,6,0,0,0
13,"HEILSBERG","KON",2,23,0,10,123,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,134,0,0,0,0,0,2,1,1,0,0,0
