kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
1,"MEMEL","KON",3068,3080,6148,7469,190,102,25,4,0,0,80,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,52,84,1,91,7268,7091,68,84,25,3,4,0,3,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,1,0,0,0,6,405,378,9,18,0
2,"FISCHHAUSEN","KON",4295,4180,8475,8407,9,132,15,15,0,0,110,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,73,112,3,126,8563,8407,9,132,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"KONIGSBERG","KON",625,593,1218,14417,438,70,136,2,1,0,169,2,0,0,54,2,0,0,0,0,0,0,0,0,0,0,23,223,0,223,14713,14417,90,70,136,1,4,0,4,348,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"KONIGSBERG","KON",4656,4752,9408,9314,23,55,16,19,0,0,123,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,89,127,1,137,9408,9314,23,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"LABIAU","KON",4485,4568,9053,8984,6,39,24,7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,100,0,123,9053,8984,6,39,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"WEHLAU","KON",3983,3851,7834,8051,12,38,10,12,0,0,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73,113,0,116,8111,8051,12,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"GERDAUEN","KON",3379,3259,6638,6787,14,0,27,14,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,68,100,0,103,6828,6787,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"RASTENBURG","KON",3427,3586,7013,7124,387,10,14,14,1,0,103,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,104,0,114,7332,7124,184,10,14,2,2,0,3,203,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"FRIEDLAND","KON",3343,3366,6709,7128,17,59,0,15,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,99,0,100,7204,7128,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"PREUSSISCH EYLAU","KON",4889,4891,9780,9734,173,128,42,23,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,142,0,155,10077,9734,173,128,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
