kreiskey1888,county,rb,edu1886_wag_m_tot,edu1886_wag_f_tot
1,"MEMEL","KON",74600,5190
2,"FISCHHAUSEN","KON",82492,1224
3,"KONIGSBERG","KON",213321,46550
4,"KONIGSBERG","KON",96618,2280
5,"LABIAU","KON",75188,0
6,"WEHLAU","KON",85683,450
7,"GERDAUEN","KON",76972,2000
8,"RASTENBURG","KON",85430,811
9,"FRIEDLAND","KON",79411,0
10,"PREUSSISCH EYLAU","KON",114589,0
11,"HEILIGENBEIL","KON",86704,1040
12,"BRAUNSBERG","KON",106840,12151
13,"HEILSBERG","KON",109783,7290
14,"ROSSEL","KON",94594,4992
15,"ALLENSTEIN","KON",122821,6170
16,"ORTELSBURG","KON",140626,900
17,"NEIDENBURG","KON",106865,0
18,"OSTERODE","KON",137204,837
19,"MOHRUNGEN","KON",110471,1954
20,"PREUSSISCH HOLLAND","KON",102966,0
21,"HEYDEKRUG","GUM",64546,1275
22,"NIEDERUNG","GUM",74344,1740
23,"TILSIT","GUM",82838,9330
24,"RAGNIT","GUM",87389,750
25,"PILLKALLEN","GUM",86762,2340
26,"STALLUPONEN","GUM",84651,800
27,"GUMBINNEN","GUM",85253,980
28,"INSTERBURG","GUM",109555,2976
29,"DARKEHMEN","GUM",69572,1400
30,"ANGERBURG","GUM",69555,650
31,"GOLDAP","GUM",85390,450
32,"OLETZKO","GUM",88718,845
33,"LYCK","GUM",93884,675
34,"LOTZEN","GUM",77820,730
35,"SENSBURG","GUM",86518,0
36,"JOHANNISBURG","GUM",94481,0
37,"ELBING","DAN",71328,4798
38,"ELBING","DAN",72404,3640
39,"MARIENBURG","DAN",130400,2876
40,"DANZIG","DAN",136565,60325
41,"DANZIG NIEDERUNG","DAN",60635,540
42,"DANZIG HOHE","DAN",64396,4180
43,"DIRSCHAU","DAN",64232,3210
44,"PREUSSISCH STARGARD","DAN",78477,2727
45,"BERENT","DAN",82834,0
46,"KARTHAUS","DAN",84818,1500
47,"NEUSTADT","DAN",67232,2310
48,"PUTZIG","DAN",48681,750
49,"STUHM","MAR",68842,0
50,"MARIENWERDER","MAR",109442,2390
51,"ROSENBERG","MAR",96061,850
52,"LOBAU","MAR",86485,0
53,"STRASBURG","MAR",71096,645
54,"BRIESEN","MAR",62794,0
55,"THORN","MAR",107226,5880
56,"KULM","MAR",72436,2960
57,"GRAUDENZ","MAR",89743,4791
58,"SCHWETZ","MAR",120670,1240
59,"TUCHEL","MAR",49359,0
60,"KONITZ","MAR",87822,540
