kreiskey1896,county,rb,yie1896_acr_wwh,yie1896_hec_wwh,yie1896_tot_wwh,yie1896_acr_wry,yie1896_hec_wry,yie1896_tot_wry,yie1896_acr_sba,yie1896_hec_sba,yie1896_tot_sba,yie1896_acr_oat,yie1896_hec_oat,yie1896_tot_oat,yie1896_acr_pot,yie1896_hec_pot,yie1896_tot_pot
1,"MEMEL","KON",862.6,9.62,8298,8216.8,9.73,79949,2613.6,7.77,20308,7754.1,7.86,60947,3880.3,73.22,284116
2,"FISCHHAUSEN","KON",2193.3,13.76,30180,12534.6,12.43,155805,2567,9.98,25619,11522.6,9.32,107391,2996.5,80.69,241788
3,"KONIGSBERG STADTKREIS","KON",2,16.2,32,10,17.6,176,10,7.2,72,10,8.28,83,47,136,6392
4,"KONIGSBERG LANDKREIS","KON",3880.3,15.1,58593,11547.1,14.92,172283,4460.2,10.47,46698,10085.5,10.27,103578,2838.2,87.95,249620
5,"LABIAU","KON",2353.1,11.15,26237,6230.9,11.52,71780,2953.9,7.39,21829,6491.2,6.56,42582,3821.3,74.52,284763
6,"WEHLAU","KON",3822.7,11.34,43349,8723.6,11.61,101281,2638.9,7.01,18499,9671.3,6.91,66829,2673.2,70.13,187472
7,"GERDAUEN","KON",4510.8,12.46,56205,9314.1,12.86,119779,2038.2,9.06,18466,8046.9,9.79,78779,2291.1,102.79,235502
8,"RASTENBURG","KON",4810.1,14.04,67534,9954.6,13.57,135084,2667.8,10.82,28866,7853.7,10.12,79479,2372.1,93.35,221436
9,"FRIEDLAND","KON",4070.6,12.81,52144,10454.2,12.96,135486,1953.5,9.4,18363,8380.4,8.68,72742,2292.2,73.92,169439
10,"PREUSSISCH EYLAU","KON",4832.5,13.49,65190,14077.7,13.67,192442,3267.3,9.51,31072,12570,9.27,116524,3775.5,87.74,331262
11,"HEILIGENBEIL","KON",2340.1,13.57,31755,12014.1,12.44,149455,2984.3,10.24,30559,11030.4,10.21,112620,3037.3,80.29,243865
12,"BRAUNSBERG","KON",1987.4,12.61,25061,13566.1,11.39,154518,2344,9.23,21635,10693.9,8.36,89401,3141.1,71.01,223050
13,"HEILSBERG","KON",4065.2,11.22,45612,15552.2,10.87,169052,2276.3,9.6,21852,8944.4,8.19,73255,4254.2,64.45,274183
14,"ROSSEL","KON",4193.8,11.36,47642,10211.7,11.11,113452,1734.9,7.74,13428,6802.8,7.73,52586,3304.7,66.76,220622
15,"ALLENSTEIN","KON",1887.4,9.65,18213,19310,7.89,152356,1533.5,6.38,9784,7372.9,6.16,45417,7332,69.48,509427
16,"ORTELSBURG","KON",970.8,8.63,8378,22567.9,6.92,156170,2224.3,5.02,11166,5228.2,4.96,25932,11280.6,60.32,680446
17,"NEIDENBURG","KON",526.9,9.06,4774,27906.8,6.66,185859,4034,3.47,13998,5094.9,3.31,16864,13062,70.11,915777
18,"OSTERODE","KON",1027.7,10.07,10349,22749,7.84,178352,4164.1,5.71,23777,7151.9,5.61,40122,11142.7,82.51,919384
19,"MOHRUNGEN","KON",3716.2,14.06,52250,14403.6,12.27,176732,2104.7,11.03,23215,11545.9,9.77,112803,4850.6,84.28,408809
20,"PREUSSISCH HOLLAND","KON",5193,12.89,66938,9280.7,11.86,110069,1944,11.03,21442,9577.9,10.18,97503,2621.4,88.27,231391
21,"HEYDEKRUG","GUM",115.5,11.85,1369,4388.8,11.39,49988,1658.5,9.55,15839,4032.4,9.17,36977,3882.4,77.51,300925
22,"NIEDERUNG","GUM",947.2,12.9,12219,7447.9,16.21,120730,3296.2,12.93,42620,7645.5,13.27,101456,3739.8,80.85,302363
23,"TILSIT STADTKREIS","GUM",0,0,0,77,18.22,1403,4,15.03,60,20,16,320,140,35,4900
24,"TILSIT LANDKREIS","GUM",773.9,11.78,9117,9414.5,14.31,134721,2734.3,11.25,30761,9273.5,11.5,106645,3996.9,88.73,354645
25,"RAGNIT","GUM",3209.7,10.25,32899,11686.6,10.99,128436,3576.3,7.31,26143,12153.8,6.6,80215,3670.7,82.65,303383
26,"PILLKALLEN","GUM",4070.2,9.39,38219,10766.7,10.88,117142,2354.4,6.99,16457,11676.9,7.62,88978,2599.9,82.2,213712
27,"STALLUPONEN","GUM",2637.8,10.58,27908,9475.9,11.01,104330,4605.3,9.85,45362,8032.7,8.22,66029,2330.7,86.17,200836
28,"GUMBINNEN","GUM",3335,12.47,41587,8005.8,13.13,105116,2954.6,8.93,26385,8833.8,9.1,80388,2549.6,92.47,235762
