kreiskey1901,county,rb,wage1901_ov16_m_ur,wage1901_ov16_m_ru,wage1901_ov16_f_ur,wage1901_ov16_f_ru,wage1901_un16_m_ur,wage1901_un16_m_ru,wage1901_un16_f_ur,wage1901_un16_f_ru
1,"MEMEL","KON",2,1.51,1.15,.9,1.1,1,.9,.6
2,"FISCHHAUSEN","KON",1.8,1.51,.95,.9,1.1,.62,.7,.51
3,"KONIGSBERG","KON",2.3,,1.15,,1,,.75,
4,"KONIGSBERG","KON",,1.5,,.8,,.6,,.6
5,"LABIAU","KON",1.8,1.4,1,1,1,1,.8,.6
6,"WEHLAU","KON",1.6,1.5,.85,.9,.92,.9,.63,.6
7,"GERDAUEN","KON",1.65,1.4,.85,.8,1,.7,.6,.5
8,"RASTENBURG","KON",1.57,1.4,.8,.9,.8,.8,.57,.5
9,"FRIEDLAND","KON",1.43,1.4,.83,.8,.65,.6,.45,.4
10,"PREUSSISCH EYLAU","KON",1.37,1.5,.9,1,.83,1,.53,.6
11,"HEILIGENBEIL","KON",1.78,1.4,1,.8,.8,.8,.6,.5
12,"BRAUNSBERG","KON",1.5,1.6,.93,1,.86,.8,.59,.6
13,"HEILSBERG","KON",1.5,1.5,.9,1,.8,.8,.5,.5
14,"ROSSEL","KON",1.58,1.2,.95,.9,.8,.9,.63,.85
15,"ALLENSTEIN","KON",1.7,1.5,1.08,1,1.03,.8,.9,.7
16,"ORTELSBURG","KON",1.43,1.2,.87,.8,.83,.8,.6,.5
17,"NEIDENBURG","KON",1.5,1.2,1,.8,.9,.8,.6,.5
18,"OSTERODE","KON",1.63,1.5,1.05,1,1,1,.8,.8
19,"MOHRUNGEN","KON",1.5,1.8,.87,1,.87,1,.57,.7
20,"PREUSSISCH HOLLAND","KON",1.7,1.6,1,1,.8,.8,.6,.6
21,"HEYDEKRUG","GUM",,1.2,,.7,,.6,,.4
22,"NIEDERUNG","GUM",,1.2,,.7,,.6,,.4
23,"TILSIT","GUM",1.6,,1,,.8,,.6,
24,"TILSIT","GUM",,1.2,,.7,,.6,,.4
25,"RAGNIT","GUM",1.3,1.3,.8,.8,.7,.7,.5,.5
26,"PILLKALLEN","GUM",1.3,1.3,.8,.8,.7,.7,.5,.5
27,"STALLUPONEN","GUM",1.3,1.3,.8,.8,.7,.7,.5,.5
28,"GUMBINNEN","GUM",1.4,1.3,.8,.8,.7,.7,.5,.5
29,"INSTERBURG","GUM",1.8,1.5,1.1,.9,1.1,.8,.7,.5
